date,open,high,low,close
"2017/01/03",36.611,36.931,36.271,36.6
"2017/01/04",36.71,36.771,36.341,36.41
"2017/01/05",36.451,36.721,36.311,36.35
"2017/01/06",36.591,36.681,36.19,36.48
"2017/01/09",36.48,36.89,36.48,36.611
"2017/01/10",36.55,36.931,36.53,36.541
"2017/01/11",36.51,37,36.51,36.951
"2017/01/12",36.831,36.831,36.32,36.71
"2017/01/13",36.71,36.861,36.62,36.791
"2017/01/17",36.67,36.831,36.591,36.8
"2017/01/18",36.89,37.01,36.611,36.76
"2017/01/19",36.51,36.91,36.51,36.57
"2017/01/20",36.76,37.03,36.581,36.94
"2017/01/23",37.07,37.21,36.55,36.771
"2017/01/24",36.841,37.741,36.811,37.62
"2017/01/25",37.87,38,37.521,37.8
"2017/01/26",37.82,37.92,37.42,37.561
"2017/01/27",38,38.451,37.811,37.98
"2017/01/30",37.741,37.841,37.331,37.42
"2017/01/31",37.221,37.37,36.64,36.82
"2017/02/01",36.82,36.951,36.021,36.521
"2017/02/02",36.26,36.701,36.201,36.681
"2017/02/03",36.69,36.82,36.451,36.521
"2017/02/06",36.51,36.51,36.151,36.271
"2017/02/07",36.451,36.521,36.241,36.35
"2017/02/08",36.341,36.651,36.14,36.381
"2017/02/09",36.5,36.5,35.401,35.46
"2017/02/10",35.26,35.431,34.841,35.341
"2017/02/13",35.57,35.85,35.341,35.8
"2017/02/14",35.841,35.96,35.53,35.931
"2017/02/15",35.98,36.061,35.67,36.05
"2017/02/16",36.181,36.561,36.1,36.41
"2017/02/17",36.32,36.48,36.1,36.48
"2017/02/21",36.53,36.651,36.331,36.521
"2017/02/22",36.341,36.401,35.791,36.07
"2017/02/23",36.241,36.3,35.901,36.181
"2017/02/24",36.14,36.53,35.951,36.53
"2017/02/27",36.42,36.681,36.271,36.51
"2017/02/28",36.42,36.46,36,36.201
"2017/03/01",35.85,36.1,35.44,35.931
"2017/03/02",35.931,36.021,35.651,35.91
"2017/03/03",35.94,36.091,35.67,35.901
"2017/03/06",35.791,35.8,35.42,35.57
"2017/03/07",35.541,35.8,35.39,35.8
