date,open,high,low,close
"2020/01/02",261.08,266.601,261.08,266.161
"2020/01/03",261.61,265.37,261.441,264.381
"2020/01/06",261.891,266.631,261.77,266.411
"2020/01/07",266.81,267.52,265.351,266.471
"2020/01/08",268,274.77,266.8,272.881
"2020/01/09",274,277.27,273.571,274.9
"2020/01/10",276.49,276.5,273.83,275.25
"2020/01/13",276.33,277.851,274.83,276.041
"2020/01/14",275.631,276.31,272.09,272.68
"2020/01/15",273.821,276.08,272.61,273
"2020/01/16",274.641,276.891,273.31,276.87
"2020/01/17",278.49,283,276.351,282.851
"2020/01/21",281.81,285.261,281.541,285.011
"2020/01/22",286.131,291.49,285.881,290.28
"2020/01/23",289.731,292.68,288.36,288.58
"2020/01/24",290,293,287.261,288.08
"2020/01/27",281.481,285.981,281.011,283.761
"2020/01/28",284.411,288.53,282.941,288.161
"2020/01/29",289.34,289.74,283.891,285.921
"2020/01/30",284.191,286.84,282.451,286.631
"2020/01/31",285.8,286.481,279.75,280.381
"2020/02/03",283.571,285.77,281.471,282.8
"2020/02/04",287.161,292.8,284.451,290.921
"2020/02/05",298.821,298.821,286.62,289.81
"2020/02/06",291.851,294.33,289.81,294.21
"2020/02/07",293.171,295.77,291.101,294.71
"2020/02/10",295.05,298.02,294.09,297.74
"2020/02/11",299.9,299.96,296.5,296.921
"2020/02/12",297,298.87,294.631,298.65
"2020/02/13",297.291,300.55,296.851,297.84
"2020/02/14",298.56,304.441,297.46,304.291
"2020/02/18",303.951,304.83,302.02,303.571
"2020/02/19",305.5,306.891,304.4,305.61
"2020/02/20",304.391,306.191,297.49,301.24
"2020/02/21",300.601,303.99,295.37,297.571
"2020/02/24",288.441,292.701,278.011,286.43
"2020/02/25",297.55,301.641,283.571,284.8
"2020/02/26",286.28,290.93,278.671,280.09
"2020/02/27",274.261,278.59,268.4,268.77
"2020/02/28",259.62,266.12,255.59,265.851
"2020/03/02",266.721,281.33,263.731,281.18
"2020/03/03",280.96,284.661,264.18,268.24
"2020/03/04",274.221,286.52,270.52,285.55
"2020/03/05",276.141,290.221,275.141,287.18
"2020/03/06",276.451,281.81,268.141,276.18
"2020/03/09",258.261,269.231,250,260.041
"2020/03/10",270.11,270.11,257.971,269.661
"2020/03/11",263.921,266.291,256.08,261.12
"2020/03/12",245.09,257.981,235.961,237.941
"2020/03/13",250,261.4,235,261.25
"2020/03/16",232,244.991,222.381,223.43
"2020/03/17",228.51,240.78,216.18,239.17
"2020/03/18",226.04,232.271,215.071,225.071
"2020/03/19",224.361,224.991,210.521,215.89
"2020/03/20",217.73,219.23,199.39,201.84
"2020/03/23",202.34,202.34,187.68,194.721
"2020/03/24",206.161,235.56,204.34,233.821
"2020/03/25",229.78,240.741,223.54,232.581
