date,open,high,low,close
"2016/01/04",27.931,28.15,27.75,27.81
"2016/01/05",27.81,28.351,27.611,27.75
"2016/01/06",27.371,27.66,27.21,27.3
"2016/01/07",26.791,26.921,26.201,26.22
"2016/01/08",25.841,26.08,25.32,25.451
"2016/01/11",25.451,25.58,24.8,24.931
"2016/01/12",25.15,25.41,24.65,25.25
"2016/01/13",25.31,25.541,24.4,24.431
"2016/01/14",24.48,24.88,24.091,24.65
"2016/01/15",24.041,24.285,23.31,23.531
"2016/01/19",23.73,23.931,23.08,23.21
"2016/01/20",22.921,23.021,22.15,22.91
"2016/01/21",23.021,23.806,22.8,23.33
"2016/01/22",23.73,24.041,23.66,24
"2016/01/25",23.9,24.07,23.841,23.96
"2016/01/26",24.13,24.371,23.82,23.99
"2016/01/27",23.83,23.96,23.38,23.47
"2016/01/28",23.701,23.701,23.08,23.14
"2016/01/29",23.24,23.671,23.201,23.4
"2016/02/01",23.14,23.22,22.88,23
"2016/02/02",22.82,22.98,22.31,22.441
"2016/02/03",22.48,22.49,21.98,22.39
"2016/02/04",22.4,22.99,22.4,22.941
"2016/02/05",22.851,22.941,22.171,22.24
"2016/02/08",22,22.066,21.201,21.38
"2016/02/09",21.181,21.701,21.171,21.181
"2016/02/10",21.4,21.97,21.361,21.761
"2016/02/11",21.38,21.81,21.071,21.55
"2016/02/12",21.74,22.24,21.55,22.21
"2016/02/16",22.46,22.761,22.21,22.601
"2016/02/17",22.72,23.13,22.66,23.05
"2016/02/18",23.15,23.291,22.951,23.22
"2016/02/19",22.171,24.07,22.16,23.9
"2016/02/22",24.06,24.726,23.976,24.671
"2016/02/23",24.5,25.236,24.451,25.181
"2016/02/24",25,25.781,24.72,25.73
"2016/02/25",25.74,25.861,25.201,25.74
"2016/02/26",25.9,25.98,25.521,25.941
"2016/02/29",25.931,26.191,25.775,26.091
"2016/03/01",26.271,26.761,26.171,26.341
"2016/03/02",26.281,26.89,26.213,26.88
"2016/03/03",26.82,27.121,26.75,27.091
"2016/03/04",27.13,27.33,26.8,27.22
"2016/03/07",27.07,27.396,26.941,27.15
"2016/03/08",27.011,27.07,26.681,26.74
"2016/03/09",25.65,25.98,25.291,25.8
"2016/03/10",25.96,26.14,25.74,26.05
"2016/03/11",26.25,26.91,26.25,26.56
"2016/03/14",26.56,26.861,26.441,26.57
"2016/03/15",26.4,26.701,26.07,26.21
"2016/03/16",26.06,26.588,26.06,26.521
"2016/03/17",26.521,27.341,26.521,27.25
"2016/03/18",27.22,27.761,27.191,27.74
"2016/03/21",27.691,28.101,27.621,27.941
"2016/03/22",27.941,28.39,27.8,28.22
"2016/03/23",28.07,28.07,26.99,27
"2016/03/24",26.82,27.111,26.521,27
"2016/03/28",27.07,27.33,26.861,27.24
"2016/03/29",27.121,27.755,26.9,27.74
"2016/03/30",27.951,28.021,27.281,27.421
"2016/03/31",27.371,27.771,26.99,27.74
"2016/04/01",27.181,28.05,27.181,27.81
"2016/04/04",27.771,27.916,27.171,27.351
"2016/04/05",26.941,27.041,26.8,26.9
"2016/04/06",26.9,26.98,26.64,26.771
"2016/04/07",26.681,26.785,26.271,26.431
"2016/04/08",26.63,27.05,26.47,26.72
"2016/04/11",26.841,27.13,26.58,26.941
"2016/04/12",26.88,26.99,26.57,26.72
"2016/04/13",26.89,27.97,26.89,27.8
"2016/04/14",27.73,27.785,27.22,27.32
"2016/04/15",27.25,27.49,27.091,27.14
"2016/04/18",27.07,27.341,26.925,27.101
"2016/04/19",27.24,27.3,27.06,27.261
"2016/04/20",27.281,27.57,27.136,27.16
