date,open,high,low,close
"2007/01/03",50,51.151,48.541,48.991
"2007/01/04",49.291,50.19,48.67,50.05
"2007/01/05",49.6,50.19,49.26,50.151
"2007/01/08",50.05,51.39,49.931,50.57
"2007/01/09",50.991,51.85,50.39,51.1
"2007/01/10",50.71,52.041,50.5,51.92
"2007/01/11",52.21,52.841,51.73,52.07
"2007/01/12",52.03,52.73,51.57,52.17
"2007/01/16",51.71,52.201,50.401,50.71
"2007/01/17",50.5,51.931,50.17,51.25
"2007/01/18",49.94,50.091,47.6,47.811
"2007/01/19",47.741,48.831,47.341,48.01
"2007/01/22",47.931,48.491,47.151,48.17
"2007/01/23",48.25,48.26,46.85,46.971
"2007/01/24",47.16,48.05,46.96,47.73
"2007/01/25",47.75,48.701,46.94,47.1
"2007/01/26",47.71,49.331,47.23,48.92
"2007/01/29",48.951,49.78,48.75,49.21
"2007/01/30",49.35,49.541,48.71,49.12
"2007/01/31",49.05,49.561,48.28,49.25
"2007/02/01",49.021,49.721,48.3,48.881
"2007/02/02",48.791,50,48.771,50
"2007/02/05",50.291,51.881,50.111,51.291
"2007/02/06",50.92,51.091,50.331,50.791
"2007/02/07",50.94,51.771,50.75,51.201
"2007/02/08",50.951,51.35,50.82,50.92
"2007/02/09",50.35,51,49.25,49.66
"2007/02/12",49.381,49.791,49.1,49.651
"2007/02/13",49.91,50.1,49.23,49.401
"2007/02/14",49.8,50.811,49.591,50.39
"2007/02/15",50.3,50.92,50.111,50.8
"2007/02/16",50.861,51,50.3,50.901
"2007/02/20",50.651,51.341,50.041,51.26
"2007/02/21",51.1,51.5,50.901,51.19
"2007/02/22",51.491,52.25,51.37,52.25
"2007/02/23",53.16,54.541,53.111,54.16
"2007/02/26",54.381,54.66,53.931,54.42
"2007/02/27",53.561,53.67,51.811,52.3
"2007/02/28",52.361,52.721,51.701,51.741
"2007/03/01",50.75,51.37,50.21,50.92
"2007/03/02",50.5,51.16,49.51,49.91
"2007/03/05",49.881,51.98,49.75,51.131
"2007/03/06",51.73,51.741,50.8,51.151
"2007/03/07",50.91,51.5,50.681,51.05
"2007/03/08",52.021,53.78,52,53.111
"2007/03/09",53.55,53.55,52.25,52.85
"2007/03/12",52.581,53.17,52.42,52.76
"2007/03/13",52.471,52.521,51.48,51.5
"2007/03/14",51.721,51.98,50.991,51.98
"2007/03/15",52.111,52.19,51.631,52.01
"2007/03/16",51.98,52.431,51.431,52.03
"2007/03/19",52.32,52.451,51.75,52.241
"2007/03/20",52.271,53.25,52.021,53.03
"2007/03/21",53.1,54.41,52.69,54.271
"2007/03/22",54.291,54.39,53.14,53.611
"2007/03/23",53.71,54.5,53.591,54.341
"2007/03/26",54.341,54.681,53.521,54.39
"2007/03/27",54.181,54.881,53.861,53.861
"2007/03/28",53.651,54.07,53.061,53.35
"2007/03/29",53.591,53.8,52.471,53.471
"2007/03/30",53.271,53.85,53.081,53.32
"2007/04/02",53.401,53.62,52.73,53.51
"2007/04/03",53.76,54.451,53.271,54.221
"2007/04/04",54.741,55.39,54.57,55.241
"2007/04/05",55.131,55.901,54.901,55.85
"2007/04/09",55.8,55.87,54.91,55.53
"2007/04/10",55.401,56.521,55.16,56.37
"2007/04/11",56.01,56.25,55.3,55.361
"2007/04/12",55.451,55.89,55,55.67
"2007/04/13",55.17,55.25,53.92,54.721
"2007/04/16",54.431,54.76,53.881,54.701
"2007/04/17",54.71,54.741,54.21,54.561
"2007/04/18",54.69,55.131,54.181,54.66
"2007/04/19",54.12,55.16,53.681,54.221
"2007/04/20",55.07,55.07,53.771,54.21
"2007/04/23",53.8,54.221,53.6,54.05
"2007/04/24",54.451,54.91,53.75,54.64
"2007/04/25",54.791,54.951,54.091,54.8
"2007/04/26",54.5,55.78,54.311,55.581
"2007/04/27",54.791,56.46,54.78,55.14
"2007/04/30",55.291,56.55,55.05,55.55
"2007/05/01",55.521,56,55.151,55.881
"2007/05/02",55.811,56.46,55.66,56.25
"2007/05/03",56.111,56.85,55.96,56.39
"2007/05/04",56.51,56.951,56.17,56.87
"2007/05/07",56.951,57.061,56.701,56.78
"2007/05/08",56.451,56.46,55.71,56.311
"2007/05/09",56.03,57,55.76,56.92
"2007/05/10",56.651,56.651,55.111,55.181
"2007/05/11",55.6,56.3,55.37,55.491
"2007/05/14",55.721,55.861,54.791,55.39
"2007/05/15",55.46,55.8,54.861,55.14
"2007/05/16",54.381,54.771,53.651,54.62
"2007/05/17",54.491,55.021,53.881,54.6
"2007/05/18",54.62,54.98,53.271,53.651
"2007/05/21",53.841,54.331,53.271,53.491
"2007/05/22",53.931,54.32,53.5,54.05
"2007/05/23",53.971,54.221,53.67,53.71
"2007/05/24",53.92,54.14,53.25,53.53
"2007/05/25",53.6,53.89,53.42,53.67
