date,open,high,low,close
"2013/01/02",37.021,38.76,36.841,38.73
"2013/01/03",38.061,38.46,37.591,37.98
"2013/01/04",38.05,38.311,37.96,38.07
"2013/01/07",37.771,37.92,37.35,37.57
"2013/01/08",37.5,37.721,36.92,36.98
"2013/01/09",37.1,37.361,37.05,37.291
"2013/01/10",37.75,38.28,37.62,37.85
"2013/01/11",37.931,38.46,37.931,38.44
"2013/01/14",38.25,38.611,37.78,38.221
"2013/01/15",37.92,38.44,37.89,38.081
"2013/01/16",37.98,38.381,37.98,38.32
"2013/01/17",38.361,40.23,38.361,40.07
"2013/01/18",40.131,41.221,39.87,40.12
"2013/01/22",40.091,40.271,39.75,40.081
"2013/01/23",40.271,40.42,39.651,40.1
"2013/01/24",39.681,40.19,38.67,39.521
"2013/01/25",39.971,42.12,39.91,41.841
"2013/01/28",41.591,42.241,41.541,41.741
"2013/01/29",41.541,41.82,41.03,41.73
"2013/01/30",41.631,41.991,41.521,41.64
"2013/01/31",41.78,41.951,41.041,41.14
"2013/02/01",41.381,42,41.37,41.721
"2013/02/04",41.46,42.76,41.41,41.96
"2013/02/05",42.111,42.69,42.01,42.591
"2013/02/06",42.271,42.76,41.971,42.57
"2013/02/07",42.32,42.521,41.901,42.39
"2013/02/08",42.521,43.12,42.44,42.611
"2013/02/11",42.71,42.85,42.3,42.71
"2013/02/12",42.89,42.89,42.381,42.841
"2013/02/13",42.98,43.381,42.71,42.931
"2013/02/14",42.861,43.35,42.62,42.901
"2013/02/15",43,43,42.32,42.5
"2013/02/19",42.651,43.221,42.57,42.741
"2013/02/20",42.87,42.98,41.861,41.96
"2013/02/21",42.041,42.041,40.741,40.91
"2013/02/22",40.741,42.181,40.741,42.03
"2013/02/25",42.16,42.67,40.85,40.861
"2013/02/26",41.061,41.85,40.98,41.651
"2013/02/27",41.62,42.69,41.44,42.5
"2013/02/28",42.521,42.861,42.28,42.3
"2013/03/01",42.091,42.841,41.681,42.681
"2013/03/04",42.401,42.75,41.991,42.591
"2013/03/05",42.92,43.92,42.721,43.12
"2013/03/06",43.46,43.78,42.92,43.111
"2013/03/07",43.151,43.39,42.681,42.8
"2013/03/08",43.16,43.16,42.471,42.881
"2013/03/11",42.631,42.85,42.28,42.41
"2013/03/12",42.381,42.741,41.87,42.32
"2013/03/13",42.48,42.48,41.71,42.16
"2013/03/14",42.381,42.841,42.32,42.42
"2013/03/15",42.331,42.55,41.041,41.66
"2013/03/18",41.14,41.451,40.8,41.111
"2013/03/19",41.131,41.311,40.44,40.92
"2013/03/20",41.221,41.51,40.991,41.16
"2013/03/21",40.75,41.14,40.491,40.631
"2013/03/22",40.75,41.01,40.451,40.561
"2013/03/25",40.87,41.061,40.681,40.931
"2013/03/26",41.091,41.28,40.87,41.16
"2013/03/27",40.841,41,40.44,40.89
"2013/03/28",40.94,41.541,40.721,41.46
"2013/04/01",41.341,41.42,40.701,40.8
"2013/04/02",40.91,41.201,40.491,40.69
"2013/04/03",40.85,41.091,40.19,40.471
"2013/04/04",40.44,41.3,40.271,41.23
"2013/04/05",40.611,40.96,40.061,40.771
"2013/04/08",40.861,41.28,40.341,41.25
"2013/04/09",41.35,41.491,40.75,41.16
"2013/04/10",41.451,42.14,41.16,42.07
"2013/04/11",42.651,43.771,42.57,42.8
"2013/04/12",42.41,42.6,41.37,41.811
"2013/04/15",41.471,41.701,40.32,40.42
"2013/04/16",40.541,41.521,39.94,41.48
"2013/04/17",41.311,42.341,41.221,41.5
"2013/04/18",41.881,42,41.12,41.28
"2013/04/19",41.37,41.92,40.831,41.631
"2013/04/22",41.66,42.271,40.681,41.85
"2013/04/23",42.201,43,41.901,42.521
"2013/04/24",42.44,43.241,42.42,43.03
"2013/04/25",44,46.721,44,45.62
"2013/04/26",45.46,46.381,45.181,45.67
"2013/04/29",45.701,45.87,45.42,45.581
"2013/04/30",45.57,46.39,45.41,46.221
"2013/05/01",45.951,46.14,45.44,45.6
"2013/05/02",45.951,46.361,45.471,45.651
"2013/05/03",46.021,46.451,45.881,46.01
"2013/05/06",46.16,46.5,45.811,46.28
"2013/05/07",46.271,46.401,45.631,46.05
"2013/05/08",45.85,47.1,45.67,46.811
"2013/05/09",46.541,47.39,46.51,47.23
"2013/05/10",47.151,47.39,46.791,46.92
"2013/05/13",46.98,47.111,46.55,46.931
"2013/05/14",46.87,47.681,46.811,47.521
"2013/05/15",47.291,48.37,47.241,48.181
"2013/05/16",48.1,48.25,47.48,47.541
"2013/05/17",47.771,48.111,47.76,48.041
"2013/05/20",47.831,48.25,47.681,47.94
"2013/05/21",47.971,48.12,47.73,47.92
"2013/05/22",47.951,48.14,46.631,46.951
"2013/05/23",46.591,46.951,46.341,46.811
"2013/05/24",46.361,46.75,46.16,46.611
"2013/05/28",47.201,47.791,46.541,47.521
"2013/05/29",47.111,47.611,46.361,46.75
"2013/05/30",46.96,48,46.811,47.701
"2013/05/31",47.46,47.8,46.78,46.78
"2013/06/03",47.5,49.131,47.401,48.25
"2013/06/04",48.131,48.271,47.37,47.98
"2013/06/05",47.78,48.081,47.221,47.28
"2013/06/06",47.401,47.73,46.831,47.37
"2013/06/07",47.67,48.5,47.53,48.401
"2013/06/10",48.361,48.69,48.221,48.53
