date,open,high,low,close
"2015/01/02",45.361,45.6,44.42,44.87
"2015/01/05",44.66,44.78,43.841,43.87
"2015/01/06",43.76,44.041,42.791,43.021
"2015/01/07",43.44,43.521,42.76,43.26
"2015/01/08",43.521,44.651,43.491,44.64
"2015/01/09",44.861,44.94,44.181,44.521
"2015/01/12",44.241,44.44,43.57,44.03
"2015/01/13",44.89,45.521,43.651,43.971
"2015/01/14",43.721,45.17,43.561,45.01
"2015/01/15",45.651,45.831,44.401,44.46
"2015/01/16",44.3,44.98,44.151,44.841
"2015/01/20",45.221,45.41,44.721,45.26
"2015/01/21",45.19,46.291,44.98,46.17
"2015/01/22",46.62,46.67,45.521,46.541
"2015/01/23",46.651,46.651,46.03,46.521
"2015/01/26",46.3,46.811,46.01,46.791
"2015/01/27",46.26,46.51,45.64,45.791
"2015/01/28",46.151,46.71,45.69,45.71
"2015/01/29",45.53,46.291,42.5,45.85
"2015/01/30",46.791,47.341,45.041,45.1
"2015/02/02",45.181,45.401,44.111,44.771
"2015/02/03",45.03,45.651,44.82,45.591
"2015/02/04",45.341,46.67,45.341,46.331
"2015/02/05",47.491,49.17,47.491,49.041
"2015/02/06",49.041,49.48,48.381,48.64
"2015/02/09",48.25,48.721,47.73,47.881
"2015/02/10",48.25,48.91,47.841,48.881
"2015/02/11",48.881,49.061,48.521,48.87
"2015/02/12",49.5,50.03,48.92,49.98
"2015/02/13",51.51,51.681,50.03,50.71
"2015/02/17",50.491,51.03,50.181,50.91
"2015/02/18",50.67,50.82,50.32,50.71
"2015/02/19",50.381,50.581,50,50.53
"2015/02/20",50.311,50.931,49.991,50.931
"2015/02/23",50.62,50.791,50.341,50.62
"2015/02/24",50.73,51.62,50.6,51.53
"2015/02/25",51.37,51.541,51.03,51.35
"2015/02/26",51.48,51.561,51.07,51.471
"2015/02/27",51.39,51.67,51.05,51.271
"2015/03/02",51.611,52.44,51.5,52.41
"2015/03/03",52,52.181,51.19,51.431
"2015/03/04",51.28,51.541,50.85,51.48
"2015/03/05",51.67,51.73,50.581,50.881
"2015/03/06",50.53,51.181,50.5,50.75
"2015/03/09",50.98,51.42,50.73,51.331
"2015/03/10",50.701,50.901,49.53,49.53
"2015/03/11",49.311,49.631,48.8,49.021
"2015/03/12",48.591,49.771,48.581,49.69
"2015/03/13",49.75,49.901,48.771,49.521
"2015/03/16",49.951,50.53,49.701,50.431
"2015/03/17",50.28,50.28,49.401,49.73
"2015/03/18",49.57,50.331,48.791,50.21
"2015/03/19",50.14,50.55,49.76,50.3
"2015/03/20",50.651,51.23,50.341,50.87
"2015/03/23",51,51.221,50.37,50.381
"2015/03/24",50.44,50.721,49.591,49.62
"2015/03/25",49.631,49.831,48.05,48.091
"2015/03/26",47.66,48.471,46.89,48.21
"2015/03/27",48.1,49.491,47.931,49.21
"2015/03/30",49.311,50.17,49.19,49.89
"2015/03/31",49.651,49.73,48.831,48.901
"2015/04/01",48.8,48.87,47.861,48.311
"2015/04/02",48.381,48.75,48.061,48.181
"2015/04/06",47.87,48.5,47.181,48.32
"2015/04/07",48.42,49.16,48.23,48.931
"2015/04/08",48.71,49.041,48.48,48.92
"2015/04/09",48.71,49.491,48.71,49.401
"2015/04/10",49.6,50.111,49.341,50
"2015/04/13",50.041,50.151,49.32,49.53
"2015/04/14",49.311,49.431,48.73,48.8
"2015/04/15",48.89,50.25,48.721,50.111
"2015/04/16",49.73,50.37,49.66,50.26
"2015/04/17",49.75,49.831,48.94,49.201
"2015/04/20",49.55,49.841,49.291,49.611
"2015/04/21",49.87,49.901,48.96,49.23
"2015/04/22",49.46,49.46,48.62,49.3
"2015/04/23",48.091,48.89,47.831,48.57
"2015/04/24",48.32,48.341,47.021,47.331
"2015/04/27",47.44,47.971,47.201,47.35
"2015/04/28",47.341,48.03,47.07,47.94
"2015/04/29",47.491,47.98,47.361,47.62
"2015/04/30",47.44,47.87,47.331,47.66
"2015/05/01",48.091,48.741,47.861,48.591
"2015/05/04",48.87,48.951,48.651,48.841
"2015/05/05",48.591,48.82,47.521,47.541
"2015/05/06",47.75,47.91,46.73,47.111
"2015/05/07",47.23,47.971,47.23,47.41
"2015/05/08",48,49.991,47.841,48.971
"2015/05/11",48.971,49.51,48.55,49.39
"2015/05/12",49.17,49.381,48.42,49.091
"2015/05/13",49.39,49.971,48.771,49.66
"2015/05/14",49.791,50.131,49.491,49.85
"2015/05/15",49.971,50.041,49.091,49.26
"2015/05/18",49.21,49.37,48.82,48.98
"2015/05/19",48.75,48.92,48.151,48.32
"2015/05/20",48.491,49.021,48.26,48.681
"2015/05/21",48.701,48.701,47.94,48.39
"2015/05/22",48.181,48.57,48.17,48.401
"2015/05/26",48.16,48.32,47.6,47.76
"2015/05/27",47.811,48.631,47.67,48.5
"2015/05/28",48.451,48.98,48.39,48.881
"2015/05/29",48.94,49.431,48.771,49.131
"2015/06/01",49.25,49.5,48.831,49.091
"2015/06/02",48.67,48.76,48.21,48.291
"2015/06/03",48.53,48.681,47.971,48.021
"2015/06/04",47.67,48.381,47.14,47.311
"2015/06/05",47.14,47.57,46.971,47.46
"2015/06/08",47.37,47.57,46.521,46.66
"2015/06/09",45.901,47.21,44.26,46.841
"2015/06/10",47,47.611,46.951,47.51
"2015/06/11",47.561,47.75,47.42,47.64
"2015/06/12",47.44,47.62,47.16,47.361
"2015/06/15",46.901,47.831,46.78,47.6
"2015/06/16",47.381,47.91,47.37,47.741
"2015/06/17",47.901,48.111,47.611,47.901
"2015/06/18",48.111,49.1,48.07,49.01
"2015/06/19",49.16,49.82,48.791,49.67
"2015/06/22",49.92,50.491,49.721,50.41
"2015/06/23",50.57,50.71,50.111,50.201
"2015/06/24",50.21,50.221,49.46,49.48
"2015/06/25",49.651,49.881,49.331,49.341
"2015/06/26",49.181,49.41,48.291,48.42
"2015/06/29",47.791,48.181,47.12,47.201
"2015/06/30",47.67,48.1,47.25,47.431
"2015/07/01",47.901,47.96,46.39,46.64
"2015/07/02",46.85,46.94,45.971,46.53
"2015/07/06",46.03,46.03,45.17,45.771
"2015/07/07",46.12,46.12,44.64,45.67
"2015/07/08",45.19,45.48,44.26,44.69
"2015/07/09",45.341,45.701,44.17,44.181
"2015/07/10",44.631,45.151,44.591,44.85
"2015/07/13",45.061,45.23,44.69,44.951
"2015/07/14",45.12,45.381,44.94,45.221
"2015/07/15",45.1,45.3,44.631,44.971
"2015/07/16",45.041,45.87,44.061,44.51
"2015/07/17",44.311,44.431,43.87,44.341
"2015/07/20",44.53,44.591,43.811,43.991
"2015/07/21",43.991,44.6,43.71,43.8
"2015/07/22",42.53,42.87,41.681,42.091
"2015/07/23",42.37,43.611,42.14,42.67
"2015/07/24",42.721,43.14,40.91,41.87
"2015/07/27",41.64,42.021,41.151,41.78
"2015/07/28",41.26,42.881,41.14,42.66
"2015/07/29",42.6,43.01,42.44,42.771
"2015/07/30",42.721,43.1,42.561,42.91
"2015/07/31",42.951,42.971,42.69,42.841
"2015/08/03",42.19,42.841,42.01,42.791
"2015/08/04",42.091,42.8,41.44,42.791
"2015/08/05",43.131,44.17,43.07,43.831
"2015/08/06",43.87,43.87,42.89,43.23
"2015/08/07",43.12,43.6,42.861,43.561
"2015/08/10",44,44.631,43.861,44.42
"2015/08/11",43.991,44.041,43.471,43.721
"2015/08/12",43.241,44.081,42.861,43.85
"2015/08/13",43.771,43.841,43.28,43.39
"2015/08/14",43.23,43.39,42.611,43.291
"2015/08/17",43.111,43.591,42.8,43.521
"2015/08/18",43.341,43.5,42.841,42.931
"2015/08/19",42.931,43.16,42.14,42.681
"2015/08/20",42.14,42.541,41.521,41.53
"2015/08/21",41.37,41.85,40.8,40.841
"2015/08/24",38,41.71,37.771,40.14
