date,open,high,low,close
"2007/01/03",19.4,20.101,19.181,19.541
"2007/01/04",19.57,20.111,19.201,19.951
"2007/01/05",19.521,19.58,19.171,19.41
"2007/01/08",19.361,19.73,19.25,19.38
"2007/01/09",19.56,19.97,19.201,19.73
"2007/01/10",19.75,21.101,19.65,20.88
"2007/01/11",20.81,21.05,20.14,20.701
"2007/01/12",20.291,20.75,20.171,20.39
"2007/01/16",20.3,20.57,19.8,19.9
"2007/01/17",19.81,20.041,19.521,19.601
"2007/01/18",19.4,19.5,18.601,18.761
"2007/01/19",18.57,19,18.421,18.451
"2007/01/22",18.541,18.55,17.921,18.3
"2007/01/23",18.201,18.64,18.15,18.351
"2007/01/24",18.74,19.451,18.541,19.351
"2007/01/25",19.4,19.841,18.8,18.951
"2007/01/26",18.861,19.271,18.49,19.021
"2007/01/29",18.931,19.05,18.601,19.041
"2007/01/30",19.16,19.16,18.75,18.791
"2007/01/31",18.771,18.841,18.14,18.291
"2007/02/01",18.4,18.451,17.9,18.351
"2007/02/02",18.38,18.71,18.32,18.46
"2007/02/05",18.21,18.49,17.951,18.191
"2007/02/06",18.21,18.4,18,18.38
"2007/02/07",18.75,18.951,18.431,18.8
"2007/02/08",18.781,18.8,18.46,18.55
"2007/02/09",18.871,19.201,18.261,18.31
"2007/02/12",18.351,18.41,17.861,17.91
"2007/02/13",18.111,18.31,17.921,18.261
"2007/02/14",18.38,18.691,18.351,18.49
"2007/02/15",18.46,19.39,18.41,19.351
"2007/02/16",19.271,19.861,19.171,19.81
"2007/02/20",19.771,20.021,19.4,19.83
"2007/02/21",19.841,20.05,19.5,19.96
"2007/02/22",20.191,20.431,19.921,20.181
"2007/02/23",20.05,20.32,19.851,20.08
"2007/02/26",19.921,20.05,19.58,19.861
"2007/02/27",20.33,21.201,20.21,20.46
"2007/02/28",20.3,20.681,20.031,20.521
"2007/03/01",20.121,20.841,20,20.4
"2007/03/02",20.351,20.5,19.8,19.83
"2007/03/05",19.25,19.64,19.06,19.091
"2007/03/06",19.281,19.4,19.031,19.24
"2007/03/07",19.181,19.451,18.931,19.031
"2007/03/08",19.371,19.451,18.75,18.781
"2007/03/09",19.011,19.08,18.5,18.64
"2007/03/12",18.66,19.08,18.601,18.861
"2007/03/13",18.3,18.441,17.82,17.841
"2007/03/14",17.851,18.021,17.341,17.97
"2007/03/15",17.98,18.31,17.951,18.13
"2007/03/16",18.06,18.21,17.64,17.791
"2007/03/19",17.96,18.05,17.341,17.46
"2007/03/20",17.5,18.05,17.4,17.931
"2007/03/21",17.97,18.08,17.681,18.07
"2007/03/22",18.101,18.25,17.791,18.08
"2007/03/23",18.05,18.371,18.05,18.201
"2007/03/26",18.091,18.171,17.671,18
"2007/03/27",17.921,18.101,17.65,17.671
"2007/03/28",17.601,17.64,17.021,17.091
"2007/03/29",17.22,17.25,16.701,16.771
"2007/03/30",16.91,17.15,16.74,16.81
"2007/04/02",16.771,16.861,16.421,16.681
"2007/04/03",16.691,16.771,16.421,16.58
"2007/04/04",16.681,17.101,16.601,16.851
"2007/04/05",16.91,17.25,16.89,17.181
"2007/04/09",17.32,17.351,16.97,17
"2007/04/10",16.921,17.07,16.66,16.951
