date,open,high,low,close
"2006/01/03",26.25,27,26.101,26.841
"2006/01/04",26.771,27.08,26.771,26.97
"2006/01/05",26.96,27.13,26.91,26.99
"2006/01/06",26.89,27,26.49,26.91
"2006/01/09",26.931,27.07,26.761,26.861
"2006/01/10",26.65,27.021,26.591,27
"2006/01/11",27.011,27.39,26.9,27.291
"2006/01/12",27.25,27.261,26.97,27.14
"2006/01/13",27.031,27.25,27.011,27.191
"2006/01/17",26.9,27.191,26.9,26.99
"2006/01/18",26.74,26.98,26.701,26.83
"2006/01/19",26.871,27.24,26.851,27.021
"2006/01/20",27.011,27.011,26.261,26.41
"2006/01/23",26.41,26.531,26.3,26.351
"2006/01/24",26.341,26.451,26.22,26.281
"2006/01/25",26.41,26.57,26.23,26.4
"2006/01/26",26.56,26.72,26.31,26.5
"2006/01/27",27.23,27.951,27.191,27.791
"2006/01/30",27.82,28.181,27.781,28
"2006/01/31",27.91,28.38,27.871,28.15
"2006/02/01",27.96,28.07,27.761,28.041
"2006/02/02",27.97,27.99,27.55,27.681
"2006/02/03",27.48,27.701,27.341,27.541
"2006/02/06",27.511,27.541,27.091,27.171
"2006/02/07",26.951,27.15,26.81,26.941
"2006/02/08",27.011,27.08,26.71,26.91
"2006/02/09",26.96,27.031,26.65,26.66
"2006/02/10",26.621,26.89,26.511,26.691
"2006/02/13",26.63,26.701,26.341,26.39
"2006/02/14",26.41,26.681,26.351,26.65
"2006/02/15",26.601,26.931,26.5,26.88
"2006/02/16",26.851,26.9,26.57,26.81
"2006/02/17",26.671,26.81,26.56,26.701
"2006/02/21",26.72,26.72,26.341,26.541
"2006/02/22",26.531,26.861,26.47,26.72
"2006/02/23",26.73,26.89,26.541,26.66
"2006/02/24",26.591,26.74,26.521,26.63
"2006/02/27",26.75,27.261,26.671,27.05
"2006/02/28",26.951,27.3,26.871,26.871
"2006/03/01",26.98,27.201,26.951,27.14
"2006/03/02",27.021,27.101,26.9,26.97
"2006/03/03",26.81,27.16,26.74,26.931
"2006/03/06",26.921,27.15,26.83,26.91
"2006/03/07",26.9,27.101,26.81,27.06
"2006/03/08",26.99,27.5,26.97,27.25
"2006/03/09",27.271,27.421,27,27
"2006/03/10",27.06,27.22,26.88,27.171
"2006/03/13",27.181,27.291,26.941,27.111
"2006/03/14",27.041,27.38,26.99,27.23
"2006/03/15",27.201,27.451,27.011,27.361
"2006/03/16",27.341,27.48,27.22,27.271
"2006/03/17",27.351,27.66,27.271,27.5
"2006/03/20",27.701,27.99,27.671,27.89
"2006/03/21",27.74,28.22,27.681,27.74
"2006/03/22",27.08,27.5,26.8,27.15
"2006/03/23",27.08,27.101,26.66,26.851
"2006/03/24",26.71,27.21,26.621,27.011
"2006/03/27",27.011,27.3,27,27.011
"2006/03/28",27.011,27.21,26.81,26.9
"2006/03/29",26.951,27.201,26.921,27.021
"2006/03/30",27.031,27.39,27,27.23
"2006/03/31",27.3,27.541,27.21,27.21
"2006/04/03",27.671,27.73,27.441,27.56
"2006/04/04",27.601,27.8,27.47,27.64
"2006/04/05",27.88,27.941,27.64,27.74
"2006/04/06",27.66,27.72,27.371,27.56
"2006/04/07",27.611,27.72,27.23,27.25
"2006/04/10",27.23,27.441,27.201,27.291
"2006/04/11",27.291,27.32,27,27.13
"2006/04/12",27.101,27.201,26.97,27.201
"2006/04/13",27.08,27.201,27,27.07
"2006/04/17",27.031,27.05,26.73,26.841
"2006/04/18",26.941,27.5,26.82,27.22
"2006/04/19",27.111,27.191,26.96,27.031
"2006/04/20",27.05,27.191,26.701,27.031
"2006/04/21",27.05,27.39,27,27.15
"2006/04/24",27.07,27.25,26.98,27.111
"2006/04/25",27.091,27.21,27.021,27.111
"2006/04/26",27.08,27.23,27,27.101
"2006/04/27",26.97,27.63,26.941,27.25
"2006/04/28",24.23,24.5,24,24.15
"2006/05/01",24.32,25,24.091,24.291
"2006/05/02",24.49,25,23.9,24.011
"2006/05/03",23.99,24.021,23.15,23.171
"2006/05/04",23.351,23.671,23.14,23.441
"2006/05/05",23.66,23.951,23.521,23.8
"2006/05/08",23.851,25,23.511,23.73
"2006/05/09",23.75,24,23.49,23.621
"2006/05/10",23.671,23.791,23.591,23.771
"2006/05/11",23.71,23.791,23.15,23.22
"2006/05/12",23.14,23.371,23.05,23.171
"2006/05/15",23.101,23.23,23.031,23.15
"2006/05/16",23.16,24,22.91,23.011
"2006/05/17",22.89,23.08,22.73,22.73
"2006/05/18",22.841,23.14,22.761,22.83
"2006/05/19",22.791,22.9,22.521,22.56
"2006/05/22",22.48,23.021,22.451,22.88
"2006/05/23",23.111,23.38,22.771,22.791
"2006/05/24",22.99,23.541,22.98,23.5
"2006/05/25",23.57,23.921,23.541,23.74
"2006/05/26",23.771,23.88,23.56,23.72
"2006/05/30",23.55,23.761,23.14,23.15
"2006/05/31",23.261,23.351,22.65,22.65
"2006/06/01",22.74,22.841,22.621,22.82
"2006/06/02",22.871,22.99,22.671,22.761
"2006/06/05",22.72,22.73,22.49,22.5
"2006/06/06",22.55,22.56,21.98,22.13
"2006/06/07",22.15,22.39,22.011,22.041
"2006/06/08",22.031,22.21,21.97,22.111
"2006/06/09",22.15,22.191,21.89,21.921
"2006/06/12",21.96,22.101,21.701,21.71
"2006/06/13",21.73,22.031,21.46,21.511
"2006/06/14",21.591,21.941,21.55,21.88
"2006/06/15",22.011,22.13,21.8,22.07
"2006/06/16",21.97,22.281,21.791,22.101
"2006/06/19",22.14,22.601,22.121,22.55
"2006/06/20",22.541,22.761,22.5,22.56
"2006/06/21",22.611,23.15,22.531,23.08
"2006/06/22",23.06,23.171,22.781,22.88
"2006/06/23",22.851,22.871,22.5,22.5
"2006/06/26",22.65,22.89,22.63,22.82
"2006/06/27",22.89,23.16,22.841,22.861
"2006/06/28",22.96,23.25,22.91,23.16
"2006/06/29",23.32,23.63,23.22,23.47
