date,open,high,low,close
"2014/01/02",67.371,67.49,65.84,66.331
"2014/01/03",66.49,66.64,66.161,66.2
"2014/01/06",66.471,66.67,65.911,65.92
"2014/01/07",65.92,66.481,65.74,66.191
"2014/01/08",66.24,66.34,65.801,65.99
"2014/01/09",66.161,66.661,66.081,66.5
"2014/01/10",66.681,66.691,65.89,66.151
"2014/01/13",66.161,66.74,65.32,65.49
"2014/01/14",65.82,66.441,65.761,66.35
"2014/01/15",66.39,66.481,65.541,65.621
"2014/01/16",65.7,65.981,65.53,65.81
"2014/01/17",66.17,66.67,65.911,66.1
"2014/01/21",66.89,67.691,66.77,67.111
"2014/01/22",63.841,65.67,62.681,64.511
"2014/01/23",64.681,65.42,64.56,65.34
"2014/01/24",65.161,65.161,64.42,64.42
"2014/01/27",64.541,64.88,64.13,64.431
"2014/01/28",64.441,64.731,64.111,64.34
"2014/01/29",63.991,64.64,63.771,63.98
"2014/01/30",64.731,65.2,64.551,64.911
"2014/01/31",64.121,64.331,63.741,63.8
"2014/02/03",63.901,63.98,62.67,62.721
"2014/02/04",63,63.311,62.62,62.991
"2014/02/05",62.91,63.111,62.5,62.89
"2014/02/06",63.1,63.471,63.01,63.401
"2014/02/07",63.6,64.621,63.431,64.6
"2014/02/10",64.59,65.13,64.32,65.081
"2014/02/11",65.191,65.401,64.78,65.03
"2014/02/12",65.07,65.85,65.07,65.78
"2014/02/13",65.31,65.81,65.31,65.67
"2014/02/14",65.681,65.81,65.53,65.611
"2014/02/18",65.791,65.99,65.56,65.78
"2014/02/19",65.59,65.761,64.92,64.931
"2014/02/20",64.99,65.28,64.59,65.221
"2014/02/21",65.551,65.82,65,65.02
"2014/02/24",64.95,65.551,64.84,64.96
"2014/02/25",65.011,65.53,64.89,65.1
"2014/02/26",65.14,65.541,64.67,65.45
"2014/02/27",65.191,65.911,65.02,65.901
"2014/02/28",65.931,66.34,65.77,66.2
"2014/03/03",65.801,66.121,65.39,65.981
"2014/03/04",66.32,67.5,66.291,66.761
"2014/03/05",66.59,66.74,66.181,66.331
"2014/03/06",66.401,66.791,66.32,66.57
