date,open,high,low,close
"2009/01/02",2.651,2.901,2.631,2.84
"2009/01/05",2.941,3.441,2.84,3.32
"2009/01/06",3.401,3.671,3.36,3.471
"2009/01/07",3.481,3.481,3.131,3.28
"2009/01/08",3.201,3.441,3.201,3.411
"2009/01/09",3.37,3.51,3.231,3.29
"2009/01/12",3.33,3.34,3,3.161
"2009/01/13",3.09,3.28,2.87,3.151
"2009/01/14",2.87,3.05,2.87,2.931
"2009/01/15",2.911,3.191,2.82,2.991
"2009/01/16",3.12,3.451,3.07,3.401
"2009/01/20",3.27,3.5,3.05,3.08
"2009/01/21",3.201,3.491,3.06,3.441
"2009/01/22",3.34,3.35,3.131,3.25
"2009/01/23",3.191,3.6,3.131,3.56
"2009/01/26",3.55,3.701,3.32,3.401
"2009/01/27",3.451,3.56,3.381,3.491
"2009/01/28",3.6,3.86,3.6,3.76
"2009/01/29",3.701,3.721,3.431,3.57
"2009/01/30",3.59,3.77,3.451,3.721
"2009/02/02",3.76,4,3.5,3.6
"2009/02/03",3.6,3.8,3.461,3.76
"2009/02/04",3.84,4.16,3.701,3.901
"2009/02/05",3.82,4.14,3.671,4.071
"2009/02/06",4.08,4.25,3.961,4.08
"2009/02/09",4.1,4.401,4.051,4.321
"2009/02/10",4.27,4.321,3.941,4.02
"2009/02/11",4.051,4.051,3.56,3.881
"2009/02/12",3.84,3.981,3.691,3.941
"2009/02/13",3.951,3.961,3.701,3.731
"2009/02/17",3.55,3.55,3.04,3.3
"2009/02/18",3.34,3.391,3.141,3.201
"2009/02/19",3.3,3.451,2.971,3
"2009/02/20",2.921,2.921,2.691,2.81
"2009/02/23",2.85,2.961,2.76,2.81
"2009/02/24",2.911,3.28,2.8,3.221
"2009/02/25",3.201,3.3,3.06,3.221
"2009/02/26",3.28,3.451,3.211,3.29
"2009/02/27",3.201,3.381,3.07,3.221
"2009/03/02",3.131,3.25,2.971,3.01
"2009/03/03",3.06,3.25,3.06,3.09
"2009/03/04",3.191,3.31,3.1,3.201
"2009/03/05",3.131,3.191,3.07,3.151
"2009/03/06",3.191,3.231,2.711,2.911
"2009/03/09",2.87,2.921,2.55,2.58
"2009/03/10",2.651,2.901,2.651,2.881
"2009/03/11",2.921,3.28,2.911,3.201
"2009/03/12",3.29,3.58,3.131,3.5
"2009/03/13",3.53,3.651,3.5,3.641
"2009/03/16",3.83,3.84,3.6,3.651
"2009/03/17",3.661,3.701,3.491,3.681
"2009/03/18",3.651,3.891,3.57,3.77
"2009/03/19",3.711,3.83,3.61,3.671
"2009/03/20",3.681,3.741,3.431,3.431
"2009/03/23",3.56,3.84,3.51,3.81
"2009/03/24",3.76,3.81,3.53,3.701
"2009/03/25",3.75,3.961,3.55,3.711
"2009/03/26",3.911,4.281,3.86,4.22
"2009/03/27",4.191,4.35,4.1,4.171
"2009/03/30",4.091,4.091,3.84,3.881
"2009/03/31",3.991,4.18,3.941,4.06
"2009/04/01",3.941,4.18,3.78,4.18
"2009/04/02",4.31,4.631,4.25,4.631
"2009/04/03",4.43,4.66,4.301,4.5
"2009/04/06",4.41,4.571,4.25,4.52
"2009/04/07",4.31,4.5,4.171,4.31
"2009/04/08",4.2,4.281,4.011,4.281
"2009/04/09",4.43,4.651,4.35,4.45
"2009/04/13",4.361,4.441,4.2,4.39
"2009/04/14",4.401,4.551,4.14,4.301
"2009/04/15",4.231,4.5,4.18,4.5
"2009/04/16",4.651,5.08,4.651,4.981
"2009/04/17",5.08,5.1,4.81,5
"2009/04/20",4.921,4.97,4.551,4.591
"2009/04/21",4.571,4.841,4.49,4.7
"2009/04/22",4.79,5.281,4.79,5.031
"2009/04/23",5.131,5.2,4.801,4.921
"2009/04/24",4.941,4.99,4.631,4.861
"2009/04/27",4.7,4.95,4.551,4.66
"2009/04/28",4.56,4.691,4.47,4.56
"2009/04/29",4.671,4.941,4.62,4.841
"2009/04/30",4.91,5.091,4.861,4.881
"2009/05/01",4.7,4.941,4.7,4.89
"2009/05/04",5.08,5.281,4.901,5.27
"2009/05/05",5.24,5.45,5.12,5.441
"2009/05/06",5.401,5.64,5.29,5.39
"2009/05/07",5.18,5.33,4.79,4.921
"2009/05/08",5.071,5.08,4.6,4.85
"2009/05/11",4.571,4.79,4.52,4.66
"2009/05/12",4.691,4.761,4.27,4.421
"2009/05/13",4.33,4.421,4.18,4.321
"2009/05/14",4.301,4.631,4.25,4.551
"2009/05/15",4.551,4.651,4.24,4.24
"2009/05/18",4.35,4.731,4.35,4.68
"2009/05/19",4.58,4.97,4.58,4.85
"2009/05/20",4.901,5.231,4.801,4.801
"2009/05/21",4.75,4.761,4.421,4.58
"2009/05/22",4.64,4.671,4.461,4.511
"2009/05/26",4.47,4.781,4.461,4.651
"2009/05/27",4.66,4.941,4.64,4.77
"2009/05/28",4.89,4.921,4.54,4.861
"2009/05/29",4.901,5.091,4.79,5.06
"2009/06/01",5.231,5.41,5.031,5.321
"2009/06/02",5.211,5.31,5.02,5.071
"2009/06/03",4.93,5.25,4.901,4.97
"2009/06/04",5.06,5.5,5.051,5.5
"2009/06/05",5.531,5.64,5.24,5.301
"2009/06/08",5.301,5.37,5.12,5.301
"2009/06/09",5.361,5.651,5.301,5.58
"2009/06/10",5.711,5.93,5.54,5.861
"2009/06/11",5.91,5.91,5.43,5.591
"2009/06/12",5.62,5.62,5.191,5.47
"2009/06/15",5.421,5.43,5.191,5.321
"2009/06/16",5.37,5.39,5.151,5.2
"2009/06/17",5.131,5.45,5.1,5.301
"2009/06/18",5.31,5.441,5.151,5.261
"2009/06/19",5.35,5.5,5.27,5.33
"2009/06/22",5.321,5.52,5.011,5.02
"2009/06/23",5.071,5.1,4.75,4.85
"2009/06/24",5,5.231,4.95,5.14
"2009/06/25",5.131,5.361,5.04,5.301
"2009/06/26",5.051,5.381,5.051,5.1
"2009/06/29",5.08,5.16,5.031,5.111
"2009/06/30",5.111,5.231,4.95,5.06
"2009/07/01",5.131,5.25,5.08,5.18
"2009/07/02",5.111,5.191,4.961,4.961
"2009/07/06",5,5.071,4.85,4.89
"2009/07/07",4.921,5.051,4.671,4.7
"2009/07/08",4.7,4.83,4.551,4.72
"2009/07/09",4.761,5.14,4.761,5.04
"2009/07/10",5.011,5.18,4.95,5.08
"2009/07/13",5.08,5.211,4.93,5.211
"2009/07/14",5.2,5.35,5.16,5.321
"2009/07/15",5.47,5.68,5.461,5.58
"2009/07/16",5.571,5.781,5.441,5.75
"2009/07/17",5.75,5.75,5.6,5.75
"2009/07/20",5.761,5.921,5.66,5.89
"2009/07/21",5.91,6.091,5.761,5.85
"2009/07/22",5.85,6.191,5.83,6.16
"2009/07/23",6.04,6.29,5.97,6.2
"2009/07/24",6.151,6.281,5.95,6.27
"2009/07/27",6.27,6.39,6.171,6.33
"2009/07/28",6.281,6.47,6.211,6.401
"2009/07/29",6.43,6.43,6.151,6.18
"2009/07/30",6.341,6.381,6.151,6.16
"2009/07/31",6.16,6.441,6.16,6.39
"2009/08/03",6.47,6.841,6.461,6.77
"2009/08/04",6.671,6.761,6.611,6.761
"2009/08/05",6.77,6.89,6.651,6.74
"2009/08/06",6.881,6.981,6.64,6.79
"2009/08/07",6.93,6.981,6.671,6.83
"2009/08/10",6.821,6.841,6.56,6.631
"2009/08/11",6.801,6.881,6.651,6.801
"2009/08/12",6.801,6.93,6.74,6.761
"2009/08/13",6.861,7.071,6.651,7.011
"2009/08/14",6.921,7.031,6.66,6.72
"2009/08/17",6.45,6.671,6.39,6.571
"2009/08/18",6.631,6.83,6.58,6.79
"2009/08/19",6.731,6.781,6.611,6.68
"2009/08/20",6.66,6.821,6.611,6.79
