date,open,high,low,close
"2008/01/02",26.46,26.83,25.72,26.021
"2008/01/03",25.951,26.15,25.601,26
"2008/01/04",25.75,26.8,23.951,24.55
"2008/01/07",24.55,24.74,24.351,24.55
"2008/01/08",24.521,25.5,24.271,24.32
"2008/01/09",24.15,24.451,23.14,24.021
"2008/01/10",23.75,24.041,23.371,23.4
"2008/01/11",23.33,25.25,22.691,23.591
"2008/01/14",23.91,24,23.541,23.941
"2008/01/15",23.64,23.681,22.3,22.841
"2008/01/16",22.341,24.291,22.201,23.63
"2008/01/17",22.371,22.55,20.281,20.8
"2008/01/18",20.541,20.601,18.96,19.33
"2008/01/22",17.781,18.65,17.3,18.07
"2008/01/23",17.671,19.3,17.5,19.121
"2008/01/24",19.601,19.9,18.701,19.14
"2008/01/25",19.601,19.9,19.15,19.271
"2008/01/28",19.15,19.25,18.15,18.601
"2008/01/29",18.99,19.23,17.97,18.33
"2008/01/30",18.281,18.951,18.111,18.691
"2008/01/31",18.33,19.75,18.3,19.66
"2008/02/01",17.531,17.601,16.541,17.13
"2008/02/04",16.9,17.98,16.851,17.791
"2008/02/05",17.58,18.33,17.451,18.15
"2008/02/06",18.121,18.83,18.05,18.431
"2008/02/07",18.121,18.441,17.82,18.201
"2008/02/08",18.101,19.011,18.05,18.521
"2008/02/11",18.531,18.55,18.22,18.361
"2008/02/12",18.15,18.55,18.15,18.41
"2008/02/13",18.421,18.851,18.421,18.671
"2008/02/14",18.691,18.82,18.601,18.65
"2008/02/15",18.63,19,18.48,19
"2008/02/19",18.841,19.23,18.5,18.57
"2008/02/20",18.601,18.601,17.75,18.15
"2008/02/21",18.291,18.65,18.021,18.261
"2008/02/22",18.261,18.4,17.96,18.351
"2008/02/25",18.3,18.851,18.3,18.73
"2008/02/26",18.66,19.15,18.591,18.871
"2008/02/27",18.791,18.98,18.601,18.941
"2008/02/28",18.681,18.8,18.3,18.621
"2008/02/29",18.531,18.591,17.97,18.271
"2008/03/03",18.38,18.49,18.191,18.361
"2008/03/04",18.31,18.33,17.83,18.111
"2008/03/05",18.14,18.71,18.05,18.601
"2008/03/06",18.601,18.8,18.5,18.611
"2008/03/07",18.701,18.83,18.191,18.3
"2008/03/10",18.3,18.58,17.9,18.07
"2008/03/11",18.14,18.22,17.71,18
"2008/03/12",18,18.171,17.851,17.951
"2008/03/13",17.97,18.201,17.75,17.99
"2008/03/14",18.07,18.07,17.58,17.791
"2008/03/17",17.701,17.73,17.05,17.25
"2008/03/18",17.3,17.55,17.08,17.3
"2008/03/19",17.351,17.701,17.3,17.46
"2008/03/20",17.351,18.201,17.351,18
"2008/03/24",18.08,18.941,18.05,18.31
"2008/03/25",18.271,20.65,18.201,20.3
"2008/03/26",20.031,20.3,19.8,20
"2008/03/27",19.97,20.591,19.451,19.47
"2008/03/28",19.72,21,19.72,20.271
"2008/03/31",20.271,20.5,20.021,20.39
"2008/04/01",20.57,20.74,20.101,20.25
"2008/04/02",20.271,20.75,19.8,19.99
"2008/04/03",19.8,20.15,19.71,19.97
"2008/04/04",19.97,20.701,19.761,20.4
"2008/04/07",20.38,20.701,20.101,20.121
"2008/04/08",20.101,20.14,19.291,19.521
"2008/04/09",19.591,19.591,18.9,19.191
"2008/04/10",19.3,19.941,19.201,19.941
"2008/04/11",19.851,20.041,19.351,19.941
"2008/04/14",19.96,20.22,19.55,19.75
"2008/04/15",19.66,19.8,18.871,19.48
"2008/04/16",19.781,20,19.71,19.921
"2008/04/17",19.941,20.3,19.83,20.3
"2008/04/18",20.451,20.9,20.201,20.281
"2008/04/21",20.291,20.31,19.681,19.75
"2008/04/22",19.65,19.681,19.08,19.181
"2008/04/23",19.191,19.8,19.101,19.8
"2008/04/24",19.71,20.3,19.351,20.25
"2008/04/25",20.25,20.9,19.201,20.5
"2008/04/28",20.5,21.15,20.3,21
"2008/04/29",20.82,21.8,20.82,21.58
"2008/04/30",21.56,21.681,20.9,21.031
"2008/05/01",21.171,21.64,20.75,21.39
"2008/05/02",21,21.101,20.101,21
"2008/05/05",20.941,21.13,20.101,20.261
"2008/05/06",20.3,20.701,20.111,20.121
"2008/05/07",20.14,20.181,19.82,20.07
"2008/05/08",20.06,20.451,19.9,20.441
"2008/05/09",20.421,20.781,20.201,20.74
"2008/05/12",20.72,21.25,20.64,21.24
"2008/05/13",21,21.601,20.83,21.601
"2008/05/14",21.5,22.4,21.4,21.88
"2008/05/15",21.931,23.041,21.601,22.65
"2008/05/16",22.601,22.951,22.21,22.65
"2008/05/19",22.601,23.24,22.451,22.601
"2008/05/20",22.601,22.9,21.74,21.771
"2008/05/21",21.761,21.99,21.05,21.5
"2008/05/22",21.351,21.5,20.851,20.851
"2008/05/23",20.8,20.851,20.451,20.73
"2008/05/27",20.781,21.121,20.531,21.06
"2008/05/28",21.06,21.25,20.75,20.871
"2008/05/29",21.351,22.16,20.75,20.781
"2008/05/30",20.8,22.201,20.8,22.101
"2008/06/02",22.14,23.201,22,23.091
"2008/06/03",23.091,23.091,22.5,22.841
"2008/06/04",22.55,23.021,22.4,22.91
"2008/06/05",22.9,24.15,22.701,23.9
"2008/06/06",23.761,23.761,22.65,23
"2008/06/09",23,23.05,21.47,21.57
"2008/06/10",21.521,21.531,21,21.191
"2008/06/11",21.15,21.851,20.611,21.3
"2008/06/12",21.4,21.8,21.32,21.65
"2008/06/13",21.65,22.281,21.65,22.101
"2008/06/16",22.171,22.49,22.13,22.49
"2008/06/17",22.55,22.8,21.98,22.08
"2008/06/18",21.99,22,21.101,21.25
"2008/06/19",21.341,21.851,20.96,21.701
"2008/06/20",21.65,21.701,20.65,21.22
"2008/06/23",21.23,21.541,21.23,21.33
"2008/06/24",21.25,21.261,20.851,21.15
"2008/06/25",21.351,21.75,21.261,21.341
"2008/06/26",21.25,21.3,20.4,20.66
"2008/06/27",20.701,21.201,20.421,21
"2008/06/30",20.951,21.201,20.851,21.15
"2008/07/01",20.91,21.25,20.21,20.41
"2008/07/02",20.48,20.48,19.4,19.5
"2008/07/03",19.55,19.601,18.791,18.791
"2008/07/07",18.931,19,17.64,17.88
"2008/07/08",17.851,19.05,17.521,18.8
"2008/07/09",18.82,18.841,18.371,18.451
"2008/07/10",18.451,19.9,18.341,18.9
"2008/07/11",18.511,19,18.4,18.49
"2008/07/14",18.56,18.9,18,18.72
"2008/07/15",18.57,19.101,18.121,19.08
"2008/07/16",19,19.33,18.951,19.15
"2008/07/17",19.25,19.871,19.101,19.601
"2008/07/18",19.8,19.8,19.22,19.75
