date,open,high,low,close
"2019/09/13",18,19.41,17.5,18
"2019/09/16",18.601,19.55,18.3,18.63
"2019/09/17",18.451,18.9,18.201,18.75
"2019/09/18",18.83,19.701,18.63,19.591
"2019/09/19",20,20.48,18.31,18.75
"2019/09/20",18.9,20,18.771,19.871
"2019/09/23",20.091,21.22,19.58,20.96
"2019/09/24",21.511,22.08,19.671,20.71
"2019/09/25",20.88,21.201,20.101,20.521
"2019/09/26",20.521,20.611,18.71,19.55
"2019/09/27",19.41,19.732,18,18.24
"2019/09/30",18.25,18.73,17.511,18.57
"2019/10/01",18.72,18.72,16.621,16.841
"2019/10/02",16.49,17.3,15.511,17.25
"2019/10/03",17.021,17.38,16.521,16.781
"2019/10/04",17.121,17.451,16.601,17.271
"2019/10/07",17.271,17.601,16.911,17.041
"2019/10/08",16.761,17.701,16.55,17.191
"2019/10/09",17.46,17.541,16.921,17.341
"2019/10/10",17.261,17.261,16.25,16.33
"2019/10/11",16.32,16.611,16.111,16.47
"2019/10/14",16.5,16.5,15.681,15.69
"2019/10/15",15.681,16.431,15.681,16.361
"2019/10/16",16.31,16.431,15.83,15.851
"2019/10/17",15.881,16.351,15.83,15.91
"2019/10/18",15.931,16.171,15.25,15.29
"2019/10/21",15.37,15.69,14.5,14.971
"2019/10/22",15.04,15.131,14.521,14.62
"2019/10/23",14.631,15.24,14.631,14.73
"2019/10/24",14.851,15.931,14.801,15.841
"2019/10/25",15.79,16.3,15.69,16.171
"2019/10/28",16.3,16.41,15.801,16.031
"2019/10/29",16.121,16.24,15.58,15.721
"2019/10/30",15.75,16.771,15.73,16.73
"2019/10/31",16.75,16.97,16.32,16.841
"2019/11/01",16.921,17.191,16.701,16.83
"2019/11/04",17.341,17.48,16.893,17.371
"2019/11/05",17.441,17.49,16.841,17.101
"2019/11/06",16.99,17.101,16.16,16.22
"2019/11/07",16.47,16.841,15.551,15.891
"2019/11/08",16.3,16.597,15.586,16.121
"2019/11/11",15.94,16.466,15.94,16.23
"2019/11/12",16.261,16.375,16.021,16.16
"2019/11/13",16,16.38,15.78,16.261
"2019/11/14",16.121,16.75,16,16.671
"2019/11/15",16.75,17.121,16.64,16.74
"2019/11/18",16.791,16.99,16.511,16.89
"2019/11/19",16.921,16.97,16.22,16.3
"2019/11/20",16.201,17.091,16.181,16.921
"2019/11/21",16.97,17.451,16.918,17.361
"2019/11/22",17.451,17.99,17.3,17.771
"2019/11/25",17.8,18.22,17.74,18.07
"2019/11/26",18.201,18.83,18.07,18.791
"2019/11/27",18.851,19.8,18.569,19.611
"2019/11/29",19.4,19.621,19.132,19.48
"2019/12/02",19.371,19.441,18.198,18.941
"2019/12/03",18.25,19.16,18.111,18.951
"2019/12/04",19.101,19.4,18.83,18.96
"2019/12/05",18.91,19.15,17.72,17.73
"2019/12/06",18.25,18.5,17.951,18.48
"2019/12/09",18.451,18.57,17.271,17.71
"2019/12/10",17.701,18.063,17.431,17.671
"2019/12/11",17.63,17.705,17.05,17.171
"2019/12/12",17.121,17.691,16.921,17.66
"2019/12/13",17.621,18.195,17.33,17.951
"2019/12/16",18.201,18.701,18.06,18.371
"2019/12/17",18.25,19.201,17.421,17.611
"2019/12/18",17.55,17.76,17.38,17.39
"2019/12/19",17.4,18.15,17.4,18
"2019/12/20",18.3,18.701,17.8,18.121
"2019/12/23",18.291,18.291,17.281,17.341
"2019/12/24",17.46,17.546,17.201,17.351
"2019/12/26",17.24,17.55,17.15,17.181
"2019/12/27",17.091,17.24,16.636,16.691
"2019/12/30",16.701,17.24,16.201,17.21
"2019/12/31",17.091,17.261,16.8,17.06
