date,open,high,low,close
"2019/01/02",174.12,180.45,172.461,178.321
"2019/01/03",175.12,177.991,168.471,169.12
"2019/01/04",173.01,181.491,171.661,179.23
"2019/01/07",180.75,188,179.4,186.67
"2019/01/08",189.75,191.65,184.56,188.111
"2019/01/09",185.26,191.29,185.26,190.471
"2019/01/10",188.9,190.941,187.551,190
"2019/01/11",188.101,191.95,186.06,191.691
"2019/01/14",187.87,191.081,186.93,188.4
"2019/01/15",189.45,190.321,187.581,188.351
"2019/01/16",189.521,192.79,187.45,189.59
"2019/01/17",186.831,189.441,185.221,186.53
"2019/01/18",189.73,191.45,186.631,190.09
"2019/01/22",187.78,189.68,184.78,185.7
"2019/01/23",187.521,189.821,182.911,183.961
"2019/01/24",184.25,187.471,182.461,185.7
"2019/01/25",187.611,191.271,185.7,191.081
"2019/01/28",188.051,190.161,186.5,187.941
"2019/01/29",188.18,188.821,184.01,184.821
"2019/01/30",187.191,194.211,187.01,194
"2019/01/31",211.361,228.411,209.991,220.021
"2019/02/01",218.581,221.84,216.801,221.51
"2019/02/04",220.831,225.881,220.101,225.14
"2019/02/05",226,229.4,225.37,228.351
"2019/02/06",228,229.5,223.301,225.56
"2019/02/07",224.06,228.04,222.12,226.961
"2019/02/08",225.4,228.79,222.67,228.56
"2019/02/11",229.89,232.25,227.071,229.01
"2019/02/12",230.611,236.81,230.5,234.65
"2019/02/13",235,237.491,231.65,231.971
"2019/02/14",231.441,235.84,230.76,234.03
"2019/02/15",235,236.7,232.4,234.89
"2019/02/19",233.491,235.461,232,234.581
"2019/02/20",235,235.491,227.851,229.5
"2019/02/21",228.711,231.241,226.51,230.01
"2019/02/22",230.321,236.15,230.321,235
"2019/02/25",237.5,239.45,235.59,237
"2019/02/26",235.84,236.941,233.45,236.211
"2019/02/27",235.801,240.861,235.331,240.31
"2019/02/28",240.17,241.441,237.741,239.441
"2019/03/01",242.31,244.351,239.29,243.521
"2019/03/04",244.601,245.331,228.67,236.971
"2019/03/05",237.571,237.571,232.03,236
"2019/03/06",235.45,237.45,231.79,233.111
"2019/03/07",232.37,236.821,231.111,233.37
"2019/03/08",229.301,234.03,226.711,233.95
"2019/03/11",235.51,240.09,235.131,239.861
"2019/03/12",240.15,241.021,236.78,238.711
"2019/03/13",240.56,243.42,239.551,240.39
"2019/03/14",244.051,244.631,241.301,241.59
"2019/03/15",241.37,243.241,240.2,241.89
"2019/03/18",242.53,245.961,240.14,240.98
"2019/03/19",242.26,244.131,240.351,241.961
"2019/03/20",243,247.28,239.801,244.59
"2019/03/21",243.721,251.65,243.721,250.95
"2019/03/22",249,250.5,241.071,241.211
"2019/03/25",238.79,243.01,236.62,241.7
"2019/03/26",245.04,247.241,243.2,245
"2019/03/27",244.821,244.821,235.601,241.37
"2019/03/28",243.73,245.851,240.73,243.331
"2019/03/29",246.5,247.131,243.361,246.491
"2019/04/01",249.991,250.351,243.801,245.73
"2019/04/02",245.75,247.021,242.801,246.821
"2019/04/03",248.9,248.9,244.29,247.14
"2019/04/04",246.351,246.39,230.14,237.03
"2019/04/05",238.64,240.09,235.26,236.98
"2019/04/08",236.4,239.381,233.51,237.211
"2019/04/09",235.131,240.28,235.131,238.76
"2019/04/10",240.5,245.581,240.021,243.661
"2019/04/11",243.64,246.191,242.111,245.771
"2019/04/12",247,247.741,243.741,244.301
"2019/04/15",244.071,246.4,242.441,243.79
"2019/04/16",245.89,246.12,238.851,239.81
"2019/04/17",241.721,242,234.321,236.23
"2019/04/18",234.4,238.92,232.14,237.4
"2019/04/22",236.021,243.571,236,242.64
"2019/04/23",243.25,247.34,241.101,243.551
"2019/04/24",245,245.381,241.06,242.7
"2019/04/25",261.02,269.27,258.18,260.691
"2019/04/26",260,267.83,257.09,267.08
"2019/04/29",267.101,273.471,267.101,271.691
"2019/04/30",271,273.821,268.731,271.511
"2019/05/01",273.161,273.161,268.31,270.4
"2019/05/02",264.86,269.99,260.351,262.671
"2019/05/03",265.68,269.31,264.261,268.52
"2019/05/06",260.5,270.971,257.5,269.75
"2019/05/07",267,268.9,260.05,264.81
"2019/05/08",264,268.391,260.83,265.981
"2019/05/09",262.351,271.8,260.28,270.49
"2019/05/10",268.5,275.201,266.5,274.9
"2019/05/13",266.881,271.161,259.27,260.12
"2019/05/14",263.221,272.93,263.221,272.071
"2019/05/15",270,276.43,269.541,273.96
"2019/05/16",275,281.74,274.21,277.96
"2019/05/17",275.71,277.321,271.62,272.99
"2019/05/20",266.96,270.5,263.541,265.08
"2019/05/21",269.71,273,267.75,271.21
"2019/05/22",270.071,276.5,269.83,273.391
"2019/05/23",270.06,270.87,263.881,264.791
"2019/05/24",266.75,269.441,265.05,268.951
"2019/05/28",269.08,272.12,264.74,266.65
"2019/05/29",263.9,268.321,261.511,264.191
"2019/05/30",265.411,265.411,261.21,262.601
"2019/05/31",259.31,265.441,257.5,261.93
"2019/06/03",262,263.291,246.021,248.381
"2019/06/04",251.14,258.071,247.51,257.55
"2019/06/05",262.37,263.881,256.3,263.25
"2019/06/06",263.24,269.68,261.821,268.49
"2019/06/07",270.99,276.691,270.99,274.55
"2019/06/10",279.36,280.56,275.61,275.87
"2019/06/11",279.86,279.86,263.951,266.291
"2019/06/12",266,270.34,264.33,267.881
"2019/06/13",268.601,274.09,268.601,273.791
"2019/06/14",273.731,275.61,270.05,272.25
"2019/06/17",273.701,276.381,271.721,274.56
"2019/06/18",278.321,285.03,278.321,282.641
"2019/06/19",284.21,285.83,281.05,285.511
"2019/06/20",290.24,292.981,286.43,288.8
"2019/06/21",287.52,290.84,285.65,285.74
"2019/06/24",287.87,288.381,280.941,282.5
"2019/06/25",283.15,283.15,273.06,275.36
"2019/06/26",278.78,285.201,273.86,275.34
"2019/06/27",277.37,280.83,276.21,278.511
"2019/06/28",277.81,280.191,274.571,274.571
"2019/07/01",281.99,284.33,279.49,283.511
"2019/07/02",283.31,289.321,283.15,288.31
"2019/07/03",289.9,294.231,289.9,293.15
"2019/07/05",291,294.62,288.55,294.53
"2019/07/08",293.65,293.78,289.65,293
"2019/07/09",291.411,299.12,290.631,298.02
"2019/07/10",299.61,302.99,298.31,298.75
