date,open,high,low,close
"2020/01/02",238.75,239.911,236.721,239.911
"2020/01/03",235.101,237.831,234.101,236.071
"2020/01/06",232.321,237.271,231.271,237.06
"2020/01/07",238.2,241.771,236.39,239.93
"2020/01/08",239.76,242.04,238.15,240.381
"2020/01/09",243.851,245.93,240.861,243.021
"2020/01/10",247.331,248.551,243.75,244.321
"2020/01/13",247.661,252.991,246.75,251.98
"2020/01/14",250.26,251.28,246.75,247.28
"2020/01/15",247.79,248.691,244.53,245.571
"2020/01/16",247.721,249.17,246.78,248.93
"2020/01/17",249.7,250,247.37,249.28
"2020/01/21",247.81,249.29,246.571,247.941
"2020/01/22",249.76,253.59,249,250.111
"2020/01/23",251.721,253.2,248.15,252.861
"2020/01/24",257.5,259.5,248.301,250.48
"2020/01/27",238.241,242.25,232.23,240.2
"2020/01/28",242.851,249.271,240.711,247.971
"2020/01/29",247.39,248.84,243.941,245.54
"2020/01/30",241.611,246.351,239.4,245.81
"2020/01/31",243.971,244.45,234.75,236.43
"2020/02/03",235.7,241.111,235.45,240.331
"2020/02/04",246.03,247.9,244.021,247.131
"2020/02/05",251.991,252.4,247.411,250.76
"2020/02/06",252.14,254.25,248.881,254.25
"2020/02/07",252.64,253.53,250.571,251.59
"2020/02/10",252.5,263,252.301,262.971
"2020/02/11",267.321,272.5,264.83,267.891
"2020/02/12",270.011,272.8,268.451,272.541
"2020/02/13",270.21,273.481,269.11,270.78
"2020/02/14",287.261,294.971,286,289.791
"2020/02/18",285.641,297.31,284.86,296.571
"2020/02/19",301.49,315.411,301.49,314.701
"2020/02/20",312.77,316.321,296.351,308.701
"2020/02/21",304.191,305.201,290.661,294.071
"2020/02/24",270.191,281.87,268,273.28
"2020/02/25",276.3,278.791,257.96,262.05
"2020/02/26",262.06,275.451,262,267.65
"2020/02/27",254.9,267,248.89,252.601
"2020/02/28",242.461,272.46,241.79,270.071
"2020/03/02",276.9,277.59,261,276.43
"2020/03/03",278.671,281.071,262.46,265.891
"2020/03/04",270.201,284.891,267.201,284.511
"2020/03/05",276.5,283.201,271.5,273.291
"2020/03/06",266.08,268.391,258,266.041
"2020/03/09",239.9,259.4,238.18,245.441
"2020/03/10",256.541,261.08,245.991,261.08
"2020/03/11",255.461,256.601,242.571,246.471
"2020/03/12",225.461,236.12,215.801,216.31
"2020/03/13",230.5,241.021,219.611,240.84
"2020/03/16",212.411,226.101,194,196.4
"2020/03/17",200.911,220.861,191,217.271
"2020/03/18",200.101,209.941,180.68,202.821
"2020/03/19",201.961,216.73,193.39,212.971
"2020/03/20",219,230.321,205.131,205.75
"2020/03/23",205.711,216.48,198.521,212.691
"2020/03/24",229,252.661,228.051,249.18
"2020/03/25",253.801,261.821,243.661,245.62
"2020/03/26",253.941,262.221,250,257.24
"2020/03/27",250,263.12,248.68,252.73
"2020/03/30",255.361,265.96,253.59,265.59
"2020/03/31",267.201,275.4,257.75,263.601
"2020/04/01",255.65,261.53,241.28,243.071
"2020/04/02",244.241,256,242.31,255.471
"2020/04/03",253.961,255.631,238.39,243.911
"2020/04/06",255.241,269.881,252.93,268.4
"2020/04/07",277.3,278.25,257.3,259.03
"2020/04/08",263.411,267.951,260.601,266.951
"2020/04/09",272,272.921,260.421,262.951
"2020/04/13",260.55,270.201,257,269.851
"2020/04/14",275,285.321,273.891,283.951
"2020/04/15",277.201,284.171,275.381,280.84
"2020/04/16",287.08,299,286.55,294.701
"2020/04/17",298,298.86,286.941,292.321
"2020/04/20",287.24,293.5,285.27,287.05
"2020/04/21",282.31,284.77,267.11,269.511
"2020/04/22",277.231,287.87,275.4,286.15
"2020/04/23",287.84,293.141,283,284.011
"2020/04/24",283.601,289.671,280.601,289.59
"2020/04/27",294.99,303.5,294,297.08
"2020/04/28",303,304.201,291.141,291.36
"2020/04/29",296.77,300.58,293.75,298.46
"2020/04/30",296.291,298.46,291.721,292.28
"2020/05/01",284.351,288.9,280.84,282.78
"2020/05/04",280.881,291.84,280.881,291.291
"2020/05/05",295.471,300.27,291.291,293.74
"2020/05/06",296.93,302,295.411,297.791
"2020/05/07",303.381,307.411,301.321,304.87
"2020/05/08",307.75,312.75,306.391,312.5
"2020/05/11",312.3,324.5,311.15,322.62
"2020/05/12",324.941,326.9,311.71,312.101
"2020/05/13",316.701,323.141,303.791,311.201
"2020/05/14",313.671,321.441,307.5,321.221
"2020/05/15",315.59,340.02,314.96,339.631
"2020/05/18",350.421,356.661,347.221,350.011
"2020/05/19",351.61,363.5,350.511,352.221
"2020/05/20",359.641,361.721,355.55,358.8
"2020/05/21",362.06,362.101,349.5,351.011
"2020/05/22",353.011,363.721,348.53,361.05
"2020/05/26",366.27,367.27,346.881,348.71
"2020/05/27",345,345.31,319.87,341.011
"2020/05/28",336.49,350.421,335.171,339.481
"2020/05/29",342.18,355.02,339.4,355.02
"2020/06/01",353.33,353.631,347.58,352.25
"2020/06/02",351.851,353.49,346.321,353.011
"2020/06/03",352.891,354.65,348,350.78
"2020/06/04",349.12,357.731,347.101,350.661
"2020/06/05",351.78,359.881,348.321,356.8
"2020/06/08",355.09,355.59,347.43,352.201
"2020/06/09",352,364.391,350.05,361.84
"2020/06/10",366.71,380,366.141,374.671
"2020/06/11",366,370.451,351.441,351.851
"2020/06/12",366.5,367.49,348.131,357.3
"2020/06/15",352.61,367.291,349.75,366.951
"2020/06/16",369,370.671,353.55,362.74
"2020/06/17",364.55,371.96,362.81,369.441
"2020/06/18",369.08,371.3,364.58,368.721
"2020/06/19",369.701,377.8,369.09,370.451
"2020/06/22",372,381.25,370.93,381.071
"2020/06/23",382.041,385.701,376.3,378
"2020/06/24",379.05,382.261,365.78,369.421
"2020/06/25",374.231,380.201,367.291,379.601
"2020/06/26",380,380,365,366.201
"2020/06/29",366.791,368.18,356,368
"2020/06/30",372.56,381.05,370.661,379.911
"2020/07/01",380.83,383.03,376.52,381.201
"2020/07/02",385.56,389.5,383.131,384.49
"2020/07/06",389.671,396.351,388.5,393.571
"2020/07/07",397.851,402.8,394.03,394.87
"2020/07/08",399.75,409,398.62,408.641
"2020/07/09",415.21,422.8,409.34,420.36
"2020/07/10",423.55,426.21,415.15,419.171
"2020/07/13",423.8,431.691,401,402.09
"2020/07/14",403,416.11,391.421,415.08
"2020/07/15",416.571,417.321,402.231,409.09
"2020/07/16",400.601,408.27,395.821,405.391
"2020/07/17",409.02,409.941,403.511,408.06
"2020/07/20",410.971,421.25,406.27,420.43
"2020/07/21",420.52,422.4,411.471,413.141
"2020/07/22",414.701,424.101,411.661,417.55
"2020/07/23",418,421.881,401.25,405.191
"2020/07/24",395,414.59,391.08,407.78
"2020/07/27",409.291,417.671,408.71,416.86
"2020/07/28",414.971,415.28,408.37,408.62
"2020/07/29",415.631,420.65,413.881,418.62
"2020/07/30",415,424.921,411.81,424.56
"2020/07/31",422.53,430.661,417.321,424.59
"2020/08/03",429.3,443.951,428.61,440.411
"2020/08/04",442,449.11,436.24,449.11
"2020/08/05",449.761,454.87,446.65,451.471
"2020/08/06",453.99,454.321,447.15,453.421
"2020/08/07",452.5,460.191,441.5,447.981
"2020/08/10",453.37,456.33,434.261,446.601
"2020/08/11",442.951,445.471,431.83,434
"2020/08/12",439.631,458.68,438.33,457.61
"2020/08/13",461.84,468.87,454.231,457.721
"2020/08/14",461.201,468.191,457.62,462.56
"2020/08/17",474.05,496.391,472.691,493.481
"2020/08/18",498,499.84,483.451,490.43
"2020/08/19",491.86,492.601,483.921,485.541
"2020/08/20",479,495,475.15,485.641
"2020/08/21",488.071,512.35,487.81,507.34
"2020/08/24",515.35,516.5,500.3,508.81
"2020/08/25",505.231,510.451,502.951,510
"2020/08/26",511.971,514.74,507.11,510.921
"2020/08/27",511.261,514,502.661,505.131
"2020/08/28",507,525.92,505.701,525.91
"2020/08/31",527.31,543,521.511,534.98
"2020/09/01",539.201,559.75,537.461,552.841
"2020/09/02",588.151,589.071,556,573.86
"2020/09/03",553.151,555.381,515.151,520.62
"2020/09/04",511.351,527,468.191,504.9
"2020/09/08",469.381,502,468.171,476.52
"2020/09/09",496,512.37,489.27,508.601
"2020/09/10",519.571,522.61,486.68,492.471
"2020/09/11",499.421,506.101,475.83,486.58
"2020/09/14",523.24,532.6,505.25,514.891
"2020/09/15",531.201,531.951,513.11,519.641
"2020/09/16",518.29,523.711,500.55,500.58
"2020/09/17",485.291,503.59,481.391,498.541
"2020/09/18",503.75,505.3,479.55,487.571
"2020/09/21",477,500.9,476.18,500.691
"2020/09/22",503,505.921,486.221,505.511
"2020/09/23",503.02,509.08,483.171,484.951
"2020/09/24",482.891,502.78,480.56,493.921
"2020/09/25",497.9,515.341,489.83,514.951
"2020/09/28",521.61,522.071,510,521.401
"2020/09/29",517.5,537.711,517.331,529.031
"2020/09/30",526.3,544.901,526.011,541.22
"2020/10/01",550.321,550.511,538.43,544.581
"2020/10/02",529,540.781,522.04,522.49
"2020/10/05",529.441,545.771,528.91,545.701
"2020/10/06",553.201,565.68,546.6,549.461
