date,open,high,low,close
"2014/01/02",44.701,44.701,43.62,43.92
"2014/01/03",44.111,44.341,43.081,43.561
"2014/01/06",43.931,44,42.771,43.12
"2014/01/07",43.291,43.581,42.681,42.971
"2014/01/08",43.151,43.92,42.901,43.831
"2014/01/09",43.951,44.21,42.901,43.061
"2014/01/10",43.32,43.451,42.701,43
"2014/01/13",43.061,43.491,42.42,42.94
"2014/01/14",43.21,44.21,43,44.12
"2014/01/15",44.64,45.67,44.42,45.39
"2014/01/16",45.541,46.061,45.12,46
"2014/01/17",45.85,47.201,45.85,46.721
"2014/01/21",47.75,47.8,46.361,46.66
"2014/01/22",46.62,47.881,46.5,47.85
"2014/01/23",47.32,47.901,47.091,47.85
"2014/01/24",47.791,47.85,45.381,45.581
"2014/01/27",45.931,46.42,45.46,46
"2014/01/28",46,47.151,45.681,46.69
"2014/01/29",46.75,47.94,46.67,47.26
"2014/01/30",47.76,48.35,47.46,47.85
"2014/01/31",47.5,48.55,47.14,48.35
"2014/02/03",48.631,48.651,45.221,45.82
"2014/02/04",46.721,47.021,45.701,47
"2014/02/05",46.631,47.12,46.3,47
"2014/02/06",47.26,49.881,46.561,49.6
"2014/02/07",49.181,52.061,49.181,52.05
"2014/02/10",51.381,52.451,51.311,52.241
"2014/02/11",52.42,52.591,51.991,52.081
"2014/02/12",52.081,53.17,52.081,52.631
"2014/02/13",52.201,54.07,52.1,53.62
"2014/02/14",55,56.241,54.181,55.6
"2014/02/18",56,56.881,55.271,56.791
"2014/02/19",56.931,57.381,56.57,56.791
"2014/02/20",57.1,57.8,56.581,56.741
"2014/02/21",57.16,57.17,55.55,56.151
"2014/02/24",56.44,56.76,55.541,55.55
"2014/02/25",55.92,56.1,55.07,56.021
"2014/02/26",56.1,56.771,55.44,55.55
"2014/02/27",55.75,56.771,55.44,56.6
"2014/02/28",56.701,56.831,55.8,56.23
"2014/03/03",55.741,55.991,54.92,55.91
"2014/03/04",56.861,57.931,56.39,57.841
"2014/03/05",57.991,58.17,56.951,57.581
"2014/03/06",57.901,59.931,57.811,59.91
"2014/03/07",60,60.37,57.841,58.561
"2014/03/10",58.48,58.881,56.951,57.14
"2014/03/11",58.091,58.91,56.471,56.811
"2014/03/12",56.51,57.71,55.901,57.53
"2014/03/13",57.85,58.401,56.431,57.35
"2014/03/14",57.01,58.201,57.01,57.62
"2014/03/17",57.94,59.361,57.94,58.41
"2014/03/18",58.561,59.1,57.931,58.73
"2014/03/19",58.901,59.221,58.341,58.861
"2014/03/20",58.741,59.85,58.311,59.85
"2014/03/21",60.341,60.48,57.581,57.971
"2014/03/24",58.19,58.631,56.131,56.44
"2014/03/25",57.19,58.1,56.541,56.951
"2014/03/26",59.12,60.311,57.431,58.091
"2014/03/27",58.471,58.471,56.021,57.26
"2014/03/28",57.831,59.05,57.311,57.66
"2014/03/31",58.311,59.581,57.881,58.811
"2014/04/01",58.991,61.28,58.811,60.931
"2014/04/02",61.991,62.311,60.69,61.341
"2014/04/03",62.53,63.35,61.41,61.91
"2014/04/04",62.681,62.741,57.041,57.331
"2014/04/07",56.48,57.291,54.8,55.721
"2014/04/08",57.25,58.37,55.901,58.241
"2014/04/09",60.12,60.8,58.611,59.331
"2014/04/10",59.701,59.701,57.291,57.37
"2014/04/11",56.1,57.951,55.521,56.221
"2014/04/14",56.591,57.53,55.681,56.401
"2014/04/15",56.96,58.311,56.19,57.631
"2014/04/16",58.561,58.561,56.5,57.91
"2014/04/17",57.951,59.14,57.51,58.201
"2014/04/21",59.25,60.25,57.611,60.091
"2014/04/22",60.471,61.271,59.701,60.62
"2014/04/23",61,61.091,60.01,60.521
"2014/04/24",62.1,62.5,59.401,62
"2014/04/25",61.451,61.55,58.55,58.87
"2014/04/28",59.35,59.42,56.611,58.021
"2014/04/29",58.5,59.381,57.69,59.241
"2014/04/30",59.091,59.651,58.12,59.62
"2014/05/01",59.681,61.53,59.62,60.46
"2014/05/02",61.16,62.28,60.39,61.78
"2014/05/05",61.78,61.78,60.611,61.221
"2014/05/06",61.241,61.521,60.42,60.541
"2014/05/07",60.561,61.091,59.431,60.221
"2014/05/08",60.1,62.17,59.8,60.71
"2014/05/09",60.39,60.66,59.221,59.771
"2014/05/12",60.5,63.41,60.37,62.62
"2014/05/13",62.861,63.85,60.451,60.71
"2014/05/14",59.991,60.521,59.5,59.541
"2014/05/15",59.451,59.73,57.71,59.651
"2014/05/16",59.6,60.5,59.081,60.25
"2014/05/19",60.131,60.991,60.05,60.541
"2014/05/20",61.03,61.51,60.271,60.791
"2014/05/21",60.831,61.41,59.651,60.41
"2014/05/22",60.03,61.17,59.89,60.541
"2014/05/23",60.841,61.791,60.1,61.66
"2014/05/27",62.01,62.66,61.69,62.41
"2014/05/28",62.55,62.67,61.51,61.811
"2014/05/29",61.94,62.53,61.75,62.03
"2014/05/30",62.381,62.561,61.741,62.1
"2014/06/02",62.361,62.51,61.311,62.401
"2014/06/03",62.041,62.951,61.771,62.69
"2014/06/04",62.091,62.721,61.791,62.5
"2014/06/05",63,63.811,62.451,63.401
"2014/06/06",64.52,64.691,63.01,63.181
"2014/06/09",63.241,64.081,63.21,63.701
"2014/06/10",63.87,64.53,63.091,64.401
"2014/06/11",64.401,64.651,63.541,63.681
"2014/06/12",63.28,63.55,61.98,62.271
"2014/06/13",63.71,63.71,62,62.291
"2014/06/16",62.451,62.98,61.841,62.53
"2014/06/17",62.55,63.681,62.5,63.3
"2014/06/18",63.741,63.741,62.42,62.92
"2014/06/19",63.771,65.03,62.75,64.99
"2014/06/20",65.191,66.481,65.111,66.441
"2014/06/23",66.5,67.39,65.96,66.06
"2014/06/24",66,66.151,64.221,64.441
"2014/06/25",64.511,64.99,63.5,64.581
"2014/06/26",64.67,64.67,62.92,63.89
"2014/06/27",63.8,65.09,63.26,65.011
"2014/06/30",65.761,66.191,65,66.181
"2014/07/01",66.84,67.661,66.691,67.151
"2014/07/02",67,67.06,66.161,66.6
"2014/07/03",67.331,67.5,66.761,67.361
"2014/07/07",67.541,67.791,66.581,66.911
"2014/07/08",66.89,67.25,64.75,65.67
