date,open,high,low,close
"2018/01/02",25.55,26.5,25.33,26.46
"2018/01/03",25.871,26.55,25.13,26.49
"2018/01/04",26.5,26.96,26.351,26.57
"2018/01/05",26.5,26.55,25.64,26.541
"2018/01/08",26.65,26.65,26.07,26.39
"2018/01/09",26.4,26.601,26.25,26.421
"2018/01/10",26.101,26.781,26,26.511
"2018/01/11",26.601,26.621,26.33,26.57
"2018/01/12",26.591,27.3,26.511,27
"2018/01/16",27,27.031,26.3,26.351
"2018/01/17",26.58,26.89,26.201,26.781
"2018/01/18",26.9,27.181,26.71,27
"2018/01/19",27.15,29.601,26.897,29.181
"2018/01/22",30.921,30.921,29.201,29.8
"2018/01/23",30.55,30.701,29.91,30.38
"2018/01/24",30.761,30.91,30.39,30.791
"2018/01/25",30.931,31,30,30.521
"2018/01/26",30.771,31.188,30.351,30.98
"2018/01/29",31.16,31.16,30.3,30.41
"2018/01/30",30.21,30.341,29.541,29.8
"2018/01/31",30.111,30.701,29.261,29.451
"2018/02/01",29.39,29.916,29.261,29.861
"2018/02/02",29.73,29.781,29.011,29.3
"2018/02/05",29,29.476,28.5,28.531
"2018/02/06",27.82,28.96,27.75,28.841
"2018/02/07",28.89,29.48,28.74,29.4
"2018/02/08",29.511,29.72,28.341,28.56
"2018/02/09",28.781,29.171,27.71,28.871
"2018/02/12",30.38,30.83,29.201,30.63
"2018/02/13",30.671,31.623,30.361,31.57
"2018/02/14",31.861,34.13,31.851,33.92
"2018/02/15",34.51,34.728,32.89,33.361
"2018/02/16",33.681,34.91,33.521,34.75
"2018/02/20",34.741,36.085,34.341,35.841
"2018/02/21",36.1,36.46,35.03,35.331
"2018/02/22",36.831,37.241,35.41,35.82
"2018/02/23",36.311,36.951,35.89,36.491
"2018/02/26",36.8,38.391,36.791,37.701
"2018/02/27",37.91,38.221,37.201,37.741
"2018/02/28",37.91,39.131,37.91,38.591
"2018/03/01",38.651,38.675,35.061,36.401
"2018/03/02",35.841,37.681,35.51,37.48
"2018/03/05",37.471,39,37.271,38.841
"2018/03/06",39.311,39.591,38.041,38.221
"2018/03/07",37.53,39.611,37.021,39.14
"2018/03/08",40.32,42.866,39.8,42.6
"2018/03/09",42.721,42.885,39.221,39.71
"2018/03/12",39.881,39.951,38.75,39.69
"2018/03/13",39.67,40.6,39.5,40.5
"2018/03/14",40.381,40.64,39.495,39.701
"2018/03/15",39.69,40.07,38.431,38.741
"2018/03/16",38.76,39.201,37.64,38.57
"2018/03/19",38.21,39.151,37.78,37.991
"2018/03/20",37.55,39.331,37.21,38.991
"2018/03/21",39.35,39.971,38.53,39.51
"2018/03/22",39.14,39.82,38.521,39.21
"2018/03/23",39.041,39.51,38.381,38.381
"2018/03/26",39,39.92,38.647,39.8
"2018/03/27",39.951,40.155,38.05,38.46
"2018/03/28",38.21,39.091,37.26,38.271
"2018/03/29",38.37,40.061,37.291,39.85
"2018/04/02",39.8,40.041,38.881,39.021
"2018/04/03",39.131,39.841,38.791,38.991
"2018/04/04",38.26,39.8,37.85,39.561
"2018/04/05",40,40.1,38.721,38.98
"2018/04/06",38.57,39.5,38.271,38.64
"2018/04/09",39.081,39.451,38.64,38.66
"2018/04/10",39.451,39.581,38.791,39.221
"2018/04/11",39.14,41.21,39.081,40.35
"2018/04/12",40.431,41.081,40.401,40.75
"2018/04/13",41.07,41.458,39.75,40.591
"2018/04/16",41.111,41.111,40.19,40.6
"2018/04/17",40.85,41.675,40.341,41.561
"2018/04/18",41.73,41.98,41.061,41.541
"2018/04/19",41.6,41.771,40.681,41.081
"2018/04/20",41,42.51,40.82,41.971
"2018/04/23",43.721,44.3,42.66,43.32
"2018/04/24",43.85,44.131,41.26,41.96
"2018/04/25",42,42.277,40.241,42
"2018/04/26",42.541,43.69,42,42.78
"2018/04/27",43,43.701,41.425,41.741
"2018/04/30",42.041,43.3,42.01,42.811
"2018/05/01",42.8,43.491,42.64,43.44
"2018/05/02",43.55,44.991,43.55,44.581
"2018/05/03",44.5,45.64,43.971,45.541
"2018/05/04",45.55,46.37,44.91,45.76
"2018/05/07",46.041,47.901,46,47.05
"2018/05/08",47.46,47.901,46.811,47.75
"2018/05/09",48,49.57,47.611,49.28
"2018/05/10",49.76,50.831,48.881,50.401
"2018/05/11",50.221,51,49.561,50.5
"2018/05/14",50.62,50.798,47.64,48.151
"2018/05/15",47.85,49.091,47.131,48.521
"2018/05/16",48.51,49.721,48,48.991
"2018/05/17",48.901,49.826,48.69,49.23
"2018/05/18",49.41,50.14,49.326,49.721
"2018/05/21",50.12,50.861,49.89,50.541
"2018/05/22",50.591,50.721,48.14,48.51
"2018/05/23",48.46,49.69,48.12,49.521
"2018/05/24",49.541,51.041,49.264,50.681
"2018/05/25",50.85,52.28,50.737,51.881
"2018/05/29",52.12,54.991,52,53.66
"2018/05/30",54.42,55.48,53.55,55.361
