date,open,high,low,close
"2020/01/02",53.271,53.96,53.23,53.951
"2020/01/03",52.991,54.05,52.951,53.76
"2020/01/06",53.361,54.201,53.35,54.041
"2020/01/07",53.89,54.331,53.611,54.16
"2020/01/08",53.94,54.6,53.701,54.131
"2020/01/09",54.25,54.8,54.03,54.381
"2020/01/10",54.55,54.651,54.221,54.451
"2020/01/13",54.46,54.791,54.361,54.581
"2020/01/14",54.521,55.181,54.5,54.881
"2020/01/15",54.881,55.181,54.681,54.76
"2020/01/16",54.98,55.451,54.931,55.431
"2020/01/17",55.631,55.69,54.85,55.131
"2020/01/21",54.98,55.361,54.92,55.221
"2020/01/22",55.41,55.651,54.6,54.721
"2020/01/23",54.41,55,54.28,54.98
"2020/01/24",55.061,55.201,53.881,54.07
"2020/01/27",53.181,53.521,52.631,52.69
"2020/01/28",52.861,53.681,52.66,53.46
"2020/01/29",53.78,53.94,53.181,53.201
"2020/01/30",52.82,53.331,52.28,53.311
"2020/01/31",53.341,53.491,52.291,52.451
"2020/02/03",52.73,53.41,52.69,53.091
"2020/02/04",53.75,54.561,53.75,54.041
"2020/02/05",54.67,55.03,54.581,54.741
"2020/02/06",55,55.35,54.71,54.71
"2020/02/07",54.271,54.971,54.19,54.721
"2020/02/10",54.721,55.07,54.451,54.991
"2020/02/11",55.17,55.541,55.111,55.151
"2020/02/12",55.55,55.89,55.25,55.73
"2020/02/13",55.311,55.64,55.01,55.311
"2020/02/14",55.381,55.841,55.241,55.471
"2020/02/18",55.42,55.76,55.1,55.451
"2020/02/19",55.591,55.771,55.39,55.44
"2020/02/20",55.401,55.87,54.881,55.51
"2020/02/21",55.081,55.341,54.44,54.681
"2020/02/24",53.1,53.53,52.51,52.651
"2020/02/25",53.07,53.221,50.8,50.96
"2020/02/26",51.311,53.14,51.241,52.05
"2020/02/27",50.881,53.46,50.76,50.78
"2020/02/28",49.241,49.89,47.901,49.46
"2020/03/02",49.73,50.901,48.67,50.901
"2020/03/03",50.62,51.841,48.25,48.85
"2020/03/04",49.85,50.591,48.831,50.541
"2020/03/05",49.23,49.681,47.75,48
"2020/03/06",46.57,48.3,46.46,47.37
"2020/03/09",44.951,47.57,44.66,46.01
"2020/03/10",47.451,48.91,46.16,48.581
"2020/03/11",46.811,47.48,44.271,44.721
"2020/03/12",41.12,43.401,39.71,39.8
"2020/03/13",44.451,47.991,43.42,47.931
"2020/03/16",42.51,47.57,41.26,42.721
"2020/03/17",43.62,47.71,41.66,46.861
"2020/03/18",43.67,47.8,42.561,47.271
"2020/03/19",46.471,47.971,44.87,45.07
"2020/03/20",45.021,46.701,44.51,45.651
"2020/03/23",45,46.491,43.89,44.19
"2020/03/24",45.331,48.01,45.3,47.841
"2020/03/25",47.1,48.741,45.48,45.94
"2020/03/26",46.381,50.741,46.19,50.48
"2020/03/27",49.091,51.6,48.561,49.831
"2020/03/30",50.401,51.591,49.591,50.361
"2020/03/31",51.12,51.181,48,48.331
"2020/04/01",46.55,48.991,46.041,48.71
"2020/04/02",48.181,49.89,48.1,49.8
"2020/04/03",49.3,50.05,48.951,49.401
"2020/04/06",50.401,51.881,50.35,51.491
"2020/04/07",52.151,52.331,50.71,50.76
"2020/04/08",50.98,52.681,50.881,52.131
"2020/04/09",52.241,53.62,52.03,53.181
"2020/04/13",52.701,53.14,52.401,52.971
"2020/04/14",53.71,54.1,53.451,54
"2020/04/15",53.21,53.451,52.811,53.16
"2020/04/16",53.151,53.87,53.07,53.701
"2020/04/17",54.521,54.721,53.971,54.62
"2020/04/20",54.05,54.581,53.8,53.91
"2020/04/21",53.23,53.341,51.12,51.311
"2020/04/22",52.03,52.581,51.771,52.271
"2020/04/23",52.23,52.991,51.451,51.971
"2020/04/24",52.41,53.05,51.96,53.01
"2020/04/27",53.361,53.64,53.061,53.37
"2020/04/28",53.901,54.151,53.131,53.201
"2020/04/29",53.951,54.28,53.69,53.881
