date,open,high,low,close
"2013/01/02",54.521,55.901,50.491,51.23
"2013/01/03",51.82,51.82,48.85,49.35
"2013/01/04",49.841,50.151,48.01,48.25
"2013/01/07",48.111,49,47,47.23
"2013/01/08",47.6,48.85,47,47.631
"2013/01/09",48.28,50.3,48.28,49.98
"2013/01/10",50.181,51.67,49.331,50.6
"2013/01/11",50.66,53.111,50.66,52.811
"2013/01/14",52.53,53.5,52,52.35
"2013/01/15",51.98,54.23,51.861,54.07
"2013/01/16",54.42,55.8,53.14,54.75
"2013/01/17",54.96,54.96,53.51,54.491
"2013/01/18",56.12,56.69,55,55.361
"2013/01/22",55.39,55.78,54.37,55.25
"2013/01/23",54.401,56.21,54.291,55.901
"2013/01/24",55.721,56.25,55.3,56.021
"2013/01/25",56.021,56.901,55.5,56.721
"2013/01/28",56.611,57.651,54.92,57.44
"2013/01/29",57.221,57.271,55.78,56.82
"2013/01/30",56.75,56.75,53.5,53.931
"2013/01/31",55.23,55.78,53.55,55.361
"2013/02/01",55.69,56.1,53.91,54.41
"2013/02/04",55.221,55.221,53.03,53.35
"2013/02/05",53.41,54.21,52.85,53.831
"2013/02/06",53.8,54.41,53.041,54.14
"2013/02/07",54.03,54.37,53.401,54.16
"2013/02/08",54.061,55.07,53.87,55.061
"2013/02/11",55.05,55.451,54.741,54.971
"2013/02/12",55,56.94,54.69,56.71
"2013/02/13",56.5,56.66,54.841,55.16
"2013/02/14",55,56,54.8,55.73
"2013/02/15",56.081,56.39,55.01,55.201
"2013/02/19",55.591,56.451,55.32,55.5
"2013/02/20",55.651,55.94,54.591,54.8
"2013/02/21",54.901,55.14,53.78,54.62
"2013/02/22",55.541,57.471,54.951,57.291
"2013/02/25",57.87,58.151,56.041,57.23
"2013/02/26",57,57.42,56.021,56.991
"2013/02/27",57.291,59.8,55.85,57.92
"2013/02/28",57.96,61.151,57,61.131
"2013/03/01",58.55,62.19,57.42,58.55
"2013/03/04",56.26,57.451,54.861,56
"2013/03/05",56.111,57.05,55.62,56.841
"2013/03/06",56.96,57.361,56.1,56.381
