date,open,high,low,close
"2020/01/02",266.921,271.981,265.65,271.8
"2020/01/03",269.49,273.68,268.11,272.71
"2020/01/06",267.9,278.201,267,278.09
"2020/01/07",278.4,282.601,276.79,279.49
"2020/01/08",280.541,286.641,279.61,283.12
"2020/01/09",285,287.83,283.3,285.291
"2020/01/10",286.5,288.261,284.191,285.58
"2020/01/13",289,297.09,287.59,295.43
"2020/01/14",295.53,297.53,285.55,286.511
"2020/01/15",288.631,292.5,287.31,289.09
"2020/01/16",290.721,294.4,288.68,294.31
"2020/01/17",295.78,296.516,292.366,296.24
"2020/01/21",296.201,301.21,295.542,299.78
"2020/01/22",303.141,306.37,300.74,303.28
"2020/01/23",318.261,324,314.02,314.851
"2020/01/24",316.33,317.87,311.71,314.81
"2020/01/27",307.46,314.451,307.46,312.53
"2020/01/28",312.981,319.9,311.006,318.59
"2020/01/29",320.441,324.75,318.4,322.05
"2020/01/30",320.8,325.761,318,325.62
"2020/01/31",323.451,323.999,317.87,318.161
"2020/02/03",321.12,325.381,318.18,323.471
"2020/02/04",328.201,337.99,327.09,337.74
"2020/02/05",341.62,342,318.721,322.5
"2020/02/06",301.08,306.99,288.101,290.71
"2020/02/07",290.261,299.731,290.261,293.53
"2020/02/10",293.53,300,292.5,297.99
"2020/02/11",299.421,300.61,292.071,294.761
"2020/02/12",295.701,296.606,288.28,296.36
"2020/02/13",294.36,306.61,294.36,303.291
"2020/02/14",304.721,315.74,304.721,314.43
"2020/02/18",314.27,318.511,311.641,318.161
"2020/02/19",320.71,325.99,320.511,324.481
"2020/02/20",324.891,325.171,305.221,310.33
"2020/02/21",308.911,309.511,299.221,300.391
"2020/02/24",285.4,299,285.201,295.77
"2020/02/25",299.75,301.631,287.851,288.911
"2020/02/26",288.171,300.52,287.68,291.921
"2020/02/27",280.221,293.571,277.671,281.36
"2020/02/28",270.99,283.601,264.511,282.65
"2020/03/02",285.981,292.33,276.12,291.96
"2020/03/03",293.631,297.641,274.03,282.3
"2020/03/04",287.46,293.696,282.435,293.691
"2020/03/05",288.041,295.395,281.03,282.261
"2020/03/06",273.99,274.971,257.33,267.71
"2020/03/09",240.03,255.855,235.706,240.84
"2020/03/10",246.441,248.53,232.5,239.48
"2020/03/11",234.53,238.42,216.95,220.68
"2020/03/12",189.39,219.631,185.37,191.98
"2020/03/13",205.631,226.65,196.586,226.62
"2020/03/16",196.351,208.831,184.39,196.271
"2020/03/17",200.131,216.851,190.491,216.75
"2020/03/18",199.211,204.361,186.991,192.39
"2020/03/19",193.491,203.831,182.081,197.551
"2020/03/20",203.26,218.441,190.021,192.81
"2020/03/23",191.101,191.991,173.646,178.941
"2020/03/24",190.45,201.991,184.191,201.62
"2020/03/25",202.92,218.95,192.631,210.65
"2020/03/26",204.25,230.381,202.14,229.211
"2020/03/27",220.321,223.971,207.465,208.941
"2020/03/30",209.741,219,208.941,213.12
"2020/03/31",210.01,212.334,198.631,202.01
"2020/04/01",193,198.439,183.295,187.441
"2020/04/02",183.7,185.991,173.071,181.26
"2020/04/03",180.821,181.991,163.42,165.01
"2020/04/06",175.051,183.79,171.01,181.851
"2020/04/07",194.991,204.331,185.245,186.021
"2020/04/08",190.31,205.178,189.29,202.581
"2020/04/09",209.301,230.771,207.081,221.991
"2020/04/13",221.051,221.98,210.04,216.351
"2020/04/14",229,233.321,222.28,228.51
"2020/04/15",221.211,226.441,219.92,226.4
"2020/04/16",226.301,229.5,206.01,206.711
"2020/04/17",216.571,227.545,213.01,224.991
"2020/04/20",221.601,229.124,219.131,222.361
"2020/04/21",216.42,217.4,205.06,208.2
"2020/04/22",214.26,219.411,212.9,217.741
"2020/04/23",205.611,217.611,205.094,211.67
"2020/04/24",214.021,214.721,207.301,211.801
"2020/04/27",218.381,227.06,216.131,226.101
"2020/04/28",235.221,241,230.821,236.691
"2020/04/29",240.51,272.86,238.73,270
"2020/04/30",264.541,271.046,260.4,261.02
"2020/05/01",253,255,235.45,241.661
"2020/05/04",236.98,249.521,233.5,248.12
"2020/05/05",253.31,261.701,251.111,256.981
"2020/05/06",259.441,260.762,253.215,255.04
"2020/05/07",261.641,274.99,261.641,268.821
"2020/05/08",273.62,275.943,266.691,272.03
"2020/05/11",269.65,280.21,268.49,274.291
"2020/05/12",275.141,276.05,263.11,263.451
"2020/05/13",262.351,263.731,240.161,243.31
"2020/05/14",239.941,252.95,233.271,252.81
"2020/05/15",252.331,264.56,252.331,261.68
"2020/05/18",274,287.05,271.256,283.9
"2020/05/19",285.041,290.86,279.671,279.691
"2020/05/20",276.011,280.941,268.61,273.471
"2020/05/21",275,277.74,268.261,274.28
"2020/05/22",274,274.68,267.071,269.351
"2020/05/26",280,283.981,275.55,280.3
"2020/05/27",283.101,287.481,272.25,287.06
"2020/05/28",287,298.5,285.041,287.21
"2020/05/29",288,297.65,286.411,297.231
"2020/06/01",296.701,309.28,294.602,305.61
"2020/06/02",305.601,308.33,299.05,306.84
"2020/06/03",308.791,310.451,305.36,306.981
"2020/06/04",303.78,306.65,298.196,303.171
"2020/06/05",310.441,330.61,308.78,329.78
"2020/06/08",328.941,333.4,323.99,331.02
"2020/06/09",325,331.451,324.02,327.601
"2020/06/10",328.25,336.86,319.071,331.5
"2020/06/11",313.78,315,294.641,295.68
"2020/06/12",308.631,315.911,296.27,302.8
"2020/06/15",294.601,311.24,291.291,307.721
"2020/06/16",319.041,321.274,306.3,312.641
"2020/06/17",317.481,317.481,308.661,309.02
"2020/06/18",310.84,319.93,306.911,316.3
"2020/06/19",320.65,324.31,314.421,318.161
"2020/06/22",318.971,325.266,318.971,322.661
"2020/06/23",326.31,331.3,324,329.641
"2020/06/24",326.24,331.93,310.24,312.571
"2020/06/25",310.891,318.93,307.679,317.041
"2020/06/26",316.5,318.951,304.49,306.37
"2020/06/29",307,309.46,293.36,300.36
"2020/06/30",301.93,310.471,299.011,309.731
"2020/07/01",311.201,323.161,310.088,320.261
"2020/07/02",327.78,328.55,320.36,321.5
"2020/07/06",326.171,329.421,321.071,321.411
"2020/07/07",319.701,326.291,313.12,313.731
"2020/07/08",314.99,320.166,313.12,319.141
"2020/07/09",322.601,324.74,309.49,314.011
"2020/07/10",314,315.231,307.011,309
"2020/07/13",312.21,312.65,290.08,290.25
"2020/07/14",288.78,289.571,276.59,286.441
"2020/07/15",291.46,297.62,289,294.191
"2020/07/16",291.291,293.24,285.9,290.3
"2020/07/17",292.221,296.93,286.52,295.071
"2020/07/20",296.27,303.541,292.731,302.8
"2020/07/21",305.451,305.851,292.46,293.9
"2020/07/22",293.71,301.93,293.71,298.06
"2020/07/23",298.011,306.937,287.84,291.201
"2020/07/24",287.12,294.381,282.041,286.971
"2020/07/27",289.011,291.8,285.921,290.291
"2020/07/28",288.661,292.391,286.55,286.791
"2020/07/29",293,295.06,290,294.421
"2020/07/30",288.571,289.08,278.03,286.53
"2020/07/31",288.571,290,277.231,284.37
"2020/08/03",286.131,290.321,283.24,288.08
"2020/08/04",286.83,288.731,281.451,285.5
"2020/08/05",284.96,304.671,283.191,302.05
"2020/08/06",296.671,302.49,289.3,298.661
"2020/08/07",297.61,301.261,292.691,296.661
"2020/08/10",295.171,295.171,282,289.441
"2020/08/11",289.21,294.81,282.631,285.49
"2020/08/12",286.941,290.291,285.391,287.701
"2020/08/13",288.06,305.86,288.06,301.881
"2020/08/14",304.171,309.33,300.641,303.071
"2020/08/17",306.3,307.326,298.791,299.05
"2020/08/18",299.821,301.06,291.131,292.31
"2020/08/19",293,295.139,287.31,293
"2020/08/20",290.03,297.49,290.03,293.43
"2020/08/21",292.691,292.691,286.441,287.21
"2020/08/24",289.65,290,283.08,284.43
"2020/08/25",284.34,287.981,283.37,287.27
"2020/08/26",289.571,300.06,289.291,295.84
"2020/08/27",295.671,298.53,291.08,293
"2020/08/28",294.941,301.65,294.75,299.84
"2020/08/31",299.65,305.717,299.43,299.46
"2020/09/01",302.951,311.891,300.791,307.52
"2020/09/02",311.481,311.481,301.476,305.3
"2020/09/03",300.65,300.65,280.06,284
"2020/09/04",280.041,285.631,265.15,270.75
"2020/09/08",259.101,280.21,257.87,272.511
"2020/09/09",279.53,286.041,278.33,280.171
"2020/09/10",282.52,289,273.77,275.49
"2020/09/11",278.641,279,263.351,265.49
"2020/09/14",269.041,274.52,268.726,272.641
"2020/09/15",275.391,280.715,273.74,280.09
"2020/09/16",285.74,291.721,280.429,280.55
"2020/09/17",271.981,279.101,270.761,278.93
