date,open,high,low,close
"2009/01/02",35.651,37.131,35.35,37.05
"2009/01/05",36.6,36.901,36.05,36.451
"2009/01/06",36.901,37.71,36.35,37.151
"2009/01/07",36.5,36.681,35.12,35.55
"2009/01/08",35.37,35.591,34.491,35.28
"2009/01/09",35.55,35.91,33.51,35
"2009/01/12",34.991,35.521,34.331,34.861
"2009/01/13",34.96,35.8,34.51,35.14
"2009/01/14",34.28,34.87,33.591,33.76
"2009/01/15",33.53,35.181,33.291,34.8
"2009/01/16",35.35,36.381,34.91,36.021
"2009/01/20",35.71,36.1,34.091,34.14
"2009/01/21",34.841,35.87,34.67,35.87
"2009/01/22",34.6,36.78,34.6,36.061
"2009/01/23",35.5,37.21,35.44,36.57
"2009/01/26",36.26,37.021,35.861,36.581
"2009/01/27",36.681,36.82,35.23,35.631
"2009/01/28",36.081,37.07,36,36.82
"2009/01/29",34.401,35.181,33.771,35.131
"2009/01/30",34.841,35.061,34.331,34.55
"2009/02/02",34.16,35.591,33.82,35.291
"2009/02/03",34.67,35.061,33.37,34.221
"2009/02/04",34.3,34.951,33.681,33.831
"2009/02/05",33.57,35.431,33.061,35.041
"2009/02/06",35.26,36.631,34.62,36.32
"2009/02/09",36.241,36.901,36,36.651
"2009/02/10",36.26,36.651,34.69,35.021
"2009/02/11",34.791,35.561,33.92,34.611
"2009/02/12",34.25,35.8,34.131,35.541
"2009/02/13",35.35,36.37,35.35,35.681
"2009/02/17",35.201,35.541,34.1,34.721
"2009/02/18",35,35.181,34,34.32
"2009/02/19",34.701,35.091,33.78,33.841
"2009/02/20",33.51,34.561,33.431,34.07
"2009/02/23",33.831,34.25,32.67,32.78
"2009/02/24",33.17,34.71,33.061,34.491
"2009/02/25",34.091,34.73,33.111,33.931
"2009/02/26",34.26,35.37,33.57,33.66
"2009/02/27",33.39,34.21,33.32,33.431
"2009/03/02",32.931,33.78,32.64,32.791
"2009/03/03",33.451,34.131,32.92,33.451
"2009/03/04",34.131,35.26,33.881,34.741
"2009/03/05",34.55,35.451,34.5,34.631
"2009/03/06",34.741,35.07,32.67,33.631
"2009/03/09",33.3,34.581,32.831,33
"2009/03/10",33.5,35.39,33.37,35.361
"2009/03/11",35.41,35.741,34.55,35.35
"2009/03/12",35.451,36.971,35.331,36.791
"2009/03/13",36.631,36.831,35.92,36.75
"2009/03/16",36.881,36.96,35.741,35.841
"2009/03/17",36.3,37.361,35.991,37.311
"2009/03/18",36.75,38.6,36.73,37.951
"2009/03/19",38.061,38.28,37.41,37.64
"2009/03/20",37.651,38.05,36.651,37.061
"2009/03/23",37.841,39.03,37.5,38.82
"2009/03/24",38.44,38.581,37.76,38.03
"2009/03/25",38.131,38.98,37.37,38.5
"2009/03/26",38.78,39.701,38.71,39.541
"2009/03/27",39.081,39.42,38.611,38.94
"2009/03/30",38.131,38.57,37.32,37.87
"2009/03/31",38.491,39.62,38.241,38.91
"2009/04/01",38.271,39.76,38.061,39.681
