date,open,high,low,close
"2020/01/02",117.261,117.401,114.761,115.96
"2020/01/03",114.06,115.24,112.06,112.34
"2020/01/06",110.831,112.981,109.401,111.64
"2020/01/07",111.28,112.75,110.731,111.231
"2020/01/08",111.541,113.77,111.42,112.92
"2020/01/09",113.931,114,110.791,111.96
"2020/01/10",113.5,115.85,113,113.42
"2020/01/13",113.861,117.5,113.861,115.74
"2020/01/14",115.831,116.57,114.121,115.911
"2020/01/15",115.361,115.411,112.06,112.5
"2020/01/16",113.42,114.2,112.82,113.801
"2020/01/17",114.59,115.57,113.59,114.74
"2020/01/21",113.971,115.75,113.92,114.871
"2020/01/22",115.71,118.231,115.551,116.331
"2020/01/23",116.471,118.78,115.651,118.681
"2020/01/24",115.88,117.395,112.28,113.39
"2020/01/27",111.1,111.681,108.53,109.981
"2020/01/28",110.92,114.07,110.236,113.56
"2020/01/29",114.03,114.7,111.431,112.57
"2020/01/30",121.611,122.365,109.371,111.791
"2020/01/31",110.78,111.081,105.121,105.861
"2020/02/03",106.161,108.42,105.931,107.56
"2020/02/04",110.051,110.5,107.611,107.89
"2020/02/05",109.6,111.35,108.721,111.32
"2020/02/06",111.401,111.77,109.27,109.77
"2020/02/07",108.261,108.511,104.861,105.151
"2020/02/10",103.75,105.361,102.88,105.35
"2020/02/11",106.45,110.051,106.45,108.59
"2020/02/12",110,112.27,109.225,111.731
"2020/02/13",110.151,111.361,108.621,109.17
"2020/02/14",109.96,110.361,105.236,106.02
"2020/02/18",103.691,104.861,102.511,103.231
"2020/02/19",103.721,106.38,103.6,104.24
"2020/02/20",103.931,104,99.52,101.56
"2020/02/21",100.801,101.2,97.75,98.191
"2020/02/24",93.57,97.481,93.31,96.34
"2020/02/25",96.931,97.77,95.441,96.6
"2020/02/26",96.831,98.541,95.81,96.13
"2020/02/27",93.24,97.2,93.1,94.801
"2020/02/28",91.81,100.89,91.181,100.581
"2020/03/02",101.09,101.78,96.361,100.441
"2020/03/03",103,104.931,97.261,98.301
"2020/03/04",100.2,102.78,99.92,102.38
"2020/03/05",99.96,100.75,96.57,97.301
"2020/03/06",94.52,95.92,92.331,94.361
"2020/03/09",87.691,91.931,87.041,89.95
"2020/03/10",92.471,96.13,90.431,96
"2020/03/11",93.95,95.88,88.661,89.27
"2020/03/12",83.121,85.77,76.77,76.82
"2020/03/13",82.401,85.661,77.371,83.801
"2020/03/16",72.901,78.191,70.7,70.7
"2020/03/17",72.38,80.78,70.831,79.88
"2020/03/18",73.471,78.111,70.291,73.02
"2020/03/19",72.261,75.59,70,73.85
"2020/03/20",75.371,78.53,70.651,70.85
"2020/03/23",71.24,72.931,67.541,69.361
"2020/03/24",73.411,79.011,71.34,78.791
"2020/03/25",79.03,82.365,75.92,77.74
"2020/03/26",79.39,83.801,76.89,83.49
"2020/03/27",80.46,83.941,78.816,80.691
"2020/03/30",81.291,82.651,79.611,81.481
"2020/03/31",81.5,85.057,80.13,80.63
"2020/04/01",77.84,79.2,73.634,74.581
"2020/04/02",73.981,76.971,73.331,76.661
"2020/04/03",76.28,76.64,72.931,73.441
"2020/04/06",77.051,82.971,75.411,82.611
"2020/04/07",86.041,86.27,81.481,81.85
"2020/04/08",82.59,88.09,81.57,87.02
"2020/04/09",88.261,88.56,82.02,83.111
"2020/04/13",82.88,85.261,81.67,84.731
"2020/04/14",87.02,90.1,85.551,89.831
"2020/04/15",87.481,87.63,83.911,84.56
"2020/04/16",85.74,87.25,84.64,86.82
"2020/04/17",89.151,89.46,84.971,86.27
"2020/04/20",85,86.14,84.041,84.77
"2020/04/21",84.661,84.661,80.801,81.181
"2020/04/22",84,86.941,82.32,86.581
"2020/04/23",86.581,87.52,85.526,85.95
"2020/04/24",86.611,89.971,85.63,89.89
"2020/04/27",90.931,92.346,90.255,91.28
"2020/04/28",92.691,95.443,92.343,93.14
"2020/04/29",96.28,99.661,95.057,99.39
"2020/04/30",98.181,99.5,96.64,98.03
"2020/05/01",95.481,96.661,92.725,93.151
"2020/05/04",93,94.401,91.75,94.14
"2020/05/05",96.27,99.49,96.24,97.71
"2020/05/06",99.192,101.606,97.511,98.301
"2020/05/07",101.14,103.259,99.27,100.82
"2020/05/08",107.92,108.78,101.033,103
"2020/05/11",101.74,104.2,100.57,101.901
"2020/05/12",102.75,105.38,100.651,100.67
"2020/05/13",100.95,101.121,95.84,97.331
"2020/05/14",95.84,98.861,93.625,98.81
"2020/05/15",94.03,96.45,93.31,94.71
"2020/05/18",97.709,99.556,96.74,99.041
"2020/05/19",98.74,101.081,98.221,98.331
"2020/05/20",100.1,103.401,99.77,103.331
"2020/05/21",103.121,104.471,98.801,98.971
"2020/05/22",99.75,101.59,98.07,101.541
"2020/05/26",104.53,104.89,102.92,103.21
"2020/05/27",103.831,105.85,101.27,105.681
"2020/05/28",104.85,105.395,100.111,100.77
"2020/05/29",101.5,105.34,101.151,104.74
"2020/06/01",104.74,106.14,103.794,104.581
"2020/06/02",106,109.81,104.687,109.681
"2020/06/03",110.75,115.2,110.7,112.99
"2020/06/04",112.82,114.276,112.27,113.401
"2020/06/05",116.45,118.161,114.931,115.67
"2020/06/08",116.081,118.941,115.231,117.56
"2020/06/09",115.861,116.431,113.731,115.53
"2020/06/10",116.981,117.17,114.06,114.871
"2020/06/11",110.71,112.411,106.941,107.39
"2020/06/12",110.801,111.691,106.63,108.901
"2020/06/15",106.56,110.195,105.611,109.721
"2020/06/16",114.77,116.21,111.1,112.581
"2020/06/17",113.75,114.541,112.39,112.64
"2020/06/18",112.5,113.03,110.621,111.25
"2020/06/19",113,113.88,110.56,111.801
"2020/06/22",111.71,112.809,109.905,112.25
"2020/06/23",113.5,113.82,111.84,111.92
"2020/06/24",110.35,112.085,107.5,108.52
"2020/06/25",108.63,109.13,106.52,108.971
"2020/06/26",109.041,109.38,106.691,107.371
"2020/06/29",107.24,107.7,104.57,107.431
"2020/06/30",107.92,111.03,107.181,110.53
"2020/07/01",110.39,110.691,108.06,108.261
"2020/07/02",109.151,111.551,109.151,110.301
"2020/07/06",113.24,114.301,112.85,113.63
"2020/07/07",113.801,115.49,112.831,113.02
"2020/07/08",113.89,114.21,111.301,113.03
"2020/07/09",113,113.59,110.471,113.111
"2020/07/10",113.27,113.581,111.111,112.011
"2020/07/13",113.12,116.371,110.681,110.89
"2020/07/14",110.45,112.871,107.691,112.621
"2020/07/15",113.301,113.551,111.051,112.84
"2020/07/16",111.931,112.5,110.28,111.681
"2020/07/17",112.761,114.57,112.331,113.981
"2020/07/20",114.31,116.85,113.085,116.39
"2020/07/21",117.56,118.38,115.811,116.74
"2020/07/22",117.2,118.611,116.129,118.431
"2020/07/23",118.861,121.541,117.691,118.151
"2020/07/24",117.331,117.49,111.31,111.92
"2020/07/27",113.911,115.871,113,115.151
"2020/07/28",113.64,114.88,112.651,113.39
"2020/07/29",114.551,116.011,113.721,115.28
"2020/07/30",121.111,129.92,121.111,128.67
"2020/07/31",130,130.861,124.89,128.15
"2020/08/03",129.021,134.4,129.021,133.325
"2020/08/04",132.441,132.991,129.31,131.25
"2020/08/05",131.301,133.631,130.5,133.62
"2020/08/06",133.03,136.058,133.03,135.23
"2020/08/07",135.4,135.75,128.39,130.971
"2020/08/10",130.59,131.161,127.181,129.471
"2020/08/11",129.461,130.54,127.161,127.621
"2020/08/12",128.89,131.831,128.211,131.43
"2020/08/13",132.03,133.06,130.146,132
"2020/08/14",133,133.241,131.51,131.68
"2020/08/17",131.4,135.301,131.31,133.81
"2020/08/18",134.59,135.146,131.17,132.611
"2020/08/19",132.321,134.411,132.131,132.461
"2020/08/20",130.631,132.344,130.51,130.721
"2020/08/21",131,131.051,129.45,130.67
"2020/08/24",132.15,132.78,130.81,131.941
"2020/08/25",132.59,133.131,130.441,131.971
"2020/08/26",131.9,132.741,131.081,131.51
"2020/08/27",131.471,131.68,126.371,127.14
"2020/08/28",127.99,129.521,127.172,129.301
"2020/08/31",128.64,129.39,127.411,128.271
"2020/09/01",129.071,131.79,128.275,131.48
"2020/09/02",132.67,135.89,131.25,134.67
"2020/09/03",131.81,132.28,120.981,121.441
"2020/09/04",120.5,122.64,114.611,118.89
"2020/09/08",114.21,117.67,112.03,114.111
"2020/09/09",123.96,125.78,121.145,122.71
"2020/09/10",124.051,126.46,120.5,121.46
"2020/09/11",123.59,124.411,120.731,122.96
"2020/09/14",125.24,125.746,122.06,122.84
"2020/09/15",125.77,130.555,125.111,129.991
"2020/09/16",131,131.81,128.736,128.831
"2020/09/17",125.2,131.191,125.161,130.301
"2020/09/18",130.81,131.241,126.28,128.021
"2020/09/21",126.691,128.62,124.371,127.551
"2020/09/22",128.831,131.411,125.581,131.211
"2020/09/23",130.26,130.9,125.401,125.77
"2020/09/24",125.261,128.39,124.361,124.99
"2020/09/25",124.931,126.331,123.081,125.63
"2020/09/28",128.04,128.721,126.581,128.43
"2020/09/29",128.241,132.62,128.14,130.771
"2020/09/30",130.53,131.271,128.021,129.01
"2020/10/01",132.086,135.211,131.368,135.09
"2020/10/02",131.5,133.48,130.51,130.571
"2020/10/05",132.37,135.381,132.351,135.301
"2020/10/06",135.411,135.631,130.489,131.081
"2020/10/07",133.851,135.131,133.506,134.64
"2020/10/08",136.101,137.34,134.301,135.411
"2020/10/09",137.98,140.691,136.14,137.87
"2020/10/12",139.4,139.995,136.769,137.76
"2020/10/13",138,138.851,134.26,135.17
"2020/10/14",134.98,136.34,133.971,135.15
"2020/10/15",132.411,136.241,131.111,135.961
