date,open,high,low,close
"2014/01/02",18.271,18.271,17.611,17.841
"2014/01/03",17.73,18,17.521,17.98
"2014/01/06",18,18,17.25,17.451
"2014/01/07",17.451,18.16,17.261,18.121
"2014/01/08",18.181,18.96,17.771,18.941
"2014/01/09",18.941,19,18.15,18.8
"2014/01/10",18.74,18.9,18.32,18.841
"2014/01/13",18.88,19,18.341,18.421
"2014/01/14",18.57,18.941,18.281,18.73
"2014/01/15",18.671,19.25,18.671,19.22
"2014/01/16",19.25,19.73,18.65,19.031
"2014/01/17",18.951,19.25,18.48,18.66
"2014/01/21",18.75,19.021,18.38,18.9
"2014/01/22",18.97,19.371,18.851,19.191
"2014/01/23",19.14,19.5,18.681,19.031
"2014/01/24",18.931,18.931,17.451,18.041
"2014/01/27",18.07,18.191,17.5,17.921
"2014/01/28",17.871,18.621,17.861,18.38
"2014/01/29",18.261,18.351,17.781,18.011
"2014/01/30",18.05,18.83,18.031,18.521
"2014/01/31",18.22,18.431,18.031,18.25
"2014/02/03",18.16,18.291,17.431,17.81
"2014/02/04",17.701,18.181,17.531,17.791
"2014/02/05",17.66,18.4,17.39,17.64
"2014/02/06",17.64,18.21,17.421,18.121
"2014/02/07",17.75,20.5,17.75,20.261
"2014/02/10",20.261,21.39,20.21,21.111
"2014/02/11",21.24,21.591,20.49,20.88
"2014/02/12",20.98,21.5,20.511,21.351
"2014/02/13",21.291,22.38,21.23,21.9
"2014/02/14",21.921,21.921,20.71,21.74
"2014/02/18",21.791,22.41,21.47,22.291
"2014/02/19",22.171,22.261,21.761,21.88
"2014/02/20",21.97,23.521,21.63,22.8
"2014/02/21",22.951,22.951,22.361,22.56
"2014/02/24",22.66,22.66,21.75,21.91
"2014/02/25",21.97,22.15,21.5,21.861
"2014/02/26",21.951,22.191,21.351,22.121
"2014/02/27",22.05,23.65,21.9,23.521
"2014/02/28",23.58,23.611,21.38,21.65
"2014/03/03",21.431,22.23,20.15,22.08
"2014/03/04",22.181,22.291,20.97,21.681
"2014/03/05",21.851,23.41,21.851,22.05
"2014/03/06",21.851,23.05,21.5,21.851
"2014/03/07",21.941,22.291,21.5,21.531
"2014/03/10",21.511,22.22,21.5,22.111
"2014/03/11",22.121,22.13,21.191,21.291
"2014/03/12",21,21.31,20.451,20.9
"2014/03/13",21.06,21.06,19.8,20.49
"2014/03/14",20.271,20.871,20.14,20.601
"2014/03/17",21.75,21.75,21.011,21.13
"2014/03/18",20.341,21.8,20.341,21.791
"2014/03/19",21.91,22.101,21.191,21.83
"2014/03/20",21.73,21.791,21.22,21.57
"2014/03/21",21.781,21.921,21.261,21.48
"2014/03/24",21.49,21.49,19.941,21.091
"2014/03/25",21.23,21.83,20.771,20.91
"2014/03/26",21.091,21.181,18.861,19.031
"2014/03/27",19.23,19.81,17.88,17.91
"2014/03/28",17.931,18.371,17.541,17.91
"2014/03/31",18.08,18.5,17.8,18.101
"2014/04/01",18.261,18.871,17.951,18.41
"2014/04/02",18.521,18.611,17.99,18.41
"2014/04/03",18.38,18.541,17.861,18
"2014/04/04",18.25,18.3,17.201,17.531
"2014/04/07",17.33,17.33,15.79,16.441
"2014/04/08",17,17.4,16.31,16.88
"2014/04/09",16.97,18.25,16.531,17.791
"2014/04/10",17.75,17.75,16.15,16.22
"2014/04/11",16.031,16.271,15.421,15.65
"2014/04/14",15.86,16.021,15.021,15.771
"2014/04/15",15.811,16.091,14.95,16.05
"2014/04/16",16.22,16.88,16,16.521
"2014/04/17",16.49,16.65,16.021,16.361
"2014/04/21",16.421,16.601,16,16.21
"2014/04/22",16.091,16.88,15.771,16.671
"2014/04/23",16.681,16.71,16.13,16.22
"2014/04/24",16.48,16.49,15.511,15.65
"2014/04/25",15.431,15.431,13.891,14.591
"2014/04/28",14.75,15.101,14.061,14.11
"2014/04/29",14.261,14.73,14.011,14.521
"2014/04/30",15,15.711,12.9,15.16
"2014/05/01",15.07,16.691,15.07,16.22
"2014/05/02",16.06,16.33,15.57,16.14
"2014/05/05",15.58,16.73,15.521,16
"2014/05/06",15.961,16.24,15.37,15.61
"2014/05/07",15.591,15.841,14.721,15.07
"2014/05/08",15.04,15.2,13.98,14.011
"2014/05/09",14.011,14.15,13.381,13.431
"2014/05/12",13.461,14.08,13.4,13.79
"2014/05/13",13.681,14,12.87,13
"2014/05/14",12.99,12.99,12.41,12.5
"2014/05/15",12.431,12.69,11.99,12.521
"2014/05/16",12.49,12.69,12.131,12.301
"2014/05/19",12.341,13.181,12.181,12.54
"2014/05/20",12.511,12.61,12.25,12.58
"2014/05/21",12.58,12.91,12.44,12.511
"2014/05/22",12.511,12.75,12.2,12.211
"2014/05/23",12.25,12.45,12.061,12.23
"2014/05/27",12.381,12.881,12.171,12.591
"2014/05/28",12.37,12.53,12.03,12.391
"2014/05/29",12.48,12.62,12.211,12.54
