date,open,high,low,close
"2012/01/03",54.28,54.651,54.131,54.431
"2012/01/04",54.67,54.73,53.89,54.151
"2012/01/05",53.91,54.14,53.67,54.081
"2012/01/06",53.76,54.05,53.3,54
"2012/01/09",54.57,54.8,54.26,54.75
"2012/01/10",53.42,53.98,53.39,53.87
"2012/01/11",52.931,53.51,52.78,53.401
"2012/01/12",53.221,53.5,52.951,53.25
"2012/01/13",54.64,54.8,54.01,54.561
"2012/01/17",55.73,55.991,55.48,55.67
"2012/01/18",56.71,57.201,56.561,57.1
"2012/01/19",56.611,57.151,56.451,57.05
"2012/01/20",56.91,57.12,56.82,57.01
"2012/01/23",57.53,57.991,57.37,57.76
"2012/01/24",57.581,58.331,57.541,58.061
"2012/01/25",57.76,58.631,57.341,58.48
"2012/01/26",59.741,59.931,59.241,59.291
"2012/01/27",59.82,60.581,59.791,60.35
"2012/01/30",59.87,60.44,59.69,60.35
"2012/01/31",60.76,60.791,60.25,60.48
"2012/02/01",61.39,61.971,61.331,61.451
"2012/02/02",62.061,62.53,61.791,61.92
"2012/02/03",63.021,63.291,62.67,63.17
"2012/02/06",62.92,63.151,62.681,62.991
"2012/02/07",63.491,63.73,62.881,63.6
"2012/02/08",63.081,63.6,62.98,63.53
"2012/02/09",63.401,64.261,63.25,63.85
"2012/02/10",62.78,63.21,62.611,62.901
"2012/02/13",63.26,63.39,63.081,63.331
"2012/02/14",63.67,63.841,63.32,63.64
"2012/02/15",63.861,63.89,63.1,63.21
"2012/02/16",63.581,64.63,63.401,64.63
"2012/02/17",64.941,64.981,64.261,64.441
"2012/02/21",65.59,65.981,65.111,65.371
"2012/02/22",65.38,65.941,65.17,65.651
"2012/02/23",66,66.681,65.27,66.64
"2012/02/24",67.75,67.831,67.471,67.77
"2012/02/27",66.111,67.32,66.041,67.011
"2012/02/28",67.431,68.21,67.261,68.151
"2012/02/29",67.971,68.5,67.34,67.611
"2012/03/01",67.831,68.34,67.621,68.27
"2012/03/02",67.81,67.85,67.361,67.661
"2012/03/05",68.32,68.35,67.63,68.1
"2012/03/06",67.151,67.28,66.06,66.38
"2012/03/07",66.49,66.92,66.34,66.681
"2012/03/08",67.85,69.041,67.731,68.801
"2012/03/09",68.691,69.13,68.541,68.99
"2012/03/12",68.64,69.5,68.541,69.39
"2012/03/13",69.64,70.77,69.621,70.77
"2012/03/14",70.471,70.801,70.121,70.431
"2012/03/15",70.56,71.551,70.5,71.46
"2012/03/16",71.74,72.1,71.621,72
"2012/03/19",71.92,72.52,71.56,72.31
"2012/03/20",71.31,71.84,71.17,71.651
"2012/03/21",71.301,71.56,71.041,71.24
"2012/03/22",70.261,71.041,70.21,70.551
"2012/03/23",70.221,70.541,69.791,70.38
"2012/03/26",70.761,71.25,70.71,71.24
"2012/03/27",71.221,71.261,70.56,70.581
"2012/03/28",71.17,71.181,69.861,70.21
"2012/03/29",69.161,69.95,68.981,69.85
"2012/03/30",69.89,70.17,69.651,69.82
"2012/04/02",70.191,71.28,70.011,70.971
"2012/04/03",70.761,70.78,68.95,69.34
"2012/04/04",67.95,68.301,66.67,67.481
"2012/04/05",66.111,67.511,66.03,67.371
"2012/04/09",65.971,66.5,65.95,65.95
"2012/04/10",66.13,66.511,64.291,64.57
"2012/04/11",65.75,66.401,65.46,65.92
"2012/04/12",66.941,66.971,65.2,65.85
"2012/04/13",66.49,66.511,64.49,65.42
"2012/04/16",63.87,64.221,63.381,63.73
"2012/04/17",64.27,65.13,63.91,64.95
"2012/04/18",65.051,65.45,64.81,64.88
"2012/04/19",65,65.551,64.011,64.28
"2012/04/20",65.291,65.651,65.1,65.221
"2012/04/23",64.121,64.31,63.5,64.24
"2012/04/24",64.64,65.42,64.28,65.151
"2012/04/25",65.45,66.121,65.331,65.96
"2012/04/26",65.401,67.25,65.31,67.161
"2012/04/27",66.77,66.971,66.481,66.691
"2012/04/30",66.17,66.53,65.96,66.291
"2012/05/01",66.2,66.64,66.161,66.431
"2012/05/02",65.85,66.07,65.28,65.84
"2012/05/03",65.151,65.611,64.5,64.681
"2012/05/04",63.5,63.811,62.69,62.92
"2012/05/07",62.631,63.17,62.401,63.131
"2012/05/08",62.26,62.51,61.291,62.291
"2012/05/09",61.42,62.431,61.16,62.201
"2012/05/10",62.541,62.631,61.591,61.8
"2012/05/11",62.111,63.26,61.98,62.85
"2012/05/14",61.98,62.811,61.831,62.14
"2012/05/15",61.451,61.94,60.701,60.791
"2012/05/16",61.021,61.341,60.221,60.331
"2012/05/17",60.71,60.85,59.85,59.861
"2012/05/18",59.96,59.971,58.35,58.53
"2012/05/21",58.341,58.951,57.901,58.791
"2012/05/22",59.41,59.76,58.21,58.69
"2012/05/23",58.53,58.971,57.741,58.8
"2012/05/24",58.521,58.6,57.431,57.701
"2012/05/25",57.081,57.62,57.01,57.07
"2012/05/29",58.73,58.98,57.82,58.221
"2012/05/30",57.131,57.25,56.651,56.76
"2012/05/31",58.05,58.081,56.66,57.32
"2012/06/01",55.69,56.131,54.971,55.241
"2012/06/04",55.201,55.6,54.831,55.41
"2012/06/05",54.91,55.771,54.91,55.69
"2012/06/06",56.07,57.53,56,57.53
"2012/06/07",58.041,58.14,56.75,56.8
"2012/06/08",56.401,57.37,56.221,57.311
"2012/06/11",58.701,58.741,57.05,57.111
"2012/06/12",57.291,57.741,56.341,57.681
"2012/06/13",57.561,58.32,57.16,57.581
"2012/06/14",57.541,57.78,57.12,57.73
"2012/06/15",58.341,58.94,58.041,58.881
