date,open,high,low,close
"2017/01/03",43.28,43.46,42.135,42.82
"2017/01/04",43.26,44.42,42.85,44.14
"2017/01/05",44.471,47.94,44.25,47.681
"2017/01/06",47.361,47.651,45.701,46.901
"2017/01/09",47.111,47.541,46.701,47.181
"2017/01/10",47.021,49.131,47.021,47.87
"2017/01/11",47.931,48.71,47.281,48.331
"2017/01/12",48.64,48.85,47.611,48.581
"2017/01/13",48.581,49.431,48.021,48.1
"2017/01/17",48.831,49.75,48.311,49.521
"2017/01/18",49.66,50,49.041,49.98
"2017/01/19",50.12,51.131,49.901,50.66
"2017/01/20",50.771,51.37,49.871,50.091
"2017/01/23",50.1,50.35,49.25,49.44
"2017/01/24",49.861,50,48.931,49.42
"2017/01/25",50.111,51.98,50.021,51.361
"2017/01/26",51.811,52,50.651,51.01
"2017/01/27",51,51.64,51,51.541
"2017/01/30",51.611,51.73,49.971,50.701
"2017/01/31",50.341,50.85,50.17,50.82
"2017/02/01",51.64,51.708,50.62,51.19
"2017/02/02",51.181,52.651,51.041,52.32
"2017/02/03",52.611,52.631,51.401,52.12
"2017/02/06",52.19,52.741,51.46,52.681
"2017/02/07",52.991,53.66,52.651,53.131
"2017/02/08",53.591,53.64,52.73,53.37
"2017/02/09",53.75,55,53.75,54.611
"2017/02/10",55.23,56.25,54.901,55.221
"2017/02/13",56.01,57.16,55.32,56.05
"2017/02/14",56.32,56.32,55.151,56.05
"2017/02/15",54.87,61.491,54.3,60.611
"2017/02/16",61.181,62.471,59.561,60.971
"2017/02/17",60.76,61.681,60.03,61.521
"2017/02/21",62.151,63.931,61.861,63.081
"2017/02/22",63,63.8,61.78,63.591
"2017/02/23",64.17,64.361,61.831,62.73
"2017/02/24",62.021,62.28,60.591,61.75
"2017/02/27",61.8,61.87,59.82,59.931
"2017/02/28",59.471,60.841,59.151,59.21
"2017/03/01",60.17,60.17,59.021,59.651
"2017/03/02",59.721,60.651,59.48,59.67
"2017/03/03",59.64,60.381,59.12,60.291
"2017/03/06",59.94,60.26,58.627,59.32
"2017/03/07",59.291,60.66,59.201,60.131
"2017/03/08",60.25,61.5,60.081,60.91
