date,open,high,low,close
"2014/01/02",17.33,17.39,17.08,17.16
"2014/01/03",17.21,17.261,17.121,17.181
"2014/01/06",17.3,17.49,17.271,17.3
"2014/01/07",17.361,17.38,17.201,17.32
"2014/01/08",17.4,18.32,17.261,18.25
"2014/01/09",18.16,18.191,17.98,18.08
"2014/01/10",17.73,17.83,17.47,17.8
"2014/01/13",17.681,17.771,17.511,17.55
"2014/01/14",17.441,17.601,17.351,17.531
"2014/01/15",17.39,17.511,17.341,17.41
"2014/01/16",17.281,17.32,17.171,17.21
"2014/01/17",17.16,17.25,17.05,17.05
"2014/01/21",17.05,17.06,16.82,16.851
"2014/01/22",16.871,17.13,16.851,17.111
"2014/01/23",16.951,16.98,16.671,16.791
"2014/01/24",16.871,16.91,16.63,16.72
"2014/01/27",16.47,16.531,15.761,16.23
"2014/01/28",16.06,16.47,16.031,16.421
"2014/01/29",16.191,16.261,16.041,16.05
"2014/01/30",16.22,16.5,16.05,16.13
"2014/01/31",15.73,15.801,15.551,15.75
"2014/02/03",15.601,15.671,15.23,15.25
"2014/02/04",15.28,16.341,15.28,16.101
"2014/02/05",15.86,15.961,15.671,15.9
"2014/02/06",15.45,16.74,15.45,16.521
"2014/02/07",16.73,16.871,16.521,16.82
"2014/02/10",16.701,16.791,16.521,16.681
"2014/02/11",16.8,17.181,16.74,17.111
"2014/02/12",17.121,17.361,17.111,17.32
"2014/02/13",16.841,17.281,16.75,17.201
"2014/02/14",16.791,17.13,16.791,17.06
"2014/02/18",17.3,17.39,17.201,17.341
"2014/02/19",17.111,17.25,17.021,17.07
"2014/02/20",17.101,17.22,16.98,17.171
"2014/02/21",17.24,17.33,17.121,17.121
"2014/02/24",17.4,17.48,17.32,17.4
"2014/02/25",17.261,17.351,17.171,17.281
"2014/02/26",17.351,17.531,17.16,17.38
"2014/02/27",17.38,17.64,17.271,17.521
"2014/02/28",17.531,17.66,17.431,17.55
"2014/03/03",17.201,17.281,17.041,17.21
"2014/03/04",17.431,17.521,17.31,17.361
"2014/03/05",17.47,17.591,17.431,17.48
"2014/03/06",17.89,17.921,17.82,17.861
"2014/03/07",17.931,17.99,17.72,17.951
"2014/03/10",18.13,18.171,17.861,18.041
"2014/03/11",18.041,18.041,17.771,17.851
"2014/03/12",17.73,17.851,17.691,17.841
"2014/03/13",17.88,17.89,17.5,17.63
"2014/03/14",17.261,17.33,17.121,17.171
"2014/03/17",17.15,17.341,17.15,17.22
"2014/03/18",16.98,17.21,16.921,17.15
"2014/03/19",17.171,17.351,17.041,17.15
"2014/03/20",17.32,17.621,17.31,17.611
"2014/03/21",17.611,17.851,17.611,17.761
"2014/03/24",17.74,17.781,17.541,17.65
"2014/03/25",17.96,18.25,17.921,18.25
"2014/03/26",18.31,18.4,18.021,18.05
"2014/03/27",18.32,18.39,18.181,18.271
"2014/03/28",18.601,18.791,18.601,18.65
"2014/03/31",19.121,19.25,19.08,19.121
"2014/04/01",19.421,19.46,19.291,19.441
"2014/04/02",19.191,19.351,19.08,19.291
"2014/04/03",19.25,19.281,18.951,19.091
"2014/04/04",19.261,19.341,18.951,19.031
"2014/04/07",19.181,19.261,18.921,19.05
"2014/04/08",18.921,19.011,18.861,18.9
"2014/04/09",18.681,18.871,18.56,18.82
"2014/04/10",18.4,18.55,18.13,18.15
"2014/04/11",18.33,18.41,18.271,18.38
"2014/04/14",18.601,18.72,18.5,18.591
"2014/04/15",18.58,18.64,18.33,18.55
"2014/04/16",18.75,18.81,18.66,18.781
"2014/04/17",18.8,18.851,18.691,18.71
"2014/04/21",18.81,19.05,18.8,19
"2014/04/22",18.64,18.75,18.57,18.681
"2014/04/23",18.73,18.74,18.621,18.66
"2014/04/24",18.16,18.191,17.851,18.15
"2014/04/25",17.931,17.99,17.771,17.871
"2014/04/28",17.871,17.98,17.691,17.951
"2014/04/29",17.98,18.05,17.91,17.96
"2014/04/30",17.591,17.671,17.46,17.64
"2014/05/01",16.851,17.49,16.761,17.16
"2014/05/02",17.601,17.73,17.49,17.63
"2014/05/05",17.55,17.681,17.511,17.64
"2014/05/06",17.591,17.601,17.46,17.511
"2014/05/07",17.431,17.58,17.31,17.55
"2014/05/08",17.33,17.621,17.33,17.49
"2014/05/09",17.39,17.451,17.33,17.38
"2014/05/12",17.261,17.49,17.25,17.451
"2014/05/13",17.601,17.691,17.521,17.64
"2014/05/14",16.75,17.191,16.281,16.5
"2014/05/15",16.511,16.57,16.281,16.39
"2014/05/16",16.25,16.39,16.15,16.38
"2014/05/19",16.021,16.361,16.021,16.32
"2014/05/20",16.091,16.111,15.931,16.011
"2014/05/21",16.08,16.13,16,16.05
"2014/05/22",16.33,16.371,16.16,16.181
"2014/05/23",16.05,16.261,16.05,16.111
"2014/05/27",16.5,16.71,16.48,16.64
"2014/05/28",16.291,16.38,16.22,16.33
"2014/05/29",16.201,16.24,16.15,16.21
"2014/05/30",16.15,16.23,16.101,16.181
"2014/06/02",16.31,16.33,16.22,16.291
"2014/06/03",16.06,16.121,16.021,16.08
"2014/06/04",16.181,16.271,16.16,16.24
"2014/06/05",16.23,16.281,16.16,16.24
"2014/06/06",16.121,16.22,16.07,16.101
"2014/06/09",16.181,16.341,16.15,16.3
"2014/06/10",16.15,16.21,16.05,16.181
"2014/06/11",16,16.041,15.961,15.99
"2014/06/12",16.13,16.22,16.07,16.091
"2014/06/13",16.14,16.24,16.111,16.22
"2014/06/16",16.281,16.291,16.14,16.261
"2014/06/17",16.14,16.23,16.05,16.121
"2014/06/18",16.22,16.341,16.16,16.3
"2014/06/19",16.71,16.841,16.701,16.841
"2014/06/20",16.81,17.011,16.8,16.97
"2014/06/23",16.861,16.89,16.681,16.781
"2014/06/24",16.781,16.951,16.611,16.64
"2014/06/25",16.72,16.941,16.71,16.91
"2014/06/26",16.82,16.861,16.63,16.81
"2014/06/27",16.701,16.771,16.65,16.761
"2014/06/30",16.691,16.8,16.66,16.771
