date,open,high,low,close
"2016/01/04",45.111,45.111,44,44.92
"2016/01/05",45.151,46,44.55,44.971
"2016/01/06",44.37,44.861,43.96,44.311
"2016/01/07",43.5,43.991,43.091,43.28
"2016/01/08",43.46,43.651,42.28,42.35
"2016/01/11",42.631,42.721,41.82,42.091
"2016/01/12",42.44,43.021,41.561,42.021
"2016/01/13",42.111,42.17,40.361,40.53
"2016/01/14",40.831,41.62,40.201,41.25
"2016/01/15",40.12,40.971,39.92,40.96
"2016/01/19",41.26,41.361,40.291,40.69
"2016/01/20",39.98,41.37,39.66,40.94
"2016/01/21",40.96,41.23,39.26,40.69
"2016/01/22",41.14,41.741,40.881,41.701
"2016/01/25",41.55,41.96,41,41.12
"2016/01/26",41.331,41.971,41.12,41.78
"2016/01/27",41.55,42.041,41.35,41.51
"2016/01/28",41.76,41.901,41.271,41.611
"2016/01/29",41.87,42.901,41.861,42.901
"2016/02/01",42.62,42.841,42.25,42.581
"2016/02/02",42.23,43.42,41.21,42.25
"2016/02/03",42.55,42.94,41.91,42.53
"2016/02/04",42.75,43.341,42.53,42.861
"2016/02/05",42.651,42.651,41.271,41.66
"2016/02/08",41.14,41.6,40.361,41.32
"2016/02/09",40.76,41.6,40.5,40.96
"2016/02/10",41.32,42.041,41.291,41.37
"2016/02/11",40.771,41.75,40.771,41.341
"2016/02/12",42.19,42.3,40.42,41.92
"2016/02/16",42.431,43.17,42.26,42.96
"2016/02/17",43.041,43.841,42.791,43.611
"2016/02/18",46.05,46.401,43.931,44
"2016/02/19",43.94,44.651,43.46,44.48
"2016/02/22",44.931,45.221,44.42,44.721
"2016/02/23",44.69,45.25,43.721,44.1
"2016/02/24",43.631,44.291,43.17,44.221
"2016/02/25",44.221,44.75,44.01,44.55
"2016/02/26",44.76,45.39,44.71,45.201
"2016/02/29",45.16,45.341,44.741,44.75
"2016/03/01",44.701,45.89,44.55,45.881
"2016/03/02",45.67,45.98,44.991,45.89
"2016/03/03",45.66,45.89,45.37,45.87
"2016/03/04",45.881,46.67,45.53,46.221
"2016/03/07",45.951,46.361,44.07,46.131
"2016/03/08",45.791,46.061,45.37,45.631
"2016/03/09",45.85,46.021,45.491,45.78
"2016/03/10",45.861,46.17,45.061,45.521
"2016/03/11",45.87,46.26,45.721,46.201
"2016/03/14",46,46.341,45.971,46.21
"2016/03/15",45.92,46.48,45.901,46.41
"2016/03/16",46.17,46.92,46.17,46.791
"2016/03/17",46.831,47.44,45.96,47.151
"2016/03/18",47.021,47.82,46.16,47.78
"2016/03/21",47.581,47.811,47.48,47.6
"2016/03/22",47.44,48.14,47.26,47.94
"2016/03/23",47.85,47.881,47.491,47.57
"2016/03/24",47.26,47.91,47.111,47.87
"2016/03/28",47.8,47.931,47.311,47.681
"2016/03/29",47.62,48.341,47.17,48.271
"2016/03/30",48.44,48.6,47.92,48.131
"2016/03/31",48.201,48.581,47.971,48.44
