date,open,high,low,close
"2016/01/04",57.651,58,56.28,57.651
"2016/01/05",57.901,58.67,56.75,57.201
"2016/01/06",56.131,56.41,54.16,55.19
"2016/01/07",54,55.28,52.381,52.98
"2016/01/08",52.971,54.311,51.881,52.01
"2016/01/11",52.51,52.57,50.201,51.35
"2016/01/12",51.94,53.181,51.181,52.3
"2016/01/13",52.861,54.1,49.831,50.271
"2016/01/14",49.841,51.091,48.01,50.76
"2016/01/15",49.111,50.48,47.53,50.48
"2016/01/19",50.701,51.64,47.541,48.451
"2016/01/20",47.17,48.451,44.041,47.75
"2016/01/21",48.271,49.94,46.8,48.491
"2016/01/22",49.951,51.991,49.311,50.23
"2016/01/25",50.341,50.811,48.451,48.66
"2016/01/26",48.791,49.16,47,48.62
"2016/01/27",48.181,48.581,46.541,47.07
"2016/01/28",46.401,46.46,43.8,44.341
"2016/01/29",44.78,46.381,44.701,46.291
"2016/02/01",46.23,48.341,45.78,47.901
"2016/02/02",47.361,47.361,45.44,45.811
"2016/02/03",46.721,47.35,44.611,47
"2016/02/04",46.87,48.21,45.931,47.091
"2016/02/05",40.791,41.991,33.771,36.23
"2016/02/08",35.14,35.21,31.57,31.921
"2016/02/09",31.41,34.26,31.011,31.921
"2016/02/10",32.26,33.92,31.361,31.64
"2016/02/11",31.06,31.871,29.851,30.861
"2016/02/12",31.16,32.151,30.621,31.32
"2016/02/16",31.851,32.811,31.281,32.241
"2016/02/17",32.6,34.581,32.6,34.521
"2016/02/18",34.901,34.901,33.131,33.741
"2016/02/19",33.69,34.92,33.611,34.841
"2016/02/22",35.01,36.46,35.01,35.92
"2016/02/23",36,36.28,35.021,35.241
"2016/02/24",34.771,36.69,33.771,36.581
"2016/02/25",37.6,39.331,36.66,38.53
"2016/02/26",44.1,44.841,40.78,41.51
"2016/02/29",41.48,44.631,41.39,43.6
"2016/03/01",44.271,46.091,43.791,45.991
"2016/03/02",46.021,46.201,44.1,44.971
"2016/03/03",45.01,46.32,44.16,46.14
"2016/03/04",46.861,47.861,46.14,46.25
"2016/03/07",45.951,47.62,45.62,46.69
"2016/03/08",46.221,46.8,45.241,45.341
"2016/03/09",45.721,47.03,45.44,46.831
"2016/03/10",47.201,47.3,45.091,46.1
"2016/03/11",46.41,48.021,46.26,47.951
"2016/03/14",47.331,47.611,46.87,47.14
"2016/03/15",46.701,47.14,45.561,46.12
"2016/03/16",45.881,47.87,45.73,47.831
"2016/03/17",47.5,48.21,46.46,47.271
"2016/03/18",47.591,49.21,47.451,47.76
"2016/03/21",47.67,48.3,47.181,47.581
"2016/03/22",47.44,49.37,47.14,48.3
"2016/03/23",48.151,48.381,47,47.131
"2016/03/24",46.811,47.771,45.8,47.771
"2016/03/28",47.32,47.75,46.611,46.951
"2016/03/29",46.85,48.951,46.28,48.91
"2016/03/30",48.901,49.69,48.46,48.6
"2016/03/31",48.241,49.55,48.221,48.931
"2016/04/01",48.561,49.771,47.611,49.46
"2016/04/04",49.271,50.03,49.01,49.331
"2016/04/05",48.21,49.01,47.75,48.021
"2016/04/06",48.21,49.51,47.591,49.51
"2016/04/07",48.881,49.26,48.23,48.39
"2016/04/08",49.19,49.71,48.41,49.491
"2016/04/11",49.35,49.94,48.681,48.73
"2016/04/12",48.71,48.73,47.021,47.791
"2016/04/13",48.25,49.78,48.1,49.591
"2016/04/14",49.37,49.89,48.841,49.42
"2016/04/15",49.37,50,48.98,49.87
"2016/04/18",49.8,50.611,49.35,49.66
"2016/04/19",49.91,49.991,48.021,48.73
"2016/04/20",48.87,50.42,48.471,49.71
"2016/04/21",50.91,52.89,50.811,51.57
"2016/04/22",51.3,52,50.51,51.811
"2016/04/25",51.771,52.6,51.62,51.811
"2016/04/26",52.01,52.42,51.221,51.651
"2016/04/27",51.381,53.341,51.381,53.03
"2016/04/28",52.791,53.98,52.26,52.41
"2016/04/29",52.341,52.64,51.291,51.98
"2016/05/02",52.341,52.881,51.561,52.71
"2016/05/03",51.89,52.5,50.26,51.01
"2016/05/04",50.67,50.881,48.221,48.87
"2016/05/05",49.12,49.32,47.431,47.741
"2016/05/06",46.791,47.91,45.07,46.811
"2016/05/09",46.67,47.6,46.201,47.151
"2016/05/10",47.221,48.5,46.82,48.451
"2016/05/11",48.151,49.061,48,48.181
"2016/05/12",48.631,48.631,46.37,47.041
"2016/05/13",46.82,47.361,46.44,46.6
"2016/05/16",46.85,48.401,46.581,47.92
"2016/05/17",47.82,49.71,47.561,48.951
"2016/05/18",48.6,50.541,48.5,50.21
"2016/05/19",50.3,51.831,49.71,50.51
"2016/05/20",50.651,52.96,49.361,52.85
"2016/05/23",52.991,54.46,52.69,53.71
"2016/05/24",53.98,55.041,53.701,54.341
"2016/05/25",54.94,55.1,54.03,54.361
"2016/05/26",54.62,55.21,53.75,54.931
"2016/05/27",52,56.991,52,56.341
"2016/05/31",56,57.82,55.811,57.451
"2016/06/01",57.01,58.381,56.681,58.241
"2016/06/02",58.041,59.12,57.64,58.471
"2016/06/03",58.201,58.201,56.82,57.8
"2016/06/06",58.041,59.3,57.381,59.131
"2016/06/07",58.861,59.78,58.85,59.6
"2016/06/08",59.681,60,59.28,59.55
"2016/06/09",58.951,60,58.561,59.01
"2016/06/10",58.07,58.28,55.951,56.151
"2016/06/13",55.66,57.401,55.26,56.311
"2016/06/14",55.581,56.881,55.5,56.64
"2016/06/15",56.8,58.901,56.651,57.91
"2016/06/16",56.98,58.131,56.491,58.01
"2016/06/17",58,58.37,57.51,57.94
"2016/06/20",58.51,59.94,58.41,58.881
"2016/06/21",59.241,59.971,59.01,59.561
"2016/06/22",59.14,59.581,58.12,58.201
"2016/06/23",58.5,60,57.91,59.98
"2016/06/24",56.291,57.19,54.46,54.82
"2016/06/27",54.311,54.361,50.6,50.971
"2016/06/28",52.331,54.061,51.881,53.341
"2016/06/29",54.3,55.791,53.881,55.311
"2016/06/30",55.131,55.37,53.311,54.181
"2016/07/01",54.19,55.151,53.901,54.561
"2016/07/05",54.26,54.5,52.85,53.75
"2016/07/06",53.14,54.23,52.971,54
"2016/07/07",54.541,55.381,54.331,54.87
"2016/07/08",55.23,57.021,54.971,56.631
"2016/07/11",57.16,57.811,56.82,57.361
"2016/07/12",56.951,59.16,56.69,59
"2016/07/13",59.32,59.701,58.16,58.32
"2016/07/14",59,59.201,58.331,58.44
"2016/07/15",58.39,58.89,57.03,58.71
"2016/07/18",58.791,59.651,58,58.041
"2016/07/19",58.21,58.64,57.771,58.14
"2016/07/20",57.471,60.081,57.17,59.491
"2016/07/21",59.491,60.541,58.1,58.32
"2016/07/22",58.431,59.491,57.881,59.401
"2016/07/25",59.46,60.201,58.62,59.82
"2016/07/26",59.521,60.401,59.221,59.69
"2016/07/27",60.14,60.25,59.131,59.5
"2016/07/28",60.87,62.21,59.791,62.12
"2016/07/29",61.721,62.631,60.311,62.541
"2016/08/01",62.341,62.991,61.701,62.041
"2016/08/02",62.021,62.181,59.3,60
"2016/08/03",59.651,60.42,58.521,60.091
"2016/08/04",60.21,60.67,59.431,59.85
"2016/08/05",59.841,60.431,59.681,60.14
"2016/08/08",61.241,62.41,61,61.341
"2016/08/09",61.17,62.75,60.931,62.57
"2016/08/10",62.541,63.48,61.681,62.17
"2016/08/11",62.271,63.901,62.271,63.451
"2016/08/12",63.521,64.411,62.96,64.231
"2016/08/15",64.38,65.75,64.121,64.911
"2016/08/16",64.651,64.77,63.55,63.78
"2016/08/17",64,64.151,62.57,63.12
"2016/08/18",63.3,64.221,62.681,63.831
"2016/08/19",64.06,65,63.521,64.791
"2016/08/22",64.77,64.77,63.64,63.861
"2016/08/23",64.441,65.331,64.301,64.85
"2016/08/24",64.85,65.081,63.92,64.231
"2016/08/25",64.34,65.42,63.98,65.1
"2016/08/26",61,61.881,57.581,58.521
"2016/08/29",58.881,60.57,58.69,59.75
"2016/08/30",59.771,60.23,58.16,58.771
"2016/08/31",58.611,58.96,57.811,58.241
"2016/09/01",57.861,58.291,57.39,58.19
"2016/09/02",58.5,59.471,58.1,59.39
"2016/09/06",59.66,61.39,59.57,61.05
"2016/09/07",61.041,61.73,60.841,61.081
"2016/09/08",60.831,61.131,60.41,60.92
"2016/09/09",60.201,61.151,59.3,59.64
"2016/09/12",58.96,60.331,58.01,60.181
"2016/09/13",59.28,59.76,57.771,58.19
"2016/09/14",58.1,59.19,57.92,58.771
"2016/09/15",58.771,59.491,58.331,59.361
"2016/09/16",59.091,59.39,58.491,59.061
"2016/09/19",59.5,60.381,58.591,58.82
"2016/09/20",59.221,59.611,58.111,58.37
"2016/09/21",58.341,59.331,58.12,59.21
"2016/09/22",59.701,59.75,58.881,59.131
"2016/09/23",59.25,59.44,57.841,58.151
"2016/09/26",57.741,58.3,57.53,57.591
"2016/09/27",57.651,58.73,57.5,58.701
"2016/09/28",58.85,59.081,57.71,59.021
"2016/09/29",58.901,59.081,57.701,57.73
"2016/09/30",57.75,58.89,57.41,58.681
"2016/10/03",59.111,61.37,59.091,61.181
"2016/10/04",60.081,60.89,59.76,60.51
"2016/10/05",60.62,61.521,60.62,60.89
"2016/10/06",60.66,60.881,59.69,60.201
"2016/10/07",60.12,60.44,59.331,59.951
"2016/10/10",60.64,62,60.41,61.26
"2016/10/11",60.931,61.331,59.561,59.631
"2016/10/12",59.39,59.71,56.89,57.381
"2016/10/13",56.96,56.971,54.451,56.341
"2016/10/14",56.53,57.791,55.87,56.71
"2016/10/17",56.51,56.951,55.971,56.89
"2016/10/18",57.971,58.931,57.41,57.66
"2016/10/19",57.831,58.78,57.831,58.081
"2016/10/20",57.681,59.1,57.3,58.901
"2016/10/21",58.931,59.181,58.35,58.92
"2016/10/24",59.311,60.03,59.07,60
"2016/10/25",59.971,60.041,58.82,59.14
"2016/10/26",58.78,59.611,58.64,58.85
"2016/10/27",59.771,60.991,59.46,59.71
"2016/10/28",59.521,61.771,59.361,60.951
"2016/10/31",61.091,61.26,60.17,60.19
"2016/11/01",60.42,61.71,60,61.71
"2016/11/02",60.98,61.01,58.5,58.82
"2016/11/03",58.881,59.16,57.841,57.94
"2016/11/04",58.361,58.87,57.541,57.64
"2016/11/07",58.92,60.861,58.48,60.771
"2016/11/08",60.361,60.951,59.39,59.78
"2016/11/09",58.67,60.491,58.291,59.991
"2016/11/10",60.14,60.631,57.28,57.75
"2016/11/11",57.221,58.48,56.42,57.951
"2016/11/14",57.951,58.98,57.541,58.791
"2016/11/15",59.271,59.931,58.831,59.78
"2016/11/16",59.25,60.46,58.991,60.32
"2016/11/17",60.061,62.5,59.94,62.25
"2016/11/18",62.85,62.901,59.841,59.881
"2016/11/21",60.12,60.241,59.19,59.541
"2016/11/22",58.811,59.92,58.19,59.771
"2016/11/23",59.471,59.5,57.181,57.651
"2016/11/25",58,58.491,57.541,58.331
"2016/11/28",59.151,59.151,56.75,57.42
"2016/11/29",57.35,58.17,56.87,57.381
"2016/11/30",62.48,62.881,57.41,57.62
"2016/12/01",58,58.39,53.021,53.331
"2016/12/02",52.76,53.951,51.901,53.681
"2016/12/05",54.03,57.061,54.03,56.07
"2016/12/06",56.1,56.471,55.081,55.5
"2016/12/07",55.631,56.631,54.771,56.271
"2016/12/08",56,57.01,55.25,56.811
"2016/12/09",56.96,57.951,56.44,56.82
"2016/12/12",56.631,57.14,55.55,56.21
"2016/12/13",56.64,57.75,56.5,57.01
"2016/12/14",56.62,56.75,54.96,55.331
"2016/12/15",55.271,56.341,54.3,55.341
"2016/12/16",54.98,55.881,54.89,55.41
"2016/12/19",55,55.471,54.581,54.771
"2016/12/20",55,55.21,53.181,53.721
"2016/12/21",53.48,53.87,52.811,53.44
"2016/12/22",53.721,53.721,52.1,52.341
"2016/12/23",52.41,52.741,52.201,52.57
