date,open,high,low,close
"2017/01/03",13.82,14.016,13.66,13.811
"2017/01/04",13.86,14.261,13.726,14.25
"2017/01/05",14.25,14.61,14.011,14.561
"2017/01/06",14.561,15.075,14.53,15
"2017/01/09",14.98,15.195,14.851,15.061
"2017/01/10",15.091,15.49,14.7,14.91
"2017/01/11",14.95,14.99,14.711,14.9
"2017/01/12",14.841,14.881,14.546,14.74
"2017/01/13",14.79,14.921,14.69,14.75
"2017/01/17",14.69,14.771,14.54,14.69
"2017/01/18",14.801,14.841,14.62,14.641
"2017/01/19",14.641,14.891,14.601,14.73
"2017/01/20",14.75,15,14.716,14.891
"2017/01/23",14.9,14.961,14.57,14.61
"2017/01/24",14.61,14.75,14.431,14.66
"2017/01/25",14.69,14.99,14.521,14.601
"2017/01/26",14.5,14.631,14.131,14.41
"2017/01/27",14.471,14.551,14.266,14.53
"2017/01/30",14.461,14.49,14.181,14.45
"2017/01/31",14.4,14.771,14.365,14.62
"2017/02/01",14.49,14.565,14.181,14.36
"2017/02/02",14.25,14.5,14.19,14.36
"2017/02/03",14.29,14.44,14.11,14.28
"2017/02/06",14.29,14.5,14.03,14.4
"2017/02/07",14.381,14.5,14.261,14.4
"2017/02/08",14.44,14.556,14.351,14.471
"2017/02/09",14.471,14.745,14.471,14.73
"2017/02/10",14.74,14.74,14.53,14.61
"2017/02/13",14.65,15.04,14.45,14.5
"2017/02/14",14.471,14.521,14.03,14.33
"2017/02/15",14.311,14.41,14.211,14.311
"2017/02/16",14.301,14.351,13.841,13.891
"2017/02/17",14.021,14.601,13.99,14.471
"2017/02/21",14.631,14.66,14.341,14.631
"2017/02/22",14.75,15.216,14.601,15.04
"2017/02/23",16.671,17.75,16.32,17.15
"2017/02/24",16.951,17.63,16.9,17.431
"2017/02/27",17.421,18.171,17.31,17.931
"2017/02/28",17.791,17.791,17.271,17.32
"2017/03/01",17.531,17.64,17.06,17.22
"2017/03/02",17.201,17.351,16.98,16.99
"2017/03/03",16.83,17.201,16.57,16.89
"2017/03/06",16.91,17.156,16.71,16.861
"2017/03/07",16.9,16.9,16.5,16.761
"2017/03/08",16.761,17,16.701,16.83
"2017/03/09",16.851,17.205,16.701,17.07
"2017/03/10",17.14,17.181,16.83,16.91
"2017/03/13",16.91,17.092,16.83,16.931
"2017/03/14",16.951,16.951,16.64,16.771
"2017/03/15",16.8,17,16.74,16.951
"2017/03/16",17,17.281,17,17.21
"2017/03/17",17.181,17.341,17.06,17.281
"2017/03/20",17.281,17.371,17.171,17.24
"2017/03/21",17.25,17.281,16.4,16.511
"2017/03/22",16.46,16.566,16.111,16.41
"2017/03/23",16.4,17.031,16.4,16.611
"2017/03/24",16.75,16.941,16.47,16.591
"2017/03/27",16.371,17.271,16.22,17.25
"2017/03/28",17.38,17.5,16.921,17.23
"2017/03/29",17.22,17.591,17.191,17.22
"2017/03/30",17.25,17.396,17.121,17.32
"2017/03/31",17.32,17.421,17.22,17.281
"2017/04/03",17.24,17.3,16.691,17.031
"2017/04/04",16.97,17.181,16.931,17.041
"2017/04/05",17.05,17.08,16.74,16.75
"2017/04/06",16.841,17.011,16.691,17
"2017/04/07",17,17,16.691,16.691
"2017/04/10",16.781,17.101,16.778,16.99
"2017/04/11",16.931,16.99,16.66,16.921
"2017/04/12",16.88,17.511,16.781,17.3
"2017/04/13",17.271,17.371,16.75,16.921
"2017/04/17",16.921,17.101,16.82,17.08
"2017/04/18",17.011,17.041,16.871,16.98
"2017/04/19",17,17.428,16.98,17.201
"2017/04/20",17.31,17.75,17.3,17.71
"2017/04/21",17.83,17.83,17.32,17.49
"2017/04/24",17.75,17.935,17.585,17.851
"2017/04/25",17.97,18.3,17.816,18.22
"2017/04/26",18.25,18.25,17.921,18.08
"2017/04/27",18.181,18.455,18.151,18.23
"2017/04/28",18.32,18.4,17.945,18.24
"2017/05/01",18.33,18.796,18.15,18.611
"2017/05/02",18.97,19.031,18.47,18.81
"2017/05/03",18.9,18.9,18.08,18.281
"2017/05/04",19.23,20.421,19.181,19.9
"2017/05/05",19.75,19.9,19.351,19.781
"2017/05/08",19.73,19.841,19.47,19.56
"2017/05/09",19.64,20.05,19.521,19.8
"2017/05/10",19.73,19.97,19.65,19.951
"2017/05/11",19.951,19.99,19.55,19.71
"2017/05/12",19.75,20.5,19.75,20.08
"2017/05/15",20.191,20.386,20.121,20.25
"2017/05/16",20.25,20.691,20.125,20.341
"2017/05/17",19.871,20.16,19.531,19.56
"2017/05/18",19.531,19.941,19.451,19.681
"2017/05/19",19.88,20,19.726,19.91
"2017/05/22",19.98,21,19.98,20.951
"2017/05/23",20.98,21.75,20.9,21.64
"2017/05/24",21.64,21.98,21.421,21.921
"2017/05/25",21.97,22.73,21.931,22.33
"2017/05/26",22.341,22.611,22.22,22.33
"2017/05/30",22.371,22.861,22.281,22.74
"2017/05/31",23.07,23.57,22.81,22.99
"2017/06/01",23.05,23.236,22.741,23.23
"2017/06/02",23.198,23.23,22.55,23.201
"2017/06/05",23.111,23.73,22.851,23.39
"2017/06/06",23.5,24.441,23.49,24.21
"2017/06/07",24.451,24.5,23.701,24.291
"2017/06/08",24.31,24.83,24.07,24.781
"2017/06/09",24.72,24.97,22.414,23.031
"2017/06/12",22.701,23.601,22.41,23.601
"2017/06/13",24.111,24.201,23.341,23.48
"2017/06/14",23.591,23.671,23.031,23.47
"2017/06/15",23.121,24.171,22.451,23.99
"2017/06/16",23.58,23.99,23.31,23.56
"2017/06/19",23.621,24.226,23.56,24.201
"2017/06/20",24.25,24.46,23.58,23.851
"2017/06/21",24.041,24.341,23.96,24.16
"2017/06/22",24.23,24.351,23.931,24.281
"2017/06/23",24.33,24.421,23.88,24.171
"2017/06/26",24.33,24.5,23.841,23.931
"2017/06/27",23.931,24.24,23.21,23.32
"2017/06/28",23.64,24.341,23.4,24.3
"2017/06/29",24.271,24.3,23.23,23.4
"2017/06/30",23.451,23.671,23.303,23.46
"2017/07/03",23.55,23.601,22.66,22.83
"2017/07/05",23.3,24.16,23.05,23.761
"2017/07/06",23.72,23.9,23.191,23.22
"2017/07/07",23.431,23.82,23.392,23.591
"2017/07/10",23.58,24.13,23.441,23.941
"2017/07/11",24,25.56,23.81,25.441
"2017/07/12",25.611,26.435,25.16,26.21
"2017/07/13",26.181,26.5,25.66,25.98
"2017/07/14",26.031,26.65,25.97,26.33
"2017/07/17",26.49,26.621,26.06,26.191
"2017/07/18",26.3,26.791,26.171,26.591
"2017/07/19",26.75,26.772,26.201,26.361
"2017/07/20",26.441,26.55,26.22,26.39
"2017/07/21",26.541,27.111,26.371,26.851
"2017/07/24",26.851,26.996,26.22,26.75
"2017/07/25",26.851,26.921,26.351,26.89
"2017/07/26",26.931,27.681,26.851,27.31
"2017/07/27",27.941,27.97,25.201,25.921
"2017/07/28",26.101,26.58,25.601,26.201
"2017/07/31",26.47,26.841,26.031,26.351
"2017/08/01",26.58,26.9,26.39,26.81
"2017/08/02",27.25,27.3,25.601,26.46
"2017/08/03",25.4,25.841,24.701,25.22
"2017/08/04",25.271,25.771,25,25.21
"2017/08/07",25.341,25.851,25.3,25.681
"2017/08/08",25.9,26.271,25.47,26.021
"2017/08/09",25.8,25.861,25.371,25.591
"2017/08/10",25.49,25.5,24.58,24.65
"2017/08/11",24.41,25.091,24.361,24.82
"2017/08/14",25.25,25.47,25.031,25.201
"2017/08/15",25.361,25.38,24.8,24.83
"2017/08/16",25.08,25.181,24.865,24.99
"2017/08/17",25,25.47,24.511,24.541
"2017/08/18",24.781,25.08,24.636,24.83
"2017/08/21",24.921,25,24.22,24.46
"2017/08/22",24.72,25.341,24.701,25.341
"2017/08/23",25.3,25.88,25.201,25.48
"2017/08/24",25.701,25.851,25.351,25.66
"2017/08/25",25.851,25.88,24.921,24.99
"2017/08/28",25.111,25.15,24.8,24.91
"2017/08/29",24.761,25.101,24.64,25.041
"2017/08/30",25.431,25.91,25.181,25.761
"2017/08/31",25.9,26.49,25.871,26.111
"2017/09/01",26.101,26.25,25.66,25.931
"2017/09/05",25.75,25.82,25.24,25.771
"2017/09/06",25.9,26.171,25.72,26.05
"2017/09/07",26.121,26.691,25.861,26.3
"2017/09/08",26.47,26.99,26.4,26.531
"2017/09/11",26.8,27.66,26.781,27.57
"2017/09/12",27.601,27.64,26.8,27.271
"2017/09/13",27.4,27.5,26.671,27.49
"2017/09/14",27.47,28.8,27.281,28.64
"2017/09/15",28.23,28.73,28.011,28.5
"2017/09/18",28.591,29,28.5,28.691
"2017/09/19",28.701,28.851,28.351,28.56
"2017/09/20",28.531,28.671,28.22,28.47
"2017/09/21",28.38,28.5,28.07,28.4
"2017/09/22",28.4,28.941,28.31,28.75
"2017/09/25",28.75,28.761,27.21,27.451
"2017/09/26",27.88,28.48,27.38,27.611
"2017/09/27",28.46,28.55,27.816,28.07
"2017/09/28",28.451,28.57,27.96,28.49
"2017/09/29",28.511,28.875,28.271,28.81
"2017/10/02",28.8,29.55,28.781,29.39
"2017/10/03",29.451,30.025,29.371,29.941
"2017/10/04",30.031,30.4,29.56,30.15
"2017/10/05",30.181,30.9,30,30.761
"2017/10/06",30.55,30.88,30.5,30.761
"2017/10/09",30.771,31.521,30.761,31.07
"2017/10/10",31.441,31.441,30.65,31.32
"2017/10/11",31.341,32,31.21,32
"2017/10/12",32.35,33.161,32.21,32.811
"2017/10/13",33.221,33.221,32.41,32.811
"2017/10/16",32.951,33.295,32.581,33.221
"2017/10/17",33.25,33.306,32.131,32.69
"2017/10/18",33.021,33.061,32.341,32.521
"2017/10/19",32.091,32.26,31.441,32.12
"2017/10/20",32.611,32.75,32.201,32.5
"2017/10/23",32.741,32.977,32.46,32.53
"2017/10/24",32.8,32.843,32.5,32.71
"2017/10/25",32.991,32.991,32.201,32.901
"2017/10/26",33,34.75,32.82,34.111
"2017/10/27",34.69,35.291,34.216,35.201
"2017/10/30",35.8,35.811,34.66,35.75
"2017/10/31",35.82,37.44,35.82,37.19
"2017/11/01",37.48,37.521,35.87,36.471
"2017/11/02",35.87,36.361,34.75,36.07
"2017/11/03",36.23,36.98,35.911,36.89
"2017/11/06",37.311,37.75,36.8,37.181
"2017/11/07",37.69,37.69,36.291,36.76
"2017/11/08",36.94,37.16,36,36.71
"2017/11/09",36.451,38.01,34.831,37.96
"2017/11/10",37.651,39.731,37.39,39.21
"2017/11/13",39.131,40.19,38.311,39.98
"2017/11/14",39.98,40.5,39.51,39.741
"2017/11/15",41.151,41.8,40.17,40.66
"2017/11/16",40.951,41.971,40.521,41.901
"2017/11/17",42.491,45.741,42.44,44.181
"2017/11/20",44.991,46.061,44.581,45.21
"2017/11/21",46,48.241,45.703,48.061
"2017/11/22",46.862,49.55,46.1,48.811
"2017/11/24",49.401,49.561,48.111,48.861
"2017/11/27",47.21,47.401,40.37,41.021
"2017/11/28",39.89,44.05,39.5,42.55
"2017/11/29",43.201,43.39,37.181,39.131
"2017/11/30",39.271,40.78,38.82,39.221
"2017/12/01",39.341,39.55,36.721,38.221
"2017/12/04",38.41,38.69,35.901,36.87
"2017/12/05",36.75,38.591,36.741,37.6
"2017/12/06",37.73,39.771,37.271,37.611
"2017/12/07",39.326,39.46,37.96,38.73
"2017/12/08",39.611,39.791,37.94,38.091
"2017/12/11",38.151,38.681,37.701,38.3
"2017/12/12",38.07,39.64,37.931,38.081
"2017/12/13",38.17,38.451,36.07,36.19
"2017/12/14",35.85,37.541,35.8,37.01
"2017/12/15",37.3,37.653,36.87,37.03
"2017/12/18",37.41,38,37.221,37.75
"2017/12/19",38.1,38.1,36.521,36.92
"2017/12/20",36.98,37.041,35.581,35.66
"2017/12/21",35.681,36.471,35.66,35.87
"2017/12/22",35.07,35.331,34.14,35.14
"2017/12/26",35,35.5,34.721,35.05
"2017/12/27",35.01,36.091,35.01,35.75
"2017/12/28",35.92,36.1,34.96,35.131
"2017/12/29",34.791,35.081,34.381,34.67
