date,open,high,low,close
"2018/01/02",40.681,40.741,40.17,40.611
"2018/01/03",40.87,41.39,40.861,41.05
"2018/01/04",41.221,41.69,41.091,41.46
"2018/01/05",41.62,41.87,41.341,41.85
"2018/01/08",41.62,42.26,41.591,42.21
"2018/01/09",42.26,42.66,42.181,42.271
"2018/01/10",42.3,48.25,41.451,47.69
"2018/01/11",49.87,51.39,48.881,50.341
"2018/01/12",50.541,50.541,49.201,49.471
"2018/01/16",49.151,49.39,47.721,48.48
"2018/01/17",48.53,49.82,48.51,49.71
"2018/01/18",49.48,50.17,49.111,49.94
"2018/01/19",50.111,50.291,49.85,49.98
"2018/01/22",50.041,50.361,49.69,49.971
"2018/01/23",50.19,50.69,49.78,50.44
"2018/01/24",50.701,50.75,50.181,50.25
"2018/01/25",50.401,50.681,49.971,50.51
"2018/01/26",50.76,50.771,50.131,50.14
"2018/01/29",50.061,50.26,49.23,49.291
"2018/01/30",48.92,50.21,48.681,49.951
"2018/01/31",50.17,50.73,49.96,50.28
"2018/02/01",50.17,50.241,49.431,49.581
"2018/02/02",49.48,50.14,48.78,48.94
"2018/02/05",48.581,49.561,47.331,47.341
"2018/02/06",46.631,47.64,45.701,47.48
"2018/02/07",47.57,49.131,46.451,48.28
"2018/02/08",48.271,49.971,47.701,47.741
"2018/02/09",47.92,48.631,46.73,48.151
"2018/02/12",48.67,48.991,48.23,48.48
"2018/02/13",48.451,49.111,48.21,49.01
"2018/02/14",48.811,50.091,48.721,49.76
"2018/02/15",50.111,50.44,49.55,50.28
"2018/02/16",51.03,51.151,49.35,50
"2018/02/20",49.76,51.181,49.01,50.451
"2018/02/21",50.39,50.94,49.03,50.111
"2018/02/22",50.061,50.561,49.791,50.16
"2018/02/23",50.17,50.651,49.91,50.491
"2018/02/26",50.48,50.69,50.05,50.26
"2018/02/27",50.081,50.611,49.69,49.73
"2018/02/28",49.741,50.16,49.32,49.521
"2018/03/01",49.611,49.82,49.021,49.341
"2018/03/02",48.85,50.271,48.131,50.23
"2018/03/05",50.151,51.87,49.991,51.791
"2018/03/06",52,52.35,51.061,51.581
"2018/03/07",51.201,52.491,50.901,52.491
"2018/03/08",52.28,52.41,51.44,51.931
"2018/03/09",52.361,52.631,51.85,51.94
"2018/03/12",51.85,52.25,51.611,52.12
"2018/03/13",51.85,52.25,51.85,52.23
"2018/03/14",52.19,52.201,51.62,52.111
"2018/03/15",52,52.271,51.6,52.081
"2018/03/16",52.201,52.67,51.91,52.591
"2018/03/19",52.041,52.221,51.341,52.1
"2018/03/20",52.131,52.91,51.12,52.681
"2018/03/21",52.451,53.381,52.42,53.14
"2018/03/22",52.381,52.87,51.271,52.41
"2018/03/23",52.291,52.291,51.271,51.55
"2018/03/26",52.05,53.291,51.8,53.201
"2018/03/27",53.611,53.991,52.01,52.3
"2018/03/28",52.201,52.201,51.331,51.541
"2018/03/29",51.96,53.8,51.78,53.64
"2018/04/02",53.41,53.66,51.42,51.841
"2018/04/03",50.44,51.221,48.92,49
"2018/04/04",46.131,49.01,46.1,48.98
"2018/04/05",48.96,49.151,47.541,48.17
"2018/04/06",48.25,48.701,47.69,48.32
"2018/04/09",48.8,49.01,48.381,48.41
"2018/04/10",48.901,49.05,48.44,48.92
"2018/04/11",48.76,49.82,48.76,49.561
"2018/04/12",49.96,50.69,49.6,50.41
"2018/04/13",50.75,50.94,49.37,50.091
"2018/04/16",50.561,50.75,50.1,50.71
"2018/04/17",51.381,51.51,51,51.23
"2018/04/18",51.381,51.82,51.091,51.73
"2018/04/19",51.581,51.841,50.581,50.62
"2018/04/20",50.62,50.791,50.19,50.37
"2018/04/23",50.66,50.701,50.01,50.21
"2018/04/24",50.591,51.12,49.541,50.01
"2018/04/25",49.831,50.081,49.07,49.16
"2018/04/26",49.48,50.291,49.291,49.82
"2018/04/27",50.07,50.331,49.64,50.01
"2018/04/30",50,50.23,49.42,49.651
"2018/05/01",49.491,50.111,49.271,49.991
"2018/05/02",50.131,50.771,47.951,48.3
"2018/05/03",47.991,48.71,47.581,47.98
"2018/05/04",47.75,48.71,47.51,48.26
"2018/05/07",48.3,48.971,48.111,48.75
"2018/05/08",48.75,49.62,48.42,49.21
"2018/05/09",49.46,49.48,48.881,49
"2018/05/10",49.07,49.25,48.87,49.041
"2018/05/11",49.111,49.66,48.951,49.19
"2018/05/14",49.21,49.471,48.14,48.42
"2018/05/15",48.03,48.681,47.91,48.561
"2018/05/16",48.811,49.3,48.771,49.17
"2018/05/17",49.061,49.631,48.931,49.521
"2018/05/18",49.331,50.05,49.271,49.92
"2018/05/21",50.05,50.42,49.76,49.98
"2018/05/22",49.98,50.131,49.51,49.541
"2018/05/23",49.39,50.021,49.131,50
"2018/05/24",49.92,50.37,49.701,50.17
"2018/05/25",50.14,50.48,50.021,50.201
"2018/05/29",49.85,50.131,49.561,50.03
"2018/05/30",50.201,50.41,49.76,49.811
"2018/05/31",49.98,51.14,49.85,50.91
"2018/06/01",51.041,51.381,50.831,50.931
"2018/06/04",50.92,51.401,50.76,51.3
"2018/06/05",51.51,52.25,51.35,52.041
"2018/06/06",51.94,52.3,51.67,52.271
"2018/06/07",52.5,52.5,50.831,51.51
"2018/06/08",51.42,51.721,51.1,51.681
"2018/06/11",51.96,52.131,51.681,51.971
"2018/06/12",51.87,52.701,51.791,52.62
"2018/06/13",52.94,53.1,52.331,52.42
"2018/06/14",52.451,53.041,52.26,53.021
"2018/06/15",52.991,53.381,52.5,53.32
"2018/06/18",53.181,54.6,52.901,54.51
"2018/06/19",53.881,55.07,52.96,54.67
"2018/06/20",55.041,55.25,54.44,54.55
"2018/06/21",54.741,55.021,53.94,54.51
"2018/06/22",54.471,54.96,53.841,54.881
"2018/06/25",54.51,54.831,52.131,52.44
"2018/06/26",52.78,53.041,52.42,52.591
"2018/06/27",52.881,53.23,51.241,51.341
"2018/06/28",51.181,51.951,51.021,51.87
"2018/06/29",52.021,52.361,51.861,51.901
"2018/07/02",51.64,52.341,51.26,52.3
"2018/07/03",52.39,52.831,52.241,52.541
