date,open,high,low,close
"2010/01/04",9.341,9.36,9.29,9.29
"2010/01/05",9.33,9.381,9.271,9.351
"2010/01/06",9.351,9.5,9.341,9.4
"2010/01/07",9.351,9.36,9.25,9.341
"2010/01/08",9.24,9.351,9.211,9.341
"2010/01/11",9.311,9.33,9.19,9.28
"2010/01/12",9.061,9.08,8.9,8.921
"2010/01/13",9.101,9.181,9,9.101
"2010/01/14",9.131,9.19,9.091,9.12
"2010/01/15",9.091,9.101,8.841,8.87
"2010/01/19",8.73,8.891,8.721,8.851
"2010/01/20",8.83,8.881,8.721,8.78
"2010/01/21",8.841,8.881,8.601,8.65
"2010/01/22",8.591,8.62,8.29,8.32
"2010/01/25",8.53,8.57,8.391,8.45
"2010/01/26",8.53,8.65,8.48,8.5
"2010/01/27",8.4,8.44,8.101,8.19
"2010/01/28",8.511,8.53,8.2,8.271
"2010/01/29",8.32,8.381,8.101,8.141
"2010/02/01",8.36,8.44,8.341,8.421
"2010/02/02",8.58,8.641,8.511,8.591
"2010/02/03",8.62,8.65,8.53,8.631
"2010/02/04",8.5,8.511,8.171,8.171
"2010/02/05",8.141,8.181,7.89,8.11
"2010/02/08",7.97,8.091,7.87,8
"2010/02/09",8.011,8.181,7.89,8.091
"2010/02/10",8.19,8.211,8.07,8.2
"2010/02/11",8.091,8.301,8.011,8.301
"2010/02/12",7.961,8.11,7.921,8.07
"2010/02/16",7.95,8.2,7.91,8.171
"2010/02/17",8.45,8.48,8.37,8.431
"2010/02/18",8.5,8.561,8.49,8.54
"2010/02/19",8.49,8.61,8.44,8.561
"2010/02/22",8.761,8.771,8.61,8.641
"2010/02/23",8.5,8.53,8.301,8.32
"2010/02/24",8.54,8.631,8.461,8.561
"2010/02/25",8.45,8.61,8.381,8.591
"2010/02/26",8.57,8.711,8.49,8.671
"2010/03/01",8.74,8.83,8.7,8.82
"2010/03/02",9,9.03,8.94,8.95
"2010/03/03",9.021,9.101,9,9.011
"2010/03/04",9.061,9.08,8.91,8.971
"2010/03/05",9.19,9.261,9.141,9.24
"2010/03/08",9.25,9.261,9.171,9.2
"2010/03/09",9.061,9.2,9.061,9.131
"2010/03/10",9.15,9.311,9.15,9.301
"2010/03/11",9.211,9.271,9.141,9.271
"2010/03/12",9.28,9.28,9.051,9.07
"2010/03/15",9.051,9.08,8.94,9.03
"2010/03/16",9.16,9.301,9.101,9.29
"2010/03/17",9.32,9.381,9.29,9.341
"2010/03/18",9.25,9.29,9.08,9.16
"2010/03/19",9.051,9.16,8.971,9.051
"2010/03/22",8.91,9.25,8.91,9.24
"2010/03/23",9.271,9.37,9.23,9.37
"2010/03/24",9.45,9.61,9.4,9.53
"2010/03/25",9.801,9.921,9.69,9.73
"2010/03/26",9.86,9.95,9.711,9.75
"2010/03/29",9.86,9.971,9.851,9.94
"2010/03/30",9.841,9.851,9.69,9.79
"2010/03/31",9.881,9.95,9.801,9.86
"2010/04/01",10.15,10.181,9.99,10.03
"2010/04/05",10.24,10.271,10.061,10.25
"2010/04/06",10.19,10.301,10.16,10.301
"2010/04/07",10.12,10.141,10.03,10.091
"2010/04/08",9.811,9.971,9.761,9.95
"2010/04/09",9.971,10.07,9.94,10.061
"2010/04/12",10.181,10.211,10.091,10.16
"2010/04/13",10.19,10.33,10.131,10.33
"2010/04/14",10.54,10.631,10.511,10.631
"2010/04/15",10.45,10.53,10.431,10.49
"2010/04/16",10.29,10.351,10.101,10.25
"2010/04/19",10.12,10.311,10.101,10.311
"2010/04/20",10.471,10.61,10.44,10.601
"2010/04/21",10.7,10.73,10.36,10.49
"2010/04/22",10.15,10.45,10.091,10.44
"2010/04/23",9.801,9.86,9.601,9.681
"2010/04/26",9.711,9.78,9.66,9.69
"2010/04/27",9.511,9.57,9.11,9.141
"2010/04/28",9.36,9.4,9.11,9.261
"2010/04/29",9.351,9.381,9.271,9.381
"2010/04/30",9.49,9.49,9.181,9.2
"2010/05/03",9.311,9.391,9.28,9.36
"2010/05/04",8.811,8.83,8.66,8.73
"2010/05/05",8.36,8.591,8.32,8.48
"2010/05/06",8.48,8.58,7.801,8.391
"2010/05/07",8.261,8.351,7.821,8.12
"2010/05/10",8.65,8.721,8.49,8.601
"2010/05/11",8.381,8.721,8.36,8.561
"2010/05/12",8.601,8.681,8.54,8.61
"2010/05/13",8.57,8.74,8.48,8.48
"2010/05/14",8.211,8.221,7.95,8.19
"2010/05/17",8.221,8.29,7.97,8.24
"2010/05/18",8.36,8.381,7.981,8.011
"2010/05/19",7.95,8.171,7.89,8.12
"2010/05/20",7.7,8.11,7.6,7.901
"2010/05/21",7.781,8.08,7.75,8.051
"2010/05/24",7.85,8.011,7.83,7.861
"2010/05/25",7.29,7.761,7.281,7.68
"2010/05/26",7.591,7.72,7.481,7.52
"2010/05/27",7.81,8.061,7.79,8.021
"2010/05/28",7.91,7.93,7.7,7.74
"2010/06/01",7.651,7.921,7.611,7.611
"2010/06/02",7.91,8.07,7.861,8.051
"2010/06/03",8.15,8.15,7.941,8.051
"2010/06/04",8.021,8.091,7.74,7.77
"2010/06/07",7.99,7.99,7.64,7.68
"2010/06/08",7.74,7.83,7.64,7.83
"2010/06/09",8.12,8.16,7.87,7.901
"2010/06/10",8.28,8.421,8.25,8.421
"2010/06/11",8.29,8.471,8.261,8.44
"2010/06/14",8.561,8.631,8.511,8.58
"2010/06/15",8.801,8.95,8.78,8.921
"2010/06/16",8.521,8.69,8.471,8.61
"2010/06/17",8.69,8.69,8.58,8.66
"2010/06/18",8.671,8.75,8.62,8.65
"2010/06/21",8.79,8.801,8.511,8.58
"2010/06/22",8.551,8.641,8.351,8.391
"2010/06/23",8.551,8.61,8.37,8.561
"2010/06/24",8.471,8.49,8.28,8.391
"2010/06/25",8.33,8.4,8.23,8.33
"2010/06/28",8.4,8.461,8.28,8.33
"2010/06/29",8.051,8.061,7.89,7.97
"2010/06/30",8.03,8.131,7.901,7.91
"2010/07/01",8.051,8.061,7.821,8.03
"2010/07/02",8.08,8.11,7.881,7.97
"2010/07/06",8.211,8.221,7.93,8.011
"2010/07/07",8,8.36,7.99,8.351
"2010/07/08",8.421,8.45,8.29,8.44
"2010/07/09",8.211,8.4,8.19,8.391
"2010/07/12",8.32,8.431,8.311,8.4
"2010/07/13",8.521,8.681,8.521,8.671
"2010/07/14",8.74,8.86,8.69,8.801
"2010/07/15",8.841,8.851,8.631,8.841
"2010/07/16",8.65,8.69,8.521,8.591
"2010/07/19",8.61,8.681,8.521,8.641
"2010/07/20",8.23,8.461,8.221,8.431
"2010/07/21",8.471,8.521,8.261,8.29
"2010/07/22",8.57,8.761,8.561,8.69
"2010/07/23",8.36,8.44,8.091,8.44
"2010/07/26",8.181,8.24,8.101,8.2
"2010/07/27",8.19,8.2,8.08,8.16
"2010/07/28",8.171,8.23,8.12,8.171
"2010/07/29",8.341,8.36,8.091,8.141
"2010/07/30",8.15,8.29,8.091,8.19
"2010/08/02",8.33,8.431,8.301,8.381
"2010/08/03",8.37,8.381,8.271,8.341
"2010/08/04",8.33,8.381,8.221,8.29
"2010/08/05",8.261,8.33,8.25,8.301
"2010/08/06",8.32,8.431,8.181,8.261
"2010/08/09",8.37,8.45,8.32,8.4
"2010/08/10",8.311,8.33,8.15,8.301
"2010/08/11",7.77,7.781,7.631,7.671
"2010/08/12",7.461,7.6,7.45,7.531
"2010/08/13",7.511,7.6,7.47,7.5
"2010/08/16",7.43,7.551,7.401,7.49
"2010/08/17",7.651,7.74,7.62,7.68
"2010/08/18",7.66,7.75,7.611,7.68
"2010/08/19",7.711,7.72,7.45,7.49
"2010/08/20",7.35,7.37,7.25,7.361
"2010/08/23",7.321,7.35,7.191,7.22
"2010/08/24",7.02,7.071,6.941,6.961
"2010/08/25",6.901,7.04,6.85,7.02
"2010/08/26",7.031,7.091,6.91,6.95
"2010/08/27",6.91,6.93,6.671,6.821
"2010/08/30",6.7,6.72,6.62,6.62
"2010/08/31",6.6,6.691,6.511,6.551
"2010/09/01",6.89,7.071,6.89,7.031
"2010/09/02",7.04,7.08,6.99,7.071
"2010/09/03",7.131,7.18,7.04,7.171
"2010/09/07",7.08,7.08,6.961,6.99
"2010/09/08",6.901,7,6.89,6.93
"2010/09/09",7.111,7.12,7.011,7.04
"2010/09/10",7.04,7.051,6.89,6.93
"2010/09/13",7.111,7.16,7.091,7.14
"2010/09/14",7.191,7.321,7.12,7.261
"2010/09/15",7.191,7.281,7.14,7.231
"2010/09/16",7.171,7.231,7.151,7.211
"2010/09/17",7.33,7.361,7.261,7.35
"2010/09/20",7.47,7.611,7.421,7.611
"2010/09/21",7.711,7.711,7.56,7.651
"2010/09/22",7.611,7.66,7.511,7.54
"2010/09/23",7.361,7.49,7.321,7.41
"2010/09/24",7.54,7.7,7.54,7.68
"2010/09/27",7.691,7.7,7.591,7.6
"2010/09/28",7.58,7.7,7.461,7.7
"2010/09/29",7.611,7.7,7.58,7.64
"2010/09/30",7.77,7.83,7.571,7.631
"2010/10/01",7.651,7.671,7.5,7.6
"2010/10/04",7.35,7.401,7.22,7.301
"2010/10/05",7.551,7.66,7.52,7.651
"2010/10/06",7.611,7.651,7.481,7.531
"2010/10/07",7.58,7.58,7.43,7.54
"2010/10/08",7.45,7.52,7.39,7.511
"2010/10/11",7.551,7.6,7.531,7.56
"2010/10/12",7.631,7.731,7.531,7.7
"2010/10/13",7.961,7.961,7.85,7.861
"2010/10/14",7.861,7.91,7.81,7.881
"2010/10/15",7.95,7.95,7.801,7.87
"2010/10/18",7.91,7.961,7.861,7.921
"2010/10/19",7.761,7.77,7.58,7.64
"2010/10/20",7.731,7.89,7.711,7.87
"2010/10/21",7.941,8,7.861,7.921
"2010/10/22",8.101,8.15,8.03,8.131
"2010/10/25",8.2,8.311,8.2,8.271
"2010/10/26",8.061,8.2,8.03,8.141
"2010/10/27",8.461,8.57,8.41,8.48
"2010/10/28",8.79,8.801,8.681,8.75
"2010/10/29",8.73,8.82,8.7,8.771
"2010/11/01",8.78,8.801,8.65,8.69
"2010/11/02",8.811,8.87,8.74,8.86
"2010/11/03",8.971,9.181,8.891,9.15
