date,open,high,low,close
"2006/01/03",20.101,20.13,19.691,20.07
"2006/01/04",20.24,21.121,20.201,21.041
"2006/01/05",21.011,21.121,20.851,20.851
"2006/01/06",21.08,21.451,20.88,21.39
"2006/01/09",21.521,22.351,21.451,22.291
"2006/01/10",22.291,23.371,22.101,23.32
"2006/01/11",23.23,23.531,22.871,23.181
"2006/01/12",22.951,23.421,22.91,23
"2006/01/13",23.75,24.341,23.431,24.23
"2006/01/17",24.24,24.261,23.921,24.13
"2006/01/18",24,24.921,23.621,24.601
"2006/01/19",26.25,26.72,25.55,25.591
"2006/01/20",25.8,26,24.91,25
"2006/01/23",25.091,25.91,24.931,25.57
"2006/01/24",25.951,26.47,25.951,26.39
"2006/01/25",25.99,26.05,25.3,25.63
"2006/01/26",26.07,26.55,25.71,26.201
"2006/01/27",26.55,26.74,25.9,26.121
"2006/01/30",26.15,26.23,25.521,25.66
"2006/01/31",25.601,26.22,25.5,26.08
"2006/02/01",25.65,26.13,25.64,26.021
"2006/02/02",25.9,25.91,25.5,25.63
"2006/02/03",25.63,25.82,25.21,25.511
"2006/02/06",25.57,25.781,24.601,24.951
"2006/02/07",25,25.06,24.23,24.351
"2006/02/08",24.701,24.96,24.601,24.89
"2006/02/09",25.15,25.65,25.041,25.06
"2006/02/10",25.06,25.171,24.521,25.171
"2006/02/13",25.171,26.15,25.07,25.96
"2006/02/14",26.05,26.4,25.99,26.041
"2006/02/15",26.451,26.91,26.101,26.5
"2006/02/16",26.57,26.98,26.5,26.8
"2006/02/17",26.8,27.4,26.71,27.291
"2006/02/21",27.451,27.46,27,27.201
"2006/02/22",27.101,27.201,26.291,26.41
"2006/02/23",26.16,26.781,25.21,25.39
"2006/02/24",25.451,25.871,25.4,25.55
"2006/02/27",25.75,26.591,25.75,26
"2006/02/28",26.16,26.841,26.091,26.57
"2006/03/01",26.72,27.3,26.361,27.25
"2006/03/02",27.291,27.74,27,27.701
"2006/03/03",27.601,28.111,27.46,28.08
"2006/03/06",28.08,28.101,27.25,27.521
"2006/03/07",27.05,27.05,25.541,26.15
"2006/03/08",25.9,25.98,24.65,24.861
"2006/03/09",25.201,25.521,24.5,24.5
"2006/03/10",24.56,24.701,23.49,24.281
"2006/03/13",24.351,24.931,23.291,23.921
"2006/03/14",23.921,24.871,23.701,24.701
"2006/03/15",25.181,25.55,25.05,25.46
"2006/03/16",25.75,25.75,24.64,24.66
"2006/03/17",24.64,25,24.031,24.73
"2006/03/20",24.73,25.22,24.72,25
"2006/03/21",25.011,25.49,24.75,24.941
"2006/03/22",24.5,24.5,23.701,24.011
"2006/03/23",24.451,24.5,23.9,24.22
"2006/03/24",24.261,24.48,24.201,24.47
"2006/03/27",24.55,24.611,24.05,24.14
"2006/03/28",24.101,24.49,23.99,24.08
"2006/03/29",24.281,25.691,24.271,25.49
