date,open,high,low,close
"2008/01/02",8.471,8.61,8.271,8.351
"2008/01/03",8.381,8.4,8.25,8.351
"2008/01/04",8.221,8.261,7.441,7.58
"2008/01/07",7.6,7.921,7.56,7.74
"2008/01/08",7.79,7.97,7.43,7.481
"2008/01/09",7.58,7.731,7.361,7.691
"2008/01/10",7.841,8.08,7.7,7.93
"2008/01/11",7.781,7.801,7.24,7.33
"2008/01/14",7.41,7.64,7.401,7.56
"2008/01/15",7.531,7.58,7.22,7.31
"2008/01/16",7.2,7.49,7.111,7.41
"2008/01/17",7.421,7.45,7.011,7.06
"2008/01/18",7.421,8.32,7.421,8.221
"2008/01/22",7.49,8.551,7.441,8.32
"2008/01/23",7.97,8.23,7.68,8.221
"2008/01/24",8.301,8.7,8.23,8.561
"2008/01/25",8.601,8.62,8.16,8.221
"2008/01/28",8.131,8.271,8.011,8.23
"2008/01/29",8.271,8.4,8.04,8.301
"2008/01/30",8.221,8.32,7.941,8.051
"2008/01/31",7.93,8.19,7.91,8.051
"2008/02/01",8.101,8.36,7.781,8.33
"2008/02/04",8.301,8.41,8.08,8.141
"2008/02/05",8.03,8.24,7.64,8.051
"2008/02/06",8.131,8.2,7.591,7.62
"2008/02/07",7.58,8.101,7.52,8.011
"2008/02/08",7.99,8.28,7.961,8.181
"2008/02/11",8.391,8.44,8.211,8.4
"2008/02/12",8.431,8.771,8.391,8.61
"2008/02/13",8.711,8.841,8.511,8.711
"2008/02/14",8.711,8.73,8.351,8.37
"2008/02/15",8.311,8.391,8.051,8.11
"2008/02/19",8.221,8.24,8.101,8.181
"2008/02/20",8.141,8.57,8.131,8.471
"2008/02/21",8.521,8.761,8.48,8.58
"2008/02/22",8.561,8.631,8.36,8.57
"2008/02/25",8.561,8.801,8.5,8.74
"2008/02/26",8.671,9.23,8.671,9.03
"2008/02/27",8.921,9.141,8.73,8.851
"2008/02/28",8.811,8.87,8.48,8.551
"2008/02/29",8.4,8.471,8.171,8.261
"2008/03/03",8.25,8.29,7.97,8.07
"2008/03/04",7.91,8,7.68,7.91
"2008/03/05",7.981,8.41,7.961,8.32
"2008/03/06",8.261,8.341,8.021,8.061
"2008/03/07",7.961,8.181,7.74,7.781
"2008/03/10",7.781,7.89,7.47,7.481
"2008/03/11",7.6,7.7,7.341,7.461
"2008/03/12",7.511,7.551,7.321,7.421
"2008/03/13",7.33,7.571,7.22,7.571
"2008/03/14",7.64,7.761,7.52,7.62
"2008/03/17",7.551,7.591,7.14,7.24
"2008/03/18",7.321,7.761,7.321,7.72
"2008/03/19",7.49,7.511,6.821,6.83
"2008/03/20",6.861,6.961,6.49,6.711
"2008/03/24",6.781,7.18,6.711,7.171
"2008/03/25",7.191,7.301,7.011,7.131
"2008/03/26",7.12,7.12,6.881,7
"2008/03/27",7,7.071,6.841,6.881
"2008/03/28",7,7.321,7,7.071
"2008/03/31",7.071,7.35,7.02,7.281
"2008/04/01",7.43,7.761,7.39,7.731
"2008/04/02",7.72,7.781,7.45,7.511
"2008/04/03",7.461,7.631,7.361,7.631
"2008/04/04",7.611,7.75,7.401,7.671
"2008/04/07",7.75,8.04,7.711,7.861
"2008/04/08",7.801,7.83,7.651,7.731
"2008/04/09",7.761,7.901,7.64,7.87
"2008/04/10",7.85,8.021,7.691,7.89
"2008/04/11",7.821,7.841,7.481,7.531
"2008/04/14",7.49,7.591,7.261,7.29
"2008/04/15",7.321,7.47,7.171,7.47
"2008/04/16",7.631,7.841,7.6,7.801
"2008/04/17",7.66,7.68,7.191,7.441
"2008/04/18",7.651,7.72,7.341,7.47
"2008/04/21",7.39,7.45,7.27,7.31
"2008/04/22",7.341,7.5,7.111,7.37
"2008/04/23",8,8.811,7.99,8.49
"2008/04/24",8.48,8.841,8.37,8.69
"2008/04/25",8.711,8.811,8.391,8.66
"2008/04/28",8.65,9.011,8.591,9.011
"2008/04/29",8.98,9.07,8.721,8.801
"2008/04/30",8.811,8.931,8.641,8.69
"2008/05/01",8.671,9.021,8.65,8.921
"2008/05/02",9.101,9.171,8.73,8.811
"2008/05/05",8.551,8.58,8.28,8.461
"2008/05/06",8.391,8.61,8.311,8.54
"2008/05/07",8.54,8.591,8.261,8.271
"2008/05/08",8.32,8.48,8.181,8.391
"2008/05/09",8.271,8.44,8.23,8.28
"2008/05/12",8.301,8.561,8.211,8.48
"2008/05/13",8.5,8.58,8.341,8.381
"2008/05/14",8.381,8.74,8.36,8.511
"2008/05/15",8.721,9.36,8.7,9.25
"2008/05/16",9.301,9.351,9.011,9.301
"2008/05/19",9.29,9.36,8.94,9
"2008/05/20",8.94,9.051,8.83,9
"2008/05/21",9,9.16,8.851,8.931
"2008/05/22",8.95,9.15,8.86,9.12
"2008/05/23",9.04,9.33,9.04,9.301
"2008/05/27",9.33,9.5,9.25,9.5
"2008/05/28",9.54,10,9.44,9.921
"2008/05/29",9.921,10.271,9.711,9.811
"2008/05/30",9.9,10.37,9.891,10.33
"2008/06/02",10.261,10.29,9.7,9.91
"2008/06/03",9.99,10.221,9.9,10.12
"2008/06/04",10.12,10.95,10,10.65
"2008/06/05",10.94,11.15,10.711,10.971
"2008/06/06",10.961,10.98,10.5,10.65
"2008/06/09",10.961,11.221,10.711,11.2
"2008/06/10",11.141,11.141,10.521,10.811
"2008/06/11",10.95,11.131,10.721,10.721
"2008/06/12",10.78,11.061,10.54,10.61
"2008/06/13",10.69,11.011,10.641,10.851
"2008/06/16",10.811,11.24,10.74,11.15
"2008/06/17",11.16,11.19,10.79,10.851
"2008/06/18",10.75,10.761,10.19,10.271
"2008/06/19",10.341,10.78,10.12,10.641
"2008/06/20",10.5,10.561,9.881,10.091
"2008/06/23",10.091,10.15,9.73,9.761
"2008/06/24",9.671,9.9,9.471,9.591
"2008/06/25",9.7,10.141,9.671,9.86
"2008/06/26",9.601,9.761,9.41,9.711
"2008/06/27",9.49,9.62,9.311,9.561
"2008/06/30",9.61,10,9.471,9.87
