date,open,high,low,close
"2017/01/03",24.32,24.73,24.201,24.601
"2017/01/04",24.75,25.611,24.715,25.15
"2017/01/05",25.16,25.58,24.71,24.97
"2017/01/06",25.07,25.25,24.635,24.72
"2017/01/09",24.73,25.121,24.71,25.031
"2017/01/10",25.031,25.38,24.951,25.24
"2017/01/11",25.281,26.08,25.16,26
"2017/01/12",26.031,26.841,26.011,26.81
"2017/01/13",26.921,26.98,26.48,26.91
"2017/01/17",26.82,26.871,26.428,26.63
"2017/01/18",26.88,27.451,26.621,27.201
"2017/01/19",27.351,27.511,27.14,27.421
"2017/01/20",27.21,28.14,26.96,28.031
"2017/01/23",27.781,27.97,27.23,27.64
"2017/01/24",27.521,28.101,27.38,27.931
"2017/01/25",28.691,28.691,27.681,27.851
"2017/01/26",27.861,27.99,27.621,27.771
"2017/01/27",27.81,27.97,27.521,27.761
"2017/01/30",27.511,27.691,26.97,27.611
"2017/01/31",27.39,27.701,27.07,27.63
"2017/02/01",27.57,28.191,27.33,28.021
"2017/02/02",28,28.185,27.621,28.14
"2017/02/03",28.06,28.371,27.851,28.16
"2017/02/06",27.96,27.98,27.72,27.931
"2017/02/07",28,28.101,27.81,28
"2017/02/08",27.98,28.191,27.681,28.111
"2017/02/09",28.111,28.38,27.958,28.261
"2017/02/10",28.21,28.82,28.102,28.64
"2017/02/13",28.64,28.99,28.5,28.921
"2017/02/14",28.951,29,28.75,28.96
"2017/02/15",28.9,29.74,28.847,29.621
"2017/02/16",29.47,29.591,28.88,29.16
"2017/02/17",28.96,29.9,28.761,29.89
"2017/02/21",29.791,30.24,29.531,30.05
"2017/02/22",30.06,30.24,29.281,29.421
"2017/02/23",29.351,29.625,29.31,29.5
"2017/02/24",29.39,29.39,29.06,29.271
"2017/02/27",29.06,29.201,28.73,28.82
"2017/02/28",28.541,29,28.39,28.441
"2017/03/01",28.73,28.99,28.25,28.931
"2017/03/02",28.83,28.97,28.531,28.601
"2017/03/03",28.66,28.89,28.4,28.791
"2017/03/06",28.56,28.761,28.341,28.63
"2017/03/07",28.691,28.83,28.361,28.55
"2017/03/08",28.671,28.71,28.32,28.63
"2017/03/09",28.75,28.8,28.3,28.541
"2017/03/10",28.691,28.717,28.5,28.671
"2017/03/13",28.58,29.191,28.58,29.13
"2017/03/14",29.15,29.15,28.736,28.921
"2017/03/15",29.041,29.16,28.785,29.031
"2017/03/16",29.13,29.46,28.921,29.39
"2017/03/17",29.531,29.761,29.392,29.66
"2017/03/20",29.81,29.89,29.101,29.451
"2017/03/21",29.73,29.791,28.75,28.99
"2017/03/22",29.041,29.38,28.8,29.181
"2017/03/23",29.021,29.764,29.021,29.291
"2017/03/24",29.32,29.706,29.085,29.431
"2017/03/27",29.3,29.761,29.14,29.591
"2017/03/28",29.601,30,29.32,29.81
"2017/03/29",29.81,29.96,29.41,29.851
"2017/03/30",29.9,30,29.621,29.83
"2017/03/31",29.64,30,29.58,29.951
"2017/04/03",29.851,30.08,29.56,29.74
"2017/04/04",29.81,30,29.681,29.91
"2017/04/05",30,30.38,29.89,30.111
"2017/04/06",30.15,31.33,30.15,31.32
"2017/04/07",31.111,31.431,31.111,31.32
"2017/04/10",31.431,31.691,31.076,31.55
"2017/04/11",31.431,31.5,30.83,31.22
"2017/04/12",31.011,31.64,31.011,31.601
"2017/04/13",31.601,31.621,31.181,31.23
"2017/04/17",31.341,31.601,31.291,31.49
"2017/04/18",31.451,31.72,31.261,31.591
"2017/04/19",31.58,31.98,31.451,31.83
"2017/04/20",31.441,31.5,30.91,31.271
"2017/04/21",31.441,31.615,31.201,31.541
"2017/04/24",31.89,32.03,31.58,32.021
"2017/04/25",31.97,32.811,31.791,32.57
"2017/04/26",32.57,32.85,32.451,32.82
"2017/04/27",32.66,33.57,32.55,33.471
"2017/04/28",34.201,34.971,33.67,34.48
"2017/05/01",33.651,34.791,32.841,34.721
"2017/05/02",34.69,34.951,34.3,34.94
"2017/05/03",34.96,35.32,34.841,35.28
"2017/05/04",35.361,36.89,35.131,36.53
"2017/05/05",36.48,37.01,36.03,36.811
"2017/05/08",36.92,37.041,36.53,36.82
"2017/05/09",36.831,37.061,36.651,36.841
"2017/05/10",36.791,37.42,36.6,37.181
"2017/05/11",37,37.12,36.461,36.931
"2017/05/12",36.791,37.19,36.401,36.841
"2017/05/15",36.92,37.271,36.811,37.061
"2017/05/16",37.061,37.151,36.841,36.901
"2017/05/17",36.51,36.651,35.35,35.401
"2017/05/18",35.3,35.521,34.741,35.341
"2017/05/19",35.46,35.64,35.116,35.25
"2017/05/22",35.14,35.701,34.765,35.561
"2017/05/23",35.631,35.78,35.21,35.431
"2017/05/24",35.41,35.991,35.3,35.901
"2017/05/25",35.76,36,35.42,35.951
"2017/05/26",35.811,35.991,35.42,35.581
"2017/05/30",35.46,35.756,35.28,35.6
