date,open,high,low,close
"2014/01/02",54.89,54.991,54.361,54.451
"2014/01/03",54.5,54.701,54.26,54.491
"2014/01/06",54.701,54.811,54.16,54.46
"2014/01/07",54.521,55,54.41,54.901
"2014/01/08",54.78,55.221,54.721,55.14
"2014/01/09",55.16,55.701,55.16,55.53
"2014/01/10",55.73,55.951,55.26,55.44
"2014/01/13",55.44,55.78,55.25,55.55
"2014/01/14",55.17,55.76,54.91,55.701
"2014/01/15",55.521,56.061,55.42,55.431
"2014/01/16",55.46,56.1,55.381,55.55
"2014/01/17",55.66,56.19,55.561,55.94
"2014/01/21",56.151,56.401,55.681,56.3
"2014/01/22",58.05,61.14,58,60
"2014/01/23",60,60.471,58.991,59.181
"2014/01/24",59.041,59.07,57.28,57.32
"2014/01/27",56.8,57.991,56.16,57.16
"2014/01/28",56.53,57.151,56.07,57.021
"2014/01/29",56.581,57.341,56.361,56.76
"2014/01/30",57.35,58,57.16,57.73
"2014/01/31",57.061,57.061,56.42,56.51
"2014/02/03",56.591,56.64,54.631,55.28
"2014/02/04",54.98,55.331,54.681,55.1
"2014/02/05",54.221,55.081,54.17,54.94
"2014/02/06",55.151,55.881,54.971,55.611
"2014/02/07",56.111,56.651,55.771,56.611
"2014/02/10",56.6,56.85,55.98,56.26
"2014/02/11",56.37,56.901,56.23,56.771
"2014/02/12",56.901,57.5,56.901,57.1
"2014/02/13",56.861,57.381,56.491,57.271
"2014/02/14",57.21,57.431,56.931,57.241
"2014/02/18",57.32,57.681,57.25,57.48
"2014/02/19",57.381,58.16,57.241,57.431
"2014/02/20",57.5,58.01,57.151,57.48
"2014/02/21",57.53,57.76,57.16,57.471
"2014/02/24",57.66,58.28,57.66,57.971
"2014/02/25",57.971,57.971,57.431,57.721
"2014/02/26",57.5,58.241,57.341,57.681
"2014/02/27",57.55,58.32,57.381,58.23
"2014/02/28",58.331,59.05,58.1,58.581
"2014/03/03",57.991,58.39,57.55,58.221
"2014/03/04",58.91,60.03,58.901,60
"2014/03/05",59.91,59.96,58.91,58.951
"2014/03/06",59.07,59.21,58.581,58.8
"2014/03/07",59.05,59.44,58.91,59.111
"2014/03/10",58.94,59.17,58.44,58.91
"2014/03/11",58.971,59.17,57.75,57.89
"2014/03/12",57.611,57.861,57.041,57.8
"2014/03/13",58.091,58.37,57.181,57.32
"2014/03/14",57.32,57.701,56.92,57
"2014/03/17",57.3,58.25,57.3,58.041
"2014/03/18",57.96,58.771,57.96,58.66
"2014/03/19",58.581,58.8,57.67,57.92
"2014/03/20",57.87,59.25,57.791,59.241
"2014/03/21",59.71,60.73,59.491,60.16
"2014/03/24",60.03,60.431,59.17,59.67
"2014/03/25",59.811,60.341,59.51,60.1
"2014/03/26",60.16,60.401,59.01,59.081
"2014/03/27",58.89,59.491,58.611,59.061
"2014/03/28",59.23,59.96,58.991,59.51
"2014/03/31",59.91,60.611,59.82,60.21
"2014/04/01",60.561,60.741,59.951,60.26
"2014/04/02",60.48,61.901,60.361,61.69
"2014/04/03",61.901,62,61.111,61.451
"2014/04/04",61.791,62.16,59.8,59.98
"2014/04/07",59.651,59.741,58.76,59.03
"2014/04/08",59.021,59.271,58.401,59.1
"2014/04/09",59.19,60.25,58.92,60.23
"2014/04/10",60.32,60.541,58.591,58.73
"2014/04/11",59.42,59.841,58.82,58.85
"2014/04/14",59.291,59.651,58.53,59.291
"2014/04/15",59.42,59.931,58.811,59.75
"2014/04/16",60.1,60.881,59.841,60.811
"2014/04/17",60.39,61.3,60.39,61.07
"2014/04/21",61.111,61.431,60.46,61.361
"2014/04/22",61.37,61.91,61.1,61.341
"2014/04/23",61.01,61.78,60.241,60.361
"2014/04/24",60.841,60.931,59.71,60.76
"2014/04/25",60.631,60.64,59.23,59.241
"2014/04/28",59.5,59.69,57.8,58.341
"2014/04/29",58.71,58.811,57.931,58.55
"2014/04/30",58.5,59.17,58.181,58.98
"2014/05/01",59.081,59.631,58.92,59.25
"2014/05/02",59.14,59.41,58.67,59.3
"2014/05/05",59,59.361,58.42,59.291
"2014/05/06",59.131,59.131,58.151,58.181
"2014/05/07",58.241,58.5,57.5,58.451
"2014/05/08",58.5,59.401,58.05,58.201
"2014/05/09",58.201,58.3,57.631,58.1
"2014/05/12",58.521,59.17,58.521,58.78
"2014/05/13",58.87,59.1,58.061,58.1
"2014/05/14",58.111,58.221,57.771,57.861
"2014/05/15",57.811,57.89,56.28,56.66
"2014/05/16",56.771,57.17,56.37,57.151
"2014/05/19",57,57.66,56.87,57.591
"2014/05/20",57.591,57.631,56.681,56.89
"2014/05/21",57.12,57.28,56.82,57.221
"2014/05/22",57.21,57.69,57.091,57.311
"2014/05/23",57.541,58.19,57.21,58.131
"2014/05/27",58.311,58.6,58.131,58.291
"2014/05/28",58.111,58.651,58,58.451
"2014/05/29",58.631,59.381,58.46,59.331
"2014/05/30",59.151,59.85,59.041,59.46
"2014/06/02",59.521,59.811,59,59.69
"2014/06/03",59.651,60.721,59.64,60.69
"2014/06/04",60.521,60.861,59.98,60.8
"2014/06/05",60.771,61.331,60.451,61.241
"2014/06/06",61.221,61.741,61.21,61.701
"2014/06/09",61.721,62.291,61.64,62.14
"2014/06/10",62.07,62.271,61.64,62.12
"2014/06/11",61.971,62.181,61.701,62.021
"2014/06/12",62.111,62.23,61.5,61.75
"2014/06/13",61.881,61.98,61.28,61.46
"2014/06/16",61.41,61.881,61.151,61.521
"2014/06/17",61.491,62.181,61.28,61.78
"2014/06/18",61.73,62.01,61.21,61.94
"2014/06/19",61.931,62.631,61.71,62.23
"2014/06/20",62.3,62.51,61.971,62.241
"2014/06/23",61.71,62.46,61.561,61.89
"2014/06/24",61.73,62.03,60.931,60.94
"2014/06/25",60.98,61.37,60.57,61.041
"2014/06/26",61.28,61.42,60.631,61.181
"2014/06/27",61.05,61.991,61.03,61.94
"2014/06/30",61.861,62,61.42,61.841
"2014/07/01",62.151,63.48,62.041,63.361
"2014/07/02",63.25,63.841,63.131,63.21
"2014/07/03",63.341,63.69,63.111,63.66
"2014/07/07",63.631,63.78,63.111,63.721
"2014/07/08",63.6,63.681,62.951,63.6
"2014/07/09",63.62,64.03,63.23,64.011
"2014/07/10",62.701,63.721,62.62,63.331
"2014/07/11",63.541,63.541,63.091,63.21
"2014/07/14",63.451,63.67,63.111,63.201
"2014/07/15",63.221,63.32,62.681,63.081
"2014/07/16",63.381,63.561,62.89,62.96
"2014/07/17",62.811,63.401,62.55,63.061
"2014/07/18",63.28,64.31,63.21,64.261
"2014/07/21",63.87,64.361,63.64,64.301
"2014/07/22",64.471,65.011,64.401,64.971
"2014/07/23",63,64.7,60.701,62.32
"2014/07/24",62.6,63.381,62.311,63.311
"2014/07/25",63.041,63.541,62.78,63.05
"2014/07/28",63.03,63.42,62.701,63.14
"2014/07/29",63.14,63.6,62.631,62.73
"2014/07/30",63.021,63.6,62.611,63.37
"2014/07/31",63,63.05,61.87,61.89
"2014/08/01",61.861,61.861,60.861,61.48
"2014/08/04",61.8,61.931,61.561,61.651
"2014/08/05",61.35,62,61.091,61.32
"2014/08/06",61.181,61.5,61,61.37
"2014/08/07",61.841,61.841,60.791,60.901
"2014/08/08",60.98,61.311,60.631,61.291
"2014/08/11",61.521,62.041,61.44,61.51
"2014/08/12",61.25,61.73,60.71,61.151
"2014/08/13",61.55,62.14,61.23,62.111
"2014/08/14",62.26,62.46,61.881,62.14
"2014/08/15",62.46,62.591,61.631,62.151
"2014/08/18",62.75,63,62.631,62.881
"2014/08/19",62.89,63.241,62.48,62.8
"2014/08/20",62.651,62.831,62.1,62.341
"2014/08/21",62.5,62.721,62.381,62.46
"2014/08/22",62.25,62.521,61.98,62.12
"2014/08/25",62.361,63.021,62.341,62.901
"2014/08/26",63.201,63.201,62.82,62.971
"2014/08/27",62.841,63,61.98,62.07
"2014/08/28",61.881,62.14,61.55,62.01
"2014/08/29",62.181,62.78,62.12,62.681
"2014/09/02",62.811,62.98,62.451,62.75
"2014/09/03",62.89,63.14,62.51,63.1
"2014/09/04",63.521,64.041,63.021,63.07
"2014/09/05",62.991,63.19,62.48,62.62
"2014/09/08",62.53,63.061,62.41,62.73
"2014/09/09",62.51,62.771,61.931,62.01
"2014/09/10",61.98,62.66,61.98,62.451
"2014/09/11",62.35,63.69,62.131,63.581
"2014/09/12",63.48,63.5,62.581,63
"2014/09/15",63.12,63.16,62.42,62.611
"2014/09/16",62.32,62.451,61.861,62.28
"2014/09/17",62.28,62.741,61.681,61.861
"2014/09/18",62.241,62.39,61.8,61.901
"2014/09/19",61.991,62.21,60.89,60.92
"2014/09/22",60.98,61.19,60.23,60.44
"2014/09/23",60.39,60.561,59.311,59.32
"2014/09/24",59.17,59.71,59.041,59.651
"2014/09/25",59.46,59.651,58.471,58.471
"2014/09/26",58.57,58.94,58.381,58.8
"2014/09/29",58.3,58.51,57.841,57.87
"2014/09/30",57.75,57.951,54.55,55.291
"2014/10/01",55.291,55.44,54.26,54.541
"2014/10/02",54.41,54.94,54.03,54.5
"2014/10/03",54.87,55.791,54.771,55.69
"2014/10/06",56,56.57,55.89,56.41
"2014/10/07",56.201,56.6,55.73,55.75
"2014/10/08",55.901,56.37,54.991,56.331
"2014/10/09",55.96,56.05,54.681,54.8
"2014/10/10",54.6,54.721,51.48,51.55
"2014/10/13",51.69,52.451,51.291,51.471
"2014/10/14",51.75,52.881,51.75,52.061
"2014/10/15",51.37,52.6,51.03,52.471
"2014/10/16",51.71,52.991,51.491,52.431
"2014/10/17",52.98,54.48,52.89,53.44
"2014/10/20",53.1,53.541,52.85,53.361
"2014/10/21",53.92,55.16,53.831,55.1
"2014/10/22",55.021,55.131,54.241,54.401
