date,open,high,low,close
"2007/01/03",14.9,15.311,14.761,14.931
"2007/01/04",14.94,15.48,14.851,15.461
"2007/01/05",15.381,15.4,15.131,15.29
"2007/01/08",15.351,15.591,15.12,15.45
"2007/01/09",15.461,15.771,15.41,15.69
"2007/01/10",15.94,16.291,15.58,16.191
"2007/01/11",16.191,16.351,16,16.05
"2007/01/12",16.05,16.171,15.87,16.021
"2007/01/16",16.031,16.111,15.801,15.971
"2007/01/17",15.971,16.121,15.87,15.931
"2007/01/18",15.94,15.94,14.9,14.971
"2007/01/19",15,15.261,14.87,15.221
"2007/01/22",15.341,15.381,14.94,15.2
"2007/01/23",15.101,15.44,15.101,15.211
"2007/01/24",15.181,15.65,15.08,15.61
"2007/01/25",16,16.46,15.301,15.33
"2007/01/26",15.211,15.4,14.801,15.24
"2007/01/29",15.25,15.471,14.851,14.87
"2007/01/30",14.921,15.051,14.811,14.94
"2007/01/31",14.87,14.95,14.641,14.9
"2007/02/01",15.051,15.301,14.971,15.08
"2007/02/02",15.181,15.37,15.03,15.211
"2007/02/05",15.12,15.29,15,15.211
"2007/02/06",15.261,15.261,14.921,15.04
"2007/02/07",15.11,15.48,15.101,15.32
"2007/02/08",15.33,15.551,15.19,15.431
"2007/02/09",15.45,15.65,15.32,15.341
"2007/02/12",15.4,15.41,15.04,15.25
"2007/02/13",15.221,15.471,15.2,15.391
"2007/02/14",15.551,15.69,15.41,15.591
"2007/02/15",15.57,15.801,15.53,15.641
"2007/02/16",15.65,15.98,15.511,15.891
"2007/02/20",15.631,16.101,15.631,16.05
"2007/02/21",16,16.101,15.881,16.031
"2007/02/22",16.16,16.4,16.111,16.361
"2007/02/23",16.4,16.841,16.4,16.64
"2007/02/26",16.761,16.761,16.361,16.601
"2007/02/27",16.3,16.671,15.94,15.95
"2007/02/28",15.921,16.16,15.671,16.111
"2007/03/01",15.75,16.22,15.65,16.011
"2007/03/02",15.9,15.971,15.45,15.48
"2007/03/05",15.341,15.79,15.311,15.49
"2007/03/06",15.65,15.801,15.591,15.711
"2007/03/07",15.65,16.181,15.57,15.971
"2007/03/08",16.15,16.521,16.15,16.47
"2007/03/09",16.601,16.701,16.441,16.64
"2007/03/12",16.57,16.931,16.57,16.841
"2007/03/13",16.66,16.75,16.181,16.22
"2007/03/14",16.261,16.46,16.011,16.3
"2007/03/15",16.3,16.841,16.281,16.81
"2007/03/16",16.82,16.841,16.531,16.71
"2007/03/19",16.791,16.951,16.64,16.74
"2007/03/20",16.74,16.89,16.58,16.771
"2007/03/21",16.75,17.3,16.55,17.171
"2007/03/22",17.181,17.181,16.82,16.9
"2007/03/23",16.941,17.15,16.871,17.031
"2007/03/26",17.07,17.21,16.74,17
"2007/03/27",17,17.05,16.72,16.74
"2007/03/28",16.74,16.74,16.451,16.5
"2007/03/29",16.57,16.66,16.3,16.441
"2007/03/30",16.451,16.65,16.371,16.541
"2007/04/02",16.64,16.75,16.371,16.601
"2007/04/03",16.72,16.941,16.58,16.761
"2007/04/04",16.761,17.171,16.71,17.16
"2007/04/05",17.511,17.511,17.05,17.091
"2007/04/09",17.101,17.201,16.89,17.031
"2007/04/10",16.99,17.06,16.931,17.011
"2007/04/11",16.99,17.031,16.72,16.75
"2007/04/12",16.771,16.8,16.611,16.691
"2007/04/13",16.701,16.701,16.3,16.351
