date,open,high,low,close
"2011/01/03",20.076,20.621,20.056,20.32
"2011/01/04",20.326,20.326,19.701,20.005
"2011/01/05",20.035,20.236,19.871,20.13
"2011/01/06",20.085,20.31,20.031,20.085
"2011/01/07",20.085,20.181,19.771,20.05
"2011/01/10",19.896,20.445,19.89,20.371
"2011/01/11",20.416,20.57,20.205,20.521
"2011/01/12",20.521,20.701,20.4,20.675
"2011/01/13",20.625,20.746,20.541,20.705
"2011/01/14",20.671,21.775,20.671,21.691
"2011/01/18",21.646,22.916,21.646,22.726
"2011/01/19",22.736,22.816,22.08,22.281
"2011/01/20",22.125,22.25,20.951,21
"2011/01/21",21.246,21.5,21.05,21.111
"2011/01/24",21.07,21.56,21.07,21.371
"2011/01/25",21.291,21.605,21.16,21.601
"2011/01/26",21.841,22.46,21.8,22.16
"2011/01/27",22.25,22.521,22.14,22.476
"2011/01/28",22.445,22.58,21.925,22.146
"2011/01/31",22.195,23.57,22.181,23.041
"2011/02/01",23.101,23.455,23.066,23.24
"2011/02/02",23.16,23.46,22.931,23.341
"2011/02/03",23.275,23.441,22.585,22.916
"2011/02/04",23.906,23.955,23.375,23.941
"2011/02/07",23.951,24.136,23.75,24.025
"2011/02/08",23.585,23.931,23.431,23.65
"2011/02/09",23.5,23.701,23.421,23.671
"2011/02/10",23.66,23.886,23.486,23.845
"2011/02/11",23.695,24.091,23.695,24.091
"2011/02/14",23.945,24.66,23.945,24.66
"2011/02/15",24.316,24.765,24.06,24.5
"2011/02/16",24.541,25.445,24.541,25.056
"2011/02/17",24.935,25.046,24.695,25.005
"2011/02/18",24.955,25.101,24.835,25.095
"2011/02/22",24.746,24.796,24.146,24.386
"2011/02/23",24.31,24.375,23.556,23.57
"2011/02/24",23.541,23.886,23.175,23.46
"2011/02/25",23.605,24.425,23.466,24.425
"2011/02/28",24.031,24.74,24.031,24.576
"2011/03/01",24.621,24.806,24.171,24.291
"2011/03/02",24.175,24.705,24.156,24.416
"2011/03/03",24.65,25.4,24.65,25.24
"2011/03/04",25.166,25.416,24.886,25.185
"2011/03/07",25.236,25.416,24.171,24.746
"2011/03/08",24.785,25.105,24.601,24.82
"2011/03/09",24.71,24.71,24.121,24.171
"2011/03/10",23.761,23.88,23.306,23.46
"2011/03/11",23.445,23.941,23.041,23.875
"2011/03/14",23.705,24.08,23.38,23.591
"2011/03/15",22.685,23.23,22.576,22.99
"2011/03/16",23.091,23.22,22.64,22.841
"2011/03/17",23.136,23.396,22.951,22.951
"2011/03/18",23.371,23.55,22.82,23
"2011/03/21",23.361,23.595,23.236,23.505
"2011/03/22",23.48,23.74,23.32,23.646
"2011/03/23",23.566,23.761,23.281,23.636
"2011/03/24",23.865,24.06,23.546,24
"2011/03/25",24.041,24.4,24.005,24.101
