date,open,high,low,close
"2013/01/02",17.761,18.121,17.701,18.101
"2013/01/03",18.271,18.3,18.011,18.091
"2013/01/04",18.101,18.121,17.921,17.96
"2013/01/07",17.861,17.861,17.671,17.701
"2013/01/08",17.71,17.72,17.5,17.541
"2013/01/09",17.761,17.931,17.4,17.541
"2013/01/10",17.81,18.22,17.691,18.181
"2013/01/11",18.08,18.201,17.921,18.15
"2013/01/14",18.16,18.201,17.9,18.011
"2013/01/15",17.88,17.941,17.771,17.89
"2013/01/16",17.761,17.851,17.75,17.8
"2013/01/17",18.101,18.351,17.99,18.261
"2013/01/18",18.21,18.21,17.99,18.14
"2013/01/22",18.101,18.16,17.99,18.16
"2013/01/23",18.15,18.31,18.121,18.271
"2013/01/24",18.041,18.07,17.791,17.81
"2013/01/25",17.75,17.791,17.57,17.75
"2013/01/28",17.701,17.701,17.511,17.521
"2013/01/29",17.771,17.871,17.671,17.761
"2013/01/30",17.701,17.851,17.621,17.8
"2013/01/31",17.791,17.871,17.73,17.74
"2013/02/01",17.89,18.13,17.871,18.07
"2013/02/04",18.011,18.13,17.88,17.9
"2013/02/05",17.98,18.22,17.97,18.181
"2013/02/06",18.24,18.281,17.99,18.041
"2013/02/07",18.06,18.361,18.021,18.3
"2013/02/08",18.23,18.48,18.22,18.451
"2013/02/11",18.441,18.57,18.39,18.48
"2013/02/12",18.4,18.531,18.341,18.5
"2013/02/13",18.521,18.55,18.351,18.41
"2013/02/14",18.431,18.58,18.371,18.57
"2013/02/15",18.55,18.601,18.49,18.531
"2013/02/19",18.66,19.16,18.621,19.15
"2013/02/20",19.191,19.25,18.861,18.89
"2013/02/21",18.841,18.91,18.63,18.691
"2013/02/22",18.671,19,18.66,18.9
"2013/02/25",18.771,18.81,18.25,18.25
"2013/02/26",18.06,18.07,17.691,17.81
"2013/02/27",18,18.371,17.99,18.181
"2013/02/28",18.31,18.5,18.121,18.25
"2013/03/01",18.171,18.351,18.07,18.25
"2013/03/04",17.89,18.171,17.88,18.14
"2013/03/05",18.4,18.41,18.261,18.33
"2013/03/06",18.291,18.431,18.08,18.121
"2013/03/07",18.171,18.25,17.98,18.05
"2013/03/08",18.171,18.191,17.791,17.91
"2013/03/11",17.871,17.88,17.701,17.72
"2013/03/12",17.8,17.9,17.701,17.73
"2013/03/13",18.011,18.05,17.9,18
"2013/03/14",18.05,18.15,17.861,18.05
"2013/03/15",17.871,17.91,17.611,17.64
"2013/03/18",17.451,17.451,17.201,17.24
"2013/03/19",17.21,17.24,17,17.08
"2013/03/20",17.14,17.33,17.101,17.25
"2013/03/21",17.111,17.111,16.871,16.89
"2013/03/22",16.91,17.091,16.88,17.07
"2013/03/25",17.15,17.21,16.931,16.951
"2013/03/26",16.99,17.111,16.951,17.07
"2013/03/27",17.011,17.261,16.97,17.171
"2013/03/28",17.111,17.21,17.031,17.191
"2013/04/01",17.21,17.271,17.031,17.08
"2013/04/02",17.13,17.23,17.07,17.111
"2013/04/03",17.091,17.121,16.65,16.74
"2013/04/04",16.73,16.841,16.65,16.83
"2013/04/05",16.55,16.781,16.48,16.73
"2013/04/08",16.611,16.861,16.56,16.841
"2013/04/09",16.671,17.07,16.671,16.951
"2013/04/10",17.05,17.25,16.96,17.191
"2013/04/11",17.341,17.521,17.21,17.341
"2013/04/12",17.24,17.371,17.101,17.31
"2013/04/15",17.021,17.171,16.88,16.89
"2013/04/16",17.14,17.291,17.121,17.24
"2013/04/17",17.101,17.171,16.99,17.08
"2013/04/18",18.14,18.33,17.89,17.941
"2013/04/19",18.611,18.98,18.55,18.8
"2013/04/22",18.63,18.771,18.351,18.5
"2013/04/23",18.341,18.511,18.13,18.281
"2013/04/24",18.24,18.531,18.21,18.441
"2013/04/25",18.5,18.691,18.47,18.691
"2013/04/26",18.701,18.81,18.49,18.531
"2013/04/29",18.64,18.861,18.621,18.83
"2013/04/30",18.861,19.21,18.82,19.08
"2013/05/01",19.111,19.171,19.031,19.111
"2013/05/02",19.13,19.541,19.13,19.531
"2013/05/03",19.4,19.58,19.4,19.41
"2013/05/06",19.49,19.63,19.48,19.55
"2013/05/07",19.621,19.621,19.371,19.47
"2013/05/08",19.8,20.281,19.72,20.21
"2013/05/09",20.121,20.3,20.101,20.21
"2013/05/10",20.101,20.181,20,20.171
"2013/05/13",20.091,20.101,19.921,19.931
"2013/05/14",19.97,20.05,19.861,19.89
"2013/05/15",19.851,19.871,19.761,19.8
"2013/05/16",19.601,19.65,19.451,19.451
"2013/05/17",19.621,19.621,19.431,19.511
"2013/05/20",19.66,19.671,19.341,19.371
"2013/05/21",19.38,19.531,19.181,19.23
"2013/05/22",19.201,19.271,18.83,18.89
"2013/05/23",18.55,18.841,18.4,18.75
"2013/05/24",18.75,18.871,18.65,18.861
"2013/05/28",19.111,19.22,18.99,19.05
"2013/05/29",19.021,19.3,19.021,19.24
"2013/05/30",19.181,19.191,18.96,18.97
"2013/05/31",18.921,18.921,18.63,18.66
"2013/06/03",18.63,18.73,18.591,18.71
"2013/06/04",18.701,19.031,18.691,18.941
"2013/06/05",18.951,18.97,18.621,18.66
"2013/06/06",18.65,18.74,18.5,18.601
"2013/06/07",18.82,18.851,18.65,18.691
"2013/06/10",18.72,18.941,18.65,18.81
"2013/06/11",18.64,18.75,18.5,18.521
"2013/06/12",18.64,18.72,18.291,18.361
"2013/06/13",18.171,18.31,17.99,18.271
"2013/06/14",18.271,18.33,17.9,17.99
"2013/06/17",18.22,18.371,18.031,18.121
"2013/06/18",18.24,18.441,18.121,18.431
"2013/06/19",18.3,18.46,17.99,17.99
"2013/06/20",17.681,17.701,17.361,17.41
"2013/06/21",17.601,17.611,17.15,17.181
"2013/06/24",16.781,17.07,16.611,16.931
"2013/06/25",17.191,17.57,17.14,17.531
"2013/06/26",17.55,17.71,17.49,17.64
"2013/06/27",17.89,18.121,17.82,17.931
"2013/06/28",18.3,18.41,18.201,18.32
"2013/07/01",18.601,18.671,18.421,18.451
"2013/07/02",18.65,18.851,18.48,18.5
