date,open,high,low,close
"2010/01/04",26.201,26.611,25.89,26.011
"2010/01/05",25.951,26.3,25.701,25.861
"2010/01/06",25.9,26.031,25.56,25.671
"2010/01/07",25.601,25.841,25.361,25.75
"2010/01/08",25.601,26.341,25.521,26.341
"2010/01/11",26.341,26.49,25.72,26
"2010/01/12",26.021,26.031,24.671,24.91
"2010/01/13",25.011,25.16,24.671,25.021
"2010/01/14",24.89,25,24.48,24.71
"2010/01/15",24.681,24.771,24.201,24.5
"2010/01/19",24.451,24.781,24.351,24.72
"2010/01/20",24.521,24.611,24.201,24.55
"2010/01/21",24.55,24.88,24.011,24.181
"2010/01/22",24.101,24.171,23,23.111
"2010/01/25",23.41,23.82,23.201,23.691
"2010/01/26",23.39,23.9,23.291,23.351
"2010/01/27",23.371,23.66,23.08,23.531
"2010/01/28",23.46,23.511,22.691,23.05
"2010/01/29",23.111,23.371,22.281,22.5
"2010/02/01",22.56,23.08,22.56,23.05
"2010/02/02",22.97,23.371,22.941,23.31
"2010/02/03",23.261,23.32,22.931,23.201
"2010/02/04",23.011,23.011,22.4,22.591
"2010/02/05",22.55,23.13,22.5,22.97
"2010/02/08",23,23.371,22.701,23.101
"2010/02/09",23.33,23.66,23.271,23.38
"2010/02/10",23.39,23.58,23.14,23.441
"2010/02/11",23.431,24,23.3,23.771
"2010/02/12",23.541,24.271,23.4,24.031
"2010/02/16",24.13,24.88,24.13,24.791
"2010/02/17",24.861,24.97,24.3,24.71
"2010/02/18",24.65,24.861,24.39,24.83
"2010/02/19",24.8,25.06,24.591,25.011
"2010/02/22",25.021,25.15,24.621,24.73
"2010/02/23",24.671,24.72,24.06,24.3
"2010/02/24",24.531,25,24.48,24.75
"2010/02/25",24.21,24.55,24.011,24.521
"2010/02/26",24.451,24.611,24.23,24.38
"2010/03/01",24.531,24.931,24.47,24.63
"2010/03/02",24.541,24.921,24.25,24.48
"2010/03/03",24.57,24.791,24.351,24.4
"2010/03/04",24.46,24.75,24.16,24.671
"2010/03/05",24.8,25.091,24.611,24.97
"2010/03/08",25.091,25.091,24.55,24.691
"2010/03/09",24.291,24.49,23.871,24.191
