date,open,high,low,close
"2009/01/02",12.11,12.11,11.891,11.99
"2009/01/05",12,12,11.511,11.62
"2009/01/06",11.711,11.761,11.561,11.681
"2009/01/07",11.5,11.671,11.351,11.511
"2009/01/08",11.521,11.601,11.37,11.57
"2009/01/09",11.521,11.921,11.351,11.641
"2009/01/12",11.61,11.82,11.57,11.761
"2009/01/13",11.721,12.261,11.671,12.03
"2009/01/14",11.841,11.95,11.601,11.79
"2009/01/15",11.771,12,11.521,11.9
"2009/01/16",12,12.23,11.91,12.171
"2009/01/20",11.961,12.04,11.75,11.91
"2009/01/21",11.94,12.48,11.921,12.48
"2009/01/22",12.16,12.37,12,12.171
"2009/01/23",11.891,12.381,11.83,12.181
"2009/01/26",12.16,12.721,12.131,12.671
"2009/01/27",12.671,12.881,12.561,12.761
"2009/01/28",12.921,13.061,12.761,12.971
"2009/01/29",12.74,13.061,12.671,12.921
"2009/01/30",13.051,13.131,12.5,12.591
"2009/02/02",12.461,12.82,12.4,12.74
"2009/02/03",12.78,12.851,12.521,12.811
"2009/02/04",12.801,13.101,12.601,12.681
"2009/02/05",12.62,13.16,12.591,13.08
"2009/02/06",13.011,13.391,12.921,13.28
"2009/02/09",13.19,13.5,12.921,13.07
"2009/02/10",13.04,13.261,12.75,12.801
"2009/02/11",12.83,13.03,12.771,12.891
"2009/02/12",12.74,13.131,12.591,13.091
"2009/02/13",13.141,13.341,13.061,13.23
"2009/02/17",12.87,13.061,12.73,12.9
"2009/02/18",12.98,13.021,12.461,12.62
"2009/02/19",12.881,13.04,12.74,13.011
"2009/02/20",12.75,12.891,12.41,12.69
"2009/02/23",12.74,12.881,12.381,12.4
"2009/02/24",12.61,13.271,12.61,13.051
"2009/02/25",12.98,13.32,12.54,13.07
"2009/02/26",13.24,14.101,13.24,13.641
"2009/02/27",13.49,13.961,13.421,13.61
"2009/03/02",13.32,13.681,13.221,13.28
"2009/03/03",13.421,13.45,13.12,13.141
"2009/03/04",13.32,13.58,13.07,13.091
"2009/03/05",12.921,13.021,12.69,12.761
"2009/03/06",12.86,12.9,12.48,12.66
"2009/03/09",12.561,12.78,12.171,12.19
"2009/03/10",12.45,12.591,12.29,12.471
"2009/03/11",12.591,12.61,12.381,12.49
"2009/03/12",12.45,12.721,12.33,12.711
"2009/03/13",12.75,12.75,12.591,12.66
"2009/03/16",12.79,12.79,12.211,12.24
"2009/03/17",12.23,12.421,11.9,12.41
"2009/03/18",12.351,13.2,12.301,12.921
"2009/03/19",13.03,13.101,12.86,12.931
"2009/03/20",12.91,13.141,12.521,12.57
