date,open,high,low,close
"2020/01/02",29.941,31,29.791,30.99
"2020/01/03",30.621,31.431,30.48,31.371
"2020/01/06",31.011,32.061,31,31.58
"2020/01/07",31.791,32.841,31.361,32.811
"2020/01/08",32.73,34.521,32.46,33.931
"2020/01/09",34.451,34.471,33.221,33.971
"2020/01/10",34.081,34.991,33.835,34.01
"2020/01/13",34.291,34.341,33.55,34.14
"2020/01/14",34.201,35.021,33.92,34.841
"2020/01/15",34.901,35.149,34.51,35.01
"2020/01/16",35.03,35.061,34.181,34.681
"2020/01/17",34.971,35.25,34.651,35.131
"2020/01/21",35.5,37.8,35.41,37.6
"2020/01/22",37.94,37.94,36.92,37.041
"2020/01/23",36.971,37.951,36.725,37.401
"2020/01/24",37.5,37.666,36.25,36.8
"2020/01/27",35.23,36.651,34.19,36.3
"2020/01/28",37.14,37.331,36.041,37.01
"2020/01/29",36.98,37.565,36.8,36.991
"2020/01/30",36.82,37.132,35.951,36.681
"2020/01/31",37,37.041,35.69,36.291
"2020/02/03",36.75,37.64,36.53,37.591
"2020/02/04",37.87,38.991,37.26,38.53
"2020/02/05",38.89,38.971,36.736,36.811
"2020/02/06",37.3,37.39,36.73,37.091
"2020/02/07",39.98,41,38.861,40.631
"2020/02/10",40.651,41.341,39.96,40.01
"2020/02/11",40.25,41.466,40.05,41.271
"2020/02/12",41.5,41.861,41.065,41.25
"2020/02/13",40.931,41.55,40,40.091
"2020/02/14",40.021,40.311,38.701,39.66
"2020/02/18",39.491,40.271,39.451,40.181
"2020/02/19",40.42,41.23,40.116,41.05
"2020/02/20",41,41.19,39.85,40.92
"2020/02/21",40.89,40.89,40.05,40.721
"2020/02/24",38.21,39.14,37.75,38.311
"2020/02/25",38.901,39.151,35.5,35.89
"2020/02/26",35.53,36.166,33.89,34.451
"2020/02/27",32.03,34.16,30.671,32.451
"2020/02/28",31.81,34.291,31,33.87
"2020/03/02",34.05,34.081,31.74,32.85
"2020/03/03",34.021,34.181,31.9,33.041
"2020/03/04",33.931,35.341,32.28,34.53
"2020/03/05",33.471,33.57,31.97,32.21
"2020/03/06",31.23,32.41,30.451,31.681
"2020/03/09",28.5,30.32,28.15,28.171
"2020/03/10",29.47,29.861,27,28.97
"2020/03/11",27.91,28.14,25.611,26.24
"2020/03/12",23.261,24.691,22.111,22.611
"2020/03/13",24.011,24.81,21.13,22.601
"2020/03/16",20.15,21.49,19.101,20.291
"2020/03/17",20.181,20.31,18.011,18.91
"2020/03/18",17.761,17.8,13.711,14.82
"2020/03/19",15.961,21.261,15.7,20.49
"2020/03/20",22.531,23.89,20.611,21.33
"2020/03/23",21.07,22.73,19.73,22.4
"2020/03/24",24.41,26.841,23.591,26.39
"2020/03/25",26.181,28.451,25.31,26.191
"2020/03/26",26.601,28.441,25.781,28.121
"2020/03/27",25.82,28.031,25.07,27.281
"2020/03/30",26.33,28.39,25.31,27.83
"2020/03/31",27.75,28.25,26.921,27.921
"2020/04/01",26.5,26.768,24.81,25.421
"2020/04/02",25.011,25.201,23,23.681
"2020/04/03",23.73,23.791,21.671,22.82
"2020/04/06",24.13,26.091,23.931,25.99
"2020/04/07",27.951,28.111,25.5,25.74
"2020/04/08",26,27.879,25.791,26.941
"2020/04/09",27.88,28.89,26.46,27.111
"2020/04/13",27.041,28.08,26.47,27.99
"2020/04/14",28,28.771,27.014,27.75
"2020/04/15",26.82,27.791,26.441,27.41
"2020/04/16",27.21,28.05,26.46,27.031
"2020/04/17",28.691,28.791,27.261,28
"2020/04/20",27.07,28.761,26.9,28.191
"2020/04/21",27.5,28.15,26.601,27.191
"2020/04/22",27.97,28.56,27.511,28.24
"2020/04/23",28.75,29.25,28.241,28.33
"2020/04/24",28.511,29.591,28.14,29.49
"2020/04/27",29.74,30.49,29.411,30.08
"2020/04/28",31,31.83,29.361,30.121
"2020/04/29",31,32,30.33,31.371
"2020/04/30",30.5,31.05,29.75,30.271
"2020/05/01",29.13,29.72,28.326,28.39
"2020/05/04",27.56,28.07,26.58,27.421
"2020/05/05",28.25,28.91,27.441,28.07
"2020/05/06",27.5,28.06,26.81,27.82
"2020/05/07",29.601,31.65,29.58,30.931
"2020/05/08",32.591,33.3,31.64,32.791
"2020/05/11",31.98,32.385,31.41,31.64
"2020/05/12",31.421,34.451,30.41,32.401
"2020/05/13",32.3,33.061,30.83,33.021
"2020/05/14",32.53,33.041,31.24,32.791
"2020/05/15",32.26,32.89,31.591,32.471
"2020/05/18",33.701,36,32.991,33.62
"2020/05/19",33.681,34,32.861,33.401
"2020/05/20",34.12,34.771,33.82,34.48
"2020/05/21",34.451,35.01,33.471,34.26
"2020/05/22",34.151,34.931,33.57,34.831
"2020/05/26",35.971,36,34.5,34.561
"2020/05/27",34.42,35,33.1,34.881
"2020/05/28",34.901,35.1,33.82,34.151
"2020/05/29",34.181,36.451,34,36.32
"2020/06/01",35.64,36.39,35.16,35.82
"2020/06/02",36.16,36.42,35.26,35.811
"2020/06/03",36.201,37.369,36.14,36.75
"2020/06/04",36.42,37.3,36.28,36.431
"2020/06/05",37.53,38.784,36.92,37.21
"2020/06/08",37.87,37.901,36.091,37.081
"2020/06/09",36.701,37.331,36.25,36.591
"2020/06/10",36.69,36.8,34.265,34.831
"2020/06/11",32.631,33.245,30.89,31.101
"2020/06/12",32.73,32.741,31.041,32.241
"2020/06/15",31.16,32.681,31.021,32.67
"2020/06/16",34,34.17,32.431,33.491
"2020/06/17",33.5,33.596,33.012,33.291
"2020/06/18",33,33.44,32.8,33.401
"2020/06/19",33.98,34.021,32.271,32.3
"2020/06/22",32.431,32.85,31.431,32.681
"2020/06/23",32.881,33.21,32.591,33.05
"2020/06/24",32.75,32.931,30.455,30.46
"2020/06/25",30,30.855,29.56,30.58
"2020/06/26",30.441,30.441,29.21,29.611
"2020/06/29",29.511,29.75,28.39,29.63
"2020/06/30",30.83,31.25,30.13,31.08
"2020/07/01",30.96,31.265,30.163,30.431
"2020/07/02",31.021,31.57,30.511,30.681
"2020/07/06",33.1,33.201,31.761,32.521
"2020/07/07",32.46,33.561,32.39,32.82
"2020/07/08",33.21,33.971,32.681,33.931
"2020/07/09",34.241,34.46,32.26,33.151
"2020/07/10",33.14,33.55,32.651,33.14
"2020/07/13",33.21,33.6,31.66,31.72
"2020/07/14",31.351,31.38,30.48,30.931
"2020/07/15",32.1,32.971,31.681,32.811
"2020/07/16",32.05,32.591,31.55,32.35
"2020/07/17",32.581,32.817,31.851,32.55
"2020/07/20",32.48,33.925,32.35,33.66
"2020/07/21",34.16,34.23,32.53,32.55
"2020/07/22",32.44,32.881,32.331,32.66
"2020/07/23",32.331,33.021,31.983,32.17
"2020/07/24",31.74,31.8,30.47,31.181
"2020/07/27",31.21,31.601,30.75,30.99
"2020/07/28",30.791,31.24,30.351,30.81
"2020/07/29",30.921,31.261,30.771,31.021
"2020/07/30",30.65,30.681,29.97,30.24
"2020/07/31",30.4,30.421,29.785,30.261
"2020/08/03",30.24,31.296,30.06,31.191
"2020/08/04",31.171,32.846,31.171,32.681
"2020/08/05",33.1,33.32,32.5,33.201
"2020/08/06",33.271,34.795,33.21,34.71
"2020/08/07",33.091,33.701,32.451,32.901
"2020/08/10",33.041,33.181,31.511,32.271
"2020/08/11",31.66,32.21,30.65,31.21
"2020/08/12",31.46,32.221,30.691,30.841
"2020/08/13",30.521,31.33,30.32,30.46
"2020/08/14",30.4,30.49,29.816,29.99
"2020/08/17",30.05,30.121,29.14,29.48
"2020/08/18",29.5,30.46,29.41,30.08
"2020/08/19",30.15,30.35,29.39,29.421
"2020/08/20",29.13,31.701,28.48,31.41
"2020/08/21",31.39,31.82,30.715,30.83
"2020/08/24",30.97,31.3,30.371,31.041
"2020/08/25",31.041,31.191,30.601,31.191
"2020/08/26",31.011,32.71,30.951,32.3
"2020/08/27",32.401,33.07,32.271,32.8
"2020/08/28",33,33.94,32.82,33.8
"2020/08/31",33.62,33.92,33.14,33.631
"2020/09/01",33.451,34.51,33.146,34.3
"2020/09/02",34.21,34.506,33.291,34.37
"2020/09/03",34.081,34.741,32.951,33.41
"2020/09/04",33.331,33.651,31.55,33.241
"2020/09/08",32.361,35.1,32.16,34.32
"2020/09/09",34.111,35.5,34.111,35.01
"2020/09/10",35.201,36.78,35.19,35.98
"2020/09/11",36.3,37.146,36.255,36.98
"2020/09/14",37.1,38,37.081,37.951
"2020/09/15",37.951,38.48,37.271,37.471
"2020/09/16",37.39,38.521,37.39,37.66
"2020/09/17",36.681,37.445,36.14,37.061
"2020/09/18",37.151,37.565,36.39,37.12
"2020/09/21",35.861,36.581,35.12,36.491
"2020/09/22",36.53,36.55,34.1,34.401
"2020/09/23",34.451,34.806,33.401,33.55
"2020/09/24",33.66,34,32.89,33.35
"2020/09/25",33.201,34.5,33.201,34.46
"2020/09/28",35.8,36.625,35.26,35.561
"2020/09/29",35.561,35.651,34.596,35.431
"2020/09/30",35.28,36.5,35.28,36.48
"2020/10/01",36.861,37.828,36.581,37.14
"2020/10/02",36,37.991,35.94,37.721
"2020/10/05",37.701,38,36.881,37.14
"2020/10/06",37.17,37.37,36.041,36.26
"2020/10/07",36.591,37.111,36.366,36.78
"2020/10/08",37,37.831,36.96,37.341
"2020/10/09",37.91,38.35,37.19,37.271
"2020/10/12",37.561,37.561,36.175,36.26
"2020/10/13",36.221,36.23,35.021,35.561
"2020/10/14",35.69,36.091,35.076,35.111
"2020/10/15",34.681,34.811,34.021,34.26
"2020/10/16",34.78,34.8,33.611,33.721
"2020/10/19",34.16,34.591,34,34.221
"2020/10/20",34.53,36.76,34.53,36.311
"2020/10/21",36.25,36.25,34.875,35.201
"2020/10/22",35.42,36.89,34.916,36.701
"2020/10/23",36.5,36.991,35.924,36.75
"2020/10/26",36.5,36.741,35.12,35.491
"2020/10/27",35.51,35.701,34.021,34.16
"2020/10/28",33.62,33.66,32.901,33.651
"2020/10/29",33.71,34.936,33.331,34.061
"2020/10/30",33.91,34.39,33.155,33.41
"2020/11/02",34.151,35.05,34.061,34.811
"2020/11/03",35.271,36.151,35.151,35.771
"2020/11/04",40.66,42.151,39,40.991
"2020/11/05",40.331,42.05,40.01,41.96
"2020/11/06",42.091,45.381,41.62,44.87
"2020/11/09",48.01,49.62,47.3,48.181
"2020/11/10",46.741,49.361,46.045,47
"2020/11/11",46.721,47.521,45.91,46.23
"2020/11/12",45.39,47.471,45.05,46.401
"2020/11/13",47.111,47.791,45.931,47.611
"2020/11/16",48.741,50.091,48.48,49.21
"2020/11/17",48.721,49.62,48.5,48.89
"2020/11/18",48.771,49.951,48.331,49.111
"2020/11/19",49.1,49.91,48.651,49.26
"2020/11/20",49.98,50.75,48.271,48.431
