date,open,high,low,close
"2016/01/04",31.921,31.941,30.57,30.97
"2016/01/05",30.97,31.201,30.3,30.8
"2016/01/06",30.421,30.951,30.05,30.33
"2016/01/07",30.121,30.541,29.041,29.181
"2016/01/08",29.351,29.88,28.07,28.111
"2016/01/11",28.181,28.88,27.39,27.72
"2016/01/12",28.57,28.91,27.621,28.771
"2016/01/13",28.91,29.191,27.81,28.121
"2016/01/14",26.781,27.32,26.23,26.99
"2016/01/15",26.271,27.031,25.75,26.88
"2016/01/19",27.16,27.781,26.371,26.861
"2016/01/20",26.38,27.49,26.15,27
"2016/01/21",27.191,28.64,26.98,28.371
"2016/01/22",28.81,30.021,28.621,29.99
"2016/01/25",30,30.41,29.441,29.791
"2016/01/26",29.861,30.541,28.4,28.541
"2016/01/27",28.271,29.71,28.15,28.761
"2016/01/28",28.99,29.49,28.191,28.41
"2016/01/29",28.66,29.621,28.55,29.611
"2016/02/01",29.261,29.48,28.64,28.82
"2016/02/02",28.72,28.99,27.83,27.89
"2016/02/03",27.96,28.47,27.521,28.23
"2016/02/04",28.32,28.73,27.591,28.07
"2016/02/05",33.85,35,29.681,29.761
"2016/02/08",29.351,31.451,29.351,30.07
"2016/02/09",29.88,31.41,29.601,30.98
"2016/02/10",31.38,32.19,30.031,31.89
"2016/02/11",31.47,32,31,31.4
"2016/02/12",31.74,31.921,30.82,31.671
"2016/02/16",31.951,33.39,31.931,33.1
"2016/02/17",33.241,34.14,33.241,33.96
"2016/02/18",33.721,34.41,32.94,33
"2016/02/19",33,33.201,32.451,32.771
"2016/02/22",32.78,33.42,32.69,33.01
"2016/02/23",32.92,33.151,32.311,32.881
"2016/02/24",32.48,33.32,31.56,33.091
"2016/02/25",33.14,33.44,31.931,32.6
"2016/02/26",32.931,33.17,32.631,33
"2016/02/29",32.881,33.381,31.91,32.67
"2016/03/01",32.741,33.92,32.42,33.791
"2016/03/02",33.881,33.92,32.71,33.89
"2016/03/03",33.67,34.39,33.081,33.25
"2016/03/04",33.3,33.341,32.581,33.021
"2016/03/07",32.931,33.201,32.591,32.931
"2016/03/08",32.631,32.901,32.361,32.491
"2016/03/09",32.37,32.861,32.32,32.831
"2016/03/10",32.92,33.39,31.64,31.841
"2016/03/11",31.921,32.67,31.82,32.521
"2016/03/14",32.611,32.82,31.671,31.72
"2016/03/15",31.63,31.851,31.13,31.351
"2016/03/16",31.15,32.32,31.15,31.851
"2016/03/17",31.89,33.471,31.701,33.081
"2016/03/18",33.25,33.5,32.901,33.021
"2016/03/21",32.89,33.32,32.631,32.741
"2016/03/22",32.66,32.931,32.631,32.651
"2016/03/23",32.55,32.6,31.71,31.81
"2016/03/24",31.671,32.66,31.46,32.42
"2016/03/28",32.491,32.73,32.14,32.241
"2016/03/29",32.21,32.85,32.041,32.57
"2016/03/30",32.831,33.581,32.831,33.201
"2016/03/31",33.23,33.931,33.081,33.271
"2016/04/01",33.111,33.6,32.26,33.061
"2016/04/04",33.17,34.1,32.951,33.991
"2016/04/05",33.67,34.1,33.46,33.611
"2016/04/06",33.69,34,33.32,33.76
"2016/04/07",33.62,33.91,32.991,33.12
"2016/04/08",33.28,33.28,32.5,32.591
"2016/04/11",32.681,32.75,32.23,32.28
"2016/04/12",32.21,32.73,32.061,32.55
"2016/04/13",32.861,33.32,32.57,33.17
"2016/04/14",33.061,33.92,32.881,33.721
"2016/04/15",33.521,33.521,32.591,32.951
"2016/04/18",32.931,33.611,32.76,33.521
"2016/04/19",33.651,33.651,33.12,33.23
"2016/04/20",33.26,33.67,33.111,33.64
"2016/04/21",33.581,33.591,33.19,33.431
"2016/04/22",33.431,34.01,33.401,34.01
"2016/04/25",34.37,36.591,34.331,35.091
"2016/04/26",35.091,35.271,34.401,34.991
"2016/04/27",34.89,36.221,34.87,36.01
"2016/04/28",35.951,36.03,35.451,35.6
"2016/04/29",35.57,35.681,34.931,35.62
"2016/05/02",35.57,36.401,34.91,36.3
"2016/05/03",36.37,36.41,34.931,35.26
"2016/05/04",35.16,35.25,34.6,34.951
"2016/05/05",35.23,35.611,34.831,35.291
"2016/05/06",38.5,38.8,36.811,37.841
"2016/05/09",37.971,37.98,37.131,37.741
"2016/05/10",37.8,38.091,37.25,37.811
"2016/05/11",37.64,38.67,37.64,38.1
"2016/05/12",38.1,38.331,37.581,37.881
"2016/05/13",37.67,38.41,37.651,37.951
"2016/05/16",38,38.401,37.971,38.311
"2016/05/17",37.76,38.1,37.07,37.32
"2016/05/18",37.381,38,37.01,37.64
"2016/05/19",37.55,38.16,37.55,37.8
"2016/05/20",38,38.14,37.561,37.89
"2016/05/23",38,38.431,37.89,37.931
"2016/05/24",38.041,40.1,38,39.87
"2016/05/25",40.16,40.42,39.37,39.8
"2016/05/26",39.741,40.311,39.66,40.081
"2016/05/27",40,40.181,39.51,39.96
"2016/05/31",40.361,40.39,39.67,39.861
"2016/06/01",40.28,40.39,39.091,39.631
"2016/06/02",39.64,40.21,39.631,40.041
"2016/06/03",40,40.17,39.5,40.061
"2016/06/06",40.291,40.64,40.091,40.401
"2016/06/07",40.631,40.87,39.721,39.76
"2016/06/08",39.951,41.21,39.42,41.151
"2016/06/09",41,41.201,40.651,40.831
"2016/06/10",39.771,40.591,39.681,39.811
"2016/06/13",39.85,40.44,39.221,39.94
"2016/06/14",39.721,40.131,39.51,39.96
"2016/06/15",40.021,40.53,39.951,40.151
"2016/06/16",39.841,39.971,39.25,39.82
"2016/06/17",39.901,40.021,39.46,39.811
"2016/06/20",40.21,40.46,40.01,40.05
"2016/06/21",40.061,40.5,39.55,39.811
"2016/06/22",39.69,40.081,39.5,39.771
"2016/06/23",40.01,40.51,40.01,40.14
"2016/06/24",38.57,39.361,38.53,38.591
"2016/06/27",38.67,38.67,36.131,36.23
"2016/06/28",36.57,37.271,36.51,37
"2016/06/29",37.53,38.061,37.311,37.96
"2016/06/30",38.14,38.721,37.85,38.66
"2016/07/01",38.631,38.98,38.14,38.311
"2016/07/05",38.19,38.19,37.51,37.771
"2016/07/06",37.471,37.94,37.061,37.701
"2016/07/07",37.721,38.111,37.16,37.971
"2016/07/08",38.21,39.561,38.21,39.41
"2016/07/11",39.861,39.94,39.451,39.521
"2016/07/12",39.85,40.181,39.591,39.791
"2016/07/13",40.081,40.5,39.64,39.91
"2016/07/14",40.07,40.12,39.37,39.401
"2016/07/15",39.6,40.021,39.3,39.861
"2016/07/18",40.05,40.46,39.881,40.081
"2016/07/19",40.17,40.17,39.51,39.75
"2016/07/20",39.771,42.26,39.741,41.82
"2016/07/21",42.381,42.491,41.01,41.451
"2016/07/22",41.44,42.16,41.01,42.12
"2016/07/25",42.12,43.57,42.021,43.46
"2016/07/26",43.62,44.431,43.57,44.26
"2016/07/27",44.25,44.42,43.901,44.03
"2016/07/28",43.881,44.44,43.85,44.39
"2016/07/29",44.32,44.92,43.92,44.721
"2016/08/01",44.881,44.991,44.23,44.87
"2016/08/02",44.971,45.401,43.611,44.081
"2016/08/03",44.1,44.681,43.561,44.55
"2016/08/04",44.381,45.741,44.361,45.061
"2016/08/05",47.6,49.881,46.651,49.611
"2016/08/08",49.57,50.041,48.881,49.66
"2016/08/09",49.541,50.1,49.32,49.94
"2016/08/10",49.87,50.081,49.591,49.991
"2016/08/11",49.991,50.771,49.37,49.861
"2016/08/12",49.82,50.311,49.401,50.25
"2016/08/15",50.081,50.791,50.081,50.721
"2016/08/16",50.46,50.831,49.841,50.23
"2016/08/17",50.19,50.42,49.42,49.87
"2016/08/18",49.861,50.42,49.631,50.041
"2016/08/19",50.091,50.8,49.75,50.561
"2016/08/22",50.51,51.241,50.21,50.681
"2016/08/23",51.081,51.5,50.701,51.291
"2016/08/24",51.46,51.881,51.12,51.271
"2016/08/25",50.94,51.75,50.5,51.69
"2016/08/26",51.831,52.401,51.17,52.26
"2016/08/29",52.55,52.6,51.881,52.05
"2016/08/30",52.241,53.091,52.241,52.361
"2016/08/31",52.25,52.381,50.791,51.401
"2016/09/01",51.401,52.21,51.221,52.07
"2016/09/02",52.041,53.51,51.741,53.17
"2016/09/06",53.71,53.861,52.471,52.69
"2016/09/07",52.901,52.991,52.581,52.811
"2016/09/08",52.55,53.32,52.5,53.01
"2016/09/09",52.92,53.131,50.541,51
"2016/09/12",50.521,52.89,50.241,52.861
"2016/09/13",52.771,52.881,52.081,52.521
"2016/09/14",52.41,53.111,52.25,52.82
"2016/09/15",53.07,54,52.62,52.811
"2016/09/16",52.681,52.75,51.841,52.5
"2016/09/19",52.55,53.26,52.3,52.831
"2016/09/20",53.021,53.291,52.541,52.57
"2016/09/21",52.651,53.51,52.651,53.41
"2016/09/22",53.951,54.73,53.811,54.19
"2016/09/23",53.96,54.28,52.651,53.201
"2016/09/26",53.081,53.861,52.831,53.131
"2016/09/27",53.221,54.291,52.98,54.23
"2016/09/28",54.03,54.28,53.521,54
"2016/09/29",53.89,53.991,53.291,53.841
"2016/09/30",54,54.521,53.271,53.5
"2016/10/03",53.5,54.12,53.401,53.791
"2016/10/04",54.14,54.431,53.451,53.57
"2016/10/05",53.91,54.16,53.57,53.791
"2016/10/06",53.87,54.271,53.541,54.201
"2016/10/07",55,55,53.111,53.771
"2016/10/10",54,54.151,53.581,53.78
"2016/10/11",54.111,54.431,53.28,53.791
"2016/10/12",53.541,53.811,50.05,50.41
"2016/10/13",50,50.05,48.25,49.471
"2016/10/14",49.76,50.32,48.951,49.17
"2016/10/17",48.581,49.8,48.581,49.311
"2016/10/18",49.951,50.23,49.17,49.53
"2016/10/19",49.681,50.28,49.311,49.98
"2016/10/20",50.041,50.64,49.94,50.39
"2016/10/21",50.98,52.181,50.82,51.831
"2016/10/24",52.23,53.48,52.14,52.78
"2016/10/25",53.12,53.26,52.151,52.361
"2016/10/26",52.3,53.46,52.3,52.901
"2016/10/27",53.21,53.21,51.67,51.831
"2016/10/28",51.71,52.73,51.591,52.181
"2016/10/31",52.331,52.62,51.771,52.431
"2016/11/01",52.28,52.651,51,52.44
"2016/11/02",52.401,52.91,51.951,52.1
"2016/11/03",52.42,52.69,51.581,51.76
"2016/11/04",56.611,57.741,53.471,53.5
"2016/11/07",54.3,54.67,52.8,52.991
"2016/11/08",52.73,53.431,52.64,52.721
"2016/11/09",51.561,52.991,50.611,52.71
"2016/11/10",53.17,53.69,51.89,52.07
"2016/11/11",52.16,53.53,51.931,53.451
"2016/11/14",53.85,54.21,53.311,54.12
"2016/11/15",54.17,55.791,54.081,55.51
"2016/11/16",55.561,56.651,55.44,56.46
"2016/11/17",56.73,56.8,55.73,56.03
"2016/11/18",56.03,56.241,55.37,56.091
"2016/11/21",56.471,57.42,56.471,56.831
"2016/11/22",56.78,56.78,55.55,56.21
"2016/11/23",56.01,57.05,56,56.91
"2016/11/25",57.1,57.431,56.78,57.37
"2016/11/28",57.03,57.341,56.48,57.14
"2016/11/29",57.07,57.48,56.721,56.75
"2016/11/30",56.771,57,55.92,55.96
"2016/12/01",56.331,56.341,52.6,52.87
"2016/12/02",52.701,53.591,52.14,53.341
"2016/12/05",53.89,54.451,53.6,54.381
"2016/12/06",54.62,56.01,54.17,55.861
"2016/12/07",55.631,57.21,55.221,57.03
"2016/12/08",57.1,58.221,57.061,57.73
"2016/12/09",57.5,58.05,56.16,56.241
"2016/12/12",56.23,57.201,55.951,56.87
"2016/12/13",57.201,57.89,57.201,57.611
"2016/12/14",57.35,58.561,56.82,57.561
"2016/12/15",57.82,58.631,57.331,57.78
"2016/12/16",57.96,58.07,57.491,57.75
"2016/12/19",57.91,58.3,57.78,58.23
"2016/12/20",58.3,58.5,57.631,57.901
"2016/12/21",57.91,58.28,57.581,58.021
"2016/12/22",58.14,59.431,57.951,58.451
"2016/12/23",58.71,58.71,57.951,58.081
"2016/12/27",58.091,58.46,58.03,58.221
"2016/12/28",58.381,58.94,57.6,57.78
"2016/12/29",57.64,58,57.091,57.381
"2016/12/30",57.48,57.91,56.901,57.8
