date,open,high,low,close
"2020/01/02",2.691,2.721,2.691,2.711
"2020/01/03",2.671,2.681,2.651,2.661
"2020/01/06",2.62,2.641,2.6,2.631
"2020/01/07",2.631,2.641,2.6,2.641
"2020/01/08",2.6,2.62,2.59,2.61
"2020/01/09",2.631,2.661,2.62,2.62
"2020/01/10",2.651,2.651,2.62,2.641
"2020/01/13",2.651,2.651,2.641,2.651
"2020/01/14",2.661,2.691,2.661,2.681
"2020/01/15",2.681,2.681,2.641,2.651
"2020/01/16",2.671,2.671,2.631,2.641
"2020/01/17",2.631,2.641,2.62,2.631
"2020/01/21",2.62,2.651,2.62,2.651
"2020/01/22",2.651,2.671,2.641,2.661
"2020/01/23",2.641,2.651,2.62,2.631
"2020/01/24",2.651,2.671,2.59,2.59
"2020/01/27",2.56,2.57,2.5,2.51
"2020/01/28",2.55,2.55,2.52,2.54
"2020/01/29",2.59,2.59,2.54,2.58
"2020/01/30",2.481,2.491,2.441,2.461
"2020/01/31",2.421,2.431,2.411,2.421
"2020/02/03",2.441,2.461,2.431,2.451
"2020/02/04",2.5,2.52,2.481,2.5
"2020/02/05",2.671,2.671,2.58,2.59
"2020/02/06",2.691,2.75,2.651,2.721
"2020/02/07",2.741,2.741,2.691,2.691
"2020/02/10",2.701,2.741,2.691,2.721
"2020/02/11",2.75,2.79,2.75,2.77
"2020/02/12",2.79,2.85,2.78,2.81
"2020/02/13",2.81,2.83,2.8,2.81
"2020/02/14",2.78,2.78,2.75,2.75
"2020/02/18",2.661,2.721,2.56,2.681
"2020/02/19",2.691,2.701,2.661,2.661
"2020/02/20",2.661,2.681,2.651,2.661
"2020/02/21",2.651,2.661,2.61,2.62
"2020/02/24",2.57,2.58,2.55,2.56
"2020/02/25",2.6,2.61,2.55,2.55
"2020/02/26",2.53,2.61,2.53,2.56
"2020/02/27",2.52,2.54,2.481,2.491
"2020/02/28",2.401,2.491,2.391,2.481
"2020/03/02",2.481,2.53,2.471,2.53
"2020/03/03",2.53,2.62,2.51,2.55
"2020/03/04",2.58,2.641,2.58,2.631
"2020/03/05",2.58,2.59,2.54,2.56
"2020/03/06",2.54,2.55,2.451,2.5
"2020/03/09",2.421,2.471,2.33,2.421
"2020/03/10",2.441,2.5,2.391,2.481
"2020/03/11",2.411,2.431,2.32,2.35
"2020/03/12",2.3,2.34,2.201,2.28
"2020/03/13",2.34,2.37,2.25,2.35
"2020/03/16",2.171,2.3,2.131,2.241
"2020/03/17",2.211,2.32,2.191,2.3
"2020/03/18",2.171,2.28,2.161,2.211
"2020/03/19",2.26,2.26,2.201,2.231
"2020/03/20",2.27,2.31,2.211,2.231
"2020/03/23",2.27,2.29,2.221,2.231
"2020/03/24",2.31,2.32,2.25,2.3
"2020/03/25",2.35,2.35,2.28,2.29
"2020/03/26",2.28,2.3,2.26,2.28
"2020/03/27",2.25,2.25,2.151,2.161
"2020/03/30",2.211,2.26,2.191,2.221
"2020/03/31",2.201,2.211,2.141,2.171
"2020/04/01",2.151,2.201,2.131,2.161
"2020/04/02",2.161,2.201,2.161,2.201
"2020/04/03",2.181,2.191,2.1,2.131
"2020/04/06",2.231,2.3,2.221,2.29
"2020/04/07",2.3,2.34,2.3,2.3
"2020/04/08",2.3,2.34,2.26,2.29
"2020/04/09",2.28,2.33,2.28,2.3
"2020/04/13",2.33,2.431,2.33,2.381
"2020/04/14",2.451,2.471,2.421,2.451
"2020/04/15",2.431,2.441,2.401,2.421
"2020/04/16",2.411,2.441,2.401,2.421
"2020/04/17",2.451,2.461,2.431,2.441
"2020/04/20",2.441,2.471,2.391,2.401
"2020/04/21",2.381,2.441,2.37,2.411
"2020/04/22",2.471,2.5,2.441,2.461
