date,open,high,low,close
"2016/01/04",55.811,56.85,55.28,56.3
"2016/01/05",56.471,57.271,55.94,57.021
"2016/01/06",56.25,56.32,54.451,55.25
"2016/01/07",54.57,55.62,54.01,54.521
"2016/01/08",54.741,54.971,53.82,54.1
"2016/01/11",54.111,54.5,52.611,53.111
"2016/01/12",53.471,53.991,52.21,52.841
"2016/01/13",53.131,53.581,51.66,52.271
"2016/01/14",52.381,52.651,51.19,52.331
"2016/01/15",50.811,52.32,50.39,52.111
"2016/01/19",52.241,52.48,48.831,48.991
"2016/01/20",48.23,49.611,46.331,49.19
"2016/01/21",49.48,50.66,49.12,49.581
"2016/01/22",49.741,50.341,48.8,49.5
"2016/01/25",49.241,49.92,48.26,48.76
"2016/01/26",48.8,49.401,47.64,49.28
"2016/01/27",46.16,46.791,44.021,44.44
"2016/01/28",44.611,45.451,44.44,45
"2016/01/29",45.181,46.35,44.931,45.75
"2016/02/01",44.8,45.931,44.451,45.491
"2016/02/02",45.271,45.291,43.831,44.21
"2016/02/03",44.311,45.061,43.861,44.96
"2016/02/04",44.85,46,44.85,45.28
"2016/02/05",44.87,45.201,44.311,44.541
"2016/02/08",43.991,44.69,43.721,44.66
"2016/02/09",44.361,45.46,43.55,43.841
"2016/02/10",44.3,44.841,43.71,44.48
"2016/02/11",43.771,45.05,43.25,44.701
"2016/02/12",44.8,45.14,44.131,45.01
"2016/02/16",45.331,46.16,45.151,46.131
"2016/02/17",46.451,48.3,46.17,47.91
"2016/02/18",48,48.401,47.381,48.16
"2016/02/19",47.841,49.57,47.48,49.221
"2016/02/22",49.48,50.41,49.35,49.951
"2016/02/23",49.75,49.75,48.28,48.651
"2016/02/24",48.48,49.37,47.78,49.19
"2016/02/25",49.55,50.521,48.87,50.5
"2016/02/26",50.771,51.451,50.25,50.76
"2016/02/29",50.76,51.46,50.451,50.491
"2016/03/01",49.591,50.811,49.37,50.75
"2016/03/02",50.75,50.92,48.901,49.131
"2016/03/03",49.201,49.521,48.701,49.431
"2016/03/04",49.67,50.451,49.291,49.451
"2016/03/07",49.51,51.021,49.32,50.341
"2016/03/08",49.98,50.021,48.791,48.94
"2016/03/09",49.05,49.341,48.541,49.201
"2016/03/10",49.48,49.71,48.541,49.28
"2016/03/11",49.581,49.901,48.89,49.62
"2016/03/14",49.6,49.791,48.831,49.681
"2016/03/15",49.57,49.57,48.51,49.181
"2016/03/16",49.07,50.791,48.651,49.85
"2016/03/17",49.75,52.221,49.75,51.53
"2016/03/18",51.66,52.48,51.28,51.521
"2016/03/21",51.521,52.741,51.021,52.37
"2016/03/22",52.3,53.05,51.94,52.85
"2016/03/23",52.771,52.771,51.53,51.85
"2016/03/24",51.32,51.55,50.85,51.081
"2016/03/28",51.26,51.35,50.66,51.091
"2016/03/29",50.881,51.681,50.591,51.37
"2016/03/30",51.51,52.53,51.42,52.091
"2016/03/31",51.991,52.491,51.471,52.311
"2016/04/01",51.291,52.221,51.091,52.03
"2016/04/04",52.111,52.48,51.471,51.701
"2016/04/05",50.831,51.32,50.35,50.701
"2016/04/06",50.67,51.23,50.061,51
"2016/04/07",50.8,51.42,50.48,50.841
"2016/04/08",51.131,52.741,51.07,52
"2016/04/11",51.98,52.14,51.19,51.19
"2016/04/12",51.131,51.48,49.76,50.381
"2016/04/13",50.75,52.01,50.741,51.89
"2016/04/14",51.85,52.03,51.53,51.92
"2016/04/15",51.591,52.1,51.311,51.73
"2016/04/18",51.311,51.87,51.23,51.69
"2016/04/19",52,52.17,51.23,51.46
"2016/04/20",56.021,59.23,56.021,58.53
"2016/04/21",59.01,59.611,57.861,58.111
"2016/04/22",58.21,58.82,57.811,58.3
"2016/04/25",58.221,58.451,57.271,57.381
"2016/04/26",57.491,58.07,57,57.69
"2016/04/27",57.611,58.631,57.53,58.491
"2016/04/28",58.26,58.28,57.381,57.541
"2016/04/29",57.19,57.541,56.26,56.91
"2016/05/02",56.19,57.42,56.12,57.331
"2016/05/03",56.87,56.98,55.881,56.05
"2016/05/04",55.771,56.1,55.12,55.361
"2016/05/05",55.51,55.881,54.96,55.401
"2016/05/06",54.98,55.6,54.44,55.35
"2016/05/09",54.96,55.991,54.87,55.381
"2016/05/10",55.241,56.48,55.181,56.451
"2016/05/11",56.451,56.62,55.67,56.221
"2016/05/12",56.311,56.841,55.151,56.62
"2016/05/13",56.561,59.081,56.53,57.92
"2016/05/16",57.8,60.32,57.561,59.291
"2016/05/17",59.01,60.181,58.841,59.591
"2016/05/18",59.541,60.151,58.78,59.53
"2016/05/19",59.331,59.491,58.651,58.8
"2016/05/20",59.361,59.771,58.951,59.76
"2016/05/23",59.53,59.901,59.221,59.46
"2016/05/24",58.951,60.341,58.64,60.151
"2016/05/25",60.5,60.5,59.8,60.041
"2016/05/26",60.1,60.1,59.331,59.37
"2016/05/27",59.181,59.75,59.181,59.631
"2016/05/31",59.91,60.69,59.64,60.561
"2016/06/01",60.5,61.741,60.07,61.51
"2016/06/02",60.901,62.17,60.881,62.021
"2016/06/03",61.771,62.611,61.581,62.081
"2016/06/06",62.111,62.991,61.75,62.55
"2016/06/07",62.431,64.231,62.311,63.98
"2016/06/08",64,65.31,64,64.181
"2016/06/09",63.561,64.35,63.561,64
"2016/06/10",63.66,63.931,63.061,63.21
"2016/06/13",63.12,63.87,62.681,62.791
"2016/06/14",62.78,63.061,61.201,61.521
"2016/06/15",61.87,62.201,61.37,61.44
"2016/06/16",60.091,61.25,59.721,61.07
"2016/06/17",61.12,61.431,60.221,60.271
"2016/06/20",60.75,61.6,60.6,60.771
"2016/06/21",60.951,61.64,60.811,60.98
"2016/06/22",61.061,61.35,60.701,60.791
"2016/06/23",60.861,62.201,60.861,62.151
"2016/06/24",60.311,60.721,58.53,58.541
"2016/06/27",58.25,58.25,55.12,55.341
"2016/06/28",56.78,56.901,55.75,56.3
"2016/06/29",56.971,57.131,56.53,56.701
"2016/06/30",57.041,57.26,56.201,57.221
"2016/07/01",57.451,58.16,57.17,58.01
"2016/07/05",57.381,57.721,56.26,56.591
"2016/07/06",56.561,57.46,56.091,57.3
"2016/07/07",57.681,58.28,57.03,57.931
"2016/07/08",58.48,59.28,58.311,59.181
"2016/07/11",59.291,60.151,59.291,59.57
"2016/07/12",60.21,61.28,59.85,61.151
"2016/07/13",61.32,61.381,60.271,60.96
"2016/07/14",61.46,61.78,60.991,61.041
"2016/07/15",61.32,62.331,60.82,62.07
"2016/07/18",62.46,63,62.14,62.57
"2016/07/19",68.581,69.31,67.25,68.231
"2016/07/20",68.551,70.42,68.331,69.95
"2016/07/21",69.761,71.801,69.52,70.691
"2016/07/22",70.691,71.89,70.541,71.551
"2016/07/25",72.17,73.03,72.051,72.46
"2016/07/26",72.06,73,72.06,72.681
"2016/07/27",73.041,73.161,72.13,72.77
"2016/07/28",72.78,73.32,72.361,72.971
"2016/07/29",72.81,73.14,72.35,72.981
"2016/08/01",71.45,72.88,71.45,72.49
"2016/08/02",72.25,72.581,70.09,70.111
"2016/08/03",69.861,70.681,69.861,70.401
"2016/08/04",70.081,70.941,70.081,70.331
"2016/08/05",70.7,71.24,70.411,70.981
"2016/08/08",71.24,71.64,70.96,71.09
"2016/08/09",71.17,72,71.17,71.53
"2016/08/10",71.53,71.691,70.551,70.721
"2016/08/11",71,71.24,70.71,71.02
"2016/08/12",70.46,71.301,70.261,71.081
"2016/08/15",71.14,71.471,70.75,70.871
"2016/08/16",71.5,71.611,70.78,70.81
"2016/08/17",70.801,71.151,70.32,70.411
"2016/08/18",70.64,72.181,70.34,72.051
"2016/08/19",71.42,72.971,71.42,72.84
"2016/08/22",72.84,73.081,72.2,73.081
"2016/08/23",73.17,74.59,72.681,74.56
"2016/08/24",74.301,75.42,74.27,74.691
"2016/08/25",74.27,75.21,74,74.53
"2016/08/26",74.71,74.831,73.801,74.25
"2016/08/29",73.941,75.57,73.581,75.231
"2016/08/30",76.59,76.99,73.99,74.221
"2016/08/31",74,74.111,72.401,73.331
"2016/09/01",73.46,75.331,73.28,73.78
"2016/09/02",73.71,73.88,72.75,73.78
"2016/09/06",73.78,74.49,71.96,73.39
"2016/09/07",73.28,74.49,71.81,72.761
"2016/09/08",73.57,74.59,72.981,74.34
"2016/09/09",74.03,74.691,72.481,73.081
"2016/09/12",72.64,73.89,72.551,73.67
"2016/09/13",73.051,73.971,72.64,73.1
"2016/09/14",72.831,74.03,72.831,73.301
"2016/09/15",73.441,73.611,73.13,73.361
"2016/09/16",73.2,73.2,72.331,72.441
"2016/09/19",72.651,73.25,72.371,72.681
"2016/09/20",73.2,73.511,72.27,73.051
"2016/09/21",73.441,73.481,72.81,73.42
"2016/09/22",74,74.161,73.57,73.81
"2016/09/23",73.981,74,73.25,73.38
"2016/09/26",73.17,73.441,72.931,73.441
"2016/09/27",73.181,73.6,73.151,73.6
"2016/09/28",73.791,73.99,73.221,73.85
"2016/09/29",73.81,74.06,72.981,73.081
"2016/09/30",73.49,73.7,72.96,73.35
"2016/10/03",73.09,73.7,73.09,73.611
