date,open,high,low,close
"2013/01/02",39.35,39.87,39.201,39.85
"2013/01/03",39.811,40.17,39.6,40.03
"2013/01/04",39.94,40.081,39.44,40.041
"2013/01/07",39.881,40.1,39.591,40.061
"2013/01/08",39.94,40,39.451,39.89
"2013/01/09",39.951,40.061,39.48,39.561
"2013/01/10",39.82,39.901,38.8,38.87
"2013/01/11",38.701,38.8,37.55,38
"2013/01/14",38.021,38.631,37.57,38.381
"2013/01/15",38.16,39.361,38.021,39.361
"2013/01/16",39.3,39.381,38.76,39.25
"2013/01/17",39.291,39.861,39.25,39.41
"2013/01/18",39.471,39.75,39.3,39.55
"2013/01/22",39.39,39.701,39.07,39.701
"2013/01/23",39.75,40.041,39.64,39.87
"2013/01/24",39.561,40.331,39.53,39.991
"2013/01/25",40.98,43.37,40.631,42.96
"2013/01/28",42.831,43.28,42.62,42.881
"2013/01/29",42.881,43.241,42.341,42.8
"2013/01/30",43,43.48,42.51,43.17
"2013/01/31",43.23,43.62,42.901,43.41
"2013/02/01",43.6,44.561,43.041,44.341
"2013/02/04",44.1,44.831,44.01,44.611
"2013/02/05",44.771,45.331,44.64,45.091
"2013/02/06",44.89,45.6,44.791,44.931
"2013/02/07",44.87,45.14,44.611,44.98
"2013/02/08",45.091,45.55,44.991,45.39
"2013/02/11",45.331,45.82,45.061,45.66
"2013/02/12",45.721,45.91,45.271,45.53
"2013/02/13",45.591,45.861,45.48,45.581
"2013/02/14",45.561,45.811,45.381,45.67
"2013/02/15",45.85,46.701,45.841,46.14
"2013/02/19",46.14,46.42,45.91,46.221
"2013/02/20",46.181,46.581,45.48,45.62
"2013/02/21",45.64,45.82,44.991,45.3
"2013/02/22",45.721,46.1,45.51,45.8
"2013/02/25",45.841,46.061,44.87,44.881
"2013/02/26",45.081,45.381,44.581,44.78
"2013/02/27",43.96,45.721,43.94,45.32
"2013/02/28",45.35,46.111,45.19,45.811
"2013/03/01",45.971,46.37,45.55,46.17
"2013/03/04",46.111,46.55,45.76,46.41
"2013/03/05",46.521,46.69,46.041,46.581
"2013/03/06",46.791,47.41,46.48,46.631
"2013/03/07",46.771,46.901,45.98,46.41
"2013/03/08",46.69,46.991,46.021,46.78
"2013/03/11",46.741,47.181,46.48,46.85
"2013/03/12",46.791,46.91,46.081,46.41
"2013/03/13",46.581,46.75,46.23,46.3
"2013/03/14",46.331,46.491,45.721,45.76
"2013/03/15",45.561,45.881,45.41,45.651
"2013/03/18",45.5,45.521,45.091,45.23
"2013/03/19",45.41,45.901,44.951,45.341
"2013/03/20",45.521,46.26,45.491,45.98
"2013/03/21",45.57,45.931,45.46,45.62
"2013/03/22",45.82,46.92,45.701,46.361
"2013/03/25",46.46,46.57,45.971,46.32
"2013/03/26",46.431,46.901,46.25,46.771
"2013/03/27",46.46,47.201,46.16,47.12
"2013/03/28",47.021,47.5,46.89,47.271
"2013/04/01",47.241,47.73,47.151,47.291
"2013/04/02",47.361,47.651,46.791,46.901
"2013/04/03",46.82,47,46.431,46.46
"2013/04/04",46.57,46.8,46.271,46.64
"2013/04/05",46.12,46.46,45.651,45.951
"2013/04/08",45.89,46.401,45.57,46.151
"2013/04/09",46.39,46.491,45.23,45.5
"2013/04/10",45.701,46.48,45.67,46.41
"2013/04/11",46.42,47.081,46.3,46.5
"2013/04/12",46.431,46.82,45.92,46.73
"2013/04/15",46.361,46.741,45.841,45.91
"2013/04/16",46.241,46.48,45.951,46
