date,open,high,low,close
"2015/01/02",81.82,81.971,79.25,80.411
"2015/01/05",80,80.971,79.111,80.011
"2015/01/06",80.84,81.481,78.25,79.42
"2015/01/07",79.731,80.371,78.861,79.35
"2015/01/08",79.56,83.21,79.38,82.78
"2015/01/09",82.89,83.75,82.041,82.6
"2015/01/12",82.6,84.261,82.111,83.49
"2015/01/13",84,85.6,82.681,83.85
"2015/01/14",82.71,83.25,79.331,81.011
"2015/01/15",81.261,81.34,78.02,78.06
"2015/01/16",78,78.5,76.361,78.401
"2015/01/20",78.721,78.981,77,78.32
"2015/01/21",78.27,81.401,77.901,80.39
"2015/01/22",80.7,81.871,79.63,81.401
"2015/01/23",81.651,84.331,81.32,83.2
"2015/01/26",82.92,83.81,82.121,82.78
"2015/01/27",81.181,81.611,80.03,80.63
"2015/01/28",81.361,81.551,78.661,78.661
"2015/01/29",79.151,79.95,77.401,79.17
"2015/01/30",78.99,79.88,77.931,79.46
"2015/02/02",79.651,81.441,78.401,81.39
"2015/02/03",81.791,84.99,81.7,84.74
"2015/02/04",84.03,85.541,83.691,84.92
"2015/02/05",85.75,87.971,85.411,87.63
"2015/02/06",87.371,87.581,86.27,86.431
"2015/02/09",85.99,86.731,85.07,86.09
"2015/02/10",86.791,87.041,85.59,86.14
"2015/02/11",86.09,89.27,85.95,88.871
"2015/02/12",88.88,91.261,88.64,91.17
"2015/02/13",91,92.38,90.35,91.84
"2015/02/17",91.371,91.71,90.35,90.92
"2015/02/18",90.63,91.71,90.551,91.301
"2015/02/19",90.831,92.111,90.791,91.871
"2015/02/20",91.681,92.74,91.1,92.74
"2015/02/23",93,93.161,91.81,91.99
"2015/02/24",91.49,93.06,91.06,93.03
"2015/02/25",92.49,95.17,91.56,93.941
"2015/02/26",94.52,94.721,84.651,88.651
"2015/02/27",88.651,89.09,85.31,85.5
"2015/03/02",85.6,88.96,84.801,88.81
"2015/03/03",89.13,90.611,87.791,88.121
"2015/03/04",88,88.28,82.32,82.64
"2015/03/05",82.721,84.42,81.81,84.21
"2015/03/06",83.831,84.71,82.2,82.611
"2015/03/09",82.661,83.051,81.301,83.03
"2015/03/10",81.971,82,80.82,81.291
"2015/03/11",81.731,82.971,80.89,82.331
"2015/03/12",82.77,83.63,82.011,83.17
"2015/03/13",82.541,83.5,81.95,82.56
"2015/03/16",83.151,83.92,82.291,83.871
"2015/03/17",82.911,83.871,82.74,83.401
"2015/03/18",82.901,85.5,82.7,84.89
"2015/03/19",84.661,86,84.49,85.35
"2015/03/20",86.02,86.191,84.431,84.911
"2015/03/23",84.75,86,83.89,85.221
"2015/03/24",85.09,87.84,84.941,86.49
"2015/03/25",86.21,86.38,82.681,83.261
"2015/03/26",82.81,84.56,82.5,83.981
"2015/03/27",83.88,85.6,83.2,85.06
"2015/03/30",85.411,86.371,84.49,86.14
"2015/03/31",85.901,86.77,84.27,84.411
"2015/04/01",83.59,84.74,81.39,83.411
"2015/04/02",83.25,86.731,82.89,86.231
"2015/04/06",85.661,89.331,85.21,88.5
"2015/04/07",88.92,89.32,87.31,87.481
"2015/04/08",87.691,89.151,87.261,88
"2015/04/09",88.02,88.46,86.621,87.691
"2015/04/10",87.911,89.651,87.661,88.7
"2015/04/13",88.401,89.57,87.161,87.27
"2015/04/14",87.25,87.401,84.95,86.38
"2015/04/15",87.111,88.511,85.161,88.181
"2015/04/16",88.301,90.291,88.301,89.721
"2015/04/17",87.67,88.13,84.17,84.371
"2015/04/20",85,86.291,84.21,86.111
"2015/04/21",86.57,87.5,85.831,86.02
"2015/04/22",85.901,87.67,85.441,87.59
"2015/04/23",86.761,88.7,85.64,87.901
"2015/04/24",88.46,89.411,87.791,88.53
"2015/04/27",88.6,89.52,87.651,87.77
"2015/04/28",87.92,88.401,86.25,86.64
"2015/04/29",86.151,92.5,85.801,90.221
"2015/04/30",89.051,91.331,88.96,91.21
"2015/05/01",91.21,91.871,88.82,89.5
"2015/05/04",89.49,91.45,89.371,90.74
"2015/05/05",90.14,92.481,89.06,90.07
"2015/05/06",89.971,91.301,88.941,90.481
"2015/05/07",90.231,90.231,87.691,89.681
"2015/05/08",90.261,91.221,89.38,89.511
"2015/05/11",89.6,90.481,89.291,90.261
"2015/05/12",89.481,89.59,87.6,88.411
"2015/05/13",88.901,89.96,88.411,89.191
"2015/05/14",89.511,91.92,88.301,90.85
"2015/05/15",90.291,90.78,89.551,90.081
"2015/05/18",90.25,92.361,90.06,91.901
"2015/05/19",91.77,92.5,90.541,90.651
"2015/05/20",92,92,88.81,90.431
"2015/05/21",91.691,92.291,89.71,91.82
"2015/05/22",91.7,92.721,91.011,92.181
"2015/05/26",91.67,93.621,91.52,92.49
"2015/05/27",84.03,85,81.14,82
"2015/05/28",82.21,82.64,79.7,80.14
"2015/05/29",79.89,80.02,78.46,78.92
"2015/06/01",79.09,79.541,78.24,79.09
"2015/06/02",79.611,80.74,78.681,79.801
"2015/06/03",79.5,80.99,78.56,80.651
"2015/06/04",79.971,80.28,77.801,78.21
"2015/06/05",78.621,79.581,77.5,79.38
"2015/06/08",79.27,79.38,77.181,78.041
"2015/06/09",78.17,78.361,77.051,78.13
"2015/06/10",78.32,79.721,78.14,79.6
"2015/06/11",79.99,80.49,79.34,80.06
"2015/06/12",79.911,80.011,79.03,79.63
"2015/06/15",78.85,79.691,78.03,79.57
"2015/06/16",79.32,79.911,78.5,78.99
"2015/06/17",79.5,79.5,78.621,79.1
"2015/06/18",78.96,80.511,78.74,80.471
"2015/06/19",80.481,80.481,79.511,79.971
"2015/06/22",80.371,81.03,80.1,80.35
"2015/06/23",80.57,81.541,80.151,81.46
"2015/06/24",81.2,81.511,78.64,79.2
"2015/06/25",79.361,80.231,79.14,79.541
"2015/06/26",79.74,79.74,77.971,78.6
"2015/06/29",77.49,78.081,76.111,76.31
"2015/06/30",77.151,77.27,75.7,76.39
"2015/07/01",76.96,77.511,75.231,75.901
"2015/07/02",75.801,76.181,75.161,75.791
"2015/07/06",75.1,76.81,74.261,76.681
"2015/07/07",76.56,78.181,75.431,77.651
"2015/07/08",76.901,77.71,76.331,76.831
"2015/07/09",78.301,79.231,77.42,77.96
"2015/07/10",78.78,79.89,78.71,79.52
"2015/07/13",79.911,80.38,78.861,79.27
"2015/07/14",80.081,82.971,79.96,82.181
"2015/07/15",82.191,83.52,81.581,83.21
"2015/07/16",83.25,84.77,83.221,84.45
"2015/07/17",84.7,84.96,83.901,84.7
"2015/07/20",84.761,85.25,83.99,84.6
"2015/07/21",84.59,84.99,83.371,84.77
"2015/07/22",84.581,84.861,83.871,83.99
"2015/07/23",84,84.32,82.5,83.02
"2015/07/24",83.411,83.96,82.511,82.59
"2015/07/27",81.99,82.57,80.1,81.081
"2015/07/28",81.56,83.401,79.59,83.151
"2015/07/29",82,83.53,80.88,83.39
"2015/07/30",83.27,83.791,82.28,83.75
"2015/07/31",83.481,84.42,83.32,84.331
"2015/08/03",84.27,84.471,83.121,84
"2015/08/04",83.77,84.371,82.721,82.801
"2015/08/05",83.78,84.64,83.32,83.401
"2015/08/06",83.52,83.99,80.761,81.92
"2015/08/07",81.871,83.09,81.38,82.511
"2015/08/10",82.871,83.64,82.441,83.25
"2015/08/11",82.411,84.541,82.31,83.06
"2015/08/12",82.611,83.361,80.52,82.96
"2015/08/13",83.1,83.78,82.17,82.261
"2015/08/14",82.121,84.59,82.051,84.181
"2015/08/17",83.59,84.84,83.231,84.801
"2015/08/18",84.07,84.801,82.46,82.581
"2015/08/19",82.31,83.471,81.011,82.38
"2015/08/20",81.71,82.161,76.96,77.02
"2015/08/21",74.551,75.38,71.27,71.84
"2015/08/24",65.84,70.34,65.331,69.34
"2015/08/25",72.5,73.541,70.02,70.02
"2015/08/26",71.74,72.64,69.661,72.401
"2015/08/27",71.85,76.581,71.49,75.371
"2015/08/28",75,75,72.221,72.761
"2015/08/31",72.621,72.78,69.971,70.261
"2015/09/01",68.861,70.871,68.731,69.59
"2015/09/02",70.5,71.57,69.34,71.111
"2015/09/03",71.541,72.971,71.07,71.691
"2015/09/04",70.63,70.77,69.941,70.09
"2015/09/08",71.181,72.14,70.31,71.77
"2015/09/09",72.261,72.651,70.011,70.27
"2015/09/10",69.95,70.77,69.38,70.161
"2015/09/11",70.56,71.39,70.09,71.361
"2015/09/14",71.28,71.38,69.551,69.871
"2015/09/15",70.14,71.331,69.721,70.67
"2015/09/16",70.801,72.34,70.511,71.96
"2015/09/17",71.611,73.27,71.06,72.02
"2015/09/18",71.221,73.71,71.051,73.49
"2015/09/21",74.1,74.38,72.651,73.181
"2015/09/22",72.7,73.13,71.681,72.89
"2015/09/23",72.681,73.371,71.75,72.63
"2015/09/24",71.96,72.551,70.371,72.49
"2015/09/25",73.231,74.231,71.67,72.57
"2015/09/28",71.81,72.511,69.871,70.551
"2015/09/29",70.25,71.541,68.77,70.7
"2015/09/30",69.871,71.191,66.361,68.861
"2015/10/01",69.511,72.291,69.331,72.2
"2015/10/02",70.95,74.77,69.77,74.09
"2015/10/05",74.301,76.46,73.84,75.5
"2015/10/06",75.64,75.99,74.161,74.85
"2015/10/07",75.39,76.39,74.25,76.361
"2015/10/08",76.06,76.2,73.84,75.861
"2015/10/09",76.24,77.691,75.761,77.57
"2015/10/12",77.52,78.371,77.1,77.511
"2015/10/13",77.551,78.621,76.411,76.5
"2015/10/14",76.35,76.901,74.75,74.931
"2015/10/15",75.1,77.791,74.761,77.291
"2015/10/16",77.67,78.78,77.161,78.691
"2015/10/19",78.441,79.401,77.82,78.53
"2015/10/20",79.02,79.95,78.181,79.88
"2015/10/21",79.371,79.99,77.31,78.231
"2015/10/22",78.511,81.03,78.27,79.89
"2015/10/23",81.151,81.151,78.151,79.85
"2015/10/26",79.911,80.221,78.401,78.95
"2015/10/27",78.791,78.92,76.75,77.2
"2015/10/28",77.57,78.81,76.64,78.801
"2015/10/29",78.92,79.081,77.96,78.45
"2015/10/30",78.75,79.84,77.871,78.971
"2015/11/02",79.481,81.6,78.82,81.35
"2015/11/03",80.89,81.46,80.041,80.21
"2015/11/04",80.401,81.39,79.99,80.25
"2015/11/05",80.09,80.53,77.901,78.57
"2015/11/06",79.07,82.231,78.511,82.181
"2015/11/09",81.861,82.261,80.24,81.541
"2015/11/10",81.02,81.99,80.31,81.52
"2015/11/11",81.75,82.401,81.06,82
"2015/11/12",81.471,82.95,81.231,81.92
"2015/11/13",81.871,81.871,78.78,78.911
"2015/11/16",79.181,80.71,78.59,80.59
"2015/11/17",80.681,80.99,79.011,80.931
"2015/11/18",81.151,83.88,81.03,83.681
"2015/11/19",83.931,85.67,83.2,84.301
"2015/11/20",78.441,83.82,78.07,83.111
"2015/11/23",82.441,82.5,80.21,80.481
"2015/11/24",80.121,83.151,79.85,82.7
"2015/11/25",82.861,83.721,82.5,83.35
"2015/11/27",83.121,83.78,82.551,83.221
"2015/11/30",83.401,83.84,82.71,83.71
"2015/12/01",83.95,84.621,83.511,84.481
"2015/12/02",84.38,85.31,83.691,84.081
"2015/12/03",84.231,85.49,82.74,83.611
"2015/12/04",84.041,85.21,83.39,84.581
"2015/12/07",83.911,84.401,82.14,82.981
"2015/12/08",82.151,83.95,81.46,83.611
"2015/12/09",83.31,84.38,83.02,83.39
"2015/12/10",83.051,83.971,82.5,83.81
"2015/12/11",83.02,83.401,78.75,78.981
"2015/12/14",79.121,80,78.191,79
"2015/12/15",79.511,79.67,78.31,78.971
"2015/12/16",79.431,81.49,79.09,81.291
"2015/12/17",81.6,81.88,79.67,80.52
"2015/12/18",79.801,80.411,78.42,78.551
"2015/12/21",79.28,79.331,77.49,78.551
"2015/12/22",79.221,79.84,78.511,79.24
"2015/12/23",79.64,80.5,79.06,79.84
"2015/12/24",79.621,80.1,78.78,79.681
"2015/12/28",79.511,79.89,78.74,79.611
"2015/12/29",79.92,80.24,79.441,79.75
"2015/12/30",79.871,81.31,79.81,80.28
"2015/12/31",79.88,80.84,79.27,79.681
