date,open,high,low,close
"2018/01/02",5.5,5.711,5.49,5.711
"2018/01/03",5.68,5.711,5.571,5.671
"2018/01/04",5.68,5.731,5.631,5.651
"2018/01/05",5.651,5.68,5.52,5.56
"2018/01/08",5.56,5.691,5.551,5.671
"2018/01/09",5.68,5.7,5.631,5.7
"2018/01/10",5.761,5.81,5.72,5.81
"2018/01/11",5.72,5.761,5.66,5.72
"2018/01/12",5.7,5.74,5.68,5.68
"2018/01/16",5.841,5.99,5.81,5.93
"2018/01/17",5.941,5.941,5.77,5.881
"2018/01/18",5.861,5.881,5.761,5.77
"2018/01/19",5.821,5.881,5.56,5.611
"2018/01/22",5.461,5.54,5.33,5.461
"2018/01/23",5.441,5.441,5.37,5.421
"2018/01/24",5.41,5.511,5.35,5.511
"2018/01/25",5.52,5.58,5.49,5.56
"2018/01/26",5.591,5.651,5.551,5.64
"2018/01/29",5.591,5.591,5.511,5.56
"2018/01/30",5.511,5.511,5.43,5.481
"2018/01/31",5.47,5.54,5.421,5.49
"2018/02/01",5.45,5.511,5.41,5.511
"2018/02/02",5.461,5.5,5.39,5.461
"2018/02/05",5.401,5.481,5.281,5.301
"2018/02/06",5.231,5.381,5.18,5.33
"2018/02/07",5.27,5.31,5.171,5.211
"2018/02/08",5.25,5.25,5.091,5.1
"2018/02/09",5.131,5.25,5.12,5.22
"2018/02/12",5.25,5.401,5.25,5.321
"2018/02/13",5.381,5.381,5.321,5.361
"2018/02/14",5.35,5.49,5.321,5.481
"2018/02/15",5.481,5.551,5.481,5.551
"2018/02/16",5.551,5.58,5.47,5.58
"2018/02/20",5.531,5.6,5.511,5.54
"2018/02/21",5.571,5.571,5.43,5.43
"2018/02/22",5.481,5.511,5.45,5.461
"2018/02/23",5.531,5.54,5.461,5.531
"2018/02/26",5.52,5.54,5.441,5.45
"2018/02/27",5.45,5.52,5.45,5.45
"2018/02/28",5.49,5.551,5.441,5.511
"2018/03/01",5.511,5.531,5.321,5.41
"2018/03/02",5.361,5.441,5.35,5.43
"2018/03/05",5.41,5.511,5.401,5.49
"2018/03/06",5.5,5.54,5.461,5.49
"2018/03/07",5.511,5.52,5.45,5.481
"2018/03/08",5.481,5.5,5.421,5.45
"2018/03/09",5.461,5.481,5.421,5.461
"2018/03/12",5.49,5.79,5.49,5.77
"2018/03/13",5.83,5.901,5.761,5.781
"2018/03/14",5.781,5.801,5.551,5.631
"2018/03/15",5.651,5.72,5.62,5.651
"2018/03/16",5.631,5.731,5.56,5.571
"2018/03/19",5.531,5.531,5.231,5.29
"2018/03/20",5.33,5.37,5.06,5.211
"2018/03/21",5.22,5.31,5.171,5.2
"2018/03/22",5.191,5.191,5.071,5.071
"2018/03/23",5.08,5.261,5.08,5.16
"2018/03/26",5.12,5.231,5.1,5.22
"2018/03/27",5.171,5.24,5.091,5.12
"2018/03/28",5.191,5.2,5.1,5.12
"2018/03/29",5.14,5.25,5.111,5.16
"2018/04/02",5.211,5.37,5.171,5.211
"2018/04/03",5.22,5.261,5.151,5.22
"2018/04/04",5.151,5.24,5.131,5.24
"2018/04/05",5.2,5.29,5.191,5.231
"2018/04/06",5.2,5.24,5.16,5.18
"2018/04/09",5.231,5.321,5.231,5.261
"2018/04/10",5.25,5.361,5.24,5.281
"2018/04/11",5.24,5.361,5.24,5.321
"2018/04/12",5.33,5.421,5.31,5.35
"2018/04/13",5.401,5.45,5.16,5.18
"2018/04/16",5.211,5.37,5.211,5.29
"2018/04/17",5.281,5.33,5.24,5.33
"2018/04/18",5.361,5.361,5.211,5.231
"2018/04/19",5.231,5.27,5.2,5.261
"2018/04/20",5.281,5.31,5.24,5.27
"2018/04/23",5.27,5.29,5.131,5.2
"2018/04/24",5.111,5.211,5.111,5.151
"2018/04/25",5.011,5.071,4.861,4.881
"2018/04/26",4.87,4.941,4.74,4.74
"2018/04/27",4.801,4.821,4.731,4.75
"2018/04/30",4.79,4.83,4.77,4.781
"2018/05/01",4.77,4.781,4.711,4.761
"2018/05/02",4.761,4.79,4.7,4.72
"2018/05/03",4.72,4.72,4.6,4.68
"2018/05/04",4.64,4.671,4.54,4.64
"2018/05/07",4.64,4.761,4.64,4.74
"2018/05/08",4.691,4.731,4.631,4.66
"2018/05/09",4.64,4.671,4.58,4.671
"2018/05/10",4.66,4.7,4.631,4.671
"2018/05/11",4.66,4.691,4.64,4.68
"2018/05/14",4.68,4.801,4.671,4.68
"2018/05/15",4.64,4.651,4.571,4.62
"2018/05/16",4.66,4.671,4.631,4.671
"2018/05/17",4.66,4.68,4.62,4.631
"2018/05/18",4.591,4.651,4.571,4.591
"2018/05/21",4.551,4.571,4.511,4.54
"2018/05/22",4.56,4.66,4.52,4.62
"2018/05/23",4.58,4.631,4.5,4.62
"2018/05/24",4.62,4.631,4.531,4.591
"2018/05/25",4.611,4.631,4.571,4.6
"2018/05/29",4.56,4.6,4.531,4.56
"2018/05/30",4.52,4.591,4.5,4.551
"2018/05/31",4.551,4.611,4.551,4.6
"2018/06/01",4.62,4.62,4.591,4.6
"2018/06/04",4.64,4.64,4.571,4.611
"2018/06/05",4.56,4.591,4.531,4.551
"2018/06/06",4.62,4.68,4.591,4.651
"2018/06/07",4.611,4.72,4.611,4.7
"2018/06/08",4.68,4.731,4.64,4.72
