date,open,high,low,close
"2012/01/03",32.55,32.85,32.241,32.44
"2012/01/04",32.35,32.35,31.81,32.1
"2012/01/05",32.07,32.42,31.871,32.381
"2012/01/06",32.331,32.51,32.041,32.17
"2012/01/09",32.331,33.07,32.291,32.87
"2012/01/10",33.241,33.3,32.73,32.931
"2012/01/11",32.901,33.01,32.631,32.85
"2012/01/12",32.991,33.581,32.841,33.46
"2012/01/13",33.431,33.48,32.87,32.991
"2012/01/17",33.151,33.361,33.01,33.35
"2012/01/18",33.811,35.48,33.69,35.3
"2012/01/19",36.78,36.78,35.041,35.64
"2012/01/20",35.5,35.87,35.311,35.771
"2012/01/23",35.71,35.87,35.44,35.681
"2012/01/24",35.48,36.151,35.41,36.061
"2012/01/25",35.631,35.98,35.01,35.521
"2012/01/26",35.561,36.1,35.561,35.841
"2012/01/27",35.841,36.05,35.66,35.991
"2012/01/30",35.64,36.14,35.241,35.861
"2012/01/31",35.951,36.041,35.51,35.85
"2012/02/01",36.16,36.741,35.881,36.28
"2012/02/02",36.25,36.631,36.1,36.201
"2012/02/03",36.57,36.931,36.491,36.92
"2012/02/06",36.491,36.5,35.901,36.311
"2012/02/07",36.201,36.57,36,36.401
"2012/02/08",36.331,36.791,36.21,36.6
"2012/02/09",36.721,36.931,36.401,36.85
"2012/02/10",36.5,36.631,36.131,36.331
"2012/02/13",36.44,36.5,35.66,36.26
"2012/02/14",36.12,36.53,36.111,36.53
"2012/02/15",36.561,36.96,36.39,36.451
"2012/02/16",36.381,37.48,36.37,37.151
"2012/02/17",37.37,37.48,37.03,37.28
"2012/02/21",37.241,37.44,36.791,36.89
"2012/02/22",36.831,37.091,36.75,36.841
"2012/02/23",36.91,37,36.55,36.89
"2012/02/24",36.991,37.35,36.931,37.23
"2012/02/27",36.831,37.241,36.5,37
"2012/02/28",36.931,37.741,36.931,37.451
"2012/02/29",37.55,37.561,36.831,36.931
"2012/03/01",36.951,37.37,36.51,36.681
"2012/03/02",36.53,36.831,36.271,36.48
"2012/03/05",36.37,36.39,35.381,35.721
"2012/03/06",35.471,36.12,35.44,36.07
"2012/03/07",36.041,36.37,35.841,36.131
"2012/03/08",36.37,36.541,36.12,36.41
"2012/03/09",36.37,36.69,36.35,36.44
"2012/03/12",36.471,36.471,36.091,36.181
"2012/03/13",36.44,36.991,36.28,36.94
"2012/03/14",37,37.3,36.631,36.651
"2012/03/15",36.631,37.021,36.42,36.881
"2012/03/16",36.82,37.3,36.771,37.271
"2012/03/19",37.081,37.21,36.8,37.12
