date,open,high,low,close
"2006/01/03",42.8,43.241,42.48,42.831
"2006/01/04",42.94,43.17,42.3,42.41
"2006/01/05",42.381,43,42.16,42.53
"2006/01/06",42.701,44.291,42.67,44.12
"2006/01/09",44.291,44.87,43.87,44.791
"2006/01/10",44.791,46.771,44.701,46.46
"2006/01/11",46.361,46.491,45.701,46.021
"2006/01/12",46.25,46.94,45.701,46.51
"2006/01/13",46.64,46.771,45.8,46.16
"2006/01/17",45.791,46.42,45.081,45.241
"2006/01/18",45,45.521,44.57,44.931
"2006/01/19",44.75,45.26,44.681,45
"2006/01/20",44.951,45.05,44.091,44.21
"2006/01/23",44.14,44.291,43.491,43.51
"2006/01/24",43.73,44.05,43.35,43.48
"2006/01/25",43.69,43.85,42.32,43.061
"2006/01/26",43.431,43.71,43,43.67
"2006/01/27",43.701,45.21,43.35,45.1
"2006/01/30",44.87,45.181,44.55,44.85
"2006/01/31",44.62,45.451,44.5,45.03
"2006/02/01",44.69,44.901,44.041,44.23
"2006/02/02",44.061,44.361,43.291,43.491
"2006/02/03",43.25,43.541,42.401,42.75
"2006/02/06",42.66,43.451,42.62,43.35
"2006/02/07",43.28,44.19,42.76,44
"2006/02/08",44.021,46.21,44.021,46.181
"2006/02/09",47.451,47.971,45.681,45.881
"2006/02/10",45.94,46.091,45.381,45.85
"2006/02/13",45.561,45.721,44.85,45.12
"2006/02/14",44.94,45.25,44.5,45.03
"2006/02/15",44.811,45,44.381,44.541
"2006/02/16",44.44,44.96,44.341,44.48
"2006/02/17",44.53,44.541,43.82,44.44
"2006/02/21",44.271,44.5,43.831,44.1
"2006/02/22",43.96,44.5,43.6,44.151
"2006/02/23",43.951,44.471,43.85,44.1
"2006/02/24",44.241,45.221,43.96,45.1
"2006/02/27",45.271,45.55,44.831,44.98
"2006/02/28",44.841,44.991,43.651,44.14
"2006/03/01",44.03,44.69,43.94,44.431
"2006/03/02",44.201,44.631,44,44.221
"2006/03/03",44,44.35,43.561,43.69
"2006/03/06",43.561,44.271,43.561,43.811
"2006/03/07",43.64,44.25,43.55,44.1
"2006/03/08",43.82,44.26,43.291,43.76
"2006/03/09",43.66,44.081,43.471,43.87
"2006/03/10",43.8,43.96,43.39,43.631
"2006/03/13",43.591,43.951,43.3,43.591
"2006/03/14",43.42,44.591,43.241,44.55
"2006/03/15",44.611,45.1,44.431,45
"2006/03/16",45,45.431,44.85,45.28
"2006/03/17",45.3,45.71,45.131,45.361
"2006/03/20",45.331,45.701,45.19,45.431
"2006/03/21",45.451,46.221,44.901,45.451
"2006/03/22",45.681,45.741,45.05,45.66
"2006/03/23",45.51,45.951,45.1,45.76
"2006/03/24",45.55,46.221,45.55,45.75
"2006/03/27",45.67,46.311,45.081,45.311
"2006/03/28",45.131,45.21,44.6,44.71
"2006/03/29",44.71,45.221,44.581,44.841
"2006/03/30",44.931,44.971,44.67,44.841
"2006/03/31",44.96,45.14,44.44,44.721
"2006/04/03",44.94,45.39,44.6,44.92
"2006/04/04",44.811,44.861,44.12,44.28
"2006/04/05",44.241,44.3,43.1,43.271
"2006/04/06",43.451,43.85,43.061,43.771
"2006/04/07",43.76,43.971,43.48,43.66
"2006/04/10",43.611,43.951,43.21,43.5
"2006/04/11",43.491,43.71,42.67,42.861
"2006/04/12",42.741,43.05,42.271,42.401
"2006/04/13",42.271,42.291,41.651,42.1
"2006/04/17",42.1,43.521,41.85,42.91
"2006/04/18",42.971,43.28,42.94,43.17
"2006/04/19",43.111,43.6,42.73,43.16
"2006/04/20",43.28,43.5,43,43.21
"2006/04/21",43.26,43.5,42.6,43.25
"2006/04/24",42.971,43.201,42.6,43.021
"2006/04/25",43,43.741,42.771,43.35
"2006/04/26",38.23,39.75,37.96,37.96
"2006/04/27",39.291,39.881,38.721,39.331
"2006/04/28",39.201,40,39.131,39.69
"2006/05/01",39.5,39.69,38.75,38.78
"2006/05/02",38.91,39.151,38.66,39.01
"2006/05/03",38.971,39.76,38.841,39.6
"2006/05/04",39.51,40.25,39.431,40.23
"2006/05/05",40.361,40.831,39.831,40.6
"2006/05/08",40.3,40.82,40.07,40.361
"2006/05/09",40.151,40.361,38.971,39.21
"2006/05/10",39,39.361,38.71,39.16
"2006/05/11",38.92,38.971,37.76,38.12
"2006/05/12",38.451,38.5,37.76,38.01
"2006/05/15",37.8,38.401,37.75,37.811
"2006/05/16",37.791,37.89,36.89,37.241
"2006/05/17",37,37.41,36.971,37
"2006/05/18",37,37.181,36.62,36.631
"2006/05/19",37.081,37.37,36.46,37.05
"2006/05/22",36.78,37.01,36.12,36.67
"2006/05/23",36.951,37.05,35.53,35.53
"2006/05/24",35.5,35.721,34.951,35.081
"2006/05/25",35.021,35.741,34.98,35.48
"2006/05/26",35.651,36.151,35.401,36.03
"2006/05/30",35.73,36.381,35.491,35.521
"2006/05/31",35.5,35.791,35.061,35.311
"2006/06/01",35.48,35.811,35.041,35.811
"2006/06/02",35.75,36.841,35.611,36.78
"2006/06/05",36.62,37.081,36.311,36.39
"2006/06/06",36.581,36.581,34.92,35.491
"2006/06/07",35.46,35.82,34.931,34.951
"2006/06/08",34.901,35.07,33.75,34.081
"2006/06/09",34.25,34.55,34,34.12
"2006/06/12",34.1,34.48,33.25,33.271
"2006/06/13",33.25,33.451,32.41,32.951
"2006/06/14",32.841,33.6,32.681,33.17
"2006/06/15",33.41,34.28,33.16,34.201
"2006/06/16",34.25,34.32,33.771,34.021
"2006/06/19",33.831,34,32.89,33.03
"2006/06/20",33.01,33.32,32.78,32.991
"2006/06/21",33.081,34.44,33.01,33.811
"2006/06/22",34,34,33.05,33.291
"2006/06/23",33.35,33.51,33.05,33.401
"2006/06/26",33.46,33.75,33.23,33.39
"2006/06/27",33.39,33.78,32.651,32.91
"2006/06/28",33.091,33.25,32.831,33.19
"2006/06/29",33.32,34.061,33,34.05
"2006/06/30",33.85,34.331,33.771,34.16
"2006/07/03",33.71,34.111,33.42,33.881
"2006/07/05",33.78,33.861,32.521,32.581
"2006/07/06",32.53,32.89,32.21,32.41
"2006/07/07",32.291,32.69,31.671,31.88
"2006/07/10",31.88,32.48,31.671,31.931
"2006/07/11",31.81,32.471,31.39,32.381
"2006/07/12",32.401,32.611,32.081,32.431
"2006/07/13",32.3,32.381,31.111,31.31
"2006/07/14",31.41,31.871,30.9,31.091
"2006/07/17",31.041,31.41,30.951,31.201
"2006/07/18",31.32,31.351,30.75,31
"2006/07/19",30.96,31.281,30.771,31
"2006/07/20",31,31.171,30.201,30.23
"2006/07/21",30.13,30.201,29.23,29.58
"2006/07/24",29.621,30.23,29.621,30.08
"2006/07/25",30.021,31.271,29.941,30.99
"2006/07/26",32.451,33,31.66,31.81
"2006/07/27",31.81,32.091,31.031,31.261
"2006/07/28",31.521,31.55,31.191,31.41
"2006/07/31",31.351,31.63,31.291,31.351
"2006/08/01",31.281,31.371,31.15,31.22
"2006/08/02",31.25,31.761,31.25,31.75
"2006/08/03",31.55,32.6,31.41,32.42
"2006/08/04",32.311,33.23,32.26,33.05
"2006/08/07",33.07,33.07,32.42,32.6
"2006/08/08",32.66,33,32.35,32.5
"2006/08/09",32.73,33.061,32.1,32.28
"2006/08/10",32.111,32.6,32.111,32.51
"2006/08/11",32.39,32.811,32.271,32.651
"2006/08/14",32.94,33.25,32.73,32.96
"2006/08/15",33.23,33.44,32.94,33.37
"2006/08/16",33.51,33.87,33.25,33.791
"2006/08/17",33.87,34.021,33.721,33.881
"2006/08/18",33.831,34.271,33.471,34.041
"2006/08/21",34,34,33.21,33.3
"2006/08/22",33.21,33.5,33.14,33.41
"2006/08/23",33.3,33.611,32.75,33.341
"2006/08/24",33.271,33.46,32.75,33.21
"2006/08/25",33.201,33.69,32.8,33.331
"2006/08/28",33.23,33.721,33.23,33.64
"2006/08/29",33.75,33.92,33.3,33.89
"2006/08/30",33.971,34.35,33.69,34.111
"2006/08/31",34.07,34.07,33.76,33.841
"2006/09/01",33.89,34.5,33.53,34.291
"2006/09/05",34.381,34.741,34.05,34.631
"2006/09/06",34.32,34.35,33.91,33.94
"2006/09/07",33.771,33.89,33.221,33.32
"2006/09/08",33.491,33.69,33.201,33.53
"2006/09/11",33.311,34.291,33.23,34.05
"2006/09/12",34.25,36.1,34.25,35.6
"2006/09/13",35.721,36.091,35.44,35.901
"2006/09/14",35.681,36.03,35.32,35.471
"2006/09/15",35.631,36.061,35.311,35.64
"2006/09/18",35.701,36.6,35.331,36.381
"2006/09/19",36.311,36.491,35.3,35.541
"2006/09/20",35.951,36.32,35.681,36.151
"2006/09/21",36.151,36.19,35.21,35.32
"2006/09/22",35.241,35.271,34.471,34.62
"2006/09/25",34.631,35.401,34.631,35.19
"2006/09/26",35.221,35.6,35,35.6
"2006/09/27",35.42,35.75,35.17,35.221
"2006/09/28",35.181,35.96,35,35.96
"2006/09/29",36.14,36.16,35.721,35.741
"2006/10/02",35.75,35.75,35.041,35.291
"2006/10/03",35.01,35.48,34.521,35.05
"2006/10/04",34.811,35.831,34.71,35.741
"2006/10/05",35.48,35.64,35.05,35.51
"2006/10/06",35.681,36.35,35.401,36.041
"2006/10/09",35.931,36.42,35.55,36.341
"2006/10/10",36.611,36.69,36.26,36.401
"2006/10/11",36.23,36.861,36.21,36.67
"2006/10/12",36.881,37.081,36.6,37.061
"2006/10/13",36.91,37.35,36.91,37.07
"2006/10/16",36.94,37.271,36.931,36.951
"2006/10/17",36.861,36.96,36.5,36.6
"2006/10/18",36.591,36.721,35.901,36.181
"2006/10/19",36.05,36.71,36.05,36.491
"2006/10/20",36.5,36.6,36.271,36.361
"2006/10/23",36.151,36.82,36.151,36.721
"2006/10/24",36.35,36.811,36.331,36.721
"2006/10/25",36.811,36.91,36.44,36.771
"2006/10/26",36.881,37.57,36.67,37.431
"2006/10/27",37.361,37.361,36.62,37.03
"2006/10/30",37.061,37.62,36.631,37.5
"2006/10/31",37.561,37.741,36.92,37.271
"2006/11/01",37.05,37.401,36.081,36.831
"2006/11/02",36.491,36.51,35.6,35.931
"2006/11/03",35.991,36.201,35.57,35.73
"2006/11/06",35.721,36.091,35.721,35.8
"2006/11/07",35.881,36.381,35.8,35.991
"2006/11/08",35.78,36.021,35.57,35.87
"2006/11/09",35.991,36.03,35.07,35.51
"2006/11/10",35.48,35.701,35.041,35.48
"2006/11/13",35.341,35.46,35.081,35.37
"2006/11/14",35.291,35.681,35.221,35.591
"2006/11/15",35.561,36.841,35.44,36.69
"2006/11/16",36.92,36.92,36.041,36.48
"2006/11/17",36.5,36.5,35.491,35.5
"2006/11/20",35.361,35.561,35.091,35.53
"2006/11/21",35.41,35.541,35.181,35.46
"2006/11/22",35.5,35.521,35.26,35.491
"2006/11/24",35.451,35.5,35.37,35.5
"2006/11/27",35.35,35.48,34.951,34.951
"2006/11/28",34.92,35.081,34.67,34.8
"2006/11/29",34.861,35.081,34.69,34.85
"2006/11/30",34.8,35.021,34.21,34.931
"2006/12/01",34.741,34.94,33.98,34.331
"2006/12/04",34.14,34.591,34.14,34.55
"2006/12/05",34.55,34.651,34.21,34.55
"2006/12/06",34.39,34.94,34.39,34.791
"2006/12/07",34.62,35.041,34.55,34.91
"2006/12/08",34.73,35.3,34.6,35.26
"2006/12/11",35.35,35.8,35.16,35.25
"2006/12/12",35.44,35.44,34.971,35.081
"2006/12/13",35.3,35.331,34.92,35.041
"2006/12/14",34.971,35.42,34.901,35.25
"2006/12/15",35.16,35.46,35.12,35.19
"2006/12/18",35.201,35.46,34.96,35.05
"2006/12/19",34.901,35.1,34.611,35
"2006/12/20",35,35.151,34.89,34.991
"2006/12/21",35.07,35.1,34.881,34.971
"2006/12/22",34.89,35.05,34.75,34.91
"2006/12/26",34.76,35.021,34.76,34.91
"2006/12/27",34.92,35.21,34.841,35.07
"2006/12/28",34.94,35.1,34.89,34.901
"2006/12/29",34.811,34.901,34.681,34.791
