date,open,high,low,close
"2017/01/03",21.521,22.23,21.431,22.13
"2017/01/04",22.271,22.41,21.96,22.23
"2017/01/05",22.21,22.455,21.98,22.341
"2017/01/06",22.421,22.621,22.181,22.47
"2017/01/09",22.431,23.341,22.271,23.191
"2017/01/10",23.13,23.24,22.441,22.931
"2017/01/11",23.14,23.75,22.871,23.49
"2017/01/12",23.761,24.136,23.371,24
"2017/01/13",24,24.82,23.831,24.761
"2017/01/17",24.31,24.341,22.201,22.591
"2017/01/18",22.8,23.681,22.691,23.39
"2017/01/19",23.48,24.46,23.46,23.781
"2017/01/20",23.75,24.25,23.75,24.07
"2017/01/23",23.851,24.191,23.66,24.111
"2017/01/24",24.05,24.451,23.921,24.31
"2017/01/25",24.65,24.89,24.341,24.541
"2017/01/26",24.531,24.65,23.72,23.951
"2017/01/27",24.031,24.21,23.591,23.72
"2017/01/30",23.5,23.611,22.88,23.611
"2017/01/31",23.38,23.99,23.195,23.931
"2017/02/01",23.931,24.431,23.64,24.4
"2017/02/02",24.121,24.41,23.701,24.261
"2017/02/03",24.351,24.761,24.23,24.64
"2017/02/06",24.47,24.775,24.15,24.63
"2017/02/07",24.621,24.871,24.451,24.601
"2017/02/08",24.541,25.201,24.3,24.531
"2017/02/09",28.431,29.531,27.591,28.32
"2017/02/10",27.361,28.32,26.96,27.66
"2017/02/13",27.73,28.24,27.39,27.431
"2017/02/14",27.22,27.22,26.71,26.98
"2017/02/15",26.89,27.851,26.732,27.531
"2017/02/16",27.431,27.671,26.96,27.281
"2017/02/17",27.33,27.98,27.13,27.89
"2017/02/21",27.55,28.07,27.431,28
"2017/02/22",27.75,28.13,27.75,28.08
"2017/02/23",28.121,28.13,27.38,27.73
"2017/02/24",27.361,28.024,27.098,27.921
"2017/02/27",27.9,28.091,27.671,27.861
"2017/02/28",27.431,27.667,27.205,27.23
"2017/03/01",27.681,28.41,27.48,28.21
"2017/03/02",28.101,28.101,27.351,27.41
"2017/03/03",27.41,27.66,27.011,27.121
"2017/03/06",26.9,27.371,26.681,27.201
"2017/03/07",27.13,27.351,26.591,26.681
"2017/03/08",26.851,27.261,26.701,26.91
"2017/03/09",26.97,27.15,26.66,26.9
"2017/03/10",27.14,27.56,26.861,27.33
"2017/03/13",27.33,27.8,27.255,27.75
"2017/03/14",27.701,27.761,27.341,27.57
"2017/03/15",27.66,27.771,27.21,27.671
"2017/03/16",27.791,27.97,27.671,27.81
"2017/03/17",27.761,28,27.38,27.621
"2017/03/20",27.58,27.921,27.31,27.75
"2017/03/21",28,28.101,26.75,26.761
"2017/03/22",26.74,26.97,26.435,26.691
"2017/03/23",26.621,26.99,26.361,26.421
"2017/03/24",26.63,27.07,26.621,26.861
"2017/03/27",26.451,27.271,26.271,27.22
"2017/03/28",27.201,27.371,26.906,27.22
"2017/03/29",27.171,27.871,27.025,27.871
"2017/03/30",27.781,27.951,27.5,27.55
"2017/03/31",27.58,28.16,27.341,28.041
"2017/04/03",28.031,28.25,27.31,27.74
"2017/04/04",27.701,27.96,27.091,27.171
"2017/04/05",27.371,27.96,27.32,27.46
"2017/04/06",27.451,27.521,26.96,27.16
"2017/04/07",27.201,27.281,26.851,27.15
"2017/04/10",27.191,27.541,27.041,27.49
"2017/04/11",27.431,28.191,27.39,27.951
"2017/04/12",27.98,28.15,27.684,27.91
"2017/04/13",28.101,28.58,27.98,28.181
"2017/04/17",28.191,28.5,28.011,28.41
"2017/04/18",28.341,28.861,28.24,28.621
"2017/04/19",28.621,28.826,28.06,28.101
"2017/04/20",28.201,28.601,27.941,28.371
"2017/04/21",28.33,28.541,28.111,28.33
"2017/04/24",28.671,28.81,28.33,28.64
"2017/04/25",28.8,28.98,28.601,28.681
"2017/04/26",28.781,28.88,28.191,28.4
"2017/04/27",28.611,28.96,28.3,28.55
"2017/04/28",28.55,28.8,28.191,28.75
"2017/05/01",28.81,29.271,28.511,29.121
"2017/05/02",29.091,29.296,28.75,29.16
"2017/05/03",29.111,29.291,28.601,29.261
"2017/05/04",29.41,30.24,29.41,29.701
"2017/05/05",26.82,28.9,26.82,27.601
"2017/05/08",27.46,27.89,26.48,26.57
"2017/05/09",26.601,27.085,26.14,27.06
"2017/05/10",27.171,27.39,26.511,26.57
"2017/05/11",26.33,26.47,25.64,26.32
"2017/05/12",26.39,27.361,26.275,27.3
"2017/05/15",27.291,27.559,27.181,27.33
"2017/05/16",27.431,27.55,26.98,27.341
"2017/05/17",27.07,27.07,24.826,25.091
"2017/05/18",24.98,25.82,24.9,25.291
"2017/05/19",25.371,25.685,24.781,24.89
"2017/05/22",24.761,25.101,24.486,24.82
"2017/05/23",24.851,25.921,24.851,25.82
"2017/05/24",25.89,25.98,25.72,25.841
"2017/05/25",25.97,26.08,25.701,25.701
"2017/05/26",25.691,26.9,25.56,26.74
"2017/05/30",26.541,26.58,26.046,26.38
"2017/05/31",26.441,26.451,25.81,25.98
"2017/06/01",26.101,27.091,26.101,27.05
"2017/06/02",27.06,27.671,27.05,27.451
"2017/06/05",27.41,27.871,27.39,27.55
"2017/06/06",27.341,27.9,27.237,27.361
"2017/06/07",27.431,27.66,27.14,27.46
"2017/06/08",27.38,27.58,27.21,27.351
"2017/06/09",27.361,27.421,25.531,26.121
"2017/06/12",25.861,26.716,24.71,26.121
"2017/06/13",26.32,26.8,25.951,26.64
"2017/06/14",26.761,27.05,26.351,26.761
"2017/06/15",26.24,26.941,26.15,26.761
"2017/06/16",26.65,27.22,26.65,27.14
"2017/06/19",27.41,27.89,27.15,27.81
"2017/06/20",27.611,28.121,27.591,27.871
"2017/06/21",28.011,28.25,27.64,28.05
"2017/06/22",28.14,28.431,27.851,28.41
"2017/06/23",28.33,29.656,28.25,29.591
"2017/06/26",29.39,29.39,28.63,28.66
"2017/06/27",28.531,28.636,27.8,27.81
"2017/06/28",28.041,28.24,27.25,27.89
"2017/06/29",27.941,27.941,27.06,27.64
"2017/06/30",27.56,28.13,27.56,27.781
"2017/07/03",27.9,27.9,26.851,27.23
"2017/07/05",27.25,27.701,27.08,27.451
"2017/07/06",27.181,27.656,27.011,27.371
"2017/07/07",27.431,28.198,27.281,28.031
"2017/07/10",28.041,28.216,27.65,27.88
"2017/07/11",27.89,28.291,27.66,27.951
"2017/07/12",28.291,28.82,27.91,27.921
"2017/07/13",27.89,28.111,27.49,27.791
"2017/07/14",27.871,28.49,27.75,28.46
"2017/07/17",28.431,28.72,28.05,28.07
"2017/07/18",28.07,28.4,27.931,28.371
"2017/07/19",28.46,29.16,28.46,29.15
"2017/07/20",29.111,29.591,28.691,29.201
"2017/07/21",29.431,29.541,29.041,29.16
"2017/07/24",29.261,30.14,29.001,30.121
"2017/07/25",29.99,30.31,29.931,30.07
"2017/07/26",30.111,31.021,30.111,30.781
"2017/07/27",31,31.361,29.941,30.541
"2017/07/28",30.24,30.689,29.921,30.011
"2017/07/31",30.101,30.32,29.281,29.32
"2017/08/01",29.46,29.591,28.8,28.98
"2017/08/02",28.98,29.041,27.791,28
"2017/08/03",28.13,28.63,27.791,28.201
"2017/08/04",29.55,29.73,28.476,29.191
"2017/08/07",29,29,27.58,27.96
"2017/08/08",26.341,27.3,25.89,25.941
"2017/08/09",25.671,26.16,25.58,25.91
"2017/08/10",25.771,25.941,25.091,25.48
"2017/08/11",25.361,26.32,25.291,26.291
"2017/08/14",26.611,27.111,26.421,27.07
"2017/08/15",27.07,27.33,26.9,27.13
"2017/08/16",27.171,27.38,26.931,27.25
"2017/08/17",27.121,27.4,26.601,26.701
"2017/08/18",26.421,27,26.351,26.621
"2017/08/21",26.601,26.861,26.33,26.82
"2017/08/22",26.861,27.281,26.851,27.111
"2017/08/23",26.871,27.32,26.871,26.96
"2017/08/24",27.121,27.591,27.031,27.541
"2017/08/25",27.71,27.75,27.08,27.14
"2017/08/28",27.371,27.451,27.101,27.261
"2017/08/29",27,27.49,26.841,27.291
"2017/08/30",27.351,27.64,27.14,27.351
"2017/08/31",27.451,27.511,27.281,27.4
"2017/09/01",27.431,27.531,27.06,27.48
"2017/09/05",27.33,27.855,27.23,27.82
"2017/09/06",27.9,27.951,27.351,27.421
"2017/09/07",27.421,28.25,27.22,28.121
"2017/09/08",28.181,28.58,28.08,28.101
"2017/09/11",28.5,29.57,28.47,29.4
"2017/09/12",29.4,29.55,28.96,29.22
"2017/09/13",29.181,29.47,29.171,29.31
"2017/09/14",29.191,29.49,28.96,29.05
"2017/09/15",29.05,29.095,28.55,28.66
"2017/09/18",28.72,29.16,28.621,29.111
"2017/09/19",29.171,29.23,28.851,28.951
"2017/09/20",28.871,29.07,28.591,28.63
"2017/09/21",28.601,28.601,28.14,28.23
"2017/09/22",28.201,28.521,28.041,28.06
"2017/09/25",28.06,28.08,27.191,27.33
"2017/09/26",27.521,27.771,27.091,27.291
"2017/09/27",27.46,28.24,27.46,28.101
"2017/09/28",28,28.5,27.66,28.49
"2017/09/29",28.49,29.171,28.191,29.111
"2017/10/02",29.111,29.8,29.07,29.46
"2017/10/03",29.57,29.97,29.361,29.88
"2017/10/04",29.861,30.361,29.681,30.16
"2017/10/05",30.171,30.47,29.66,30.451
"2017/10/06",30.281,31.13,30.24,31.111
"2017/10/09",29.39,30.171,28.81,29.531
"2017/10/10",29.58,29.82,29.07,29.421
"2017/10/11",29.33,29.65,28.951,29.3
"2017/10/12",30.75,31.951,29.941,30.111
"2017/10/13",30.24,30.33,29.65,29.91
"2017/10/16",29.97,30.205,29.58,29.8
"2017/10/17",29.8,29.951,29.451,29.861
"2017/10/18",30.16,30.521,29.75,30.31
"2017/10/19",30.101,30.4,30.031,30.361
"2017/10/20",30.701,31.31,30.24,31.3
"2017/10/23",31.451,31.46,30.056,30.121
"2017/10/24",30.31,30.47,30.06,30.291
"2017/10/25",30.16,30.526,29.75,30.14
"2017/10/26",30.191,30.48,29.98,30.181
"2017/10/27",30.56,30.56,29.88,30.291
"2017/10/30",30.101,30.48,29.941,30.271
"2017/10/31",30.46,31.07,30.121,31
"2017/11/01",31.261,31.46,29.57,30.611
"2017/11/02",33.271,35,33.26,34.35
"2017/11/03",32.5,34.521,32.44,33.971
"2017/11/06",33.8,34.831,33.799,34.55
"2017/11/07",34.6,34.651,33.581,34.241
"2017/11/08",34.081,35.89,33.98,35.651
"2017/11/09",34.951,35.331,34.26,35.32
"2017/11/10",35.3,35.69,34.581,35.271
"2017/11/13",35,35.591,34.706,34.991
"2017/11/14",34.91,35.331,34.611,34.92
"2017/11/15",34.37,34.701,33.71,34.21
"2017/11/16",34.311,34.991,34.3,34.381
"2017/11/17",34.271,34.486,34.001,34.431
"2017/11/20",34.39,34.681,34.25,34.631
