Date,Cumulative Returns
02/2006,1.0541552609093214
03/2006,1.4227229346945602
04/2006,1.3723563140670703
05/2006,1.633259799249716
06/2006,1.5567961551700626
07/2006,1.4919435889999506
08/2006,1.9900158410553164
09/2006,2.0116110864110173
10/2006,2.409574148058799
11/2006,2.28898400075772
12/2006,2.37830673092547
01/2007,2.4048717521311693
02/2007,2.3677431113751255
03/2007,2.4817588292270507
04/2007,2.288716586829447
05/2007,2.153662742348495
06/2007,2.1788683350308933
07/2007,2.1716699227461516
08/2007,1.6670455661176662
09/2007,1.2907668793002003
10/2007,1.768781649985679
11/2007,1.737269084289779
12/2007,1.6141160225167706
01/2008,1.3700385651606632
02/2008,1.4586927180003522
03/2008,1.4276704494295942
04/2008,1.579327430038739
05/2008,1.7647032879024933
06/2008,1.6967306715308252
07/2008,1.5670477833026124
08/2008,1.074257319768729
09/2008,0.8385371385237215
10/2008,0.7363999146349786
11/2008,0.5339528973850672
12/2008,0.6870807481159471
01/2009,0.6307860376314602
02/2009,0.7194847509577185
03/2009,0.8925363867211938
04/2009,0.9376434714406892
05/2009,0.9611107503179142
06/2009,1.0348554905928482
07/2009,0.9511042835001484
08/2009,0.8447995531760221
09/2009,0.870227995049386
10/2009,1.023333563411612
11/2009,1.0625125518980036
12/2009,1.2330904345446998
01/2010,1.1098705256657302
02/2010,1.0876512762207513
03/2010,1.5718170220854653
04/2010,1.5854561100971063
05/2010,1.7362439082992362
06/2010,2.1225736436747273
07/2010,1.9950970712559624
08/2010,2.1367252941772117
09/2010,2.3746072371212046
10/2010,2.2081745806666073
11/2010,2.373559770260532
12/2010,2.4714403582392768
01/2011,2.1899890988123407
02/2011,1.8447104151999314
03/2011,1.893539271841607
04/2011,1.6969534952173626
05/2011,1.5781908252019758
06/2011,1.4923001664087414
07/2011,1.3272492463505265
08/2011,1.1196318481716634
09/2011,0.9984176925305681
10/2011,1.112812295664367
11/2011,1.328697825602132
12/2011,1.3513850813021229
01/2012,1.4442735940592635
02/2012,1.6152749097221883
03/2012,1.7975529997530406
04/2012,1.6214258891521616
05/2012,1.5037106519915433
06/2012,1.4087272607726518
07/2012,1.4564418204506457
08/2012,1.8784515833246709
09/2012,1.6279334204864981
10/2012,1.7787212526945322
11/2012,1.7130217949875348
12/2012,1.766642160028503
01/2013,1.8846248451232976
02/2013,1.5995409474995343
03/2013,1.5876401392871629
04/2013,1.7778298049218155
05/2013,2.2662967493084665
06/2013,1.922511213935708
07/2013,2.1857770085113293
08/2013,2.282409579810042
09/2013,2.25778345623478
10/2013,2.5702569842324743
11/2013,2.011633368779671
12/2013,2.1491163655088217
01/2014,2.2392636963433272
02/2014,2.4615007555304245
03/2014,2.8066011631906522
04/2014,2.5358694998946367
05/2014,2.5036661042571877
06/2014,2.768737076746896
07/2014,2.937554354718289
08/2014,2.7654164427200767
09/2014,2.870183421810603
10/2014,2.9001582830310206
11/2014,2.6164337969276055
12/2014,3.0818123307159526
01/2015,2.6912928469184356
02/2015,2.7995141797521317
03/2015,3.4953533695043366
04/2015,3.4202045722077243
05/2015,3.41369710038372
06/2015,3.5853224158851846
07/2015,3.531523766390559
08/2015,3.382518770217626
09/2015,3.372512328904288
10/2015,3.4700363904830978
11/2015,2.663435210289493
12/2015,2.6292483267798716
01/2016,1.984199165166957
02/2016,2.2033384650226284
03/2016,2.719752201017265
04/2016,2.449198847679335
05/2016,2.406030664841015
06/2016,2.65013037481061
07/2016,2.48608235687576
08/2016,2.680729227368092
09/2016,2.4668717330368546
10/2016,2.724811140347782
11/2016,3.11109625997711
12/2016,3.1057476073467143
01/2017,3.0748145107579514
02/2017,2.750417883677756
03/2017,3.2535268011964615
04/2017,2.5234561376928992
05/2017,2.4629270906700196
06/2017,2.422812093924342
07/2017,2.2318201354960157
08/2017,2.377125569852876
09/2017,2.10717391698188
10/2017,2.5178846273700626
11/2017,2.548884579566263
12/2017,2.704686760863079
01/2018,3.090927341259527
02/2018,2.7912014620022334
03/2018,3.3737826704603555
04/2018,3.3378797130068336
05/2018,3.6835595727712462
06/2018,3.678433811839196
07/2018,3.6177487117224563
08/2018,3.782532192347971
09/2018,3.1482027033792606
10/2018,3.358873249394125
11/2018,3.246083274355054
12/2018,2.733324424919994
01/2019,2.958859878272637
02/2019,2.9151568080674397
03/2019,3.344632435411121
04/2019,3.5590916557137207
05/2019,3.8033697011458294
06/2019,3.4964677089753997
07/2019,4.0606405183764815
08/2019,4.2996145099214065
09/2019,4.019299812823854
10/2019,4.603931339257158
11/2019,3.8766910381597013
12/2019,3.9901718686447496
01/2020,4.368032841677957
02/2020,4.081656337132426
03/2020,4.360901344510984
04/2020,4.663680392857969
05/2020,4.4306345655579555
06/2020,5.020614693612798
07/2020,5.5061844709947625
08/2020,5.168683660272755
09/2020,5.157050274490133
10/2020,5.293664131319649
11/2020,3.3353613547707353
