Date,Cumulative Returns
02/2006,1.066919339403776
03/2006,1.145320500636866
04/2006,0.8699098741171102
05/2006,0.9847279441165263
06/2006,0.799700106126935
07/2006,0.5841975790191198
08/2006,0.7106779363684439
09/2006,0.7239784960114894
10/2006,0.7010981907789363
11/2006,0.6234467523120489
12/2006,0.5860302352583048
01/2007,0.49870186982129516
02/2007,0.39771196338610953
03/2007,0.4218279234449103
04/2007,0.379829779033715
05/2007,0.44351423379589555
06/2007,0.4092354213271832
07/2007,0.433337490765604
08/2007,0.3988226622112382
09/2007,0.3458841759477311
10/2007,0.43236563458982097
11/2007,0.3447457170666605
12/2007,0.23281546944118867
01/2008,0.19698168603198252
02/2008,0.1912893757380162
03/2008,0.17660043925343197
04/2008,0.18570813810707007
05/2008,0.202188065589955
06/2008,0.2039651758982592
07/2008,0.14709761624137466
08/2008,0.15821844479909833
09/2008,0.15851000284347927
10/2008,0.12303719317610955
11/2008,0.06940452792569739
12/2008,0.06575311980473784
01/2009,0.0649062156579204
02/2009,0.05840865123143297
03/2009,0.08151109947293711
04/2009,0.1011565094714859
05/2009,0.11934413421332177
06/2009,0.12810473703600495
07/2009,0.11336026620598731
08/2009,0.11090285445615318
09/2009,0.15889874425455164
10/2009,0.17106084898868001
11/2009,0.169061599974591
12/2009,0.27191192005680126
01/2010,0.23199633130854325
02/2010,0.2055618001631772
03/2010,0.28642036851192254
04/2010,0.2806031061889906
05/2010,0.24022935669106413
06/2010,0.2519194160133742
07/2010,0.21963985454482757
08/2010,0.2020353455607408
09/2010,0.1836672344445059
10/2010,0.20695016906040906
11/2010,0.22125036214784427
12/2010,0.24467213610296523
01/2011,0.22683160176486705
02/2011,0.2282199706620989
03/2011,0.27759034436456653
04/2011,0.23564774125007307
05/2011,0.25421022307184415
06/2011,0.2259152776174279
07/2011,0.19292765001723047
08/2011,0.20524247544259872
09/2011,0.18970663547322264
10/2011,0.14445971381397535
11/2011,0.16075915856360182
12/2011,0.15634414715194941
01/2012,0.16879780993045876
02/2012,0.20121620875214646
03/2012,0.23835505970594073
04/2012,0.21380870689772016
05/2012,0.20241020561979103
06/2012,0.1674510923715743
07/2012,0.14004470372637406
08/2012,0.1290210621764824
09/2012,0.09514487578099226
10/2012,0.07941466278899055
11/2012,0.05796437348885055
12/2012,0.06650283826777445
01/2013,0.07738764577465286
02/2013,0.06923792306882684
03/2013,0.0711122210469886
04/2013,0.07669346165704971
05/2013,0.11931636720611147
06/2013,0.11123606450090712
07/2013,0.12346758791160604
08/2013,0.11088897178007998
09/2013,0.10407208230200128
10/2013,0.11616477034563583
11/2013,0.0947283643835946
12/2013,0.10775125925074147
01/2014,0.1144431940517523
02/2014,0.09526982913400904
03/2014,0.11349910488317956
04/2014,0.1159565169640265
05/2014,0.11730323352987258
06/2014,0.1211073621765656
07/2014,0.1256195572859222
08/2014,0.12081580280813355
09/2014,0.11322142984588462
10/2014,0.09192386123698447
11/2014,0.0724867052820706
12/2014,0.07959515181149189
01/2015,0.0712788260693656
02/2015,0.08026156627378248
03/2015,0.08653699265651066
04/2015,0.07429158392163625
05/2015,0.0639621231792199
06/2015,0.073472445457978
07/2015,0.059866437977703475
08/2015,0.05484054495963638
09/2015,0.05236925003720986
10/2015,0.060824412966970845
11/2015,0.06010246084911902
12/2015,0.07799852655353562
01/2016,0.05849195357711511
02/2016,0.05472947577225037
03/2016,0.0793035931050854
04/2016,0.08757826783987706
05/2016,0.11312424316906547
06/2016,0.14452913249054603
07/2016,0.15596928775492486
08/2016,0.22315242514713982
09/2016,0.18816554787082776
10/2016,0.20075804667842706
11/2016,0.22417981930949693
12/2016,0.30855095892257994
01/2017,0.295694666098695
02/2017,0.35624140568343476
03/2017,0.44073749335333
04/2017,0.3507990047436042
05/2017,0.33755396786054465
06/2017,0.3808432885339225
07/2017,0.3809404752107417
08/2017,0.4053479886797445
09/2017,0.35492245480074774
10/2017,0.4055978980338802
11/2017,0.3285989956563763
12/2017,0.2879475674800143
01/2018,0.3602676717118613
02/2018,0.3157565868326157
03/2018,0.32818248492100416
04/2018,0.29400085648100877
05/2018,0.3801213350920194
06/2018,0.45545420247234153
07/2018,0.48833076138167214
08/2018,0.6721923645456376
09/2018,0.813319992476636
10/2018,0.7891901590101199
11/2018,0.5946797634318913
12/2018,0.5074208166714522
01/2019,0.5928748857853641
02/2019,0.622655382841678
03/2019,0.7071375931317044
04/2019,0.8126674630075081
05/2019,0.8373665325348153
06/2019,0.8453218871832074
07/2019,1.0047204382295705
08/2019,0.9421189222365766
09/2019,0.8396295715930365
10/2019,0.9798964074049399
11/2019,1.0571591229974706
12/2019,1.2338983929837881
01/2020,1.4343787417850382
02/2020,1.3552695309709364
03/2020,1.356893935152563
04/2020,1.517958531788517
05/2020,1.485637315671495
06/2020,1.633803970131293
07/2020,1.8395184942958378
08/2020,2.432171220190599
09/2020,2.325974979215179
10/2020,2.5110444374279166
11/2020,1.703500051301686
