Date,Cumulative Returns
01/2007,1.1368716496211064
02/2007,1.0301150379281463
03/2007,1.0311577842681316
04/2007,1.020978218874257
05/2007,0.8777320737000492
06/2007,1.1340044886325837
07/2007,1.123207802748549
08/2007,1.1692278658916178
01/2008,1.1955583486423702
02/2008,1.0453688716652598
03/2008,0.9310145764193342
04/2008,1.0015524972978396
05/2008,1.1155289024309405
06/2008,1.1964048806619647
07/2008,1.1558227212656005
08/2008,1.0683627319546554
09/2008,0.9372614652174023
10/2008,0.7150105386947782
11/2008,0.5605983544044616
12/2008,0.6852502995258841
01/2009,0.6978735940718875
02/2009,0.771702519152828
03/2009,0.9938191994786099
04/2009,1.0475038029938186
05/2009,0.927117067817892
06/2009,0.9647632194874001
07/2009,0.9474696739668609
08/2009,1.0614660133702534
09/2009,1.1451862876533119
10/2009,1.2020436067950604
11/2009,1.1655057157270747
12/2009,1.3075460687491933
01/2010,1.1192107439766241
02/2010,1.0727259709305077
03/2010,1.3211280578735325
04/2010,1.250046346939254
05/2010,1.1263664550041101
06/2010,1.1268786072586419
07/2010,1.1344757008516004
08/2010,1.1976515937157304
09/2010,1.2653610836829312
10/2010,1.2314519045245205
11/2010,1.2115296757951635
12/2010,1.2977392560326233
01/2011,1.2229995825825668
02/2011,1.1705475522147932
03/2011,1.3681145520434626
04/2011,1.247975702117623
05/2011,1.3022284817652197
06/2011,1.3738219527103495
07/2011,1.3070427148711998
08/2011,1.317579502643815
09/2011,1.184819609586918
10/2011,1.231086716091199
11/2011,1.2677235322909575
12/2011,1.3009533772847377
01/2012,1.3017059047579154
02/2012,1.3555568674281864
03/2012,1.4880775556195323
04/2012,1.2986483812144771
05/2012,1.306899727699335
06/2012,1.2234271026823609
07/2012,1.2580814491642403
08/2012,1.4647548165435174
09/2012,1.281430197504133
10/2012,1.3727352272435702
11/2012,1.3726500433965019
12/2012,1.3346540677656387
01/2013,1.4043640228254193
02/2013,1.2378618869692883
03/2013,1.3738844948490405
04/2013,1.5394537859420625
05/2013,1.680958780553049
06/2013,1.5334836521667494
07/2013,1.7919239118182897
08/2013,1.9386039208078774
09/2013,1.8002389676059607
10/2013,2.2333614551855328
11/2013,2.1381489640598867
12/2013,2.3975676707885927
01/2014,2.347272840347914
02/2014,2.0619799992842687
03/2014,2.3223623243656393
04/2014,2.296439781420393
05/2014,2.4425624472189114
06/2014,2.5579773119749807
07/2014,2.681677728140423
08/2014,2.573128556450332
09/2014,2.6580317483820726
10/2014,2.8357877062143846
11/2014,2.5549264087395134
12/2014,2.991300360445158
01/2015,2.817352214970408
02/2015,2.974373087608764
03/2015,3.5397210473921668
04/2015,3.4359118886501987
05/2015,3.229063886730896
06/2015,3.4907215458988055
07/2015,3.5535014926849233
08/2015,3.478105190558074
09/2015,3.434230815149531
10/2015,3.894470568901118
11/2015,3.441045727009283
12/2015,3.6500927171580164
01/2016,3.0022783872794605
02/2016,3.346135282651342
03/2016,3.892324109435124
04/2016,3.8717396075467447
05/2016,4.039483440202095
06/2016,4.352779922486148
07/2016,4.159238650296771
08/2016,4.8801503771703665
09/2016,4.537854535110913
10/2016,4.293908852990255
11/2016,4.1978579170805705
12/2016,4.301859077509581
01/2017,4.161372175288232
02/2017,4.072517884063601
03/2017,4.961902787231935
04/2017,4.077768821511647
05/2017,4.9939159688646315
06/2017,5.269101072962501
07/2017,4.766269676306296
08/2017,5.537795315882099
09/2017,5.0632100308202155
10/2017,5.824130039074044
11/2017,5.9192790441249885
12/2017,5.744135365424326
01/2018,6.3390833599394725
02/2018,5.849836120909254
03/2018,7.160271054797284
04/2018,7.29990176878876
05/2018,8.007923398878365
06/2018,7.839740253301026
07/2018,7.920803028815139
08/2018,9.53953498995082
09/2018,8.246489041167601
10/2018,8.893429464882237
11/2018,7.133683260192224
12/2018,5.986026417745813
01/2019,6.743974660318414
02/2019,6.188856530521485
03/2019,6.911607236083358
04/2019,7.659125113290664
05/2019,8.629923553492532
06/2019,8.424883354861352
07/2019,9.510872066828075
08/2019,9.145581050622345
09/2019,8.294544007122795
10/2019,9.31604566402707
11/2019,7.953796016027505
12/2019,8.433972948413924
01/2020,8.861648287414035
02/2020,7.377668778963736
03/2020,7.104133777060652
04/2020,7.36839945489227
05/2020,7.763790421994831
06/2020,9.07561508480925
07/2020,9.49219307836088
08/2020,9.638061806238536
09/2020,9.383142472554548
10/2020,10.31092250872758
11/2020,7.315808799867712
