Date,Cumulative Returns
02/2006,0.9402279163601597
03/2006,1.191679039437774
04/2006,1.100411790435741
05/2006,1.3341817651121157
06/2006,1.2203332570409835
07/2006,1.167311093577558
08/2006,1.3513783224265614
09/2006,1.241000736949497
10/2006,1.4664514778468738
11/2006,1.3560820486308953
12/2006,1.3614021545638684
01/2007,1.3359869760887197
02/2007,1.2430008311880294
03/2007,1.4629690634341599
04/2007,1.368034567583154
05/2007,1.5750431351614358
06/2007,1.5271588341653937
07/2007,1.5022658570951362
08/2007,1.529818309129126
09/2007,1.2673427869938505
10/2007,1.5026382353694723
11/2007,1.3182261957663775
12/2007,1.2275617434282617
01/2008,1.1489575955143225
02/2008,1.0930974505699365
03/2008,1.1284237747287886
04/2008,1.3395918347654208
05/2008,1.3784157218258342
06/2008,1.3537543753453787
07/2008,1.3322702899347305
08/2008,1.2314572853094763
09/2008,1.0692095681082738
10/2008,0.9278663681394828
11/2008,0.7498293858294056
12/2008,0.8290802626304827
01/2009,0.7967579191324452
02/2009,0.6425991818908877
03/2009,0.7439650341087249
04/2009,0.8271870667901968
05/2009,0.8678366437859056
06/2009,0.9502462735269346
07/2009,0.9695112056691503
08/2009,1.017612554727177
09/2009,1.087512406638456
10/2009,1.1151546016278377
11/2009,0.9972584285756435
12/2009,1.2044411034279692
01/2010,1.0570008735187038
02/2010,1.0236851118704862
03/2010,1.3722963263899024
04/2010,1.2969463982041356
05/2010,1.141588060399409
06/2010,1.1911826876004972
07/2010,1.1227255867581911
08/2010,1.247280732859004
09/2010,1.2643680436390152
10/2010,1.3280031484773356
11/2010,1.3501558626572496
12/2010,1.484668916470137
01/2011,1.3895340423171312
02/2011,1.2586817689474052
03/2011,1.4336418178185015
04/2011,1.200233335697927
05/2011,1.3404490529888484
06/2011,1.4234499113108967
07/2011,1.3433159667187786
08/2011,1.4921496729622292
09/2011,1.313277227810165
10/2011,1.3466660465981575
11/2011,1.2890977469729614
12/2011,1.3004235624251674
01/2012,1.2575440548180068
02/2012,1.2805125195376479
03/2012,1.4615702405745008
04/2012,1.3515983688778341
05/2012,1.3634425725223174
06/2012,1.2217670892063488
07/2012,1.1372414796884962
08/2012,1.1786735800933867
09/2012,0.9597855828138849
10/2012,0.9990597902144629
11/2012,1.0314584381038592
12/2012,1.1369154178987413
01/2013,1.2034238306224587
02/2013,1.025122480288812
03/2013,1.1079556174644676
04/2013,1.218409884640244
05/2013,1.204743406896186
06/2013,1.0105022096944947
07/2013,1.1309680184212372
08/2013,1.0667380203038805
09/2013,0.9881882768991719
10/2013,1.1368352842391367
11/2013,0.9936994448536428
12/2013,1.0444606983635596
01/2014,1.0198720437572495
02/2014,0.9009106597961251
03/2014,1.0039715452294726
04/2014,1.0320934704630425
05/2014,1.070431429805293
06/2014,1.10112214377882
07/2014,1.1731983928103593
08/2014,1.1134361994398672
09/2014,1.109711108162495
10/2014,1.1427713685099476
11/2014,0.9505914375049321
12/2014,1.1553344670937642
01/2015,1.0497323524128879
02/2015,1.0011403111278852
03/2015,1.2222488545019004
04/2015,1.2782724457806434
05/2015,1.1645355925887548
06/2015,1.2201728050820067
07/2015,1.177716319226603
08/2015,1.1090407373571507
09/2015,1.0520339633936653
10/2015,1.1239360489564487
11/2015,1.011243189155725
12/2015,1.1234393639648068
01/2016,0.9163678904201191
02/2016,0.9651524869004011
03/2016,1.113163169402802
04/2016,1.056452798462751
05/2016,1.0109478297483743
06/2016,1.0897918648609017
07/2016,0.9880605904713179
08/2016,1.1512883113421155
09/2016,1.0637322253566437
10/2016,1.064187956444812
11/2016,1.0436092160146861
12/2016,1.0739898154550005
01/2017,1.042410956096794
02/2017,0.9933567052760873
03/2017,1.2618091893213952
04/2017,1.0796590992739847
05/2017,1.3360364555328181
06/2017,1.3897457679370893
07/2017,1.241923120969543
08/2017,1.4711187698081603
09/2017,1.2575845912750467
10/2017,1.4382955347428814
11/2017,1.472673942412808
12/2017,1.4028103401048093
01/2018,1.5307511453656428
02/2018,1.3344914421293559
03/2018,1.4451291810265743
04/2018,1.4042145054760373
05/2018,1.4116501616976767
06/2018,1.321180692969189
07/2018,1.2747122819696857
08/2018,1.4020918826814497
09/2018,1.1336630566099801
10/2018,1.3474133238810628
11/2018,1.142216116586464
12/2018,1.0011116759081087
01/2019,1.1579710948930773
02/2019,1.0828747333044124
03/2019,1.1853965789887475
04/2019,1.1844941681749839
05/2019,1.2092712637208582
06/2019,1.1469534953955929
07/2019,1.2760942143044203
08/2019,1.1600563803153128
09/2019,1.0738833023919236
10/2019,1.2404336118861075
11/2019,1.1120795707812567
12/2019,1.1884800671395164
01/2020,1.2031363906556214
02/2020,1.009479534168796
03/2020,1.0146883585159707
04/2020,0.8976550512557796
05/2020,0.8431070207301214
06/2020,0.9562113783526919
07/2020,0.8940519145456168
08/2020,0.7655335239771061
09/2020,0.7295475381194928
10/2020,0.7644602671895605
11/2020,0.5703253161260633
