Date,Cumulative Returns
01/2016,1.2010591526681103
02/2016,1.101627000796211
01/2017,1.013309976640452
02/2017,1.0107728212014822
03/2017,1.1650960523940086
04/2017,1.0534211204283261
05/2017,1.3873082052588719
06/2017,1.398856256024579
07/2017,1.2211751362254295
08/2017,1.3999234794558688
09/2017,1.2467077525379875
10/2017,1.534694524474946
11/2017,1.4518142619741223
12/2017,1.3192984564191093
01/2018,1.4989931920727524
02/2018,1.5664290387518642
03/2018,1.9820586942200324
04/2018,1.9798336692291452
05/2018,2.293363131530161
06/2018,2.5810076046337813
07/2018,2.726430674412196
08/2018,3.1106882356551604
09/2018,2.9736418069096815
10/2018,3.0267206438673107
11/2018,2.613084452309978
12/2018,2.3856167554973573
01/2019,3.0144174732337756
02/2019,3.601314883790437
03/2019,3.910716404592756
04/2019,3.9991341308569033
05/2019,4.742418758718079
06/2019,4.870122028948381
07/2019,6.17061336037301
08/2019,6.106701273267545
09/2019,5.563952335303204
10/2019,6.472765896360695
11/2019,5.7067979457553335
12/2019,6.219644855925255
01/2020,7.027727396104983
02/2020,6.209657265366954
03/2020,6.07772541298013
04/2020,6.443981316309976
05/2020,8.28320447028872
06/2020,10.82163433246275
07/2020,13.257742433787213
08/2020,12.839998318251737
09/2020,11.491925417283971
10/2020,13.052484775171994
11/2020,8.740908595795624
