Date,Cumulative Returns
01/2016,2.0452535619844583
02/2016,2.0426659137645804
03/2016,2.1650400298229857
04/2016,2.3476639786591087
01/2017,2.3814258594915083
02/2017,2.4974836469866206
03/2017,2.976099738386317
04/2017,2.5175329567671842
05/2017,3.0010391357061366
06/2017,2.859471462903941
07/2017,2.547688428745873
08/2017,3.1619837058097273
09/2017,3.1039548120621707
10/2017,3.62645937069508
11/2017,3.4805517443244667
12/2017,3.2560362186948364
01/2018,3.6044132897914576
02/2018,2.6939627923807064
03/2018,3.2483954472641376
04/2018,3.120295858683381
05/2018,3.417938424215347
06/2018,3.7301900359060256
07/2018,4.021923844507046
08/2018,4.440962536664071
09/2018,3.741335403996551
10/2018,4.379021544810605
11/2018,4.314452203723038
12/2018,3.8277181585241236
01/2019,3.5084509104147976
02/2019,3.757461778912116
03/2019,4.4072007962042
04/2019,4.90441292061171
05/2019,5.434338258850895
06/2019,3.9303746931579355
07/2019,4.424127771790652
08/2019,3.9864913621554883
09/2019,3.9033650958461483
10/2019,4.301186284015086
11/2019,3.978984632450889
12/2019,3.806145273409254
01/2020,3.861378802690001
02/2020,3.509886065094304
03/2020,3.0124899614341905
04/2020,3.0813754699654643
05/2020,3.1735172179748523
06/2020,4.022626802048106
07/2020,4.630379540221295
08/2020,4.73425980043434
09/2020,5.129652347363438
10/2020,5.449535802792093
11/2020,3.5961768896538984
