Date,Cumulative Returns
02/2006,0.9003836160296144
03/2006,1.0988921358381536
04/2006,0.9114282068701485
05/2006,1.0946033091278116
06/2006,1.1057497501273794
07/2006,0.9876200859737246
08/2006,1.139426724936089
09/2006,1.0463397805223609
10/2006,1.2034989531285167
11/2006,1.2231891219575228
12/2006,1.1808552678245632
01/2007,1.1876223505576622
02/2007,1.157906044993855
03/2007,1.3007615813913393
04/2007,1.2286095629019742
05/2007,1.3329561300275574
06/2007,1.3670631038271759
07/2007,1.313050946594359
08/2007,1.2421776884936755
09/2007,1.0421867338790802
10/2007,1.3975828661596528
11/2007,1.2439995864177313
12/2007,1.222578051220796
01/2008,1.215890185757699
02/2008,1.1721078569441863
03/2008,1.1201326251899641
04/2008,1.2721655671419523
05/2008,1.2339847639690553
06/2008,1.1658952778339726
07/2008,1.1836164284850434
08/2008,1.2065769699186584
09/2008,1.2086704538775301
10/2008,0.9554708160659164
11/2008,0.7029614425187296
12/2008,0.8541230398269085
01/2009,0.7788251447313463
02/2009,0.7326551130351141
03/2009,0.8363226891729644
04/2009,0.868256961743709
05/2009,0.916339444504035
06/2009,1.1342438969506041
07/2009,1.1726849805057569
08/2009,1.1477667438138957
09/2009,1.1511502894972274
10/2009,1.2010999316428908
11/2009,1.0752978994123443
12/2009,1.1870791784880308
01/2010,1.0258687964472815
02/2010,1.0032816868907337
03/2010,1.309599510877497
04/2010,1.2519435448462215
05/2010,1.1226448154375315
06/2010,1.1753329896714253
07/2010,1.1123810355262886
08/2010,1.2585635159590056
09/2010,1.267525950077139
10/2010,1.2990302063898458
11/2010,1.3178490068327406
12/2010,1.466837909387219
01/2011,1.381955199467454
02/2011,1.337889978966565
03/2011,1.582896705203905
04/2011,1.4196720521575033
05/2011,1.4834727029486796
06/2011,1.5458022634374
07/2011,1.4116601950619183
08/2011,1.4271407328666736
09/2011,1.2435243130151945
10/2011,1.3425183033291639
11/2011,1.3514920301495112
12/2011,1.377168466465543
01/2012,1.3836979017054185
02/2012,1.476637738815614
03/2012,1.7047946482537368
04/2012,1.5679027594045931
05/2012,1.6668514968908459
06/2012,1.6441512315227043
07/2012,1.6923921099719943
08/2012,1.8325883401848144
09/2012,1.5628897061459301
10/2012,1.7742081173877426
11/2012,1.7729294088004472
12/2012,1.8006201074885666
01/2013,1.9325781560322675
02/2013,1.7329040575473338
03/2013,1.9241136368392666
04/2013,2.181986886375454
05/2013,2.2067240685886262
06/2013,1.964387954188511
07/2013,2.2652061070104743
08/2013,2.4681166438752067
09/2013,2.2730482325470587
10/2013,2.6854100687528706
11/2013,2.4338399169326768
12/2013,2.695390918125697
01/2014,2.732994589103459
02/2014,2.424832225670044
03/2014,2.7398974605371835
04/2014,2.7069447252271415
05/2014,2.875488003593218
06/2014,2.8711199639296563
07/2014,3.0782740444595387
08/2014,2.9865903132650824
09/2014,3.090586068452283
10/2014,3.3638945856983797
11/2014,3.0182077038054715
12/2014,3.53490481011787
01/2015,3.2733424298869926
02/2015,3.34051535955998
03/2015,3.914223310388998
04/2015,3.75688305740346
05/2015,3.6251626995208053
06/2015,4.084577124908401
07/2015,4.296665088911548
08/2015,4.142923426431009
09/2015,4.091231064780253
10/2015,4.602858473018068
11/2015,4.339689231051237
12/2015,4.660118309531511
01/2016,3.8509884429725743
02/2016,4.309995571326809
03/2016,4.931887859391969
04/2016,4.751892615449917
05/2016,4.891489097845699
06/2016,5.267073287979716
07/2016,4.982358088202836
08/2016,5.413391587330534
09/2016,4.796863142878508
10/2016,4.73238352268351
11/2016,4.871414195803847
12/2016,5.043940698601777
01/2017,4.924147609915111
02/2017,4.753001614062123
03/2017,6.075252599100016
04/2017,5.035385716921165
05/2017,6.0230170653796264
06/2017,6.1900892966110685
07/2017,5.644422817557513
08/2017,6.4134481544443736
09/2017,5.6584549497502294
10/2017,6.376715791417772
11/2017,6.095078630014944
12/2017,5.9427175090136055
01/2018,6.552342987062699
02/2018,5.97537600381589
03/2018,6.888501521959256
04/2018,6.756215354801155
05/2018,7.135352878295673
06/2018,7.1445868552808
07/2018,7.2623657333967655
08/2018,8.17811675300345
09/2018,6.943475605035003
10/2018,8.22392468437587
11/2018,7.4110151641996795
12/2018,6.4098495639393755
01/2019,7.336690431531094
02/2019,7.281874826163172
03/2019,8.164446816103755
04/2019,8.283583684828752
05/2019,8.607724436240321
06/2019,8.096549737584526
07/2019,9.581233310888354
08/2019,10.515542764220035
09/2019,9.478844382902848
10/2019,10.863266476622327
11/2019,10.134594713205752
12/2019,10.98765396839713
01/2020,11.30640841166104
02/2020,10.253414591980839
03/2020,9.612963732053654
04/2020,9.129491171558787
05/2020,9.359843371946992
06/2020,10.226617907518207
07/2020,9.893922053556123
08/2020,9.452726641943345
09/2020,9.506274770991233
10/2020,10.033473192471762
11/2020,7.2160598870992105
