Date,Cumulative Returns
01/2011,1.71105986790373
02/2011,1.6752903576395357
03/2011,2.0496330508693434
04/2011,1.9253114540064467
05/2011,2.027417687495452
06/2011,1.8806557941018183
07/2011,1.667782121367413
08/2011,1.791119492863345
09/2011,1.6253761148470494
10/2011,1.6416861152919595
11/2011,1.6545935089591235
12/2011,1.7235735896603364
01/2012,1.8359157648203344
02/2012,2.030539086259266
03/2012,2.3606479235599487
04/2012,2.1910520027254567
05/2012,2.4258035559627347
06/2012,2.1552543496691228
07/2012,2.1233092394309847
08/2012,2.6355276978683793
09/2012,2.3609853581585964
10/2012,2.720002265583265
11/2012,2.911447945582877
12/2012,2.9321729048738483
01/2013,3.3986389712342517
02/2013,3.5010826607762917
03/2013,4.045808591843722
04/2013,4.7001209678792675
05/2013,5.097128885433062
06/2013,4.82278344335992
07/2013,5.344872217805149
08/2013,6.155198128448002
09/2013,6.077978747874235
10/2013,7.107139877856416
11/2013,6.586653917754765
12/2013,7.000281218741122
01/2014,6.540704778221842
02/2014,6.318944982664987
03/2014,7.103343566986534
04/2014,6.670566080168982
05/2014,7.245296840350744
06/2014,7.740839822860779
07/2014,8.143556237888493
08/2014,8.27966033736326
09/2014,8.358595103449163
10/2014,8.805151820494574
11/2014,8.048283226657201
12/2014,9.090576780008133
01/2015,7.970501376419603
02/2015,8.067939607295141
03/2015,9.345434644560203
04/2015,9.336042343021798
05/2015,8.664829573992838
06/2015,9.780602343178415
07/2015,9.539017578410617
08/2015,9.204831173953746
09/2015,8.85734377900951
10/2015,8.964567913607253
11/2015,8.509997039026409
12/2015,8.971401307500063
01/2016,6.5835325404453355
02/2016,6.922386904606897
03/2016,8.774162803558449
04/2016,8.9042771385458
05/2016,8.832569325627732
06/2016,9.042743537663744
07/2016,8.333764525391004
08/2016,10.584151306420635
09/2016,9.919209225622394
10/2016,10.21211447170542
11/2016,8.87542532182451
12/2016,8.670509837493467
01/2017,8.372064982870942
02/2017,8.65127529301261
03/2017,10.30525019690433
04/2017,7.7889260767909825
05/2017,8.54826913380674
06/2017,8.962093364611317
07/2017,8.346165761796598
08/2017,9.306374959233302
09/2017,8.3528022044168
10/2017,10.017406727253666
11/2017,10.537555166939121
12/2017,10.606085241873126
01/2018,12.026967842636134
02/2018,10.701527013312516
03/2018,12.071201596656921
04/2018,12.000168781662472
05/2018,12.58451689990221
06/2018,12.357048435236338
07/2018,12.901380646120838
08/2018,13.992379348103606
09/2018,11.788082425931195
10/2018,13.378251425087527
11/2018,11.481566945826666
12/2018,9.765698495438691
01/2019,11.377661075447797
02/2019,11.768932325917548
03/2019,13.965833448896479
04/2019,14.92756123075342
05/2019,16.3112961182497
06/2019,15.134079400701722
07/2019,17.885520774805862
08/2019,17.97986549762068
09/2019,16.433227578402295
10/2019,18.805039238598805
11/2019,16.7017239967667
12/2019,17.564044893197497
01/2020,18.048873790840787
02/2020,16.472427832872775
03/2020,13.584741747241509
04/2020,12.699417929071837
05/2020,13.315064350690609
06/2020,16.023115214000388
07/2020,15.904361706375726
08/2020,14.518348834977157
09/2020,14.046596128754304
10/2020,14.93889378123405
11/2020,10.742301848153293
