Date,Cumulative Returns
02/2006,0.9246600768478779
03/2006,1.0351050668828359
04/2006,0.8448084047965762
05/2006,0.9488257065705512
06/2006,0.8609394286136373
07/2006,0.7533992639390742
08/2006,0.8981458561403983
09/2006,0.7860939484608109
10/2006,0.9261433822691443
11/2006,0.8779357262059273
12/2006,0.8598887453445971
01/2007,0.8681087784264865
02/2007,0.9695920856159995
03/2007,1.1557478236848575
04/2007,1.1292336147656887
05/2007,1.3686032155316272
06/2007,1.4117428971613084
07/2007,1.4441285570187936
08/2007,1.4501235848155414
09/2007,1.2996291627404966
10/2007,1.555809642763681
11/2007,1.3975896217648098
12/2007,1.4178615725463501
01/2008,1.3210753942790516
02/2008,1.3224350933711106
03/2008,1.3189740395292817
04/2008,1.5509888544648613
05/2008,1.4236094053671482
06/2008,1.3487639134260114
07/2008,1.3717552506033597
08/2008,1.3820148352704151
09/2008,1.2669962902245961
10/2008,1.1155747853155635
11/2008,0.891965386431986
12/2008,1.003646481018106
01/2009,0.975030896719624
02/2009,0.9148331349625923
03/2009,1.0181087810788565
04/2009,1.1148331326049303
05/2009,1.1120519165208205
06/2009,1.2422125875967986
07/2009,1.2320766210472611
08/2009,1.3247836666734512
09/2009,1.4340543847926273
10/2009,1.710444991803205
11/2009,1.5237948018938183
12/2009,1.7753399119532276
01/2010,1.6335599630122903
02/2010,1.6313967844683732
03/2010,2.1122991409675462
04/2010,1.9586526425616824
05/2010,1.8907292877749795
06/2010,2.1245364681610086
07/2010,1.9804697166644811
08/2010,1.9244128524011526
09/2010,1.8616192811067447
10/2010,2.0284919573397313
11/2010,2.0815204046488454
12/2010,2.2462298905496048
01/2011,2.25531518856549
02/2011,2.3464153224412057
03/2011,2.836835607949723
04/2011,2.6485784709249307
05/2011,2.784301591851594
06/2011,3.093572301718953
07/2011,2.8752163427571973
08/2011,2.8146476971768357
09/2011,2.3945611753398186
10/2011,2.4902966497085335
11/2011,2.482509256461336
12/2011,2.405747845787939
01/2012,2.333250927149143
02/2012,2.5721260672333197
03/2012,2.9263905890334034
04/2012,2.6815203739992373
05/2012,2.8695302747889935
06/2012,2.940914683417525
07/2012,3.045611878943694
08/2012,3.5187267950424275
09/2012,3.1773176615526197
10/2012,3.428553764630243
11/2012,3.1479604540142807
12/2012,2.9029047970684494
01/2013,3.169097649100274
02/2013,3.163720647055409
03/2013,3.230222502532526
04/2013,3.5991347309400945
05/2013,4.257169324762689
06/2013,3.7097033538279587
07/2013,4.070148321759834
08/2013,4.626267006870232
09/2013,4.191965350477638
10/2013,5.0092088336152285
11/2013,4.481211375269268
12/2013,4.502410388255253
01/2014,4.10815821989722
02/2014,3.706551289285449
03/2014,4.092645192361265
04/2014,4.268046941075781
05/2014,4.449134675240327
06/2014,4.42490731602999
07/2014,4.832880087531976
08/2014,4.515018504965561
09/2014,4.5624845377889205
10/2014,4.810815859712313
11/2014,4.195364604101939
12/2014,5.0175525054441765
01/2015,4.708096436183326
02/2015,4.9020395586581476
03/2015,5.8236093534985764
04/2015,5.7847960584275055
05/2015,5.327070486911501
06/2015,5.668665026948042
07/2015,5.315080360588143
08/2015,4.83318912987869
09/2015,4.682014846469306
10/2015,5.024845485162854
11/2015,5.093757731842303
12/2015,5.6160074222031735
01/2016,4.550494458618804
02/2016,5.163411581132067
03/2016,6.055315196817302
04/2016,6.230840593120112
05/2016,5.870951797675196
06/2016,6.190543880638826
07/2016,5.510135969496611
08/2016,6.943263244931551
09/2016,6.2217552715276065
10/2016,6.145364662159367
11/2016,6.216254586529516
12/2016,6.171940700766838
01/2017,6.02632877879581
02/2017,5.66569838074058
03/2017,6.694931993738022
04/2017,5.540049467405015
05/2017,6.613473401095014
06/2017,6.867243495810021
07/2017,6.450247220615521
08/2017,7.150741634733455
09/2017,6.385970349794001
10/2017,7.187577204960585
11/2017,6.912051901196012
12/2017,6.621755302177213
01/2018,7.094128485994218
02/2018,6.747836846506238
03/2018,7.550123604266249
04/2018,7.519653863141024
05/2018,8.180902327617808
06/2018,8.09993816029163
07/2018,8.40488265453088
08/2018,9.204820756470378
09/2018,7.677317682182161
10/2018,8.700432619794562
11/2018,8.067367152828965
12/2018,7.248145850540949
01/2019,8.31514211365243
02/2019,7.845920841129898
03/2019,8.738936943248778
04/2019,9.119962957356309
05/2019,9.828553724549986
06/2019,9.35611874640961
07/2019,10.687948103519306
08/2019,10.470766307431461
09/2019,9.685846607309811
10/2019,11.050061753948405
11/2019,9.985414028774333
12/2019,10.80760190653995
01/2020,10.967861487965221
02/2020,8.872249720126353
03/2020,7.953337411263567
04/2020,7.647033371180293
05/2020,7.747033372948539
06/2020,8.873300482966489
07/2020,8.916810830335757
08/2020,9.10377001543862
09/2020,8.922991276467549
10/2020,9.140791062942347
11/2020,6.28176765031453
