Date,Cumulative Returns
01/2014,1.2955507986181531
02/2014,1.3875844867523504
01/2015,1.2624126643092795
02/2015,1.377755997726337
03/2015,1.6510515706973308
04/2015,1.5499802010813961
05/2015,1.81167741662966
06/2015,2.0810754709667187
07/2015,2.117734523920708
08/2015,1.8765227302653817
09/2015,1.9035416193265149
10/2015,2.012276162704613
11/2015,2.0054790762624934
12/2015,2.355914972452135
01/2016,1.750974350928487
02/2016,1.3311743147272537
03/2016,1.8570540845290113
04/2016,1.7010223734783174
05/2016,1.7821543276199838
06/2016,1.9848430445405254
07/2016,1.872474601802416
08/2016,2.4496996749222353
09/2016,2.2169418482083496
10/2016,2.1487074004257267
11/2016,2.2004857509950595
12/2016,1.93161492084085
01/2017,1.9234245013483395
02/2017,2.071134022773308
03/2017,2.618101696879122
04/2017,2.236636462557011
05/2017,2.8822654114368005
06/2017,2.8922445462043416
07/2017,2.6595243701520888
08/2017,3.0221610918105806
09/2017,2.8112819913100258
10/2017,3.4980512335005365
11/2017,3.21929537368537
12/2017,3.2367117423327807
01/2018,3.7426333503369476
02/2018,3.6451017318794436
03/2018,4.582007432579625
04/2018,4.370375232656422
05/2018,4.695354986447671
06/2018,5.207207428376428
07/2018,5.167761888884141
08/2018,5.719154176521751
09/2018,5.419781167775427
10/2018,5.829545643494166
11/2018,5.139067114430387
12/2018,4.578072327926552
01/2019,5.664909283848007
02/2019,5.950763435398356
03/2019,6.577526343055383
04/2019,6.643275373125283
05/2019,7.5505450471958895
06/2019,6.510647505836524
07/2019,7.428592873462375
08/2019,7.889834365172397
09/2019,6.336427508567454
10/2019,6.819302918182701
11/2019,5.536612018356953
12/2019,6.094180048782252
01/2020,7.047466617197452
02/2020,6.627082859273422
03/2020,5.721055843781682
04/2020,5.531584771581553
05/2020,6.913294742386778
06/2020,8.887537337235331
07/2020,9.44354271437038
08/2020,10.81393672926262
09/2020,11.328443923508956
10/2020,12.667375804404934
11/2020,9.728248341178446
