Date,Cumulative Returns
02/2006,0.9037243086738805
03/2006,1.0897938401823457
04/2006,0.9796415489951648
05/2006,1.0969597753595335
06/2006,1.0293359239783924
07/2006,1.0508175868897887
08/2006,1.309959947302004
09/2006,1.2309479339817502
10/2006,1.4741358476897835
11/2006,1.498354034525353
12/2006,1.444532926099409
01/2007,1.5067357218303694
02/2007,1.4833629089897045
03/2007,1.539489319079243
04/2007,1.4169628552713067
05/2007,1.4992468053739965
06/2007,1.4262046967896014
07/2007,1.4611413624860417
08/2007,1.4615022811319198
09/2007,1.209102425101704
10/2007,1.5597940399030847
11/2007,1.2000991695947507
12/2007,1.1765400943359408
01/2008,1.1430721640516754
02/2008,1.1092824013243314
03/2008,0.960419775581642
04/2008,1.1719140774576533
05/2008,1.257555206509035
06/2008,1.309379387394046
07/2008,1.2001770842486594
08/2008,1.171800836093462
09/2008,1.0449382560980154
10/2008,0.856877169330283
11/2008,0.6564838222077742
12/2008,0.7397321152803427
01/2009,0.730489905545347
02/2009,0.6779712274586209
03/2009,0.7612744161180415
04/2009,0.8206767176373831
05/2009,0.8809429696841894
06/2009,1.0993471488435897
07/2009,1.178785185204606
08/2009,1.246490556081157
09/2009,1.3645913386712587
10/2009,1.4620820530561391
11/2009,1.3889251271400727
12/2009,1.6403921466624214
01/2010,1.4701384724562576
02/2010,1.430600394121483
03/2010,1.9185185781969005
04/2010,1.7894543826786633
05/2010,1.6026438003309895
06/2010,1.8544579671946033
07/2010,1.759286020158069
08/2010,1.843608815590921
09/2010,1.8836128574320032
10/2010,2.0187447634061897
11/2010,1.989724051334594
12/2010,2.251264367778848
01/2011,2.0575287118445393
02/2011,1.827386181934812
03/2011,2.198019584768802
04/2011,1.9485205877763667
05/2011,1.884137536773434
06/2011,1.9715425269227536
07/2011,1.8065170511875124
08/2011,1.7457796842827529
09/2011,1.4822802414240785
10/2011,1.6589712567392128
11/2011,1.640895933388244
12/2011,1.5450654234178343
01/2012,1.536597256738447
02/2012,1.6521439962370024
03/2012,1.8137862453741307
04/2012,1.4602394745918843
05/2012,1.3932446036148691
06/2012,1.3298062162402362
07/2012,1.2508366104374238
08/2012,1.4037312053726885
09/2012,1.2893327791131937
10/2012,1.4041538039981325
11/2012,1.3269676373752444
12/2012,1.244475736890727
01/2013,1.5111625629308119
02/2013,1.4617230123154348
03/2013,1.5632651082773614
04/2013,1.4859672873042624
05/2013,1.3779204813057708
06/2013,1.23449283716889
07/2013,1.4965164822190662
08/2013,1.572926488540316
09/2013,1.4214833707004553
10/2013,1.7915941046562005
11/2013,1.5981001682573581
12/2013,1.7386867333378482
01/2014,1.8356527205131254
02/2014,1.675914217998603
03/2014,1.767325243838254
04/2014,1.6778502424972088
05/2014,1.6499414417616238
06/2014,1.6745689088245663
07/2014,1.8144592055810103
08/2014,1.8434917374087043
09/2014,1.9014361732728815
10/2014,2.2458202028485186
11/2014,2.089111416806253
12/2014,2.304199797209807
01/2015,2.196428866527956
02/2015,2.2263922280824975
03/2015,2.536553755617404
04/2015,2.3356209286831713
05/2015,2.027467839143268
06/2015,2.2874274160192707
07/2015,2.3521515829739075
08/2015,2.4026407352951704
09/2015,2.4388641637102055
10/2015,2.670725566001356
11/2015,2.2629164306274876
12/2015,2.4142198028650266
01/2016,2.147963138621422
02/2016,2.2298831065152824
03/2016,2.6711899461758506
04/2016,2.63112542105948
05/2016,2.6061846163127482
06/2016,2.727605354825249
07/2016,2.3162044570068856
08/2016,2.4902164086140206
09/2016,2.2650401425428712
10/2016,2.231538984383518
11/2016,2.0648318924326494
12/2016,2.0968821295038174
01/2017,1.9622442083268765
02/2017,1.8816105318342342
03/2017,2.4156900553300096
04/2017,1.908714270939328
05/2017,2.244522651380588
06/2017,2.2751897634225378
07/2017,2.132319754021818
08/2017,2.4236315248404443
09/2017,2.0054082048873205
10/2017,2.2250629878852886
11/2017,2.2689363391913284
12/2017,2.276890740472298
01/2018,2.6364149717971057
02/2018,2.395275016782582
03/2018,2.708649360226429
04/2018,2.6137699834517534
05/2018,2.787906635326811
06/2018,2.8132917008875
07/2018,3.013580288517522
08/2018,3.427714657743608
09/2018,2.8129782895603705
10/2018,3.2237161395654415
11/2018,2.8774629020937423
12/2018,2.6537835547410538
01/2019,3.1510701658721976
02/2019,3.002093311944558
03/2019,3.311520917315585
04/2019,3.330603276521817
05/2019,3.3364747127475236
06/2019,3.1533193954965797
07/2019,3.6557226722599463
08/2019,3.6494707503528763
09/2019,3.423955916389593
10/2019,3.5282401294873793
11/2019,2.9500113572759217
12/2019,3.193974569658513
01/2020,3.399512513491091
02/2020,3.1538916778931023
03/2020,2.8415162695370992
04/2020,2.689472479793077
05/2020,2.7066062288538664
06/2020,3.123969387229378
07/2020,3.8842585033240087
08/2020,4.0926658126199404
09/2020,4.233233716478029
10/2020,5.017350400403258
11/2020,3.44929150835435
