Date,Cumulative Returns
02/2006,0.8343217769003541
03/2006,0.9634951501201908
04/2006,0.7757782961874956
05/2006,0.8788554841124357
06/2006,0.8392415385293107
07/2006,0.7643160598919491
08/2006,0.8938914527179928
09/2006,0.8394807681366169
10/2006,0.9905933432716144
11/2006,0.9564406399912542
12/2006,0.8844277703992021
01/2007,0.9015542255196796
02/2007,0.8576399144009763
03/2007,0.9086599351811385
04/2007,0.9000077606672463
05/2007,1.0566800406444568
06/2007,1.046848032291094
07/2007,1.1260934757302976
08/2007,1.2088320345227674
09/2007,1.0597156730614654
10/2007,1.3040831039023297
11/2007,1.183608668033
12/2007,1.1723998019621964
01/2008,0.9842936024919793
02/2008,0.8980431565222226
03/2008,0.9207482087203049
04/2008,1.0615978108545823
05/2008,1.0998634269528242
06/2008,1.0454940527341783
07/2008,1.039396942679951
08/2008,1.0969393510400125
09/2008,0.9170371889223166
10/2008,0.8096264235356483
11/2008,0.5900048756107926
12/2008,0.6980449725726976
01/2009,0.6182222739325595
02/2009,0.5803971905544774
03/2009,0.7075920166100013
04/2009,0.7407107814081728
05/2009,0.7112517936508724
06/2009,0.8112739474906879
07/2009,0.9042305442301284
08/2009,0.9192062855377952
09/2009,0.9467752964129674
10/2009,1.003890617989318
11/2009,0.8987072190593687
12/2009,1.0207972359081923
01/2010,0.907875087688809
02/2010,0.8945141709302273
03/2010,1.1623979765258092
04/2010,1.1414559382250886
05/2010,1.0237665154847355
06/2010,1.0760456131364926
07/2010,1.0311829760205136
08/2010,1.0113521556025142
09/2010,0.9328200847006927
10/2010,0.9748706778785994
11/2010,1.057993077247698
12/2010,1.122166916490416
01/2011,1.0107318795798848
02/2011,0.9900943307621818
03/2011,1.1443468608737004
04/2011,0.9961721194225405
05/2011,1.1798882777603568
06/2011,1.1553982381334067
07/2011,1.1031407805662812
08/2011,1.1507695138760765
09/2011,1.0916849569481182
10/2011,1.204555288140768
11/2011,1.2493100274057516
12/2011,1.2605969756195625
01/2012,1.2811390320449731
02/2012,1.336305563503049
03/2012,1.5085185672914128
04/2012,1.3967043765853155
05/2012,1.485308454228099
06/2012,1.3930587154621126
07/2012,1.356999665528085
08/2012,1.5072124867604602
09/2012,1.1267342031612018
10/2012,1.1691167025651037
11/2012,1.0987983050129695
12/2012,1.0478917333567614
01/2013,1.1531982451950702
02/2013,1.0275690232250558
03/2013,1.1119848722810164
04/2013,1.2656369757213246
05/2013,1.3847943767123954
06/2013,1.2864170514653874
07/2013,1.3488906883219076
08/2013,1.3020126149374383
09/2013,1.223677243729126
10/2013,1.4288415293607555
11/2013,1.2910298505470104
12/2013,1.388342239102427
01/2014,1.4231227672721487
02/2014,1.2469342307780125
03/2014,1.409109415392418
04/2014,1.499631979625061
05/2014,1.5005043754466554
06/2014,1.6667279262090449
07/2014,1.9580107764842722
08/2014,1.9488759623199579
09/2014,1.9937187377346333
10/2014,2.0631340716151736
11/2014,1.809822897843769
12/2014,2.23030539571752
01/2015,1.9675562366489243
02/2015,1.7794379034174572
03/2015,1.9335739555959155
04/2015,1.8624826806767358
05/2015,1.8452349743929457
06/2015,1.9541894382579807
07/2015,1.7949801586142544
08/2015,1.6728004816059636
09/2015,1.717512675519795
10/2015,2.036553181151718
11/2015,1.9054292857423443
12/2015,2.165070861968441
01/2016,1.6775350999455731
02/2016,1.666521294121148
03/2016,1.9837815454173326
04/2016,1.8995833754207072
05/2016,1.8355237726070628
06/2016,2.0210469876168546
07/2016,1.9849342836108153
08/2016,2.336360545187612
09/2016,2.238262487872565
10/2016,2.225640375150454
11/2016,2.1349631224429615
12/2016,2.216149952244847
01/2017,2.159022691417923
02/2017,2.024859872347395
03/2017,2.405518217258641
04/2017,2.0226480945320375
05/2017,2.3529289275648253
06/2017,2.2951473328220526
07/2017,2.043123659180785
08/2017,2.444582735017459
09/2017,2.1877798167299374
10/2017,2.6691014998576197
11/2017,2.8731903019965306
12/2017,2.704310081189493
01/2018,2.871764260865167
02/2018,2.646739440994095
03/2018,3.2332401110555877
04/2018,3.2657475010101846
05/2018,3.6314049602494842
06/2018,3.427247813851277
07/2018,3.2679740739868426
08/2018,3.404005171192917
09/2018,2.694841116207726
10/2018,3.225858387656661
11/2018,3.0940124933157747
12/2018,2.748075712052022
01/2019,3.0916582842856606
02/2019,2.9959026789109466
03/2019,3.4867284624410146
04/2019,3.6393246693049837
05/2019,3.1815433474946526
06/2019,2.902135170248522
07/2019,3.4278841786855794
08/2019,3.2222452684783893
09/2019,3.210160820315861
10/2019,3.788374347566417
11/2019,3.662620614063655
12/2019,3.8388861891355814
01/2020,4.103507343654875
02/2020,3.875579461198998
03/2020,3.640626717598736
04/2020,3.8938850029909506
05/2020,3.8402894200307824
06/2020,4.267362594169249
07/2020,3.9731520432901903
08/2020,3.3081552250526136
09/2020,3.382037802279311
10/2020,3.609561868220826
11/2020,2.2037149834933265
