Date,Cumulative Returns
02/2006,1.0541488709889577
03/2006,1.1994122295183738
04/2006,1.0627102632171084
05/2006,1.2916074918641804
06/2006,1.1904501850606357
07/2006,1.0248217845732213
08/2006,1.1318930483276262
09/2006,1.028282697573683
10/2006,1.3040669022000224
11/2006,1.3382029477674577
12/2006,1.2643690235675675
01/2007,1.2053626290523616
02/2007,1.0407907649347095
03/2007,1.2245983627140076
04/2007,1.2543868956177096
05/2007,1.4231969034716523
06/2007,1.3435947308863214
07/2007,1.4153156904390947
08/2007,1.5252163398762948
09/2007,1.2145312072174428
10/2007,1.49717656197325
11/2007,1.1860661731939421
12/2007,1.09010650525073
01/2008,1.0159204108396813
02/2008,0.9656332234676952
03/2008,0.931885775252773
04/2008,1.1240238953194002
05/2008,1.0379491133372825
06/2008,0.9634473685070657
07/2008,0.8949081115450847
08/2008,0.9461061112796405
09/2008,0.8152087947688831
10/2008,0.6293853971223689
11/2008,0.44756944055719255
12/2008,0.5636028156836832
01/2009,0.5325148344604668
02/2009,0.4669386529004293
03/2009,0.5917884102445556
04/2009,0.654413630473185
05/2009,0.6312433666327436
06/2009,0.6797090090620813
07/2009,0.7846430105403221
08/2009,0.7590804506825429
09/2009,0.8520893374483597
10/2009,0.948996345267018
11/2009,0.843527986398269
12/2009,1.0252346177876916
01/2010,0.8615493044343648
02/2010,0.7869503459253009
03/2010,0.9864839683646465
04/2010,1.01957572546155
05/2010,0.9306471597960687
06/2010,1.0684299678170297
07/2010,1.0387628432760718
08/2010,1.0393942882376184
09/2010,0.9963811228140016
10/2010,1.0829902570393701
11/2010,1.1784157117152843
12/2010,1.3686715672161185
01/2011,1.2218902567125192
02/2011,1.237507097746394
03/2011,1.5151734742878915
04/2011,1.2547027056018605
05/2011,1.2000922697380145
06/2011,1.1810023475869385
07/2011,1.0478705860047146
08/2011,1.05454965704724
09/2011,0.9655361178812557
10/2011,1.0686121189655768
11/2011,1.0578769781264457
12/2011,0.9955189674766155
01/2012,0.9840552632213546
02/2012,1.0272019587991372
03/2012,1.1412194311132615
04/2012,1.0188956698001366
05/2012,1.0551568326896554
06/2012,0.9495062789206702
07/2012,0.8903541912818168
08/2012,0.9709157483251527
09/2012,0.7671195841489481
10/2012,0.8562667409724756
11/2012,0.9089826617976694
12/2012,0.8754417035384019
01/2013,1.0024772772387265
02/2013,0.9747410794360032
03/2013,1.016394046033416
04/2013,1.129184952620652
05/2013,1.2553461642624206
06/2013,1.1293185599836806
07/2013,1.2971085872906536
08/2013,1.285559896666746
09/2013,1.21540550493528
10/2013,1.4780865729078265
11/2013,1.2697001308149753
12/2013,1.3401095022414113
01/2014,1.3653198996089186
02/2014,1.1924295629337542
03/2014,1.3764800289111156
04/2014,1.396857187513278
05/2014,1.4939463078760524
06/2014,1.6820348128069835
07/2014,1.8808322847726384
08/2014,1.7954440697326763
09/2014,1.8864546804694489
10/2014,2.0378063026778372
11/2014,1.8469952794244067
12/2014,2.175640917845575
01/2015,1.9248415577629225
02/2015,1.881116861198256
03/2015,2.0976034549215923
04/2015,1.900358236254126
05/2015,1.9338202690404576
06/2015,2.2371264940847837
07/2015,2.121337804138255
08/2015,1.8669628192744094
09/2015,1.788375320413562
10/2015,1.889779134526225
11/2015,1.9061034506622365
12/2015,2.1589029114767184
01/2016,1.665260091050352
02/2016,1.7198689261171145
03/2016,2.1253374188145586
04/2016,2.1251357595600715
05/2016,2.001300763443806
06/2016,2.284618468416543
07/2016,2.1999402043095766
08/2016,2.640520780984115
09/2016,2.4444901555225833
10/2016,2.5824252091259945
11/2016,2.6694927169265985
12/2016,2.780618465122298
01/2017,2.8034719384260343
02/2017,2.800196882599523
03/2017,3.588900834815678
04/2017,3.2199370269075196
05/2017,4.212459147825709
06/2017,4.259098592191615
07/2017,3.977684476872509
08/2017,4.608007027447724
09/2017,4.384737444700116
10/2017,5.4597058141593475
11/2017,5.573968095187613
12/2017,4.717803218441139
01/2018,5.302657593389972
02/2018,4.419746207777334
03/2018,5.694014987732924
04/2018,5.255935504657583
05/2018,5.602470333588352
06/2018,4.92117391545933
07/2018,4.761118110952376
08/2018,5.258363013063506
09/2018,3.82605075921662
10/2018,4.2903984885798945
11/2018,4.025750473361102
12/2018,3.3891596852482913
01/2019,4.042692455250322
02/2019,4.401640461850032
03/2019,4.829234446075181
04/2019,5.369310007300611
05/2019,5.530681842017128
06/2019,4.788520092178116
07/2019,5.707775851245081
08/2019,5.869738591123045
09/2019,6.141941215591259
10/2019,7.442896713869849
11/2019,7.241612591509552
12/2019,7.860632094030717
01/2020,8.414008539248725
02/2020,8.027857904706401
03/2020,7.326882306387259
04/2020,7.245839189947261
05/2020,6.897884479739531
06/2020,8.875461162745395
07/2020,10.252815798209799
08/2020,10.347925051709991
09/2020,9.03762534569303
10/2020,10.531922171510583
11/2020,8.334415302302423
