Date,Cumulative Returns
02/2006,0.8829413013631717
03/2006,1.082028038872632
04/2006,0.9370219420439422
05/2006,1.0099028066134303
06/2006,0.9623420187436444
07/2006,0.8728342357598557
08/2006,1.147886185481188
09/2006,1.0510538468732322
10/2006,1.1610455686781214
11/2006,0.9998664702177362
12/2006,0.9042575634438598
01/2007,0.813498649300375
02/2007,0.7941779701975915
03/2007,0.8713401235510019
04/2007,0.7695849155548932
05/2007,0.8676411847171026
06/2007,0.8207037080084162
07/2007,0.8093946428160763
08/2007,0.8280181772715006
09/2007,0.7281413377453172
10/2007,0.9482787612090092
11/2007,0.7530917737384529
12/2007,0.7041904438507265
01/2008,0.6112055659980604
02/2008,0.49632309391095786
03/2008,0.4244747022384835
04/2008,0.45408104983487285
05/2008,0.44931331422715975
06/2008,0.39140565904601365
07/2008,0.3532840855812165
08/2008,0.4501726141770094
09/2008,0.3722235592672617
10/2008,0.28553404844310265
11/2008,0.1769221797650202
12/2008,0.2081413451497852
01/2009,0.2029115936456108
02/2009,0.1630941241353903
03/2009,0.18819937330313954
04/2009,0.24297648624960533
05/2009,0.27015135607689683
06/2009,0.31772985232961776
07/2009,0.31790983560610536
08/2009,0.34283508114144146
09/2009,0.3949352531189869
10/2009,0.4099623929874365
11/2009,0.3900086840413752
12/2009,0.40487834919795274
01/2010,0.31889962721633847
02/2010,0.2885528811754044
03/2010,0.3669730485358188
04/2010,0.3430375577156008
05/2010,0.3076067869688632
06/2010,0.34346498253341995
07/2010,0.3477166712571822
08/2010,0.3818427175091324
09/2010,0.3898511991515405
10/2010,0.38481214450189066
11/2010,0.37808593858518547
12/2010,0.426946676212985
01/2011,0.42690833837180653
02/2011,0.4109834207653411
03/2011,0.534828279880683
04/2011,0.49208494696663085
05/2011,0.5435093378406237
06/2011,0.5621459077218365
07/2011,0.49832310939163915
08/2011,0.5211054662942284
09/2011,0.4942128256488161
10/2011,0.5261112097440516
11/2011,0.5336364671601236
12/2011,0.5484500695533983
01/2012,0.5234700589450094
02/2012,0.5442188639796649
03/2012,0.6287645873297419
04/2012,0.5597427736706219
05/2012,0.6104344809958325
06/2012,0.5684469954015302
07/2012,0.5568448252379928
08/2012,0.6229315307224934
09/2012,0.5392170594014251
10/2012,0.6066199001491981
11/2012,0.6422765606011498
12/2012,0.6245454629977898
01/2013,0.6938475421281016
02/2013,0.660937023249912
03/2013,0.7199588867301598
04/2013,0.7784820020463912
05/2013,0.7261298033552965
06/2013,0.6558780083430693
07/2013,0.7331007689201493
08/2013,0.7204766676845136
09/2013,0.6770449317208568
10/2013,0.8181274951561928
11/2013,0.7479805433382257
12/2013,0.8075620446446258
01/2014,0.8031972533098338
02/2014,0.7196011287951007
03/2014,0.8071764194475646
04/2014,0.7856511325459344
05/2014,0.8214097278392913
06/2014,0.8275577084253771
07/2014,0.8535672352326017
08/2014,0.7593715055078122
09/2014,0.7619956896429544
10/2014,0.8378808674447626
11/2014,0.7321293078208243
12/2014,0.8535049919014203
01/2015,0.7690445242562962
02/2015,0.7646529496125347
03/2015,0.8726593045696267
04/2015,0.775631454930767
05/2015,0.7142475051230647
06/2015,0.772416615628
07/2015,0.7767142985654174
08/2015,0.8037358278420805
09/2015,0.8534972032154279
10/2015,0.9253286689358534
11/2015,0.8508562508866594
12/2015,0.9293593508320297
01/2016,0.7375185772628922
02/2016,0.8056426335399219
03/2016,0.9737053706447879
04/2016,0.9718420859156541
05/2016,0.9110912257467607
06/2016,0.9093028431899752
07/2016,0.8305059003711084
08/2016,1.0600124845944447
09/2016,0.9940719931782815
10/2016,0.9608905165758327
11/2016,1.0240741439344796
12/2016,1.0806048746975994
01/2017,1.0301277722614068
02/2017,0.939960477647517
03/2017,1.1924578354611102
04/2017,1.0018250817459617
05/2017,1.1546049792965225
06/2017,1.1976585606877745
07/2017,1.1230474322732786
08/2017,1.2770123500265103
09/2017,1.0798609674003974
10/2017,1.2415828006353022
11/2017,1.2255573336626107
12/2017,1.1717601136214835
01/2018,1.2768934866885657
02/2018,1.254891153583987
03/2018,1.4433435739414413
04/2018,1.4553104968449357
05/2018,1.5248344453851763
06/2018,1.5405167623438418
07/2018,1.6310367691677587
08/2018,1.8233366222911052
09/2018,1.5617955084538437
10/2018,1.8211602888727705
11/2018,1.7330596652175942
12/2018,1.5013528675308274
01/2019,1.5735873856650284
02/2019,1.6493155963808568
03/2019,1.9155765979507107
04/2019,1.9614738054429188
05/2019,2.102543911051852
06/2019,2.12222625897188
07/2019,2.4398557031545045
08/2019,2.5198539203825496
09/2019,2.227141116267758
10/2019,2.5387126675570646
11/2019,2.1458907653506865
12/2019,2.2325877919642116
01/2020,2.3865413053101845
02/2020,2.255473511167481
03/2020,2.2109268786199916
04/2020,2.0335788802468984
05/2020,1.7816310204640704
06/2020,2.085177843537933
07/2020,1.9922137974305203
08/2020,2.0568650921063125
09/2020,2.165672348407501
10/2020,2.4316389015150746
11/2020,1.6724466960880011
