Date,Cumulative Returns
02/2006,1.0625326901529135
03/2006,1.1971541178559377
04/2006,1.0558364816121313
05/2006,1.2458758990969676
06/2006,1.218567995878935
07/2006,1.0383636037146622
08/2006,1.2984340600004727
09/2006,1.2345063039508197
10/2006,1.1704739573724383
11/2006,1.0550692216446094
12/2006,0.980678687561752
01/2007,0.9402573717938092
02/2007,0.8271195890453666
03/2007,0.8907683139550773
04/2007,0.8003696815864985
05/2007,0.9081016912497374
06/2007,0.9114497788899484
07/2007,0.9614271154468004
08/2007,0.9198897848782767
09/2007,0.7372092087866198
10/2007,0.8374080096182579
11/2007,0.6646671009294514
12/2007,0.5688975673003351
01/2008,0.4736511609317531
02/2008,0.5178739529401626
03/2008,0.4361943244394943
04/2008,0.545391130344661
05/2008,0.6097025047369489
06/2008,0.5502040208788719
07/2008,0.406968223075134
08/2008,0.3543403135332425
09/2008,0.32214975950148633
10/2008,0.3289505793587223
11/2008,0.2097443569965641
12/2008,0.17343842251246908
01/2009,0.2319603797001392
02/2009,0.23495971749634545
03/2009,0.26823143695475943
04/2009,0.33857635959563515
05/2009,0.3337983442121265
06/2009,0.4043874020545171
07/2009,0.43249746201000827
08/2009,0.5072716443698247
09/2009,0.5852892872547275
10/2009,0.6039479568624704
11/2009,0.5105151165360371
12/2009,0.699019980825469
01/2010,0.6747113954474265
02/2010,0.5864053186854886
03/2010,0.8046245497532568
04/2010,0.7783280408727523
05/2010,0.6312558800367193
06/2010,0.7085062563020278
07/2010,0.6151082878002607
08/2010,0.5546681466019161
09/2010,0.5073762764740039
10/2010,0.5529592259680904
11/2010,0.5668050033786044
12/2010,0.6123879578617449
01/2011,0.6570292533415998
02/2011,0.7451958228486567
03/2011,0.8702612164586278
04/2011,0.7729920047848093
05/2011,0.7564258941097434
06/2011,0.6330345526349679
07/2011,0.5291389043410059
08/2011,0.48603214875241135
09/2011,0.46692009387044886
10/2011,0.3908555010003239
11/2011,0.42196490540409337
12/2011,0.4307885430392008
01/2012,0.518397091841823
02/2012,0.5670491360855925
03/2012,0.648624130819064
04/2012,0.49391413403630524
05/2012,0.47124472065370193
06/2012,0.4242667268821101
07/2012,0.4501098571404671
08/2012,0.5175600699317704
09/2012,0.42109301166937446
10/2012,0.4150245857755574
11/2012,0.4177797842127037
12/2012,0.44990059792116344
01/2013,0.5498901362074619
02/2013,0.5259651891282704
03/2013,0.6486590043067483
04/2013,0.7279322058335093
05/2013,0.8290726407231629
06/2013,0.9166811911888033
07/2013,1.0266452703656364
08/2013,1.064346237901865
09/2013,1.1457468651969154
10/2013,1.3926341652834833
11/2013,1.3277647818278868
12/2013,1.6186307561830384
01/2014,1.6746416218637712
02/2014,1.6225019893769819
03/2014,1.7569141561976844
04/2014,1.744254158856318
05/2014,1.9840267718759288
06/2014,2.2629302785120475
07/2014,2.543298544803698
08/2014,2.3308687617063812
09/2014,2.3537822895027745
10/2014,2.479580069592583
11/2014,2.226624287069586
12/2014,2.683639636915409
01/2015,2.1702995367174425
02/2015,2.0275171674263923
03/2015,2.160917913301279
04/2015,2.0619397843196707
05/2015,1.9130192088990747
06/2015,1.8820841669446724
07/2015,1.4352177969375797
08/2015,1.2330763978267572
09/2015,1.1699508217968149
10/2015,1.3383670870721884
11/2015,1.1079063937318412
12/2015,1.1214382681777466
01/2016,0.7877794411986092
02/2016,0.7443239224618659
03/2016,0.8452899865870622
04/2016,0.7888257190019298
05/2016,0.7734105265494532
06/2016,0.974505624574703
07/2016,0.9183901151486653
08/2016,1.223346002947355
09/2016,1.2633836737643747
10/2016,1.2680221769039481
11/2016,1.3401457646594912
12/2016,1.519094618138122
01/2017,1.5797788704242206
02/2017,1.5819760697761664
03/2017,2.1191713185243977
04/2017,1.8252013875730049
05/2017,2.1984096498895105
06/2017,2.406131182871886
07/2017,2.1436891664477797
08/2017,2.374882276202289
09/2017,2.4290098671149187
10/2017,3.1474906559923914
11/2017,3.3448540147744352
12/2017,2.9724479258255685
01/2018,3.2015484666692924
02/2018,2.896732112733772
03/2018,4.085236963719061
04/2018,3.677222412950066
05/2018,4.154151937828914
06/2018,4.240470062817083
07/2018,3.990618316715192
08/2018,4.0981410788002535
09/2018,2.9933386915551936
10/2018,3.2758343902672054
11/2018,2.8172496303684733
12/2018,2.236563992721851
01/2019,2.5774073102859263
02/2019,2.716771864917613
03/2019,2.9246678218810223
04/2019,3.122205531471307
05/2019,2.862553606928248
06/2019,2.386879634039186
07/2019,3.379311508481434
08/2019,3.3215219386051102
09/2019,3.391448360269068
10/2019,3.6190841015448285
11/2019,3.2964461015746362
12/2019,3.7433473483954494
01/2020,4.150734089909191
02/2020,3.7304781433883374
03/2020,3.3621525684719513
04/2020,3.2990618160391527
05/2020,3.211662503173582
06/2020,3.8493007403400332
07/2020,3.868064000476504
08/2020,3.4048756075998474
09/2020,3.5303246661169583
10/2020,3.8953719003685014
11/2020,2.972203821389886
